simplified	TE	example_TE	KN	example_KN	ML	example_ML
爱情	ప్రేమ; రొమాంటిక్ ప్రేమ	ఇది హృదయాన్ని తాకే ప్రేమ కథ.	ಪ್ರೀತಿ; ಪ್ರೇಮ	ಇದು ಮನ ತಟ್ಟುವ ಪ್ರೇಮಕಥೆ.	പ്രണയം; സ്നേഹം	ഇത് ഹൃദയത്തെ തൊടുന്ന പ്രണയകഥയാണ്.
安排	ఏర్పాటు చేయడం; ప్రణాళిక	ఈ వారాంతానికి నీకు ఏమైనా ప్రణాళికలున్నాయా?	ವ್ಯವಸ್ಥೆ; ಯೋಜನೆ	ಈ ವಾರಾಂತ್ಯಕ್ಕೆ ನಿನಗೆ ಏನು ಯೋಜನೆ ಇದೆ?	ക്രമീകരണം; പദ്ധതി	ഈ വാരാന്ത്യത്തിന് നിനക്ക് എന്തെങ്കിലും പദ്ധതി ഉണ്ടോ?
安全	సురక్షితం; భద్రత	దయచేసి భద్రతపై శ్రద్ధ పెట్టండి.	ಸುರಕ್ಷತೆ; ಸುರಕ್ಷಿತ	ದಯವಿಟ್ಟು ಸುರಕ್ಷತೆಗೆ ಗಮನ ಕೊಡಿ.	സുരക്ഷ; സുരക്ഷിതം	ദയവായി സുരക്ഷ ശ്രദ്ധിക്കുക.
按时	సమయానికి	నేను పనిని సమయానికి పూర్తి చేశాను.	ಸಮಯಕ್ಕೆ	ನಾನು ಕೆಲಸವನ್ನು ಸಮಯಕ್ಕೆ ಮುಗಿಸಿದ್ದೇನೆ.	സമയത്ത്	ഞാൻ ജോലി സമയത്ത് പൂർത്തിയാക്കി.
按照	ప్రకారం; అనుసరించి	ఈ ప్రణాళిక బాగుంది, దాన్ని అనుసరించి చేయి.	ಪ್ರಕಾರ; ಅನುಸರಿಸಿ	ಈ ಯೋಜನೆ ಚೆನ್ನಾಗಿದೆ, ಅದನ್ನು ಅನುಸರಿಸಿ ಮಾಡು.	പ്രകാരം; അനുസരിച്ച്	ഈ പദ്ധതി നല്ലതാണ്, അതനുസരിച്ച് ചെയ്യൂ.
百分之	శాతం	పనిలో ఎనభై శాతం పూర్తైంది.	ಶೇಕಡಾ	ಕೆಲಸದ ಎಂಭತ್ತು ಶೇಕಡಾ ಪೂರ್ಣಗೊಂಡಿದೆ.	ശതമാനം	ജോലിയുടെ എൺപത് ശതമാനം പൂർത്തിയായി.
棒	అద్భుతం; చాలా బాగుంది	నీ అక్షరాలు నిజంగా అద్భుతంగా ఉన్నాయి!	ಅದ್ಭುತ; ಬಹಳ ಚೆನ್ನಾಗಿದೆ	ನಿನ್ನ ಬರಹ ನಿಜವಾಗಿಯೂ ಅದ್ಭುತವಾಗಿದೆ!	അദ്ഭുതം; വളരെ നല്ലത്	നിന്റെ കൈയെഴുത്ത് ശരിക്കും അദ്ഭുതമാണ്!
包子	ఆవిరి బన్	ఈ రెస్టారెంట్‌లోని బావ్‌జి రుచి చాలా బాగుంది.	ಆವಿಯಲ್ಲಿ ಬೇಯಿಸಿದ ಬನ್	ಈ ಊಟಮನೆಯ ಬಾವ್‌ಜಿಯ ರುಚಿ ಬಹಳ ಚೆನ್ನಾಗಿದೆ.	ആവിയിൽ വേവിച്ച ബൺ	ഈ ഭക്ഷണശാലയിലെ ബാവോസി വളരെ രുചിയാണ്.
保护	రక్షించడం	ప్రజలు పర్యావరణాన్ని రక్షించాలి.	ರಕ್ಷಿಸುವುದು	ಜನರು ಪರಿಸರವನ್ನು ರಕ್ಷಿಸಬೇಕು.	സംരക്ഷിക്കുക	മനുഷ്യർ പരിസ്ഥിതിയെ സംരക്ഷിക്കണം.
保证	హామీ; హామీ ఇవ్వడం	ఇకపై ఆలస్యంగా రానని నేను హామీ ఇస్తాను.	ಭರವಸೆ; ಖಾತರಿ ಕೊಡುವುದು	ಇನ್ನು ಮುಂದೆ ತಡವಾಗಿ ಬರುವುದಿಲ್ಲ ಎಂದು ನಾನು ಭರವಸೆ ಕೊಡುತ್ತೇನೆ.	ഉറപ്പ്; ഉറപ്പുനൽകുക	ഇനിയൊരിക്കലും വൈകില്ലെന്ന് ഞാൻ ഉറപ്പ് നൽകുന്നു.
