source_headword	TL	example_TL
fridge	ref; refrigerator	Nasa ref ang gatas.
frog	palaka	Tumalon ang palaka sa lawa.
furniture	muwebles	Luma pero matibay ang muwebles na ito.
further	karagdagang; mas malayo	Kailangan namin ng karagdagang impormasyon.
gallery	gallery; galeriya	Bukas ang galeriya ngayon.
gap	puwang	May puwang sa pader.
gas	gasolina; gas	Kailangan ng kotse ng gasolina.
gate	tarangkahan	Isara ang tarangkahan, pakiusap.
general	pangkalahatan	Ito ay pangkalahatang tuntunin.
gift	regalo	Bumili siya ng regalo.
goal	layunin	Simple ang layunin namin.
god	diyos	Maraming tao ang nagdarasal sa Diyos.
gold	ginto; ginintuang	Ginto ang singsing.
golf	golf	Naglalaro siya ng golf ngayon.
government	pamahalaan	Binago ng pamahalaan ang batas.
grass	damo	Basa ang damo.
greet	batiin	Batiin nang magalang ang bawat bisita.
ground	lupa; sahig	Umupo sa lupa.
guest	bisita	Maagang dumating ang bisita namin.
guide	gabay; giya	Ipinakita sa amin ng gabay ang museo.
gun	baril	Nakakita ang pulis ng baril.
guy	lalaki; tao	Kapatid ko ang lalaking iyon.
habit	ugali; gawi	Magandang ugali ang araw-araw na pagbabasa.
hall	pasadilyo; bulwagan	Maghintay sa bulwagan.
happily	masaya	Namuhay sila nang masaya.
headache	sakit ng ulo	May sakit ako ng ulo.
heart	puso	Mabilis tumibok ang puso niya.
heat	init; painitin	Painitin nang dahan-dahan ang sopas.
heavy	mabigat	Mabigat ang bag na ito.
height	taas	Sukatin ang taas ng mesa.
helpful	matulungin; kapaki-pakinabang	Kapaki-pakinabang ang payo mo.
hero	bayani	Siya ang bayani ko.
hers	sa kanya	Ang asul na amerikana ay sa kanya.
herself	siya mismo; sarili niya	Siya mismo ang naghanda ng hapunan.
hide	itago	Itago ang susi sa ilalim ng kahon.
hill	burol	Umakyat kami sa burol.
himself	siya mismo; sarili niya	Siya mismo ang nag-ayos nito.
hit	tamaan; hampasin	Huwag mong hampasin ang pinto.
hockey	hockey	Nanood kami ng hockey kagabi.
hold	hawakan	Hawakan mo ang kamay ko.
hole	butas	May butas ang medyas ko.
huge	napakalaki	Napakalaki ng kuwarto.
human	tao; pantao	Kailangan ng bawat tao ng tubig.
hurt	masaktan; sumakit	Masakit ang tuhod ko.
ideal	perpekto; angkop	Ang kuwartong ito ay angkop sa pag-aaral.
identify	tukuyin	Matutukoy mo ba ang ibong ito?
ill	maysakit; may sakit	May sakit siya ngayon.
illness	sakit; karamdaman	Tumagal ng isang linggo ang sakit.
image	larawan	Malinaw ang larawan.
immediately	kaagad	Pumunta ka rito kaagad.
impossible	imposible	Tila imposible ang palaisipang ito.
included	kasama	Kasama ang almusal.
including	kabilang ang	Sampung tao ang dumating, kabilang ako.
increase	tumaas; dagdagan	Tumataas ang presyo sa tag-init.
incredible	hindi kapani-paniwala	Hindi kapani-paniwala ang tanawin.
independent	malaya; sariling kakayahan	Malaya ang kapatid kong babae.
individual	indibidwal; tao	May numero ang bawat indibidwal.
industry	industriya	Lumalago ang lokal na industriya.
informal	di-pormal	Di-pormal ang email na ito.
injury	pinsala	Hindi seryoso ang pinsala niya.
insect	insekto	Dumapo ang insekto sa tasa.
inside	sa loob	Maghintay sa loob ng bahay.
instead	sa halip	Uminom ka ng tubig sa halip.
instruction	panuto	Basahin nang mabuti ang bawat panuto.
instructor	tagapagturo; instruktor	Ipinaliwanag ng instruktor ang ehersisyo.
instrument	instrumento	Tumutugtog siya ng instrumento.
intelligent	matalino	Matalinong estudyante siya.
international	internasyonal	Internasyonal na paliparan ito.
introduction	panimula; pagpapakilala	Maikli ang panimula.
invent	imbentuhin	Kayang mag-imbento ng bagong laro ang mga bata.
invention	imbensyon	Nakatipid ng oras ang imbensyon.
invitation	paanyaya	Nakatanggap ako ng paanyaya.
invite	anyayahan	Anyayahan mo rin ang kaibigan mo.
involve	kabilangan; sangkot	Kasama sa trabaho ang paglalakbay.
item	bagay	Pumili ng isang bagay.
itself	sarili nito	Kusang namamatay ang makina.
jam	jam	Lagyan mo ng jam ang tinapay.
jazz	jazz	Maganda ang tunog ng jazz ngayong gabi.
jewellery	alahas	Itinatago niya ang alahas sa kahon.
joke	biro; joke	Magkuwento ka ng biro.
journalist	mamahayag	Nagtanong ang mamamahayag.
jump	tumalon	Tumalon ka sa ibabaw ng linya.
kid	bata	Tumatawa ang bata.
kill	pumatay	Huwag patayin ang insekto.
king	hari	Nakatira ang hari sa palasyo.
knee	tuhod	Masakit ang tuhod ko.
knife	kutsilyo	Gumamit ng matalas na kutsilyo.
knock	kumatok	Kumatok bago ka pumasok.
knowledge	kaalaman	Lumalago ang kaalaman sa pagsasanay.
lab	lab; laboratoryo	Sarado ang lab.
lady	babae; ginang	Ngumiti sa amin ang ginang.
lake	lawa	Kalmado ang lawa.
lamp	ilawan	Buksan ang ilawan.
laptop	laptop	Bago ang laptop ko.
last1 (taking time)	tumagal	Tumatagal ng dalawang oras ang pelikula.
laughter	tawa	Narinig namin ang tawa sa labas.
law	batas	Nagbago ang batas kahapon.
lawyer	abogado	Tumawag sa akin ang abogado.
lazy	tamad	Huwag kang maging tamad.
lead1	mamuno	Namumuno sa halimbawa ang mabubuting lider.
leader	lider; pinuno	Siya ang lider ng koponan.
learning	pagkatuto	Nangangailangan ng oras ang pagkatuto.
least	pinakamababa; pinakakaunti	Piliin ang pinakamurang isa.
lecture	lektyur; panayam	Magsisimula ang lektyur sa alas-diyes.
lemon	limon	Magdagdag ng limon sa tsaa.
lend	magpahiram	Maaari mo ba akong pahiramin ng limang dolyar?
less	mas kaunti	Kumain ng mas kaunting asukal.
level	antas	Madali ang antas na ito.
lifestyle	uri ng pamumuhay	May malusog siyang uri ng pamumuhay.
lift	buhatin	Buhatin nang maingat ang kahon.
light	sindihan	Sindihan nang maingat ang kandila.
light (not heavy)	magaan	Magaan ang bag na ito.
likely	malamang	Malamang na uulan bukas.
link	link; ugnay	Ipadala mo sa akin ang link.
listener	tagapakinig	Maging mabuting tagapakinig.
lock	kandado; ikandado	Ikandado ang pinto.
lorry	trak	Nagdala ng mga kahon ang trak.
lost	naliligaw	Naliligaw kami.
loud	malakas	Malakas ang musika.
loudly	nang malakas	Huwag magsalita nang malakas.
lovely	kaibig-ibig	Kaibig-ibig ang hardin!
low	mababa	Mababa ang upuan.
luck	swerte	Swertehin ka sana sa pagsusulit mo.
lucky	maswerte	Maswerte ka ngayon.
mail	koreo; sulat	Nakatanggap ako ng koreo ngayong umaga.
major	malaki; pangunahing	Malaking problema ito.
male	lalaki	Matingkad ang lalaking ibon.
manage	pamahalaan; kayanin	Kaya mo bang pamahalaan ang gawaing ito?
manager	tagapamahala	Abala ang tagapamahala.
manner	paraan; asal	Magsalita sa magalang na paraan.
mark	markahan	Markahan nang malinaw ang sagot mo.
marry	pakasalan; magpakasal	Magpapakasal sila sa Hunyo.
material	materyal	Malambot ang materyal na ito.
mathematics	matematika	Paborito kong asignatura ang matematika.
maths	matematika	Mahirap para sa akin ang matematika.
matter	bagay; mahalaga	Hindi iyon mahalaga.
may modal	maaari	Maaari kang umalis ngayon.
media	media; midya	Ibinahagi ng media ang balita.
medical	medikal	Kailangan niya ng medikal na tulong.
medicine	gamot	Inumin ang gamot na ito pagkatapos ng tanghalian.
memory	alaala; memorya	Maganda ang memorya ko.
mention	banggitin	Huwag banggitin ang pangalan ko.
metal	metal	Bakal ang tarangkahan.
method	paraan	Maayos gumana ang paraang ito.
middle	gitna	Tumayo sa gitna.
might modal	maaaring	Maaaring umulan mamaya.
mind	isip	Nagbago ang isip ko.
mine (belongs to me)	akin	Akin ang aklat na ito.
mirror	salamin	Tumingin sa salamin.
missing	nawawala	Nawawala ang mga susi ko.
mobile	cellphone; mobile	Nasa mesa ang cellphone ko.
monkey	unggoy	Umakyat sa puno ang unggoy.
moon	buwan	Maliwanag ang buwan.
mostly	kadalasan	Kadalasan tahimik ang klase.
motorcycle	motorsiklo	Nagmomotorsiklo siya.
movement	galaw	Nakakita ako ng galaw sa mga puno.
musical	musikal	Musikal na pelikula ito.
musician	musikero	Tumutugtog ng gitara ang musikero.
myself	ako mismo; sarili ko	Ako mismo ang gumawa nito.
narrow	makitid	Makitid ang daan.
national	pambansa	Pambansang pista opisyal ito.
nature	kalikasan	Mahal ko ang kalikasan.
nearly	halos	Halos nandoon na kami.
necessary	kailangan; kinakailangan	Kailangan ba ito?
neck	leeg	Masakit ang leeg ko.
