source_headword	DA	example_DA
absorb	absorbere	Håndklædet absorberer vand hurtigt.
abstract	abstrakt	Forelæsningen diskuterede abstrakte idéer.
accent	en accent	Hendes accent er let at forstå.
accidentally	ved et uheld	Jeg slettede filen ved et uheld.
accommodate	imødekomme	Hotellet kan indkvartere store familier.
accomplish	opnå	Hun opnåede sit mål før juni.
accountant	en revisor	Revisoren tjekkede fakturaen.
accuracy	en nøjagtighed	Testen måler læsenøjagtighed.
accurately	nøjagtigt	Kortet viser ruten nøjagtigt.
acid	en syre	Syren beskadigede metaloverfladen.
activate	aktivere	Tryk på knappen for at aktivere alarmen.
addiction	en afhængighed	Hans afhængighed påvirkede hans arbejde.
additionally	desuden	Derudover har vi brug for flere stole.
adequate	tilstrækkelig	Rummet har tilstrækkeligt lys.
adequately	tilstrækkeligt	Rapporten forklarede problemet tilstrækkeligt.
adjust	justere	Juster sædet før du kører.
affordable	overkommelig	Lejligheden er til at betale for studerende.
agriculture	et landbrug	Landbruget støtter mange familier på landet.
AIDS	aids	Læger behandler aids med moderne medicin.
alien	et rumvæsen	Filmen viser en fremmed planet.
alongside	ved siden af	Cykelstien løber langs med floden.
altogether	fuldstændigt	Alt i alt tog projektet seks uger.
ambulance	en ambulance	Ambulancen ankom inden for få minutter.
amusing	morsom	Historien var morsom og let.
analyst	en analytiker	Analytikeren gennemgik salgsdataene.
ancestor	en forfader	Min forfader boede i nærheden af denne landsby.
animation	en animation	Animationen gjorde lektionen tydeligere.
annually	årligt	Festivalen afholdes årligt.
anticipate	forudse	Vi forventer tæt trafik i morgen.
anxiety	en angst	Angst kan gøre det svært at sove.
apology	en undskyldning	Hun kom med en oprigtig undskyldning.
applicant	en ansøger	Ansøgeren sendte et nyt CV.
appropriately	passende	Klæd dig venligst passende på til interviewet.
arrow	en pil	Pilen peger mod udgangen.
artwork	et kunstværk	Museet udstillede lokale kunstværker.
aside	til side	Hun trådte til side for at lade ham passere.
asset	et aktiv	Erfaring er et værdifuldt aktiv.
assign	tildele	Læreren tildelte lektier i dag.
assistance	en hjælp	Spørg venligst personalet om assistance.
assumption	en antagelse	Den antagelse kan være forkert.
assure	forsikre	Jeg forsikrer dig om, at døren er låst.
astonishing	forbløffende	Udsigten fra klippen var forbløffende.
attachment	en vedhæftning	E-mailen inkluderer en vedhæftning.
auction	en auktion	Maleriet blev solgt på auktion.
audio	audio	Lydoptagelsen lyder tydelig.
automatic	automatisk	Døren har en automatisk lås.
automatically	automatisk	Lysene tænder automatisk.
awareness	en bevidsthed	Kampagnen øgede den offentlige bevidsthed.
awkward	akavet	Stilheden føltes akavet.
badge	et badge	Besøgende skal bære et navneskilt.
balanced	afbalanceret	En balanceret kost inkluderer grøntsager.
ballet	en ballet	Hun studerer ballet efter skole.
balloon	en ballon	Ballonen svævede over bordet.
barely	knap	Han hørte knapt meddelelsen.
bargain	et kup	Den jakke var et rigtigt kup.
basement	en kælder	Kasserne er i kælderen.
basket	en kurv	Hun lagde æbler i kurven.
bat	et bat	Flagermusen fløj ud af grotten.
beneficial	gavnlig	Regelmæssig motion er gavnligt for helbredet.
beside	ved siden af	Lampen står ved siden af sofaen.
besides	desuden	Foruden matematik studerer han kemi.
bias	en bias	Artiklen viste tydelig bias.
bid	et bud	Virksomheden gav et højere bud.
biological	biologisk	Den biologiske test bekræftede resultatet.
blanket	et tæppe	Barnet sov under et tæppe.
blow	et slag	Det hårde slag knuste vinduet.
bold	dristig	Overskriften brugte fede bogstaver.
bombing	et bombeangreb	Bombeangrebet beskadigede flere bygninger.
booking	en reservation	Jeg bekræftede hotelreservationen.
boost	et løft	Sejren gav holdets selvtillid et løft.
bound	bundet	Pakken var bundet med snor.
brick	en mursten	Væggen er lavet af mursten.
briefly	kort	Hun talte kort efter frokost.
broadcaster	en tv-station	Tv-stationen interviewede borgmesteren.
broadly	bredt	De to planer er i store træk ens.
bug	en fejl	Appen gik ned på grund af en fejl.
cabin	en hytte	Vi boede i en lille hytte.
canal	en kanal	Bådene bevægede sig langsomt langs kanalen.
candle	et stearinlys	Stearinlyset brændte på bordet.
carbon	et kulstof	Træer absorberer kulstof fra luften.
casual	afslappet	Han havde uformelt tøj på på arbejde.
cave	en hule	Vandrerne gik ind i hulen.
certainty	en sikkerhed	Vi kan ikke vide det med sikkerhed.
certificate	et certifikat	Hun modtog et kursusbevis.
challenging	udfordrende	Kurset var udfordrende men nyttigt.
championship	et mesterskab	Vores hold nåede mesterskabsfinalen.
charming	charmerende	Den gamle gade så charmerende ud.
chase	en jagt	Hunden jagede bolden.
cheek	en kind	En tåre trillede ned ad hendes kind.
cheer	et tilråb	Publikum begyndte at juble højt.
choir	et kor	Koret sang smukt.
