source_headword	ZH	example_ZH
absolutely	绝对；完全	我完全同意你的看法。
academic	学术的	学年九月开始。
access	使用权；通道	学生需要使用图书馆的权限。
accommodation	住宿	我们在车站附近订了住宿。
account	账户	她开了一个新的银行账户。
achievement	成就	完成这门课是很大的成就。
ad	广告	这则广告展示了一部新手机。
addition	增加物；补充	游泳池是一个有用的补充。
admire	钦佩	我钦佩她冷静的态度。
admit	承认	他承认了自己的错误。
advanced	高级的	这是一门高级英语课。
advise	建议	医生建议定期锻炼。
afford	负担得起	我们付不起出租车费。
aged	年龄为	这门课面向十岁的孩子。
agent	代理人；经纪人	旅行代理帮我们改了票。
agreement	协议	他们今天达成了协议。
ahead	在前面	前方的道路很清楚。
aim	目标；旨在	我们的目标是尽快完成。
alarm	闹钟；警报	闹钟六点响了。
album	专辑；相册	这张专辑有十首歌。
alcohol	酒精；酒	这家酒店不供应酒。
alcoholic	含酒精的	这种饮料不含酒精。
amazed	惊讶的	她对结果感到惊讶。
ambition	抱负	他的抱负是成为飞行员。
ambitious	有雄心的	她有一个雄心勃勃的计划。
analyse	分析	我们需要分析结果。
analysis	分析	她的分析清楚而仔细。
announce	宣布	他们明天会宣布获胜者。
announcement	公告；宣布	这个公告让大家吃惊。
annoy	使恼怒	大声音乐会惹恼邻居。
annoyed	恼火的	延误后他看起来很恼火。
annoying	烦人的	那个声音真的很烦人。
apart	相隔	这些房子相隔两米。
apologize	道歉	我为迟到道歉。
application	申请；应用程序	请在线完成申请。
appointment	预约	我明天有牙医预约。
appreciate	感谢；欣赏	我感谢你的帮助。
approximately	大约	步行大约需要二十分钟。
arrest	逮捕	警察逮捕了司机。
arrival	到达	我们到达得比预期晚。
assignment	作业；任务	这份作业星期五到期。
assist	协助	护士协助医生。
atmosphere	氛围；大气	这家咖啡馆气氛轻松。
attach	附上；连接	把文件附在邮件里。
attitude	态度	会后她的态度改变了。
attract	吸引	鲜艳的花会吸引蜜蜂。
attraction	景点；吸引力	这座城堡是热门景点。
authority	当局；权力	地方当局修好了道路。
aware	意识到的	她意识到这个风险。
backwards	向后	他小心地向后走。
bake	烘烤	我每个星期天烤面包。
balance	平衡	好鞋有助于保持平衡。
ban	禁止	这个城市将禁止汽车通行。
bank (river)	河岸	我们坐在河岸上。
base	基地；基础	队伍回到了基地。
basic	基本的	每个人都需要基本的电脑技能。
basis	基础	信任是友谊的基础。
battery	电池	我的手机电池快没电了。
battle	战斗	战斗持续了一整夜。
beauty	美；美丽	我们欣赏山的美。
bee	蜜蜂	一只蜜蜂落在花上。
belief	信念	他的信念给了他勇气。
bell	铃	学校的铃声响亮地响起。
bend	弯曲	抬东西时要弯曲膝盖。
bite	咬	这只狗可能会咬陌生人。
block	街区；阻挡	一棵倒下的树挡住了路。
bomb	炸弹	炸弹损坏了几栋建筑。
border	边境；边界	他们夜里越过边境。
bother	打扰	请不要打扰你妹妹。
branch	树枝；分支	一根树枝在暴风雨中断了。
brand	品牌	这个品牌很受学生欢迎。
brave	勇敢的	那个勇敢的人救了孩子。
breath	呼吸	深吸一口气。
breathe	呼吸	我在这烟里无法呼吸。
breathing	呼吸	她的呼吸很慢。
bride	新娘	新娘穿着白色连衣裙。
bubble	气泡	一个气泡漂在杯子上方。
bury	埋葬；掩埋	他们把盒子埋在沙子里。
calm	平静的	考试时保持冷静。
campaign	活动；运动	这场活动为学校筹款。
campus	校园	学生住在校园附近。
candidate	候选人	每位候选人回答了三个问题。
cap	帽子	他戴着一顶棒球帽。
captain	队长；船长	队长对队伍讲话。
careless	粗心的	一个粗心的错误浪费了我们的时间。
category	类别	选择正确的类别。
ceiling	天花板	天花板被刷成白色。
celebration	庆祝活动	庆祝活动持续了整个晚上。
central	中心的	这家酒店位置很中心。
ceremony	仪式	仪式中午开始。
chain	链子	她戴着一条银链子。
challenge	挑战	这个项目是真正的挑战。
champion	冠军	冠军感谢了她的教练。
channel	频道	请换个频道。
chapter	章节	今晚读下一章。
charge	费用	儿童不收费。
cheat	作弊	考试不要作弊。
cheerful	高兴的；开朗的	她今天早上听起来很开心。
chemical	化学的；化学品	化学气味很浓。
chest	胸部	跑步后他的胸口疼。
childhood	童年	我记得我的童年故居。
claim	声称	他们声称这个产品是安全的。
clause	从句；条款	这个从句改变了意思。
click	点击	点击蓝色按钮。
client	客户	客户要求更多细节。
cloth	布	用这块布擦桌子。
clue	线索	这个线索帮助我们解决了问题。
coal	煤	那列旧火车用煤。
coin	硬币	他在地板上发现了一枚硬币。
collection	收藏；收集品	她的邮票收藏很多。
coloured	有颜色的	她戴了一条彩色围巾。
combine	结合；混合	把面粉和水混合。
commercial	商业的；广告	广告时间持续了五分钟。
commit	承诺；投入	我们必须承诺执行这个计划。
communication	沟通	良好的沟通能防止错误。
comparison	比较	这个比较很有用。
competitive	竞争激烈的	这个市场竞争很激烈。
competitor	竞争者	我们的主要竞争者降低了价格。
complaint	投诉	她对噪音提出了投诉。
complex	复杂的	这些说明太复杂了。
concentrate	集中注意力	放音乐时我无法集中注意力。
conclude	结束；得出结论	我们现在结束会议。
conclusion	结论	他的结论似乎合理。
confident	自信的	面试前她感到自信。
confirm	确认	请确认你的电子邮件地址。
confuse	使困惑	这两个名字让我困惑。
confused	困惑的	我被地图弄糊涂了。
connection	连接	互联网连接很慢。
consequence	后果	睡眠不足会有后果。
consist	由……组成	这顿饭由三道菜组成。
consume	消耗	大型汽车消耗更多燃料。
