simplified	TL	example_TL
挨	tiisin; makaraos	Tiniis niya ang buong gabi at sa wakas ay sumapit ang umaga.
癌症	kanser	Mahalagang matuklasan nang maaga ang kanser.
暧昧	malabo; hindi tiyak	Malabo ang sagot niya.
爱不释手	ayaw bitiwan dahil gustong-gusto	Gustong-gusto niya ang aklat kaya halos ayaw niya itong bitiwan.
爱戴	mahalin at igalang	Lubos na minamahal at iginagalang ng mga estudyante ang gurong ito.
安宁	tahimik at payapa	Tahimik at payapa ang mga gabi rito.
安详	mapayapa	Ang ekspresyon ng matanda ay mapayapa.
安置	iligay sa maayos na tirahan	Inilagay ng pamahalaan sa maayos na tirahan ang mga nasalanta.
按摩	masahe	Nagpa-reserba ako ng masahe.
暗示	magpahiwatig	Ipinahiwatig niya na huwag na akong magtanong.
案件	kaso ng batas	Iniinbestigahan ng pulisya ang kasong ito.
案例	halimbawa ng kaso	Ang kasong ito ay may kinatawang halaga.
昂贵	napakamahal	Napakamahal ng kagamitang ito.
凹凸	hindi pantay	Hindi pantay ang ibabaw ng kalsadang ito.
熬	tiisin nang matagal	Tiniis niya ang tatlong araw bago matapos ang ulat.
奥秘	hiwaga	Nais tuklasin ng siyentipiko ang hiwagang ito.
巴不得	sabik na sabik	Sabik na sabik akong umalis kaagad.
巴结	sumipsip	Hindi niya gustong sumipsip sa mga pinuno.
扒	kapitan	Kumapit ang bata sa pinto at tumingin sa labas.
疤	peklat	May peklat sa braso niya.
拔苗助长	pilitin nang sobra	Pagsira lang ang dulot ng sobrang pagpipilit sa bata na mag-aral.
把关	suriin nang mabuti	Kailangang suriin ng abogado ang kontratang ito.
把手	hawakan	Sira ang hawakan ng pinto.
罢工	magwelga	Nagpasya ang mga manggagawa na magwelga bukas.
霸道	mapang-api; mapagdomina	Masyado siyang mapagdomina kung magsalita.
掰	baliin gamit ang dalawang kamay	Binali niya sa dalawa ang tinapay.
摆脱	makaalis sa; makawala	Sa wakas nakawala siya sa masamang ugali.
拜访	bumisita	Bibisita kami sa guro sa katapusan ng linggo.
拜年	bumisita para bumati sa Bagong Taon	Sa Spring Festival bumibisita kami sa lolo at lola para bumati ng Bagong Taon.
拜托	ipakiusap; umasa sa iyo	Ipinagkakatiwala ko sa iyo ang bagay na ito.
败坏	sirain	Sisiraan ng ganitong kilos ang reputasyon ng kumpanya.
斑	batik	May itim na batik sa pusa.
颁布	ipalabas; ipahayag	Ipalalabas ang bagong tuntunin sa susunod na linggo.
颁发	igawad	Nagbigay ang paaralan ng sertipiko sa mahuhusay na estudyante.
版本	bersyon	May bagong bersyon ang software na ito.
伴侣	kapareha; kasama	Itinuturing niya ang aso bilang sarili niyang kasama.
伴随	samahan; kaakibat	Kadalasang kaakibat ng tagumpay ang presyon.
半途而废	sumuko sa kalagitnaan	Hindi dapat sumuko sa kalagitnaan kapag gumagawa ng pananaliksik.
扮演	gumanap	Gumanap siya bilang doktor sa pelikula.
榜样	huwaran	Ang mga magulang ang huwaran ng mga bata.
绑架	mangidnap	Napigilan ng pulisya ang isang kaso ng pangidnap.
磅	libra	May timbang na dalawampung libra ang kahong ito.
包庇	kupkupin; pagtakpan	Walang sinuman ang dapat kumupkop sa krimen.
包袱	pasanin	Matapos ibaba ang pasanin, mas gumaan ang pakiramdam niya.
包围	palibutan	Pinalibutan ng mga reporter ang aktor.
包装	balot	Maganda ang balot ng regalong ito.
保管	ingatan	Ako ang nag-iingat ng mga dokumentong ito.
保密	ilihim	Kailangang ilihim ang nilalaman ng pulong.
保姆	yaya	Kumuha sila ng isang yaya.
保守	konserbatibo	Medyo konserbatibo ang mga ideya niya.
保卫	ipagtanggol	Ipinagtatanggol ng mga sundalo ang hangganan.
保养	panatilihin sa maayos na kondisyon	Kailangang regular na panatilihin sa maayos na kondisyon ang sasakyang ito.
保障	tiyakin; protektahan	Pinoprotektahan ng batas ang mga karapatan ng mamamayan.
保重	ingatan ang sarili	Mangyaring ingatan mo ang sarili mo habang nasa malayo.
饱和	puspos	Malapit nang mapuspos ang pamilihang ito.
饱经沧桑	maraming pinagdaanan	Maraming pinagdaanan ang matandang ito.
报酬	kabayaran	Nakatanggap siya ng makatarungang kabayaran.
