source_headword	SW	example_SW
take	kuchukua; kupeleka	Chukua tiketi.
talk	kuzungumza; mazungumzo	Tunazungumza baada ya somo.
tall	mrefu	Mwalimu wangu ni mrefu.
taxi	teksi	Teksi iko nje.
tea	chai	Chai hii ni moto.
teach	kufundisha	Ninafundisha Kiingereza.
teacher	mwalimu	Mwalimu anatabasamu.
team	timu	Timu yetu inashinda leo.
teenager	kijana balehe	Kijana balehe anasoma kitabu.
telephone	simu; kupiga simu	Simu iko juu ya meza.
television	televisheni	Televisheni ni mpya.
tell	kusema; kueleza	Sema jina lako.
ten	kumi	Nina vitabu kumi.
tennis	tenisi	Tunacheza tenisi leo.
terrible	mbaya sana; ya kutisha	Hali ya hewa ni mbaya sana.
test	mtihani; jaribio; kupima	Mtihani unaanza sasa.
text	maandishi; ujumbe	Tuma ujumbe mfupi.
than	zaidi ya	Kumi ni zaidi ya mbili.
thank	kushukuru	Mshukuru mwalimu.
thanks	asante	Asante kwa msaada.
that	hiyo; yule	Kitabu hicho ni changu.
the	kibainishi maalum cha Kiingereza	Chai ni vuguvugu.
theatre	ukumbi wa michezo	Ukumbi wa michezo uko karibu na stesheni.
their	yao; wao	Nyumba yao ni kubwa.
them	wao; wao kama shamirisho	Ninawajua.
then	kisha; halafu	Kula, kisha soma.
there	hapo; kule	Kuna kiti hapo.
they	wao	Wako shuleni.
thing	kitu	Kitu hiki ni muhimu.
think	kufikiri	Ninafikiri kuhusu nyumba.
third	wa tatu; ya tatu	Hili ni somo la tatu.
thirsty	mwenye kiu	Nina kiu.
thirteen	kumi na tatu	Ana miaka kumi na tatu.
thirty	thelathini	Dada yangu ana miaka thelathini.
this	hii; huyu	Tiketi hii ni mpya.
thousand	elfu	Watu elfu moja walikuja.
three	tatu	Naona ndege watatu.
through	kupitia; kwa njia ya	Tunapita kupitia bustani.
Thursday	alhamisi	Tunakutana Alhamisi.
ticket	tiketi	Ninahitaji tiketi.
time	wakati; saa	Ni saa ngapi?
tired	amechoka; nimechoka	Nimechoka.
title	kichwa cha habari	Soma kichwa cha habari.
to	kwa; kwenda kwa	Ninaenda darasani.
today	leo	Leo kuna jua.
together	pamoja	Tunakula pamoja.
toilet	choo	Choo ni safi.
tomato	nyanya	Nyanya hii ni nyekundu.
tomorrow	kesho	Tutaonana kesho.
tonight	usiku wa leo	Tunasoma usiku wa leo.
too	pia; sana	Nataka chai pia.
tooth	jino	Jino langu linauma.
topic	mada	Chagua mada moja.
tourist	mtalii	Mtalii anapiga picha.
town	mji	Mji huu ni mtulivu.
traffic	msongamano wa magari; trafiki	Trafiki ni polepole.
train	treni	Treni imechelewa.
travel	kusafiri; safari	Tunasafiri kwa treni.
tree	mti	Mti ni mrefu.
trip	safari	Safari inaanza kesho.
trousers	suruali	Suruali yangu ni nyeusi.
true	kweli	Hadithi hii ni kweli.
try	kujaribu; kuonja	Jaribu chai hii.
T-shirt	tisheti	Nimevaa tisheti.
Tuesday	jumanne	Tunakutana Jumanne.
turn	kugeuka; zamu	Geuka kushoto hapa.
TV	televisheni	Sauti ya televisheni ni kubwa.
twelve	kumi na mbili	Nina kalamu kumi na mbili.
twenty	ishirini	Kuna wanafunzi ishirini hapa.
twice	mara mbili	Ninaogelea mara mbili kwa wiki.
two	mbili	Watu wawili wanasubiri.
type	aina; kuandika	Unahitaji aina gani ya muziki?
umbrella	mwavuli	Chukua mwavuli.
uncle	mjomba; baba mdogo	Mjomba wangu ni mkarimu.
under	chini ya	Mkoba uko chini ya meza.
understand	kuelewa	Ninaelewa swali.
university	chuo kikuu	Chuo kikuu kiko karibu.
until	mpaka; hadi	Subiri mpaka saa tano.
up	juu; kuamka	Simama sasa.
upstairs	ghorofani juu	Chumba changu kiko ghorofani juu.
us	sisi; kwetu	Tafadhali tusaidie.
use	kutumia; matumizi	Tumia kalamu hii.
useful	muhimu	Ramani hii ni muhimu.
usually	kwa kawaida	Kwa kawaida natembea nyumbani.
vacation	likizo	Likizo yetu inaanza kesho.
vegetable	mboga	Karoti ni mboga.
very	sana	Chumba ni kimya sana.
video	video	Tazama video hii.
village	kijiji	Kijiji ni kidogo.
visit	kutembelea	Tunamtembelea shangazi yetu.
visitor	mgeni	Mgeni anasubiri nje.
wait	kusubiri	Tafadhali subiri hapa.
waiter	mhudumu	Mhudumu analeta chai.
wake	kuamka; kuamsha	Ninaamka mapema asubuhi.
walk	kutembea	Tunatembea kwenda shuleni.
wall	ukuta	Ukuta ni mweupe.
want	kutaka; kuhitaji	Nataka maji.
warm	joto; vuguvugu	Chumba ni vuguvugu.
wash	kuosha	Osha mikono yako.
watch	kutazama; saa	Ninatazama televisheni.
water	maji; kumwagilia	Kunywa maji kidogo.
way	njia	Njia hii ni fupi.
we	sisi	Tunajifunza Kiingereza.
wear	kuvaa	Nimevaa koti.
weather	hali ya hewa	Hali ya hewa ni baridi.
website	tovuti	Tovuti hii ni muhimu.
Wednesday	jumatano	Somo linaanza Jumatano.
week	wiki	Wiki hii ina shughuli nyingi.
weekend	mwisho wa wiki	Mwisho wa wiki unaanza kesho.
welcome	karibu; kukaribisha	Karibu darasani kwetu.
well	vizuri	Anaimba vizuri.
west	magharibi	Jua huzama magharibi.
what	nini	Hiki ni nini?
when	lini	Unasoma lini?
where	wapi	Stesheni iko wapi?
which	ipi; gani	Mkoba gani ni wako?
white	nyeupe	Ukuta ni mweupe.
who	nani	Huyu ni nani?
why	kwa nini	Kwa nini umechelewa?
wife	mke	Mke wake ni mwalimu.
will modal	neno la wakati ujao	Nitakusaidia.
win	kushinda	Timu yetu inaweza kushinda.
window	dirisha	Fungua dirisha.
wine	mvinyo	Mvinyo huu ni mwekundu.
winter	majira ya baridi	Baridi hapa ni kali.
with	na	Njoo pamoja nami.
without	bila	Chai bila sukari ni nzuri.
woman	mwanamke	Mwanamke anasoma kitabu.
wonderful	ajabu; nzuri sana	Mandhari ni nzuri sana.
word	neno	Andika neno moja.
work	kufanya kazi; kazi	Ninafanya kazi nyumbani.
worker	mfanyakazi	Mfanyakazi ana shughuli nyingi.
world	dunia	Dunia ni kubwa.
would modal	ningependa; hali ya heshima	Ningependa chai.
write	kuandika	Andika jina lako.
writer	mwandishi	Mwandishi anaishi hapa.
writing	maandishi; mwandiko	Mwandiko wake uko wazi.
wrong	si sahihi; vibaya	Jibu hili si sahihi.
yeah	ndiyo	Ndiyo, naweza kuja.
year	mwaka	Mwaka huu ni mzuri.
yellow	njano	Ndizi ni njano.
yes	ndiyo	Ndiyo, nimeelewa.
yesterday	jana	Nilipiga simu jana.
you	wewe; nyinyi	Wewe ni rafiki yangu.
young	kijana; mdogo	Mtoto ni mdogo.
your	wako; lenu	Mkoba wako uko hapa.
yourself	wewe mwenyewe	Chukua chai wewe mwenyewe.
