source_headword	NL	example_NL
incur	oplopen / maken	Vertragingen kunnen extra kosten met zich meebrengen.
indicator	de indicator	Werkloosheid is een economische indicator.
indictment	de aanklacht	De aanklacht bevatte drie tenlasteleggingen.
indigenous	inheems	Inheemse planten groeien hier goed.
induce	opwekken	Het medicijn kan slaap opwekken.
indulge	toegeven aan / zich overgeven aan	Ze geeft niet toe aan dure gewoontes.
inequality	de ongelijkheid	Inkomensongelijkheid blijft een groot probleem.
infamous	berucht	De gevangenis werd wereldwijd berucht.
infant	de zuigeling / de baby	De zuigeling sliep in het bedje.
infect	infecteren / besmetten	Het virus kan gezonde cellen infecteren.
inflict	toebrengen	Breng dieren geen pijn toe.
influential	invloedrijk	Zij is een invloedrijke rechtsgeleerde.
inherent	inherent	Het ontwerp brengt inherente risico's met zich mee.
inhibit	remmen / belemmeren	Angst kan een eerlijke discussie belemmeren.
initiate	initiëren / beginnen	De manager zal de beoordeling initiëren.
inject	injecteren / inspuiten	De verpleegkundige zal het vaccin injecteren.
injection	de injectie	De injectie verminderde de pijn.
injustice	het onrecht	De uitspraak legde een duidelijk onrecht bloot.
inmate	de gevangene	De gevangene vroeg om juridisch advies.
insertion	de invoeging	Het formulier vereist één tekstinvoeging.
insider	de insider	Een insider heeft het rapport gelekt.
inspect	inspecteren	Ambtenaren inspecteren de brug jaarlijks.
inspection	de inspectie	De inspectie vond ernstige schade.
inspiration	de inspiratie	Haar toespraak gaf me inspiratie.
instinct	het instinct	Zijn eerste instinct was om te helpen.
institutional	institutioneel	Institutionele regels vormden de beslissing.
instruct	instrueren	De handleiding zal nieuw personeel instrueren.
instrumental	instrumenteel / cruciaal	Haar advies was cruciaal bij de onderhandelingen.
insufficient	onvoldoende	Het bewijs was onvoldoende voor een aanklacht.
insult	de belediging	Zijn belediging beëindigde het gesprek.
intact	intact	De oude muur bleef intact.
intake	de inname	De suikerinname moet matig blijven.
integral	integraal / essentieel	Vertrouwen is essentieel voor het team.
integrated	geïntegreerd	De school biedt geïntegreerde ondersteuning.
integration	de integratie	Integratie verbeterde het hele systeem.
integrity	de integriteit	De rechter toonde grote integriteit.
intensify	intensiveren / verhevigen	De storm kan 's nachts in hevigheid toenemen.
intensity	de intensiteit	De intensiteit van de training nam toe.
intensive	intensief	Ze hebben een intensieve taaltraining afgerond.
intent	de opzet / de bedoeling	Zijn opzet was moeilijk te bewijzen.
interactive	interactief	Het museum heeft interactieve tentoonstellingen.
interface	de interface	De interface is gemakkelijk te navigeren.
interfere	zich bemoeien met / verstoren	Bemoei je niet met het onderzoek.
interference	de storing / de inmenging	Signaalstoring verstoorde het gesprek.
interim	tussentijds	Er komt morgen een tussentijds rapport.
interior	het binnenste	De binnenmuren moeten geverfd worden.
intermediate	gemiddeld	Ze sloot zich aan bij de gemiddelde klas.
intervene	ingrijpen	De politie moest snel ingrijpen.
intervention	de interventie / de ingreep	Vroege interventie hielp de patiënt.
intimate	intiem	Ze hielden een intieme familieceremonie.
intriguing	intrigerend	De gegevens onthulden een intrigerend patroon.
investigator	de onderzoeker	De onderzoeker interviewde elke getuige.
invisible	onzichtbaar	Het gas is onzichtbaar en gevaarlijk.
invoke	zich beroepen op	De advocaat probeerde zich op een precedent te beroepen.
involvement	de betrokkenheid	Zijn betrokkenheid bleef onduidelijk.
ironic	ironisch	De ironische opmerking maakte iedereen aan het lachen.
ironically	ironisch genoeg	Ironisch genoeg duurde de route langer.
irony	de ironie	De ironie was voor iedereen duidelijk.
irrelevant	irrelevant	Dat detail is hier irrelevant.
isolation	de isolatie / het isolement	Isolatie kan de geestelijke gezondheid schaden.
judicial	gerechtelijk	De gerechtelijke toetsing begint maandag.
junction	de kruising	Sla linksaf bij de kruising.
jurisdiction	de jurisdictie	De rechtbank heeft beperkte jurisdictie.
just	rechtvaardig	De rechter nam een rechtvaardige beslissing.
justification	de rechtvaardiging	We hebben een duidelijke rechtvaardiging nodig voor de uitgaven.
kidnap	ontvoeren	Criminelen probeerden de diplomaat te ontvoeren.
kidney	de nier	Haar nierfunctie verbeterde.
kingdom	het koninkrijk	Het koninkrijk breidde zich uit onder zijn heerschappij.
lad	de jongen	De jonge jongen droeg de tassen.
landlord	de huisbaas	De huisbaas heeft de verwarming gerepareerd.
landmark	het herkenningspunt	De toren werd een herkenningspunt van de stad.
lap	de schoot	Het kind zat op haar schoot.
large-scale	grootschalig	De stad plande grootschalige reparaties.
laser	de laser	De laser mat de afstand.
latter	laatstgenoemd	De laatstgenoemde optie lijkt veiliger.
lawn	het gazon	De kinderen speelden op het gazon.
lawsuit	de rechtszaak	Het bedrijf schikte de rechtszaak.
layout	de lay-out	De lay-out van de pagina ziet er duidelijker uit.
leak	het lek / lekken	Een buislek zette de keuken onder water.
leap	de sprong	De verkoop maakte een plotselinge sprong.
legacy	de erfenis	Haar erfenis vormde de universiteit.
legendary	legendarisch	De legendarische zanger keerde terug naar het podium.
legislation	de wetgeving	Nieuwe wetgeving beschermt huurders.
legislative	wetgevend	De wetgevende commissie is vandaag bijeengekomen.
legislature	de wetgevende macht	De wetgevende macht keurde de begroting goed.
legitimate	legitiem	Ze uitten legitieme zorgen.
lengthy	langdurig	Het langdurige debat vertraagde de stemming.
lesbian	lesbisch	De lesbische activiste sprak op het forum.
lesser	minder	Kies het mindere risico.
lethal	dodelijk	De chemische stof kan dodelijk zijn.
liable	aansprakelijk	Bestuurders zijn aansprakelijk voor schade.
liberal	liberaal	Hij steunt liberaal sociaal beleid.
liberation	de bevrijding	De bevrijding veranderde de toekomst van het land.
liberty	de vrijheid	De wet beschermt de persoonlijke vrijheid.
license	licentiëren / een vergunning geven	De staat kan nieuwe klinieken een vergunning geven.
lifelong	levenslang	Ze maakte daar levenslange vrienden.
likelihood	de waarschijnlijkheid	De waarschijnlijkheid van regen nam toe.
limb	de ledemaat	De gewonde ledemaat genas langzaam.
linear	lineair	De grafiek toont een lineaire trend.
line-up	de line-up / de opstelling	De festival line-up omvat lokale bands.
linger	blijven hangen	De geur kan uren blijven hangen.
listing	de advertentie	De advertentie voor het appartement zag er kloppend uit.
