source_headword	PT-BR	example_PT-BR
abandon	abandonar	Eles abandonaram o plano ontem.
absolute	absoluto	Precisamos de honestidade absoluta aqui.
acceptable	aceitável	A resposta dele foi aceitável.
accompany	acompanhar	O irmão dela a acompanhou até em casa.
accurate	preciso	O relatório parece preciso.
accuse	acusar	Eles o acusaram de mentir.
acknowledge	reconhecer	Por favor, reconheça o erro.
acquire	adquirir	Ela adquiriu novas habilidades rapidamente.
actual	real	O custo real foi menor.
adapt	adaptar	Nós nos adaptamos à mudança.
additional	adicional	Ajuda adicional chegou hoje.
administration	a administração	A administração mudou a política.
adopt	adotar	Eles adotaram um novo método.
advance	o avanço	Nós fizemos um pequeno avanço.
affair	o caso	O caso prejudicou a confiança pública.
afterwards	depois	Depois, todos se sentiram calmos.
agency	a agência	A agência contratou três tradutores.
agenda	a pauta	A segurança está na pauta.
aggressive	agressivo	O tom dele soou agressivo.
aid	a ajuda	A ajuda médica chegou rapidamente.
aircraft	a aeronave	A aeronave pousou em segurança.
alter	alterar	Não altere o acordo.
anger	a raiva	A raiva dele surpreendeu a todos.
angle	o ângulo	Tente outro ângulo de câmera.
anniversary	o aniversário	O aniversário deles é amanhã.
annual	anual	A reunião anual começa na segunda-feira.
anxious	ansioso	Ela se sentiu ansiosa antes da cirurgia.
apparent	aparente	A decepção dele era aparente.
apparently	aparentemente	Aparentemente, o trem está atrasado.
appeal	o recurso	A decisão pode ser alvo de recurso.
approach	a abordagem	A abordagem dela resolveu o problema.
appropriate	apropriado	Escolha uma resposta apropriada.
approval	a aprovação	O projeto precisa de aprovação.
approve	aprovar	O conselho aprovou o orçamento.
arise	surgir	Problemas podem surgir mais tarde.
armed	armado	Guardas armados ficaram do lado de fora.
arms	as armas	Eles depuseram suas armas.
artificial	artificial	As flores pareciam artificiais.
artistic	artístico	Ela tem talento artístico.
ashamed	envergonhado	Ele se sentiu envergonhado depois.
aspect	o aspecto	Considere cada aspecto cuidadosamente.
assess	avaliar	Devemos avaliar os danos.
assessment	a avaliação	A avaliação levou duas horas.
associate	associar	As pessoas associam fumaça ao perigo.
associated	associado	O estresse está associado a doenças.
association	a associação	A associação apoia jovens artistas.
assume	presumir	Eu presumo que você concorda.
attempt	a tentativa	A primeira tentativa dele falhou.
bacteria	a bactéria	As bactérias podem se espalhar rapidamente.
barrier	a barreira	O idioma era uma barreira.
basically	basicamente	Basicamente, precisamos de mais tempo.
bear (deal with)	suportar	Eu não consigo suportar este barulho.
beg	implorar	Por favor, implore por ajuda.
being	o ser	Todo ser precisa de água.
bent	torto	A haste de metal estava torta.
bet	apostar	Eu aposto que ele sabe.
beyond	além de	A vila fica além do rio.
bitter	amargo	O remédio tinha um gosto amargo.
blame	culpar	Não culpe o motorista.
blind	cego	Ele ficou cego jovem.
bond	o vínculo	A confiança cria um vínculo forte.
breast	o seio	Ela sentiu dor no seio.
brief	breve	Mantenha sua resposta breve.
broad	largo	O rio é largo aqui.
broadcast	transmitir	O discurso foi transmitido ao vivo.
budget	o orçamento	O orçamento está muito apertado.
bullet	a bala	A bala atingiu a parede.
bunch	o molho	Ela carregava um molho de chaves.
bush	o arbusto	Um pássaro se escondeu no arbusto.
cable	o cabo	O cabo está quebrado.
calculate	calcular	Calcule o custo total.
cancel	cancelar	Eles cancelaram a reunião.
cancer	o câncer	O tratamento do câncer pode ser difícil.
capable	capaz	Ela é capaz de mais.
capacity	a capacidade	O salão atingiu a capacidade.
capture	capturar	A foto captura o clima.
cast	o elenco	O elenco está pronto.
cell	a célula	Cada célula contém dados.
chairman	o presidente	O presidente abriu a reunião.
characteristic	a característica	A paciência é a sua principal característica.
chief	principal	O engenheiro principal chegou atrasado.
circumstance	a circunstância	Considere cada circunstância com cuidado.
cite	citar	Por favor, cite sua fonte.
citizen	o cidadão	Todo cidadão pode votar.
civil	civil	O protesto permaneceu civil.
classic	clássico	Este filme é um clássico.
closely	de perto	Observe o processo de perto.
collapse	desabar	A ponte velha pode desabar.
combination	a combinação	A combinação funcionou bem.
comfort	o conforto	Suas palavras deram conforto.
command	o comando	O oficial deu um comando.
commission	a comissão	A comissão analisou o caso.
commitment	o comprometimento	O trabalho precisa de comprometimento.
committee	o comitê	O comitê se reúne semanalmente.
commonly	comumente	Esta planta é comumente cultivada.
complicated	complicado	As instruções são complicadas.
component	o componente	Um componente falhou.
concentration	a concentração	O barulho quebra minha concentração.
concept	o conceito	O conceito é simples.
concern	a preocupação	A segurança é a nossa principal preocupação.
concerned	preocupado	Os pais estavam profundamente preocupados.
conduct	conduzir	Eles conduzem pesquisas localmente.
confidence	a confiança	A prática gera confiança.
conflict	o conflito	O conflito durou anos.
confusing	confuso	O mapa era confuso.
conscious	consciente	Ela permaneceu consciente.
conservative	conservador	Suas opiniões são conservadoras.
consideration	a consideração	O custo é uma consideração importante.
consistent	consistente	Os resultados dela são consistentes.
constant	constante	O barulho constante nos exauriu.
constantly	constantemente	Ele verifica o telefone constantemente.
construct	construir	Os trabalhadores construíram uma ponte nova.
construction	a construção	A construção começa no mês que vem.
