source_headword	VI	example_VI
incur	phát sinh	Việc chậm trễ có thể phát sinh thêm chi phí.
indicator	chỉ báo	Thất nghiệp là một chỉ báo kinh tế.
indictment	bản cáo trạng	Bản cáo trạng liệt kê ba tội danh.
indigenous	bản địa	Các loài thực vật bản địa phát triển tốt ở đây.
induce	gây ra	Thuốc có thể gây buồn ngủ.
indulge	nuông chiều	Cô ấy không nuông chiều những thói quen đắt tiền.
inequality	sự bất bình đẳng	Bất bình đẳng thu nhập vẫn là một vấn đề lớn.
infamous	khét tiếng	Nhà tù đó trở nên khét tiếng trên toàn thế giới.
infant	trẻ sơ sinh	Đứa trẻ sơ sinh ngủ trong cũi.
infect	lây nhiễm	Virus có thể lây nhiễm sang các tế bào khỏe mạnh.
inflict	gây ra	Đừng gây đau đớn cho động vật.
influential	có ảnh hưởng	Bà ấy là một học giả pháp lý có ảnh hưởng.
inherent	vốn có	Thiết kế này có những rủi ro vốn có.
inhibit	ngăn chặn	Sợ hãi có thể ngăn chặn các cuộc thảo luận trung thực.
initiate	khởi xướng	Người quản lý sẽ khởi xướng việc đánh giá.
inject	tiêm	Y tá sẽ tiêm vắc-xin.
injection	mũi tiêm	Mũi tiêm đã làm giảm cơn đau.
injustice	sự bất công	Phán quyết đã vạch trần một sự bất công rõ ràng.
inmate	tù nhân	Tù nhân đã yêu cầu tư vấn pháp lý.
insertion	sự chèn vào	Biểu mẫu cần một sự chèn văn bản.
insider	người trong cuộc	Một người trong cuộc đã rò rỉ bản báo cáo.
inspect	kiểm tra	Các quan chức kiểm tra cây cầu hàng năm.
inspection	sự kiểm tra	Cuộc kiểm tra đã phát hiện ra những hư hỏng nghiêm trọng.
inspiration	nguồn cảm hứng	Bài phát biểu của cô ấy đã mang lại cho tôi nguồn cảm hứng.
instinct	bản năng	Bản năng đầu tiên của anh ấy là giúp đỡ.
institutional	thuộc thể chế	Các quy tắc của thể chế đã định hình quyết định này.
instruct	hướng dẫn	Sổ tay sẽ hướng dẫn cho các nhân viên mới.
instrumental	có vai trò quan trọng	Lời khuyên của cô ấy có vai trò quan trọng trong các cuộc đàm phán.
insufficient	không đủ	Bằng chứng không đủ để buộc tội.
insult	lời xúc phạm	Lời xúc phạm của anh ấy đã chấm dứt cuộc trò chuyện.
intact	nguyên vẹn	Bức tường cổ vẫn còn nguyên vẹn.
intake	lượng tiêu thụ	Lượng đường tiêu thụ nên giữ ở mức vừa phải.
integral	không thể thiếu	Lòng tin là phần không thể thiếu đối với đội ngũ.
integrated	tích hợp	Trường học cung cấp sự hỗ trợ tích hợp.
integration	sự tích hợp	Sự tích hợp đã cải thiện toàn bộ hệ thống.
integrity	sự chính trực	Thẩm phán đã thể hiện sự chính trực tuyệt vời.
intensify	dữ dội hơn	Cơn bão có thể trở nên dữ dội hơn qua đêm.
intensity	cường độ	Cường độ tập luyện đã tăng lên.
intensive	chuyên sâu	Họ đã hoàn thành khóa đào tạo ngôn ngữ chuyên sâu.
intent	ý định	Ý định của anh ta rất khó để chứng minh.
interactive	tương tác	Bảo tàng có các khu trưng bày tương tác.
interface	giao diện	Giao diện này rất dễ điều hướng.
interfere	can thiệp	Đừng can thiệp vào cuộc điều tra.
interference	sự nhiễu	Sự nhiễu tín hiệu đã làm gián đoạn cuộc gọi.
interim	tạm thời	Báo cáo tạm thời sẽ có vào ngày mai.
interior	bên trong	Các bức tường bên trong cần được sơn lại.
intermediate	trung cấp	Cô ấy đã tham gia lớp học trung cấp.
intervene	can thiệp	Cảnh sát đã phải can thiệp nhanh chóng.
intervention	sự can thiệp	Sự can thiệp sớm đã giúp ích cho bệnh nhân.
intimate	thân mật	Họ đã tổ chức một buổi lễ gia đình thân mật.
intriguing	hấp dẫn	Dữ liệu đã tiết lộ một mô hình hấp dẫn.
investigator	điều tra viên	Điều tra viên đã phỏng vấn từng nhân chứng.
invisible	vô hình	Khí này vô hình và nguy hiểm.
invoke	viện dẫn	Luật sư cố gắng viện dẫn án lệ.
involvement	sự tham gia	Sự dính líu của anh ta vẫn chưa rõ ràng.
ironic	mỉa mai	Lời bình luận mỉa mai đã khiến mọi người bật cười.
