source_headword	KA	example_KA
abandon	მიტოვება	მათ გუშინ მიატოვეს გეგმა.
absolute	აბსოლუტური	ჩვენ აქ აბსოლუტური პატიოსნება გვჭირდება.
acceptable	მისაღები	მისი პასუხი მისაღები იყო.
accompany	თანხლება	ძმამ ის სახლამდე მიაცილა.
accurate	ზუსტი	ანგარიში ზუსტი ჩანს.
accuse	დადანაშაულება	მათ ის ტყუილში დაადანაშაულეს.
acknowledge	აღიარება	გთხოვთ, აღიაროთ შეცდომა.
acquire	შეძენა	მან სწრაფად შეიძინა ახალი უნარები.
actual	რეალური	რეალური ღირებულება დაბალი იყო.
adapt	შეგუება	ჩვენ შევეგუეთ ცვლილებას.
additional	დამატებითი	დამატებითი დახმარება დღეს მოვიდა.
administration	ადმინისტრაცია	ადმინისტრაციამ შეცვალა პოლიტიკა.
adopt	მიღება	მათ ახალი მეთოდი მიიღეს.
advance	წინსვლა	ჩვენ მცირე წინსვლა განვიცადეთ.
affair	საქმე	ამ საქმემ საზოგადოების ნდობა დააზიანა.
afterwards	შემდეგ	შემდეგ ყველამ სიმშვიდე იგრძნო.
agency	სააგენტო	სააგენტომ სამი მთარგმნელი დაიქირავა.
agenda	დღის წესრიგი	უსაფრთხოება დღის წესრიგშია.
aggressive	აგრესიული	მისი ტონი აგრესიულად ჟღერდა.
aid	დახმარება	სამედიცინო დახმარება სწრაფად მოვიდა.
aircraft	თვითმფრინავი	თვითმფრინავი უსაფრთხოდ დაეშვა.
alter	შეცვლა	არ შეცვალოთ შეთანხმება.
anger	ბრაზი	მისმა ბრაზმა ყველა გააოცა.
angle	რაკურსი	სცადეთ სხვა კამერის რაკურსი.
anniversary	წლისთავი	მათი წლისთავი ხვალ არის.
annual	ყოველწლიური	ყოველწლიური შეხვედრა ორშაბათს იწყება.
anxious	შეშფოთებული	ის ოპერაციამდე შეშფოთებული იყო.
apparent	აშკარა	მისი იმედგაცრუება აშკარა იყო.
apparently	როგორც ჩანს	როგორც ჩანს, მატარებელი აგვიანებს.
appeal	აპელაცია	გადაწყვეტილება შეიძლება გასაჩივრდეს.
approach	მიდგომა	მისმა მიდგომამ პრობლემა მოაგვარა.
appropriate	შესაბამისი	აირჩიეთ შესაბამისი პასუხი.
approval	დამტკიცება	პროექტს დამტკიცება სჭირდება.
approve	დამტკიცება	საბჭომ ბიუჯეტი დაამტკიცა.
arise	წარმოშობა	პრობლემები შეიძლება მოგვიანებით წარმოიშვას.
armed	შეიარაღებული	შეიარაღებული მცველები გარეთ იდგნენ.
arms	იარაღი	მათ იარაღი დაყარეს.
artificial	ხელოვნური	ყვავილები ხელოვნურად გამოიყურებოდა.
artistic	არტისტული	მას არტისტული ნიჭი აქვს.
ashamed	შერცხვენილი	მას შემდეგ შერცხვა.
aspect	ასპექტი	განიხილეთ ყველა ასპექტი ყურადღებით.
assess	შეფასება	ჩვენ უნდა შევაფასოთ ზიანი.
assessment	შეფასება	შეფასებამ ორი საათი გასტანა.
associate	დაკავშირება	ხალხი კვამლს საფრთხეს უკავშირებს.
associated	დაკავშირებული	სტრესი ავადმყოფობასთან არის დაკავშირებული.
association	ასოციაცია	ასოციაცია მხარს უჭერს ახალგაზრდა არტისტებს.
assume	ვარაუდი	ვვარაუდობ, რომ მეთანხმებით.
