source_headword	BN	example_BN
heal	নিরাময়	বিশ্রাম শরীরকে নিরাময় করতে সাহায্য করে।
healthcare	স্বাস্থ্যসেবা	এই বছর স্বাস্থ্যসেবার খরচ বেড়েছে।
helmet	হেলমেট	বাইক চালানোর সময় হেলমেট পরুন।
hence	অতএব	অতএব, আমরা সময়সূচী পরিবর্তন করেছি।
herb	ভেষজ	বেসিল একটি দরকারী ভেষজ।
hidden	লুকানো	চাবিটি পাপোশের নিচে লুকানো ছিল।
highway	মহাসড়ক	তুষারপাতের পর মহাসড়ক বন্ধ ছিল।
hilarious	খুব হাস্যকর	সিনেমাটি খুব হাস্যকর ছিল।
hip	নিতম্ব	সে অনুশীলনের সময় তার নিতম্বে আঘাত পেয়েছে।
historian	ইতিহাসবিদ	ইতিহাসবিদ পুরনো চিঠিগুলি নিয়ে পড়াশোনা করেছেন।
homeless	গৃহহীন	আশ্রয়কেন্দ্রটি গৃহহীন পরিবারগুলোকে সাহায্য করে।
honesty	সততা	সততা বিশ্বাস তৈরি করে।
hook	হুক	হুকে কোটটি ঝুলিয়ে রাখুন।
hopefully	আশা করি	আশা করি, ট্রেনটি শীঘ্রই আসবে।
hunger	ক্ষুধা	ক্ষুধা মনোযোগকে প্রভাবিত করতে পারে।
hypothesis	অনুমান	পরীক্ষাটি অনুমানটি যাচাই করেছে।
icon	আইকন	অ্যাপের আইকন আজ পরিবর্তন হয়েছে।
ID	আইডি	রিসেপশনে আপনার আইডি দেখান।
identical	অভিন্ন	যমজরা অভিন্ন জ্যাকেট পরেছিল।
illusion	বিভ্রম	আয়নাটি একটি বিভ্রম তৈরি করে।
immigration	অভিবাসন	গত বছর অভিবাসন নীতি পরিবর্তন হয়েছে।
immune	অনাক্রম্য	টিকাকরণ মানুষকে অনাক্রম্য করতে পারে।
implement	বাস্তবায়ন করা	স্কুলটি নীতিটি বাস্তবায়ন করবে।
implication	অন্তর্নিহিত অর্থ	অন্তর্নিহিত অর্থ স্পষ্ট ছিল।
incentive	প্রণোদনা	বোনাসটি কর্মীদের একটি প্রণোদনা দিয়েছে।
incorporate	অন্তর্ভুক্ত করা	খাবারে আরও শাকসবজি অন্তর্ভুক্ত করুন।
incorrect	ভুল	উত্তরটি ভুল ছিল।
independence	স্বাধীনতা	দেশটি স্বাধীনতা উদযাপন করেছে।
index	সূচি	বিষয়টির জন্য সূচিটি পরীক্ষা করুন।
indication	ইঙ্গিত	হাসিটি স্বস্তির একটি ইঙ্গিত ছিল।
inevitable	অনিবার্য	কিছু বিলম্ব অনিবার্য ছিল।
inevitably	অনিবার্যভাবে	অনিবার্যভাবে, ঘাটতির পর দাম বেড়েছে।
infer	অনুমান করা	আমরা প্রসঙ্গ থেকে উত্তরটি অনুমান করতে পারি।
inflation	মুদ্রাস্ফীতি	মুদ্রাস্ফীতি খাদ্যের দাম বাড়িয়েছে।
info	তথ্য	ওয়েবসাইটটি দরকারী তথ্যের তালিকা দেয়।
infrastructure	পরিকাঠামো	ঝড়টি স্থানীয় পরিকাঠামোর ক্ষতি করেছে।
inhabitant	অধিবাসী	প্রতিটি অধিবাসী পরিষ্কার জল পেয়েছে।
inherit	উত্তরাধিকার সূত্রে পাওয়া	সে উত্তরাধিকার সূত্রে পারিবারিক বাড়িটি পাবে।
ink	কালি	প্রিন্টারের কালো কালি প্রয়োজন।
innovation	উদ্ভাবন	উদ্ভাবন শিল্পকে এগিয়ে নিয়ে যায়।
innovative	উদ্ভাবনী	কোম্পানিটি একটি উদ্ভাবনী পণ্য বাজারে এনেছে।
input	মতামত	ম্যানেজার মতামত চেয়েছেন।
insert	প্রবেশ করানো	মেশিনে কার্ডটি প্রবেশ করান।
inspector	পরিদর্শক	পরিদর্শক ভবনটি পরীক্ষা করেছেন।
installation	ইনস্টলেশন	ইনস্টলেশনটি দুই ঘন্টা সময় নিয়েছে।
instant	তাৎক্ষণিক	অ্যাপটি একটি তাৎক্ষণিক উত্তর পাঠিয়েছে।
instantly	সাথে সাথে	স্ক্রিনটি সাথে সাথে চালু হয়ে গেল।
integrate	একীভূত করা	সফটওয়্যারটি নতুন টুল একীভূত করতে পারে।
intellectual	বুদ্ধিবৃত্তিক	বিতর্কটি বুদ্ধিবৃত্তিক তবে বন্ধুত্বপূর্ণ ছিল।
interact	যোগাযোগ করা	শিক্ষার্থীরা গ্রুপ কাজের সময় যোগাযোগ করে।
interaction	মিথস্ক্রিয়া	মিথস্ক্রিয়াটি ভদ্র ছিল।
interpretation	ব্যাখ্যা	কবিতাটির তার ব্যাখ্যা মৌলিক ছিল।
interval	বিরতি	অভিনয়গুলোর মধ্যে একটি ছোট বিরতি ছিল।
invade	আক্রমণ করা	সেনাবাহিনী দ্বীপটি আক্রমণ করার চেষ্টা করেছিল।
invasion	আক্রমণ	আক্রমণটি অনেক শহরের ক্ষতি করেছে।
investor	বিনিয়োগকারী	বিনিয়োগকারী একটি নতুন স্টার্টআপে অর্থায়ন করেছেন।
isolate	বিচ্ছিন্ন করা	ডাক্তাররা গুরুতর সংক্রমণযুক্ত রোগীদের বিচ্ছিন্ন করেন।
isolated	বিচ্ছিন্ন	গ্রামটি তুষারের কারণে বিচ্ছিন্ন ছিল।
jail	জেল	চোরটি জেলে গেছে।
jet	জেট	জেটটি দুপুরে অবতরণ করেছে।
joint	যৌথ	তারা একটি যৌথ প্রকল্প ঘোষণা করেছে।
journalism	সাংবাদিকতা	সাংবাদিকতায় সঠিক তথ্যের প্রয়োজন।
jury	জুরি	জুরি একটি সিদ্ধান্তে পৌঁছেছে।
kit	কিট	মেরামতের কিটে স্ক্রু রয়েছে।
ladder	মই	মইটি দেয়ালে হেলান দিয়ে রাখা ছিল।
landing	অবতরণ	বিমানটি মসৃণভাবে অবতরণ করেছে।
lane	লেন	ডান লেনে থাকুন।
lately	সম্প্রতি	আমি সম্প্রতি খুব খারাপ ঘুমিয়েছি।
leaflet	লিফলেট	লিফলেটটি পরিষেবাটির ব্যাখ্যা দেয়।
legend	কিংবদন্তি	কিংবদন্তিটি একটি লুকানো শহরের কথা বলে।
lens	লেন্স	ক্যামেরার লেন্সটি সাবধানে পরিষ্কার করুন।
lifetime	জীবনকাল	তিনি সারাজীবন ধরে টাকা সঞ্চয় করেছেন।
lighting	আলো	ভালো আলো ঘরের উন্নতি করে।
likewise	একইভাবে	সে হাসল; সেও একইভাবে হাসল।
limitation	সীমাবদ্ধতা	পরিকল্পনাটিতে একটি সীমাবদ্ধতা রয়েছে।
literally	আক্ষরিক অর্থে	সে আক্ষরিক অর্থেই বাসের দিকে দৌড়েছিল।
literary	সাহিত্যিক	উৎসবটি সাহিত্যকর্মকে সম্মান জানায়।
litre	লিটার	এক লিটার দুধ কিনুন।
litter	আবর্জনা	আবর্জনা ফেলবেন না।
logo	লোগো	লোগোটি প্রতিটি পৃষ্ঠায় প্রদর্শিত হয়।
lottery	লটারি	সে একটি ছোট লটারি পুরস্কার জিতেছিল।
loyal	অনুগত	কুকুরটি তার মালিকের প্রতি অনুগত ছিল।
lyric	গীতি	গীতিটি মূল ধারণাটির পুনরাবৃত্তি করেছিল।
magnificent	দুর্দান্ত	রাজপ্রাসাদটি দুর্দান্ত দেখাচ্ছিল।
make-up	মেকআপ	সে সাধারণ মেকআপ করেছিল।
making	তৈরি	ছবিটি তৈরি করা কঠিন ছিল।
manufacture	উৎপাদন করা	কারখানাটি ফোন উৎপাদন করবে।
manufacturing	উৎপাদন	স্থানীয়ভাবে উৎপাদন ক্ষেত্রে চাকরি বেড়েছে।
marathon	ম্যারাথন	সে ম্যারাথন শেষ করেছে।
margin	মার্জিন	মার্জিনে নোট লিখুন।
marker	মার্কার	লেবেলের জন্য একটি মার্কার ব্যবহার করুন।
martial	সামরিক	সে মার্শাল আর্ট শেখে।
mate	বন্ধু	আমার পুরোনো স্কুলের বন্ধু গতকাল কল করেছিল।
mayor	মেয়র	মেয়র লাইব্রেরিটি উদ্বোধন করেছেন।
