source_headword	LV	example_LV
institute	institūts	Institūts atklāja jaunu pētniecības programmu.
institution	iestāde	Iestāde mainīja savus uzņemšanas noteikumus.
insurance	apdrošināšana	Viņas apdrošināšana sedza slimnīcas izdevumus.
intended	paredzēts	Vēstījums sasniedza paredzēto mērķauditoriju.
intense	intensīvs	Debates ļoti ātri kļuva intensīvas.
internal	iekšējs	Uzņēmums sāka iekšējo pārbaudi.
interpret	interpretēt	Lūdzu, uzmanīgi interpretējiet rezultātus.
interrupt	pārtraukt	Nepārtrauciet runātāju tagad.
investigation	izmeklēšana	Izmeklēšana atklāja nopietnas kļūdas.
investment	ieguldījums	Ieguldījums radīja daudz vietējo darbavietu.
joy	prieks	Viņu panākumi sagādāja lielu prieku.
judgement	spriestspēja	Viņa spriestspēja uzlabojās ar pieredzi.
junior	jaunākais	Viņa pievienojās komandai kā jaunākā analītiķe.
justice	taisnīgums	Ģimene pēc tiesas pieprasīja taisnīgumu.
justify	pamatot	Jums šis lēmums ir skaidri jāpamato.
labour	darbaspēks	Projektam nepieciešams kvalificēts darbaspēks.
landscape	ainava	Ainava pēc vētras mainījās.
largely	lielākoties	Plāns lielākoties bija veiksmīgs.
launch	laist klajā	Viņi laidīs klajā produktu rīt.
leadership	vadība	Spēcīga vadība palīdzēja komandai atgūties.
league	līga	Mūsu klubs pievienojās reģionālajai līgai.
lean	atspiesties	Neatspiedieties pret slapjo sienu.
licence	licence	Licence beidzas nākamajā mēnesī.
limited	ierobežots	Šodien mums ir ierobežots laiks.
lively	dzīvīgs	Sanāksme pēc pusdienām kļuva dzīvīga.
load	krava	Kravas automašīna veda smagu kravu.
loan	aizdevums	Banka apstiprināja aizdevumu.
logical	loģisks	Viņas arguments bija skaidrs un loģisks.
long-term	ilgtermiņa	Šis ir ilgtermiņa risinājums.
loose	vaļīgs	Rokturis ir vaļīgs.
lord	kungs	Kungam piederēja vairāki ciemi.
lower	pazemināt	Ziemā viņi pazemina cenas.
lung	plauša	Smēķēšana var sabojāt plaušu.
maintain	uzturēt	Mēs uzturam regulārus kontaktus.
majority	vairākums	Vairākums atbalstīja priekšlikumu.
mass	masa	Mākoņu masa nosedza debesis.
massive	milzīgs	Zemestrīce radīja milzīgus postījumus.
master	meistars	Viņa kļuva par sarunu meistari.
matching	saskaņots	Viņš valkāja saskaņotus apavus un jostu.
maximum	maksimāls	Telpa sasniedza maksimālo ietilpību.
means	līdzeklis	E-pasts ir mūsu galvenais saziņas līdzeklis.
measurement	mērījums	Mērījums bija nedaudz nepareizs.
melt	izkust	Sniegs izkusīs līdz pusdienlaikam.
military	militārs	Militārā bāze tika slēgta pagājušajā gadā.
mineral	minerāls	Dzelzs ir svarīgs minerāls.
minimum	minimāls	Minimālais vecums ir astoņpadsmit gadi.
minister	ministrs	Ministrs atbildēja uz smagiem jautājumiem.
minor	neliels	Negadījums izraisīja nelielus bojājumus.
minority	mazākums	Mazākums iebilda pret jauno noteikumu.
mission	misija	Viņu misija droši beidzās.
mixed	jaukts	Ziņas saņēma jauktas atsauksmes.
modify	mainīt	Mēs varam mainīt dizainu vēlāk.
monitor	uzraudzīt	Māsa uzraudzīs viņa stāvokli.
moral	morāls	Stāstam ir morāla mācība.
motor	motors	Motors apstājās bez brīdinājuma.
mount	uzstādīt	Viņi uzstāda kameras pie ieejas.
multiple	vairāki	Vairāki faktori izraisīja aizkavēšanos.
multiply	reizināt	Reiziniet skaitli ar desmit.
mysterious	noslēpumains	Ārā parādījās noslēpumaina gaisma.
neat	kārtīgs	Viņas galds vienmēr ir kārtīgs.
nerve	nervs	Trauma sabojāja nervu.
nevertheless	tomēr	Uzdevums bija grūts, tomēr mēs to pabeidzām.
nightmare	murgs	Ceļojums kļuva par murgu.
notion	uzskats	Noraidiet uzskatu, ka izmaiņas nav iespējamas.
numerous	daudzi	Daudzi pētījumi atbalsta šo ideju.
obey	ievērot	Vadītājiem jāievēro zīmes.
objective	mērķis	Mūsu mērķis ir samazināt atkritumus.
obligation	pienākums	Vecākiem ir pienākums aizsargāt bērnus.
observation	novērojums	Viņa novērojums mainīja diskusiju.
observe	novērot	Zinātnieki katru pavasari novēro putnus.
obtain	iegūt	Jums jāiegūst rakstiska atļauja.
occasionally	reizēm	Viņa reizēm strādā no mājām.
offence	aizvainojums	Komentārs izraisīja nopietnu aizvainojumu.
offend	aizvainot	Es negribēju nevienu aizvainot.
offensive	aizvainojošs	Plakātā bija aizvainojoša valoda.
opening	vakance	Vakance piesaistīja daudz kandidātu.
operate	darboties	Mašīna var darboties automātiski.
