source_headword	NO	example_NO
absolutely	absolutt	Jeg er helt enig med deg.
academic	akademisk	Det akademiske året starter i september.
access	tilgang	Studenter trenger tilgang til biblioteket.
accommodation	overnatting	Vi bestilte overnatting nær stasjonen.
account	en konto	Hun åpnet en ny bankkonto.
achievement	en prestasjon	Å fullføre kurset var en stor prestasjon.
ad	en annonse	Annonsen viste en ny telefon.
addition	et tillegg	Bassenget er et nyttig tillegg.
admire	beundre	Jeg beundrer hennes rolige holdning.
admit	innrømme	Han innrømmet feilen sin.
advanced	avansert	Dette er en avansert engelsktime.
advise	anbefale	Leger anbefaler regelmessig mosjon.
afford	ha råd til	Vi har ikke råd til taxi.
aged	i alderen	Kurset er for barn på ti år.
agent	en agent	Reiseagenten endret billettene våre.
agreement	en avtale	De kom fram til en avtale i dag.
ahead	foran	Veien foran er klar.
aim	sikte mot	Vi sikter mot å bli ferdige snart.
alarm	en alarm	Alarmen ringte klokken seks.
album	et album	Dette albumet har ti sanger.
alcohol	alkohol	Hotellet serverer ikke alkohol.
alcoholic	alkoholholdig	Denne drikken er ikke alkoholholdig.
amazed	forbløffet	Hun var forbløffet over resultatet.
ambition	en ambisjon	Ambisjonen hans er å bli pilot.
ambitious	ambisiøs	Hun har en ambisiøs plan.
analyse	analysere	Vi må analysere resultatene.
analysis	en analyse	Analysen hennes var klar og grundig.
announce	kunngjøre	De skal kunngjøre vinneren i morgen.
announcement	en kunngjøring	Kunngjøringen overrasket alle.
annoy	irritere	Høy musikk kan irritere naboer.
annoyed	irritert	Han så irritert ut etter forsinkelsen.
annoying	irriterende	Den lyden er virkelig irriterende.
apart	fra hverandre	Husene ligger to meter fra hverandre.
apologize	be om unnskyldning	Jeg ber om unnskyldning for at jeg er sen.
application	en søknad	Vennligst fyll ut søknaden på nettet.
appointment	en avtale	Jeg har en tannlegetime i morgen.
appreciate	sette pris på	Jeg setter pris på hjelpen din.
approximately	omtrent	Turen tar omtrent tjue minutter.
arrest	arrestere	Politiet arresterte sjåføren.
arrival	en ankomst	Ankomsten vår var senere enn forventet.
assignment	en oppgave	Oppgaven skal leveres fredag.
assist	hjelpe	Sykepleiere hjelper legen.
atmosphere	en atmosfære	Kafeen har en avslappet atmosfære.
attach	legge ved	Legg ved filen i e-posten din.
attitude	en holdning	Holdningen hennes endret seg etter møtet.
attract	tiltrekke	Lyse blomster tiltrekker bier.
attraction	en attraksjon	Slottet er en populær attraksjon.
authority	en myndighet	Den lokale myndigheten reparerte veien.
aware	klar over	Hun er klar over risikoen.
backwards	baklengs	Han gikk forsiktig baklengs.
bake	bake	Jeg baker brød hver søndag.
balance	en balanse	Gode sko hjelper balansen din.
ban	forby	Byen vil forby biler.
bank (river)	en elvebredd	Vi satt på elvebredden.
base	en base	Laget returnerte til basen.
basic	grunnleggende	Alle trenger grunnleggende dataferdigheter.
basis	et grunnlag	Tillit er grunnlaget for vennskap.
battery	et batteri	Telefonbatteriet mitt er lavt.
battle	et slag	Slaget varte hele natten.
beauty	skjønnhet	Vi beundret fjellenes skjønnhet.
bee	en bie	En bie landet på blomsten.
belief	en tro	Troen hans ga ham mot.
bell	en klokke	Skoleklokken ringte høyt.
bend	bøye	Bøy knærne når du løfter.
bite	bite	Hunden kan bite fremmede.
block	blokkere	Et felt tre blokkerte veien.
bomb	en bombe	Bomben skadet flere bygninger.
border	en grense	De krysset grensen om natten.
bother	plage	Ikke plag søsteren din.
branch	en grein	En grein brakk i stormen.
brand	et merke	Dette merket er populært blant studenter.
brave	modig	Den modige mannen reddet barnet.
breath	et åndedrag	Ta et dypt åndedrag.
breathe	puste	Jeg kan ikke puste i denne røyken.
breathing	pust	Pusten hennes var rolig.
bride	en brud	Bruden hadde på seg en hvit kjole.
bubble	en boble	En boble fløt over glasset.
bury	begrave	De begravde boksen i sanden.
calm	rolig	Hold deg rolig under eksamen.
campaign	en kampanje	Kampanjen samlet inn penger til skoler.
campus	et campus	Studenter bor nær campus.
candidate	en kandidat	Hver kandidat svarte på tre spørsmål.
cap	en caps	Han hadde på seg en baseballcaps.
captain	en kaptein	Kapteinen snakket til laget.
careless	uforsiktig	En uforsiktig feil kostet oss tid.
category	en kategori	Velg riktig kategori.
ceiling	et tak	Taket var malt hvitt.
celebration	en feiring	Feiringen varte hele kvelden.
central	sentral	Hotellet har en sentral beliggenhet.
ceremony	en seremoni	Seremonien begynte ved middagstid.
chain	et kjede	Hun hadde på seg et sølvkjede.
challenge	en utfordring	Dette prosjektet er en virkelig utfordring.
champion	en mester	Mesteren takket treneren sin.
channel	en kanal	Bytt kanal, vær så snill.
chapter	et kapittel	Les neste kapittel i kveld.
charge	en avgift	Det er ingen avgift for barn.
cheat	jukse	Ikke juks på prøven.
cheerful	munter	Hun hørtes munter ut i morges.
chemical	kjemisk	Den kjemiske lukten var sterk.
chest	et bryst	Brystet hans gjorde vondt etter løping.
childhood	en barndom	Jeg husker barndomshjemmet mitt.
claim	hevde	De hevder at produktet er trygt.
clause	en klausul	Denne klausulen endrer betydningen.
click	klikke	Klikk på den blå knappen.
client	en klient	Klienten ba om flere detaljer.
cloth	en klut	Tørk av bordet med denne kluten.
clue	et spor	Sporet hjalp oss å løse det.
coal	kull	Det gamle toget brukte kull.
coin	en mynt	Han fant en mynt på gulvet.
collection	en samling	Frimerkesamlingen hennes er stor.
coloured	farget	Hun hadde på seg et farget skjerf.
combine	kombinere	Kombiner melet og vannet.
commercial	reklame	Reklamepausen varte i fem minutter.
commit	forplikte seg	Vi må forplikte oss til planen.
communication	kommunikasjon	God kommunikasjon hindrer feil.
comparison	en sammenligning	Denne sammenligningen er nyttig.
competitive	konkurransepreget	Markedet er svært konkurransepreget.
