simplified	KA	example_KA
爱	სიყვარული; მოწონება	მე დედა მიყვარს.
八	რვა	მე რვა წიგნი მაქვს.
爸爸	მამა; მამიკო	მამა სახლშია.
杯子	ჭიქა; ფინჯანი	ეს ჭიქა დიდია.
北京	პეკინი	მე პეკინში ვმუშაობ.
本	წიგნების სათვლელი სიტყვა; ტომი	მე ერთი წიგნი მაქვს.
不	არ; არა	მე ბრინჯს არ ვჭამ.
不客气	არაფრის	მადლობა. არაფრის.
菜	კერძი; ბოსტნეული	ეს კერძი გემრიელია.
茶	ჩაი	მე ჩაის ვსვამ.
吃	ჭამა	მე ვაშლს ვჭამ.
出租车	ტაქსი	მე სკოლაში ტაქსით მივდივარ.
打电话	დარეკვა; ტელეფონით დარეკვა	მე ვრეკავ.
大	დიდი	ეს სკოლა დიდია.
的	კუთვნილების ნაწილაკი	ეს ჩემი წიგნია.
点	საათი; წერტილი; ცოტა	ახლა რვა საათია.
电脑	კომპიუტერი	ჩემი კომპიუტერი მაგიდაზეა.
电视	ტელევიზორი	მე ტელევიზორს ვუყურებ.
电影	კინო; ფილმი	კინო მომწონს.
东西	ნივთი; რამ	ეს რა ნივთია?
都	ყველა; ყველაფერი	ჩვენ ყველანი მოსწავლეები ვართ.
读	კითხვა	მე წიგნს ვკითხულობ.
对不起	უკაცრავად; ბოდიში	უკაცრავად, თქვენ არ გიცნობთ.
多	ბევრი; მეტი	მე ბევრი მეგობარი მყავს.
多少	რამდენი; რამდენი ღირს	ეს ჭიქა რა ღირს?
儿子	ვაჟიშვილი; ვაჟი	ჩემი ვაჟიშვილი მოსწავლეა.
二	ორი	თებერვალში ცივა.
饭馆	რესტორანი; სასადილო	რესტორანი სკოლის წინ არის.
飞机	თვითმფრინავი	მე პეკინში თვითმფრინავით მივდივარ.
分钟	წუთი	მე ხუთი წუთი ვსწავლობ.
高兴	გახარებული; ბედნიერი	დღეს ძალიან გახარებული ვარ.
个	ზოგადი სათვლელი სიტყვა	მე ერთი მეგობარი მყავს.
工作	მუშაობა; სამუშაო	მე პეკინში ვმუშაობ.
狗	ძაღლი	ძაღლები მიყვარს.
汉语	ჩინური ენა	მე ჩინურ ენას ვსწავლობ.
好	კარგი	დღეს კარგი ამინდია.
喝	დალევა	მე წყალს ვსვამ.
和	და; ერთად	მე მეგობართან ერთად სკოლაში მივდივარ.
很	ძალიან	ის ძალიან ლამაზია.
后面	უკან; უკან მხარე	სკოლა რესტორნის უკანაა.
回	დაბრუნება	მე სახლში ვბრუნდები.
会	შეძლება; ცოდნა	ჩინურად საუბარი შემიძლია.
火车站	რკინიგზის სადგური	რკინიგზის სადგური დიდია.
几	რამდენი; რამდენიმე	რამდენი მეგობარი გყავს?
家	სახლი; ოჯახი	ჩემი სახლი პეკინშია.
叫	რქმევა; დაძახება	რა გქვია?
今天	დღეს	დღეს ცხელა.
九	ცხრა	ახლა ცხრა საათია.
开	გახსნა; ჩართვა	მე კომპიუტერს ვრთავ.
看	ყურება; ნახვა; კითხვა	მე წიგნს ვკითხულობ.
看见	დანახვა	მე მასწავლებელს ვხედავ.
块	ნაჭერი; იუანი	ეს წიგნი ათი იუანი ღირს.
来	მოსვლა	ის სკოლაში მოდის.
老师	მასწავლებელი	მასწავლებელი სკოლაშია.
了	დასრულებულობის ნაწილაკი	მე ბრინჯი შევჭამე.
冷	ცივი; სიცივე	დღეს ცივა.
里	შიგნით; -ში	ჭიქაში წყალია.
零	ნული	ნული ერთი არ არის.
六	ექვსი	ახლა ექვსი საათია.
妈妈	დედა; დედიკო	დედა ჩაის სვამს.
吗	დიახ-არა კითხვის ნაწილაკი	მოსწავლე ხარ?
买	ყიდვა	მე ვაშლს ვყიდულობ.
猫	კატა	კატა სკამზეა.
没	არ არის; არ გაუკეთებია	ფული არ მაქვს.
没关系	არა უშავს	არა უშავს.
米饭	მოხარშული ბრინჯი; ბრინჯი	მე ბრინჯს ვჭამ.
名字	სახელი	რა გქვია?
明天	ხვალ	ხვალ პეკინში მივდივარ.
哪	რომელი; სად; საით	სად მიდიხარ?
那	ის; ისინი; ის იქ	ის ჩემი მასწავლებელია.
呢	კითხვის ნაწილაკი; კი	შენ კი?
能	შეძლება; შეიძლება	შეიძლება წავიდე?
你	შენ; თქვენ	როგორ ხარ?
年	წელი	ერთ წელიწადში თორმეტი თვეა.
女儿	ქალიშვილი	მისი ქალიშვილი ძალიან ლამაზია.
朋友	მეგობარი	ის ჩემი მეგობარია.
漂亮	ლამაზი	ის ძალიან ლამაზია.
苹果	ვაშლი	ვაშლი მომწონს.
七	შვიდი	ახლა შვიდი საათია.
前面	წინ; წინ მხარე	რესტორანი მაღაზიის წინ არის.
钱	ფული	ფული არ მაქვს.
请	გთხოვთ; მოწვევა; თხოვნა	გთხოვთ, ჩაი დალიეთ.
去	წასვლა	მე სკოლაში მივდივარ.
热	ცხელი; სიცხე	დღეს ცხელა.
人	ადამიანი; ხალხი	სკოლაში ბევრი ადამიანია.
认识	ცნობა; გაცნობა	მას ვიცნობ.
日	დღე; თარიღი	დღეს პირველი მარტია.
三	სამი	მე სამი ჭიქა მაქვს.
商店	მაღაზია	მაღაზია სკოლის წინ არის.
上	ზედ; ზემოთ	წიგნი მაგიდაზეა.
上午	დილა; შუადღემდე	დილით ჩინურ ენას ვსწავლობ.
少	ცოტა; ნაკლები	მოსწავლეები ცოტანი არიან.
什么	რა	ეს რა არის?
十	ათი	მე ათი წიგნი მაქვს.
时候	დრო; მომენტი	როდის მოხვალ?
是	არის; ყოფნა	მე მოსწავლე ვარ.
书	წიგნი	მე წიგნს ვკითხულობ.
谁	ვინ	ის ვინ არის?
水	წყალი	მე წყალს ვსვამ.
水果	ხილი	მე ხილს ვყიდულობ.
睡觉	ძილი; დასაძინებლად წასვლა	დასაძინებლად მივდივარ.
说话	ლაპარაკი	მასწავლებელი ლაპარაკობს.
四	ოთხი	მე ოთხი მეგობარი მყავს.
岁	წლის; ასაკი	ათი წლის ვარ.
他	ის; ის კაცი	ის მასწავლებელია.
她	ის; ის ქალი	ის მოსწავლე გოგონაა.
太	მეტისმეტად; ძალიან	ეს ჭიქა მეტისმეტად დიდია.
天气	ამინდი	დღეს კარგი ამინდია.
听	მოსმენა; გაგონება	მასწავლებლის ლაპარაკს ვისმენ.
同学	თანაკლასელი; კურსელი	ის ჩემი თანაკლასელია.
喂	ალო	ალო?
我	მე; ჩემი	მე ექიმი ვარ.
我们	ჩვენ	ჩვენ სკოლაში მივდივართ.
五	ხუთი	მე ხუთი ვაშლი მაქვს.
喜欢	მოწონება; სიყვარული	ჩაის დალევა მომწონს.
下	ქვეშ; ქვემოთ; შემდეგი	წიგნი მაგიდის ქვეშ არის.
下午	ნაშუადღევი; შუადღის შემდეგ	ნაშუადღევს მაღაზიაში მივდივარ.
下雨	წვიმა; წვიმს	დღეს წვიმს.
先生	ბატონი; ქმარი	გამარჯობა, ბატონო.
现在	ახლა	ახლა სკოლაში ვარ.
想	სურვილი; ფიქრი	წყლის დალევა მინდა.
小	პატარა	ეს ჭიქა პატარაა.
小姐	ქალბატონი; ახალგაზრდა ქალი	გამარჯობა, ქალბატონო.
些	რამდენიმე; ცოტა	მე რამდენიმე წიგნი მაქვს.
写	წერა	მე იეროგლიფებს ვწერ.
谢谢	მადლობა	მადლობა.
星期	კვირა; კვირის დღე	დღეს ორშაბათია.
学生	მოსწავლე; სტუდენტი	მე მოსწავლე ვარ.
学习	სწავლა	მე ჩინურ ენას ვსწავლობ.
学校	სკოლა	სკოლა დიდია.
一	ერთი	მე ერთი ჭიქა მაქვს.
衣服	ტანსაცმელი	ტანსაცმელს ვყიდულობ.
医生	ექიმი	ის ექიმია.
医院	საავადმყოფო	საავადმყოფო სკოლის წინ არის.
椅子	სკამი	სკამი მაგიდის უკანაა.
有	ქონა; არსებობა	მეგობრები მყავს.
月	თვე; მთვარე	დღეს ოთხი მაისია.
再见	ნახვამდის; შეხვედრამდე	ნახვამდის, მასწავლებელო.
