source_headword	AZ	example_AZ
stranger	yad adam, qərib	Bir yad adam yol soruşdu.
strength	güc, qüvvə	Onun gücü komandaya kömək etdi.
string	ip, sap	Qutunu iplə bağlayın.
strongly	qətiyyətlə, güclü şəkildə	Mən bu fikirlə qətiyyətlə razı deyiləm.
studio	studiya	Rəssam kiçik bir studiyada işləyir.
stuff	əşya, şey	Əşyalarınızı rəfə qoyun.
substance	maddə	Polis qəribə bir maddə tapdı.
successfully	uğurla	Onlar layihəni uğurla bitirdilər.
sudden	qəfil, gözlənilməz	Qəfil bir səs bizi oyatdı.
suffer	əziyyət çəkmək	Bir çox bitkilər quru havada əziyyət çəkir.
suitable	uyğun, münasib	Bu gödəkçə məktəb üçün uyğundur.
summarize	xülasə etmək, ümumiləşdirmək	Məqaləni xülasə edə bilərsinizmi?
summary	xülasə, qısa məzmun	Bu axşam qısa bir xülasə yazın.
supply	təchizat, təminat	Şəhərin təmiz su təchizatına ehtiyacı var.
supporter	tərəfdar, dəstəkçi	Hər bir tərəfdar ucadan alqışladı.
surely	şübhəsiz ki, yəqin ki	Şübhəsiz ki, biz bunu həll edə bilərik.
surface	səth, üz	Səth soyuq və hamar idi.
survive	sağ qalmaq	Bu heyvanlar soyuq qışlarda sağ qalırlar.
switch	söndürmək (və ya yandırmaq), dəyişdirmək	Mətbəxin işığını söndürün.
symptom	simptom, əlamət	Öskürək bir simptom ola bilər.
tail	quyruq	İtin uzun quyruğu var.
talent	istedad	Onun musiqiyə istedadı var.
talented	istedadlı	O, istedadlı gənc aktyordur.
tape	yapışqanlı lent, skoç	Qutunu bağlamaq üçün lentdən istifadə edin.
tax	vergi	Hər kəs bu vergini ödəməlidir.
technical	texniki	Texniki problemimiz yarandı.
technique	texnika, üsul	Bu üsul vaxta qənaət edir.
tend	meylli olmaq	Uşaqlar tez öyrənməyə meylli olurlar.
tent	çadır	Biz kiçik bir çadırda yatdıq.
theirs	onlarınkı, onlara məxsus	Mavi velosipedlər onlarınkıdır.
theme	mövzu	Şənliyin mövzusu çimərlik idi.
