source_headword	PT	example_PT
stranger	o desconhecido	Um desconhecido pediu indicações.
strength	a força	A sua força ajudou a equipa.
string	o fio	Ata a caixa com fio.
strongly	fortemente	Discordo fortemente dessa ideia.
studio	o estúdio	O artista trabalha num pequeno estúdio.
stuff	as coisas	Põe as tuas coisas na prateleira.
substance	a substância	A polícia encontrou uma substância estranha.
successfully	com sucesso	Eles terminaram o projeto com sucesso.
sudden	repentino	Um barulho repentino acordou-nos.
suffer	sofrer	Muitas plantas sofrem com o tempo seco.
suitable	adequado	Este casaco é adequado para a escola.
summarize	resumir	Podes resumir o artigo?
summary	o resumo	Escreve um pequeno resumo hoje à noite.
supply	o abastecimento	A cidade precisa de um abastecimento de água limpa.
supporter	o apoiante	Todos os apoiantes aplaudiram ruidosamente.
surely	certamente	Certamente que conseguimos resolver isto.
surface	a superfície	A superfície estava fria e lisa.
survive	sobreviver	Estes animais sobrevivem aos invernos frios.
switch	o interruptor	Desliga a luz da cozinha.
symptom	o sintoma	A tosse pode ser um sintoma.
tail	a cauda	O cão tem uma cauda comprida.
talent	o talento	Ela tem talento para a música.
talented	talentoso	Ele é um jovem ator talentoso.
tape	a fita-cola	Usa fita-cola para fechar a caixa.
tax	o imposto	Todos têm de pagar este imposto.
technical	técnico	Tivemos um problema técnico.
technique	a técnica	Esta técnica poupa tempo.
tend	tender	As crianças tendem a aprender depressa.
tent	a tenda	Dormimos numa tenda pequena.
theirs	deles	As bicicletas azuis são deles.
theme	o tema	A festa teve um tema de praia.
theory	a teoria	A teoria dele explica o problema.
therefore	portanto	Choveu, portanto ficámos em casa.
though	embora	Embora cansada, ela continuou a trabalhar.
throat	a garganta	Dói-me a garganta esta manhã.
throughout	ao longo de	As pessoas dançaram ao longo de toda a noite.
tight	apertado	Estes sapatos estão demasiado apertados.
till	até	Espera aqui até eu voltar.
tin	a lata	Abre uma lata de feijão.
tiny	minúsculo	Um pássaro minúsculo aterrou ali perto.
toe	o dedo do pé	Magoei o dedo do pé ontem.
tongue	a língua	Ela queimou a língua no chá.
total	total	O custo total foi baixo.
totally	totalmente	Eu entendo totalmente a tua preocupação.
trade	o comércio	O comércio internacional cria empregos.
translate	traduzir	Por favor, traduz esta frase.
translation	a tradução	A tradução soa natural.
treat	tratar	Trata todos com respeito.
treatment	o tratamento	O doente precisa de tratamento hoje.
trend	a tendência	Esta tendência está a crescer em todo o mundo.
trick	o truque	Esse truque de cartas surpreendeu-me.
truth	a verdade	Por favor, diz a verdade.
tube	o tubo	Aperta o tubo suavemente.
typically	tipicamente	Os estudantes normalmente chegam antes das nove.
tyre	o pneu	O carro precisa de um pneu novo.
ugly	feio	Aquela cor da parede é feia.
unable	incapaz	Ele foi incapaz de responder.
uncomfortable	desconfortável	Esta cadeira é desconfortável.
underwear	a roupa interior	Faz a mala com roupa interior limpa para a viagem.
unemployed	desempregado	Ela esteve desempregada durante dois meses.
unemployment	o desemprego	O desemprego subiu durante o inverno.
unfair	injusto	A decisão pareceu injusta.
union	o sindicato	O sindicato pediu um trabalho mais seguro.
unless	a menos que	Não saias, a menos que eu ligue.
unlike	ao contrário de	Ao contrário do Tom, a Ana adora o inverno.
unlikely	improvável	É improvável que neve esta semana.
unnecessary	desnecessário	Sacos extra são desnecessários.
unpleasant	desagradável	O quarto tinha um cheiro desagradável.
update	atualizar	Preciso de atualizar o meu telemóvel.
upon	sobre	Era uma vez um rei.
upset	chateado	Ela sentiu-se chateada depois da chamada.
used1	usado	Esta sala é usada para reuniões.
used2	habituado	Estou habituado a acordar cedo.
valuable	valioso	Este relógio é valioso.
value	o valor	A casa perdeu valor no ano passado.
various	vários	Provámos vários pratos locais.
version	a versão	Esta versão funciona melhor.
victim	a vítima	A vítima chamou a polícia.
viewer	o espetador	Um espetador fez uma pergunta.
violent	violento	O filme era demasiado violento.
volunteer	o voluntário	Faço voluntariado na biblioteca.
vote	o voto	Lembra-te de votar amanhã.
warn	avisar	Eu tentei avisá-lo.
warning	o aviso	O aviso apareceu no ecrã.
waste	o desperdício	Não desperdices água limpa.
weapon	a arma	A faca tornou-se uma arma.
weigh	pesar	Pesa a farinha com cuidado.
western	ocidental	Eles viram um filme ocidental.
whatever	o que quer que seja	Escolhe o que quiseres.
whenever	sempre que	Liga sempre que precisares de ajuda.
whether	se	Não sei se ela concorda.
wing	a asa	O pássaro magoou uma asa.
within	dentro de	Por favor, responde dentro de dois dias.
wonder	perguntar-se	Pergunto-me o que aconteceu.
wool	a lã	Este casaco é feito de lã.
worldwide	mundialmente	A canção tornou-se popular em todo o mundo.
worth	valer a pena	Vale a pena ler este livro.
written	escrito	Por favor, envia instruções escritas.
yard	o quintal	As crianças brincaram no quintal.
youth	a juventude	Os clubes de juventude apoiam os adolescentes locais.
