simplified	ET	example_ET
爱	armastama; meeldima	Ma armastan oma ema.
八	kaheksa	Mul on kaheksa raamatut.
爸爸	isa; papa	Isa on kodus.
杯子	tass; klaas	See tass on suur.
北京	Peking	Ma töötan Pekingis.
本	raamatute loendussõna; köide	Mul on üks raamat.
不	mitte; ei	Ma ei söö riisi.
不客气	pole tänu väärt	Aitäh. Pole tänu väärt.
菜	roog; toit; köögivili	See roog on maitsev.
茶	tee	Ma joon teed.
吃	sööma	Ma söön õuna.
出租车	takso	Ma sõidan taksoga kooli.
打电话	helistama	Ma helistan.
大	suur	See kool on suur.
的	omastav partikkel	See on minu raamat.
点	kell; punkt; natuke	Kell on praegu kaheksa.
电脑	arvuti	Minu arvuti on laual.
电视	televisioon; teler	Ma vaatan televiisorit.
电影	film	Mulle meeldivad filmid.
东西	asi; kraam	Mis asi see on?
都	kõik; mõlemad	Me oleme kõik õpilased.
读	lugema; õppima	Ma loen raamatut.
对不起	vabandust; anna andeks	Vabandust, ma ei tunne sind.
多	palju; rohkem	Mul on palju sõpru.
多少	kui palju; mitu	Kui palju see tass maksab?
儿子	poeg	Minu poeg on õpilane.
二	kaks	Veebruar on külm.
饭馆	restoran	Restoran on kooli ees.
飞机	lennuk	Ma sõidan lennukiga Pekingisse.
分钟	minut	Ma õpin viis minutit.
高兴	rõõmus; õnnelik	Ma olen täna väga rõõmus.
个	üldine loendussõna	Mul on üks sõber.
工作	töötama; töö	Ma töötan Pekingis.
狗	koer	Mulle meeldivad koerad.
汉语	hiina keel	Ma õpin hiina keelt.
好	hea; hästi	Täna on hea ilm.
喝	jooma	Ma joon vett.
和	ja; koos	Ma lähen sõbraga kooli.
很	väga	Ta on väga ilus.
后面	taga; tagapool	Kool on restorani taga.
回	tagasi minema; naasma	Ma lähen koju tagasi.
会	oskama; suutma	Ma oskan hiina keelt rääkida.
火车站	rongijaam	Rongijaam on suur.
几	mitu; mõned	Mitu sõpra sul on?
家	kodu; pere	Minu kodu on Pekingis.
叫	nimeks olema; kutsuma	Mis su nimi on?
今天	täna	Täna on palav.
九	üheksa	Kell on praegu üheksa.
开	avama; sisse lülitama	Ma lülitan arvuti sisse.
看	vaatama; lugema	Ma loen raamatut.
看见	nägema	Ma näen õpetajat.
块	tükk; jüaan	See raamat maksab kümme jüaani.
来	tulema	Ta tuleb kooli.
老师	õpetaja	Õpetaja on koolis.
了	lõpetatud tegevuse partikkel	Ma sõin riisi.
冷	külm	Täna on külm.
里	sees; seespool	Tassis on vett.
零	null	Null ei ole üks.
六	kuus	Kell on praegu kuus.
妈妈	ema	Ema joob teed.
吗	jah-ei küsimuse partikkel	Kas sa oled õpilane?
买	ostma	Ma ostan õunu.
猫	kass	Kass on toolil.
没	ei ole; pole	Mul ei ole raha.
没关系	pole midagi; pole probleemi	Pole midagi.
米饭	keedetud riis	Ma söön riisi.
名字	nimi	Mis su nimi on?
明天	homme	Homme lähen ma Pekingisse.
哪	milline; kus; kuhu	Kuhu sa lähed?
那	see; too; need	See on minu õpetaja.
呢	küsimuspartikkel; aga	Aga sina?
能	võima; suutma; saama	Kas ma võin minna?
你	sina; sind	Kuidas sul läheb?
年	aasta	Aastas on kaksteist kuud.
女儿	tütar	Tema tütar on väga ilus.
朋友	sõber	Ta on minu sõber.
漂亮	ilus; kena	Ta on väga ilus.
苹果	õun	Mulle meeldivad õunad.
七	seitse	Kell on praegu seitse.
前面	ees; eespool	Restoran on poe ees.
钱	raha	Mul ei ole raha.
请	palun; kutsuma; paluma	Palun joo teed.
去	minema	Ma lähen kooli.
热	kuum; palav	Täna on palav.
人	inimene; inimesed	Koolis on palju inimesi.
认识	tundma; ära tundma	Ma tunnen teda.
日	päev; kuupäev	Täna on esimene märts.
三	kolm	Mul on kolm tassi.
商店	pood; kauplus	Pood on kooli ees.
上	üleval; peal	Raamat on laual.
上午	hommikupoolik; ennelõuna	Hommikul õpin ma hiina keelt.
少	vähe; vähesed	Õpilasi on vähe.
什么	mis	Mis see on?
十	kümme	Mul on kümme raamatut.
时候	aeg; hetk	Millal sa tuled?
是	olema; jah	Ma olen õpilane.
书	raamat	Ma loen raamatut.
谁	kes	Kes ta on?
水	vesi	Ma joon vett.
水果	puuvili; puuviljad	Ma ostan puuvilju.
睡觉	magama; magama minema	Ma lähen magama.
说话	rääkima	Õpetaja räägib.
四	neli	Mul on neli sõpra.
岁	aastane; aastat vana	Ma olen kümneaastane.
他	tema; teda	Ta on õpetaja.
她	tema; teda	Ta on õpilane.
太	liiga; väga	See tass on liiga suur.
天气	ilm	Täna on hea ilm.
听	kuulama; kuulma	Ma kuulan, kuidas õpetaja räägib.
同学	klassikaaslane; kaasõpilane	Ta on minu klassikaaslane.
喂	halloo; kuulen	Halloo?
我	mina; mind	Ma olen arst.
我们	meie; meid	Me läheme kooli.
五	viis	Mul on viis õuna.
喜欢	meeldima; armastama	Mulle meeldib teed juua.
下	all; alla; järgmine	Raamat on laua all.
下午	pärastlõuna	Pärastlõunal lähen ma poodi.
下雨	vihma sadama	Täna sajab vihma.
先生	härra; abikaasa; mees	Tere, härra.
现在	praegu; nüüd	Ma olen praegu koolis.
想	tahtma; mõtlema; igatsema	Ma tahan vett juua.
小	väike	See tass on väike.
小姐	preili; noor naine	Tere, preili.
些	mõned; natuke	Mul on mõned raamatud.
写	kirjutama	Ma kirjutan tähemärke.
谢谢	aitäh; tänama	Aitäh.
星期	nädal; nädalapäev	Täna on esmaspäev.
学生	õpilane; üliõpilane	Ma olen õpilane.
学习	õppima	Ma õpin hiina keelt.
学校	kool	Kool on suur.
一	üks	Mul on üks tass.
衣服	riided	Ma ostan riideid.
医生	arst	Ta on arst.
医院	haigla	Haigla on kooli ees.
椅子	tool	Tool on laua taga.
有	olema; omama	Mul on sõpru.
月	kuu; Kuu	Täna on neljas mai.
再见	head aega	Head aega, õpetaja.
在	olema; asuma	Ma olen kodus.
怎么	kuidas	Kuidas seda tähemärki loetakse?
怎么样	kuidas; kuidas on	Kuidas sul täna läheb?
这	see; need	See on minu raamat.
中国	Hiina	Ma lähen Hiinasse.
中午	keskpäev	Keskpäeval söön ma riisi.
住	elama; peatuma	Ma elan Pekingis.
桌子	laud; kirjutuslaud	Raamat on laual.
字	tähemärk; sõna	See tähemärk on väike.
昨天	eile	Eile vaatasin ma filmi.
坐	istuma; sõitma	Ma sõidan lennukiga Pekingisse.
做	tegema; valmistama	Ma teen süüa.
