crawl	The baby began to crawl across the carpet.
creator	The creator thanked everyone for their support.
credibility	The witness lost credibility during questioning.
credible	The report offered credible evidence.
creep	Fog began to creep through the valley.
critique	The professor gave a detailed critique.
crown	The queen wore a silver crown.
crude	The drawing was crude but clear.
crush	Heavy rocks can crush the pipe.
crystal	The crystal reflected the morning light.
cult	The cult isolated its members.
cultivate	Farmers cultivate rice in this region.
curiosity	Curiosity led her into science.
custody	The child remained in her father's custody.
cutting	The newspaper published a cutting about him.
cynical	His cynical remark upset the team.
dam	The dam holds back river water.
damaging	The damaging article hurt the campaign.
dawn	We left the village at dawn.
debris	Storm debris blocked the road.
debut	Her debut attracted national attention.
decision-making	Good decision-making requires clear information.
decisive	Her decisive action prevented further damage.
declaration	The minister read a formal declaration.
dedicated	The dedicated nurse worked overnight.
dedication	His dedication inspired younger players.
deed	The brave deed saved two lives.
deem	The court may deem the contract invalid.
default	Use the default setting for now.
defect	Inspectors found a serious defect.
defensive	His defensive tone surprised everyone.
deficiency	Iron deficiency can affect health.
deficit	The budget deficit worried officials.
defy	Protesters chose to defy the ban.
delegate	Each delegate received a voting card.
delegation	The delegation arrived before noon.
delicate	The delicate glass broke easily.
demon	The story describes an ancient demon.
denial	His denial angered the victims.
denounce	Leaders denounce violence in schools.
dense	The dense forest blocked the sunlight.
density	Population density is high downtown.
dependence	The country's dependence on oil declined.
depict	The mural depicts village life.
deploy	The army will deploy extra staff.
deployment	The deployment of troops began Monday.
deprive	Lack of sleep can deprive students of focus.
deputy	The deputy signed the agreement.
descend	The path began to descend sharply.
descent	The plane started its descent.
designate	The city will designate a new park.
desirable	Good lighting is desirable in classrooms.
desktop	The file is on my desktop.
destructive	The storm had destructive force.
detain	Police may detain suspects overnight.
detection	Early detection improves cancer treatment.
detention	The students protested against detention conditions.
deteriorate	His health began to deteriorate.
devastate	The earthquake can devastate coastal towns.
devil	The child drew a smiling devil.
devise	Engineers devise safer transport systems.
diagnose	Doctors diagnose the disease with blood tests.
diagnosis	The diagnosis explained her symptoms.
dictate	The contract will dictate payment terms.
dictator	The dictator controlled the media.
differentiate	Can you differentiate fact from opinion?
dignity	Everyone deserves dignity at work.
dilemma	The manager faced a serious dilemma.
dimension	The problem has a political dimension.
diminish	The pain should diminish slowly.
dip	Temperatures may dip below freezing.
diplomat	The diplomat met foreign leaders.
diplomatic	The diplomatic talks continued overnight.
directory	Search the directory for his number.
disastrous	The disastrous flood destroyed several bridges.
discard	Do not discard useful records.
discharge	The hospital will discharge him tomorrow.
disclose	Officials refused to disclose the figures.
disclosure	The disclosure shocked the board.
discourse	Public discourse became more polite.
discretion	Use your discretion with sensitive cases.
discrimination	The law bans discrimination in hiring.
dismissal	His dismissal caused public anger.
displace	The war may displace thousands.
disposal	Waste disposal remains a local problem.
dispose	The company must dispose of chemicals safely.
dispute	The dispute lasted for months.
disrupt	Noise can disrupt concentration.
disruption	The strike caused major disruption.
dissolve	Sugar will dissolve in hot tea.
distinction	The distinction between them is important.
distinctive	She has a distinctive voice.
distort	The mirror can distort your reflection.
distress	The call caused serious distress.
disturbing	The documentary showed disturbing scenes.
divert	Police had to divert traffic.
divine	The chapel has a divine atmosphere.
doctrine	The party rejected the old doctrine.
documentation	Complete the documentation before launch.
domain	The website uses a secure domain.
dominance	The team's dominance lasted a decade.
donor	The donor gave blood today.
dose	Take one dose after breakfast.
drain	Water will drain into the river.
drift	Smoke began to drift across the road.
driving	Rain was the driving factor behind delays.
drown	Never swim where currents can drown you.
dual	The device has a dual function.
dub	Critics dub the city a cultural capital.
dumb	That was a dumb mistake.
duo	The comedy duo toured Europe.
eager	Students were eager to begin.
earnings	Company earnings rose sharply.
ease	The new road will ease traffic.
echo	Her voice echoed in the hall.
ecological	The ecological impact remains uncertain.
educator	The educator designed a new course.
effectiveness	The study measured vaccine effectiveness.
efficiency	Better software improved efficiency.
ego	His ego caused problems at work.
elaborate	The elaborate costume took weeks.
electoral	The electoral system changed last year.
elevate	The award will elevate her profile.
eligible	Only residents are eligible for discounts.
elite	The elite trained at a private academy.
embark	They will embark on a long journey.
embarrassment	He laughed to hide his embarrassment.
embassy	The embassy issued new travel advice.
embed	The journalist will embed with the unit.
embody	The statue seems to embody courage.
emergence	The emergence of phones changed daily life.
