source_headword	KN	example_KN
abolish	ರದ್ದುಮಾಡು	ಕಾನೂನು ಹಳೆಯ ಶುಲ್ಕವನ್ನು ರದ್ದುಮಾಡುತ್ತದೆ.
abortion	ಗರ್ಭಪಾತ	ಗರ್ಭಪಾತವು ಸೂಕ್ಷ್ಮವಾದ ವೈದ್ಯಕೀಯ ವಿಷಯವಾಗಿ ಉಳಿದಿದೆ.
absence	ಗೈರುಹಾಜರಿ	ಅವಳ ಗೈರುಹಾಜರಿಯು ಅಂತಿಮ ನಿರ್ಧಾರವನ್ನು ವಿಳಂಬಗೊಳಿಸಿತು.
absent	ಗೈರುಹಾಜರಾದ	ಇಬ್ಬರು ಸದಸ್ಯರು ತರಗತಿಗೆ ಗೈರುಹಾಜರಾಗಿದ್ದರು.
absurd	ಅಸಂಬದ್ಧ	ಆ ಹಕ್ಕು ಸಾಧನೆಯು ಎಲ್ಲರಿಗೂ ಅಸಂಬದ್ಧವಾಗಿ ತೋರಿತು.
abundance	ಹೇರಳ	ಕಣಿವೆಯಲ್ಲಿ ಹೇರಳವಾಗಿ ನೀರಿದೆ.
abuse	ನಿಂದನೆ	ವರದಿಯು ಕೆಲಸದ ಸ್ಥಳದಲ್ಲಿನ ನಿಂದನೆಯನ್ನು ವಿವರಿಸಿದೆ.
academy	ಅಕಾಡೆಮಿ	ಅಕಾಡೆಮಿಯು ಯುವ ಸಂಗೀತಗಾರರಿಗೆ ತರಬೇತಿ ನೀಡುತ್ತದೆ.
accelerate	ವೇಗಗೊಳಿಸು	ಹೊಸ ನಿಧಿಯು ಸಂಶೋಧನೆಯನ್ನು ವೇಗಗೊಳಿಸುತ್ತದೆ.
acceptance	ಸ್ವೀಕಾರ	ಅವರು ಟೀಕೆಯನ್ನು ಸ್ವೀಕರಿಸಿದ ರೀತಿ ನನ್ನನ್ನು ಪ್ರಭಾವಿಸಿತು.
accessible	ಪ್ರವೇಶಿಸಬಹುದಾದ	ವಸ್ತುಸಂಗ್ರಹಾಲಯವು ಗಾಲಿಕುರ್ಚಿ ಬಳಕೆದಾರರಿಗೆ ಪ್ರವೇಶಿಸಲು ಯೋಗ್ಯವಾಗಿದೆ.
