source_headword	KK	example_KK
crawl	еңбектеу	Сәби кілемнің үстімен еңбектей бастады.
creator	жасаушы	Жасаушы барлығына қолдауы үшін алғыс айтты.
credibility	сенімділік	Жауап алу кезінде куәгер сенімділігін жоғалтты.
credible	сенімді	Есепте сенімді дәлелдер ұсынылды.
creep	жорғалау	Тұман аңғармен баяу жылжи бастады.
critique	сын	Профессор егжей-тегжейлі сын айтты.
crown	тәж	Ханшайым күміс тәж киді.
crude	қарапайым	Сурет қарапайым, бірақ түсінікті болды.
crush	жаншу	Ауыр тастар құбырды жаншып тастауы мүмкін.
crystal	кристалл	Кристалл таңғы жарықты шағылыстырды.
cult	культ	Культ өз мүшелерін оқшаулады.
cultivate	өсіру	Фермерлер бұл аймақта күріш өсіреді.
curiosity	әуестік	Әуестік оны ғылымға алып келді.
custody	қамқорлық	Бала әкесінің қамқорлығында қалды.
cutting	қиынды	Газет ол туралы қиынды жариялады.
cynical	мысқылшыл	Оның мысқыл сөзі команданың көңілін қалдырды.
dam	бөгет	Бөгет өзен суын ұстап тұрады.
damaging	зиянды	Зиянды мақала науқанға нұқсан келтірді.
dawn	таң	Біз ауылдан таңсәріден шықтық.
debris	үйінді	Дауыл үйінділері жолды жауып қалды.
debut	дебют	Оның дебюті ұлттық назарды аударды.
decision-making	шешім қабылдау	Дұрыс шешім қабылдау нақты ақпаратты қажет етеді.
decisive	батыл	Оның батыл әрекеті одан әрі зақымданудың алдын алды.
declaration	мәлімдеме	Министр ресми мәлімдемені оқыды.
dedicated	берілген	Өз ісіне берілген медбике түні бойы жұмыс істеді.
dedication	адалдық	Оның адалдығы жас ойыншыларды шабыттандырды.
deed	әрекет	Батыл әрекет екі адамның өмірін сақтап қалды.
deem	санау	Сот келісімшартты жарамсыз деп тануы мүмкін.
default	әдепкі	Әзірге әдепкі параметрді пайдаланыңыз.
defect	ақау	Инспекторлар елеулі ақау тапты.
defensive	қорғаныс	Оның қорғана сөйлеген үні барлығын таң қалдырды.
deficiency	тапшылық	Темір тапшылығы денсаулыққа әсер етуі мүмкін.
deficit	тапшылық	Бюджет тапшылығы шенеуніктерді алаңдатты.
defy	бағынбау	Наразылық білдірушілер тыйымға бағынбауды ұйғарды.
delegate	делегат	Әрбір делегат дауыс беру картасын алды.
delegation	делегация	Делегация түске дейін келді.
delicate	нәзік	Нәзік әйнек оңай сынды.
demon	жын	Оқиғада ежелгі жын туралы баяндалады.
denial	теріске шығару	Оның теріске шығаруы құрбандардың ашуын тудырды.
denounce	айыптау	Көшбасшылар мектептердегі зорлық-зомбылықты айыптайды.
dense	қалың	Қалың орман күн сәулесін қалқалады.
density	тығыздық	Қала орталығында халық тығыздығы жоғары.
dependence	тәуелділік	Елдің мұнайға тәуелділігі төмендеді.
depict	бейнелеу	Қабырға суреті ауыл өмірін бейнелейді.
deploy	орналастыру	Армия қосымша қызметкерлерді орналастырады.
deployment	орналастыру	Әскерлерді орналастыру дүйсенбіде басталды.
deprive	айыру	Ұйқының қанбауы студенттерді зейіннен айыруы мүмкін.
deputy	орынбасар	Орынбасар келісімге қол қойды.
descend	төмен түсу	Жол күрт төмен түсе бастады.
descent	түсу	Ұшақ төмен түсе бастады.
designate	белгілеу	Қала жаңа саябақ белгілейді.
