source_headword	KK	example_KK
absolutely	мүлде	Мен сізбен толық келісемін.
academic	академиялық	Академиялық жыл қыркүйекте басталады.
access	қолжетімділік	Студенттерге кітапханаға қолжетімділік керек.
accommodation	тұратын орын	Біз вокзал жанынан тұратын орын таптық.
account	банк шоты	Ол жаңа банк шотын ашты.
achievement	жетістік	Курсты аяқтау үлкен жетістік болды.
ad	жарнама	Жарнама жаңа телефонды көрсетті.
addition	қосымша	Жаңа бөлме пайдалы қосымша болды.
admire	сүйсіну	Мен оның сабырлы мінезіне сүйсінемін.
admit	мойындау	Ол қатесін бірден мойындады.
advanced	озық	Бұл озық ағылшын сабағы.
advise	кеңес беру	Дәрігерлер тұрақты жаттығуға кеңес береді.
afford	шамасы келу	Біздің таксиге төлеуге шамамыз келмеді.
aged	жастағы	Курс он жастағы балаларға арналған.
agent	агент	Саяхат агенті билеттерді ауыстырды.
agreement	келісім	Олар бүгін келісімге келді.
ahead	алда	Алда ашық жол бар.
aim	мақсат ету	Біз жұмысты тез аяқтауды мақсат етеміз.
alarm	оятқыш	Оятқыш таңғы алтыда шырылдады.
album	альбом	Бұл альбомда он ән бар.
alcohol	ішімдік	Қонақүй ішімдік сатпайды.
alcoholic	алкогольді	Бұл сусын алкогольді емес.
amazed	таңғалған	Ол нәтижеге қатты таңғалды.
ambition	ұмтылыс	Оның ұмтылысы ұшқыш болу.
ambitious	өршіл	Оның өршіл жоспары бар.
analyse	талдау	Біз нәтижелерді талдауымыз керек.
analysis	талдау	Оның талдауы анық болды.
announce	хабарлау	Олар жеңімпазды ертең хабарлайды.
announcement	хабарландыру	Хабарландыру бәрін таңғалдырды.
annoy	мазасын алу	Бұл шу көршілердің мазасын алады.
annoyed	ашулы	Ол ұзақ кезекке ашулы болды.
annoying	тітіркендіргіш	Бұл дыбыс өте тітіркендіргіш.
apart	бөлек	Екі үй бір-бірінен бөлек тұр.
apologize	кешірім сұрау	Ол кешіккені үшін кешірім сұрады.
application	өтініш	Өтінішті бүгін жібер.
appointment	кездесу	Дәрігермен кездесу түсте.
appreciate	бағалау	Біз көмегіңді өте бағалаймыз.
approximately	шамамен	Сапар шамамен екі сағат алады.
arrest	қамауға алу	Полиция күдіктіні қамауға алды.
arrival	келу	Пойыздың келуі кешікті.
assignment	тапсырма	Тапсырманы жұмаға дейін орында.
assist	көмектесу	Мұғалім жаңа оқушыға көмектесті.
atmosphere	атмосфера	Кафенің атмосферасы жайлы болды.
attach	тіркеу	Хатқа құжатты тірке.
attitude	көзқарас	Оның жұмысқа көзқарасы оң.
attract	тарту	Жаңа көрме көп адамды тартты.
attraction	көрікті орын	Бұл қаладағы басты көрікті орын.
authority	билік	Жергілікті билік жолды жапты.
aware	хабардар	Олар қауіп туралы хабардар болды.
backwards	артқа	Ол есікке қарай артқа жүрді.
bake	пісіру	Анам нанды таңертең пісірді.
balance	тепе-теңдік	Велосипедте тепе-теңдік сақта.
ban	тыйым салу	Мектеп телефонға тыйым салды.
bank (river)	өзен жағасы	Біз өзен жағасында отырдық.
base	негіз	Бұл жоспардың негізі мықты.
basic	негізгі	Негізгі ережелерді түсін.
basis	негіз	Бұл шешім сенім негізінде қабылданды.
battery	батарея	Телефон батареясы тез таусылды.
battle	шайқас	Шайқас ұзаққа созылды.
beauty	сұлулық	Таудың сұлулығы керемет еді.
bee	ара	Ара гүлдің үстіне қонды.
belief	сенім	Оның өз күшіне сенімі артты.
bell	қоңырау	Сабақ қоңырауы соғылды.
bend	бүгу	Қағазды дәл ортасынан бүк.
bite	тістеу	Ит баланы тістемеді.
block	блок	Біз келесі блокқа дейін жүрдік.
bomb	бомба	Сарбаздар ескі бомбаны тапты.
border	шекара	Шекара таңертең ашылды.
bother	мазалау	Оны қазір мазалама.
branch	бұтақ	Бұтақ желден сынды.
brand	бренд	Бұл бренд жастарға танымал.
brave	батыл	Батыл өрт сөндіруші баланы құтқарды.
breath	тыныс	Ол терең тыныс алды.
breathe	тыныс алу	Терең тыныс алуға тырыс.
breathing	тыныс алу	Оның тыныс алуы баяулады.
bride	қалыңдық	Қалыңдық ақ көйлек киді.
bubble	көпіршік	Суда көпіршік пайда болды.
bury	көму	Олар тұқымды топыраққа көмді.
calm	сабырлы	Дағдарыс кезінде сабырлы бол.
campaign	науқан	Жаңа науқан бүгін басталды.
campus	кампус	Кампус қала ортасына жақын.
candidate	кандидат	Кандидат сұрақтарға жауап берді.
cap	кепка	Ол көк кепка киді.
captain	капитан	Капитан команданы алаңға шығарды.
careless	ұқыпсыз	Ұқыпсыз қате бағаны түсірді.
category	санат	Бұл сөз басқа санатқа жатады.
ceiling	төбе	Бөлменің төбесі биік.
celebration	мереке	Мереке кешке дейін жалғасты.
central	орталық	Орталық алаңда адамдар көп.
ceremony	рәсім	Рәсім таңертең өтті.
chain	тізбек	Есікке темір тізбек ілінді.
challenge	қиындық	Бұл тапсырма үлкен қиындық болды.
champion	чемпион	Чемпион кубокты көтерді.
channel	арна	Балалар арнаны ауыстырды.
chapter	тарау	Келесі тарауды оқы.
