source_headword	ES-419	example_ES-419
absorb	absorber	La toalla absorbe el agua rápidamente.
abstract	abstracto	La clase trató sobre ideas abstractas.
accent	el acento	Su acento es fácil de entender.
accidentally	accidentalmente	Borré el archivo accidentalmente.
accommodate	acomodar	El hotel puede alojar a familias grandes.
accomplish	lograr	Ella logró su objetivo antes de junio.
accountant	el contador	El contador revisó la factura.
accuracy	la precisión	La prueba mide la precisión de lectura.
accurately	con precisión	El mapa muestra la ruta con precisión.
acid	el ácido	El ácido dañó la superficie de metal.
activate	activar	Presione el botón para activar la alarma.
addiction	la adicción	Su adicción afectó su trabajo.
additionally	además	Además, necesitamos más sillas.
adequate	adecuado	La habitación tiene luz adecuada.
adequately	adecuadamente	El informe explicó el problema adecuadamente.
adjust	ajustar	Ajuste el asiento antes de conducir.
affordable	asequible	El departamento es asequible para los estudiantes.
agriculture	la agricultura	La agricultura mantiene a muchas familias rurales.
AIDS	el SIDA	Los médicos tratan el SIDA con medicina moderna.
alien	el extraterrestre	La película muestra un planeta extraterrestre.
alongside	junto a	La ciclovía corre al lado del río.
altogether	en total	En total, el proyecto duró seis semanas.
ambulance	la ambulancia	La ambulancia llegó en cuestión de minutos.
amusing	divertido	La historia era divertida y ligera.
analyst	el analista	El analista revisó los datos de ventas.
ancestor	el antepasado	Mi antepasado vivió cerca de este pueblo.
animation	la animación	La animación hizo la lección más clara.
annually	anualmente	El festival se celebra anualmente.
anticipate	anticipar	Anticipamos mucho tráfico para mañana.
anxiety	la ansiedad	La ansiedad puede dificultar el sueño.
apology	la disculpa	Ella ofreció una disculpa sincera.
applicant	el solicitante	El candidato envió un nuevo currículum.
appropriately	apropiadamente	Por favor, vístase apropiadamente para la entrevista.
arrow	la flecha	La flecha apunta a la salida.
artwork	la obra de arte	El museo exhibió obras de arte locales.
aside	a un lado	Ella se hizo a un lado para dejarlo pasar.
asset	el activo	La experiencia es un activo valioso.
assign	asignar	El profesor asignó tarea hoy.
assistance	la asistencia	Por favor, pida ayuda al personal.
assumption	la suposición	Esa suposición podría estar equivocada.
assure	asegurar	Te aseguro que la puerta está cerrada con llave.
astonishing	asombroso	La vista desde el acantilado era asombrosa.
attachment	el archivo adjunto	El correo electrónico incluye un archivo adjunto.
auction	la subasta	La pintura se vendió en una subasta.
audio	de audio	La grabación de audio suena clara.
automatic	automático	La puerta tiene una cerradura automática.
automatically	automáticamente	Las luces se encienden automáticamente.
awareness	la conciencia	La campaña aumentó la conciencia pública.
awkward	incómodo	El silencio se sintió incómodo.
badge	la placa	Los visitantes deben usar un gafete.
balanced	equilibrado	Una dieta equilibrada incluye vegetales.
ballet	el ballet	Ella estudia ballet después de la escuela.
balloon	el globo	El globo flotó sobre la mesa.
barely	apenas	Él apenas escuchó el anuncio.
bargain	la ganga	Esa chaqueta fue una verdadera ganga.
basement	el sótano	Las cajas están en el sótano.
basket	la canasta	Ella puso las manzanas en la canasta.
bat	el bate	El murciélago salió volando de la cueva.
beneficial	beneficioso	El ejercicio regular es beneficioso para la salud.
beside	al lado de	La lámpara está al lado del sofá.
besides	además	Además de matemáticas, él estudia química.
bias	el sesgo	El artículo mostró un sesgo claro.
bid	la oferta	La empresa hizo una oferta más alta.
biological	biológico	La prueba biológica confirmó el resultado.
blanket	la manta	El niño durmió bajo una cobija.
blow	el golpe	El fuerte golpe rompió la ventana.
bold	audaz	El titular usó letras en negrita.
bombing	el bombardeo	El bombardeo dañó varios edificios.
booking	la reserva	Confirmé la reserva del hotel.
boost	el impulso	La victoria impulsó la confianza del equipo.
bound	vinculante	El paquete estaba atado con un cordel.
brick	el ladrillo	El muro está hecho de ladrillo.
briefly	brevemente	Ella habló brevemente después del almuerzo.
broadcaster	el locutor	El locutor entrevistó al alcalde.
broadly	ampliamente	Los dos planes son ampliamente similares.
bug	el insecto	La aplicación falló por un error.
cabin	la cabaña	Nos quedamos en una pequeña cabaña.
canal	el canal	Los botes se movían lentamente por el canal.
candle	la vela	La vela ardía en la mesa.
carbon	el carbono	Los árboles absorben carbono del aire.
casual	casual	Él usó ropa casual para ir al trabajo.
cave	la cueva	Los excursionistas entraron a la cueva.
