source_headword	PL	example_PL
stranger	nieznajomy	Nieznajomy zapytał o drogę.
strength	siła	Jej siła pomogła drużynie.
string	sznurek	Zwiąż pudełko sznurkiem.
strongly	zdecydowanie	Zdecydowanie nie zgadzam się z tym pomysłem.
studio	studio	Artysta pracuje w małym studiu.
stuff	rzeczy	Połóż swoje rzeczy na półce.
substance	substancja	Policja znalazła dziwną substancję.
successfully	z powodzeniem	Z powodzeniem zakończyli projekt.
sudden	nagły	Obudził nas nagły hałas.
suffer	cierpieć	Wiele roślin cierpi podczas suchej pogody.
suitable	odpowiedni	Ta kurtka jest odpowiednia do szkoły.
summarize	podsumować	Czy możesz podsumować ten artykuł?
summary	podsumowanie	Napisz dziś wieczorem krótkie podsumowanie.
supply	zaopatrzenie	Miasto potrzebuje zaopatrzenia w czystą wodę.
supporter	kibic	Każdy kibic głośno wiwatował.
surely	z pewnością	Z pewnością możemy to rozwiązać.
surface	powierzchnia	Powierzchnia była zimna i gładka w dotyku.
survive	przetrwać	Te zwierzęta przetrwają mroźne zimy.
switch	przełączać	Wyłącz światło w kuchni.
symptom	objaw	Kaszel może być objawem.
tail	ogon	Pies ma długi ogon.
talent	talent	Ona ma talent do muzyki.
talented	utalentowany	On jest utalentowanym młodym aktorem.
tape	taśma	Użyj taśmy, aby zamknąć pudełko.
tax	podatek	Każdy musi zapłacić ten podatek.
technical	techniczny	Mieliśmy problem techniczny.
technique	technika	Ta technika oszczędza czas.
tend	mieć tendencję	Dzieci mają tendencję do szybkiego uczenia się.
tent	namiot	Spaliśmy w małym namiocie.
theirs	ich	Niebieskie rowery są ich.
theme	motyw	Impreza miała motyw plażowy.
theory	teoria	Jego teoria wyjaśnia ten problem.
therefore	dlatego	Padało, dlatego zostaliśmy w środku.
though	chociaż	Chociaż była zmęczona, kontynuowała pracę.
throat	gardło	Dziś rano boli mnie gardło.
throughout	przez cały	Ludzie tańczyli przez cały wieczór.
tight	ciasny	Te buty wydają się zbyt ciasne.
till	aż do	Zaczekaj tutaj, aż wrócę.
tin	puszka	Otwórz puszkę fasoli.
tiny	malutki	Malutki ptak wylądował w pobliżu.
toe	palec u nogi	Wczoraj zraniłem się w palec u nogi.
tongue	język	Oparzyła sobie język herbatą.
total	całkowity	Całkowity koszt był niski.
totally	całkowicie	Zupełnie rozumiem twoje obawy.
trade	handel	Handel międzynarodowy tworzy miejsca pracy.
translate	tłumaczyć	Proszę przetłumaczyć to zdanie.
translation	tłumaczenie	Tłumaczenie brzmi naturalnie.
treat	traktować	Traktuj wszystkich z szacunkiem.
treatment	leczenie	Pacjent potrzebuje dziś leczenia.
trend	trend	Ten trend rośnie na całym świecie.
trick	sztuczka	Ta sztuczka karciana mnie zaskoczyła.
truth	prawda	Proszę, powiedz prawdę.
tube	tubka	Delikatnie ściśnij tubkę.
typically	zazwyczaj	Studenci zazwyczaj przybywają przed dziewiątą.
tyre	opona	Samochód potrzebuje nowej opony.
ugly	brzydki	Ten kolor ściany wygląda brzydko.
unable	niezdolny	Nie był w stanie odpowiedzieć.
uncomfortable	niewygodny	To krzesło jest niewygodne.
underwear	bielizna	Spakuj czystą bieliznę na wycieczkę.
unemployed	bezrobotny	Była bezrobotna przez dwa miesiące.
unemployment	bezrobocie	Bezrobocie wzrosło w okresie zimowym.
unfair	niesprawiedliwy	Decyzja wydawała się niesprawiedliwa.
union	związek zawodowy	Związek zawodowy poprosił o bezpieczniejszą pracę.
unless	chyba że	Nie wychodź, chyba że zadzwonię.
unlike	w przeciwieństwie do	W przeciwieństwie do Toma, Ana kocha zimę.
unlikely	mało prawdopodobny	Śnieg jest mało prawdopodobny w tym tygodniu.
unnecessary	niepotrzebny	Dodatkowe torby są niepotrzebne.
unpleasant	nieprzyjemny	Pokój miał nieprzyjemny zapach.
update	aktualizować	Muszę zaktualizować mój telefon.
upon	na	Dawno, dawno temu był sobie król.
upset	zdenerwowany	Poczuła się zdenerwowana po rozmowie telefonicznej.
used1	używany	Ten pokój jest używany do spotkań.
used2	przyzwyczajony	Jestem przyzwyczajony do wczesnych poranków.
valuable	wartościowy	Ten zegarek jest wartościowy.
value	wartość	Dom stracił na wartości w zeszłym roku.
various	różny	Próbowaliśmy różnych lokalnych potraw.
version	wersja	Ta wersja działa lepiej.
victim	ofiara	Ofiara wezwała policję.
viewer	widz	Jeden z widzów zadał pytanie.
violent	brutalny	Film był zbyt brutalny.
volunteer	wolontariusz	Jestem wolontariuszem w bibliotece.
vote	głosować	Pamiętaj, aby jutro zagłosować.
warn	ostrzegać	Próbowałem go ostrzec.
warning	ostrzeżenie	Ostrzeżenie pojawiło się na ekranie.
waste	marnować	Nie marnuj czystej wody.
weapon	broń	Nóż stał się bronią.
weigh	ważyć	Ostrożnie zważ mąkę.
western	zachodni	Obejrzeli western.
whatever	cokolwiek	Wybierz, cokolwiek chcesz.
whenever	kiedykolwiek	Zadzwoń, kiedykolwiek będziesz potrzebować pomocy.
whether	czy	Nie wiem, czy ona się zgadza.
wing	skrzydło	Ptak zranił jedno skrzydło.
within	w ciągu	Proszę odpowiedzieć w ciągu dwóch dni.
wonder	zastanawiać się	Zastanawiam się, co się stało.
wool	wełna	Ten płaszcz jest zrobiony z wełny.
worldwide	na całym świecie	Piosenka stała się popularna na całym świecie.
worth	wart	Ta książka jest warta przeczytania.
written	pisemny	Proszę o przesłanie pisemnych instrukcji.
yard	podwórko	Dzieci bawiły się na podwórku.
youth	młodzież	Kluby młodzieżowe wspierają lokalnych nastolatków.
