source_headword	ML	example_ML
machine	യന്ത്രം	ഈ യന്ത്രം കാപ്പി ഉണ്ടാക്കുന്നു.
magazine	പത്രിക	അവൾ സംഗീത പത്രിക വായിക്കുന്നു.
main	പ്രധാന	ഇത് പ്രധാന വാതിലാണ്.
make	ചെയ്യുക; ഉണ്ടാക്കുക	ഞാൻ വീട്ടിൽ ഉച്ചഭക്ഷണം ഉണ്ടാക്കുന്നു.
man	മനുഷ്യൻ; പുരുഷൻ	ആ മനുഷ്യൻ എന്റെ അധ്യാപകനാണ്.
many	അനേകം	ഇവിടെ അനേകം വിദ്യാർത്ഥികൾ ഉണ്ട്.
map	ഭൂപടം	ഭൂപടം നോക്കൂ.
March	മാർച്ച്	എന്റെ ജന്മദിനം മാർച്ചിലാണ്.
market	ചന്ത; വിപണി	ഞങ്ങൾ ചന്തയിൽ പഴം വാങ്ങുന്നു.
married	വിവാഹിതൻ; വിവാഹിത	എന്റെ സഹോദരി വിവാഹിതയാണ്.
May	മേയ്	സ്കൂൾ മേയ് മാസത്തിൽ അവസാനിക്കുന്നു.
maybe	ഒരുപക്ഷേ	ഒരുപക്ഷേ മഴ പെയ്യും.
me	എന്നെ; എനിക്ക്	ദയവായി എന്നെ സഹായിക്കൂ.
meal	ഭക്ഷണം	ഈ ഭക്ഷണം ചൂടാണ്.
mean	അർത്ഥമാക്കുക	ഈ അടയാളം എന്താണ് അർത്ഥമാക്കുന്നത്?
meaning	അർത്ഥം	അർത്ഥം എന്താണ്?
meat	മാംസം	ഞാൻ രാത്രി ഭക്ഷണത്തിന് മാംസം കഴിക്കുന്നു.
meet	കാണുക	ഞങ്ങൾ ക്ലാസിന് ശേഷം കാണുന്നു.
meeting	യോഗം	യോഗം ഇപ്പോൾ തുടങ്ങുന്നു.
member	അംഗം	അവൾ ക്ലബ് അംഗമാണ്.
menu	മെനു	ദയവായി മെനു വായിക്കൂ.
message	സന്ദേശം	ഞാൻ ചെറിയ സന്ദേശം അയക്കുന്നു.
metre	മീറ്റർ	ഒരു മീറ്റർ മുന്നോട്ട് നടക്കൂ.
midnight	അർദ്ധരാത്രി	ട്രെയിൻ അർദ്ധരാത്രിയിൽ പുറപ്പെടുന്നു.
mile	മൈൽ	ഞങ്ങൾ ഒരു മൈൽ നടക്കുന്നു.
milk	പാൽ	ഞാൻ പ്രഭാതഭക്ഷണത്തോടൊപ്പം പാൽ കുടിക്കുന്നു.
million	പത്ത് ലക്ഷം	ഇവിടെ പത്ത് ലക്ഷം ആളുകൾ താമസിക്കുന്നു.
minute1	മിനിറ്റ്	ദയവായി ഒരു മിനിറ്റ് കാത്തിരിക്കൂ.
miss	മിസ് ചെയ്യുക; ഓർക്കുക	എനിക്ക് എന്റെ പഴയ സ്കൂൾ ഓർമ്മ വരുന്നു.
mistake	തെറ്റ്	ഈ ഉത്തരത്തിൽ ഒരു തെറ്റ് ഉണ്ട്.
model	മാതൃക	ഇത് ചെറിയ മാതൃകയാണ്.
modern	ആധുനിക	അടുക്കള ആധുനികമാണ്.
moment	നിമിഷം	ദയവായി ഒരു നിമിഷം കാത്തിരിക്കൂ.
Monday	തിങ്കളാഴ്ച	ഞങ്ങൾ തിങ്കളാഴ്ച ജോലി തുടങ്ങുന്നു.
money	പണം	എനിക്ക് കുറച്ച് പണം വേണം.
month	മാസം	ജൂൺ ചൂടുള്ള മാസമാണ്.
more	കൂടുതൽ	എനിക്ക് കൂടുതൽ സമയം വേണം.
morning	രാവിലെ	ഞാൻ രാവിലെ പഠിക്കുന്നു.
most	മിക്ക	മിക്ക വിദ്യാർത്ഥികൾക്കും സംഗീതം ഇഷ്ടമാണ്.
mother	അമ്മ	എന്റെ അമ്മ ഇന്ന് ജോലി ചെയ്യുന്നു.
mountain	മല	മല ഉയരമുള്ളതാണ്.
mouse	എലി	എലി കസേരയുടെ താഴെയാണ്.
mouth	വായ്	ദയവായി നിന്റെ വായ തുറക്കൂ.
move	നീക്കുക; നീങ്ങുക	കസേര ഇവിടെ നീക്കൂ.
movie	സിനിമ	ഞങ്ങൾ ഇന്ന് രാത്രി സിനിമ കാണുന്നു.
much	എത്ര	ഇതിന്റെ വില എത്രയാണ്?
mum	അമ്മ	എന്റെ അമ്മ വീട്ടിലാണ്.
museum	മ്യൂസിയം	മ്യൂസിയം പത്ത് മണിക്ക് തുറക്കും.
music	സംഗീതം	ഞാൻ സംഗീതം കേൾക്കുന്നു.
must modal	തീർച്ചയായും വേണം	നീ ഇവിടെ തീർച്ചയായും നിർത്തണം.
my	എന്റെ	ഇത് എന്റെ പുസ്തകമാണ്.
name	പേര്	നിന്റെ പേര് ഇവിടെ എഴുതൂ.
