simplified	PL	example_PL
啊	partykuła potwierdzenia lub zgody	Dobrze, chodźmy teraz.
阿姨	ciocia; opiekunka do dziecka; starsza kobieta	Ciocia pracuje w dużym sklepie.
矮	niski; krótki	Ten stół jest trochę niski.
爱好	hobby; zainteresowanie	Moim hobby jest słuchanie muzyki.
安静	cichy; spokojny	W bibliotece jest bardzo cicho.
把	trzymać; chwytać; partykuła dopełnienia	Proszę zamknąć drzwi.
搬	przeprowadzać się; przenosić	Jutro się przeprowadzamy.
班	klasa; grupa	W naszej klasie jest dwudziestu uczniów.
办法	sposób; metoda; rozwiązanie	Ten sposób jest bardzo dobry.
办公室	biuro	Kierownik jest w biurze.
半	pół; połowa	Czekałem pół godziny.
帮忙	pomagać; udzielać pomocy	Możesz pomóc?
包	torba; pakować; owijać	Ona kupiła nową torbę.
饱	najedzony	Jestem już najedzony.
北方	północ; północna część	Na północy zima jest bardzo zimna.
被	partykuła strony biernej; przez	Mój rower został pożyczony przez kolegę.
鼻子	nos	Jego nos jest trochę czerwony.
比较	porównywać; dość	Dzisiaj jest dość gorąco.
比赛	mecz; zawody	Ten mecz jest bardzo ważny.
笔记本	zeszyt; notes	Położyłem zeszyt na stole.
必须	musieć; konieczny	Musisz poważnie powtórzyć materiał.
变化	zmiana; zmieniać się	To miasto bardzo się zmieniło.
别人	inni ludzie	Nie bierz rzeczy innych ludzi.
冰箱	lodówka	Owoce są w lodówce.
不但…而且…	nie tylko... lecz także...	On jest nie tylko mądry, lecz także pracowity.
菜单	karta dań	Proszę dać mi kartę dań.
参加	uczestniczyć; brać udział	Chcę uczestniczyć w tym spotkaniu.
草	trawa	Szczeniak biega po trawie.
层	piętro; warstwa	Ten budynek ma trzy piętra.
差	zły; różnić się; brakować	Dzisiaj pogoda jest zła.
超市	duży sklep; sklep samoobsługowy	Idę do dużego sklepu kupić chleb.
衬衫	koszula; bluzka	Ta koszula jest bardzo czysta.
城市	miasto	Pekin to duże miasto.
成绩	wynik; ocena	Jego oceny z matematyki są bardzo dobre.
迟到	spóźnić się	Nie spóźnij się na lekcję.
除了	oprócz; poza tym	Oprócz kawy chcę też herbatę.
船	łódź; statek	Jedziemy do tego miasta statkiem.
春	wiosna	Wiosną jest dużo kwiatów.
词典	słownik	Ten słownik jest bardzo przydatny.
聪明	mądry; inteligentny	To dziecko jest bardzo mądre.
打扫	sprzątać; zamiatać	W weekend sprzątam pokój.
打算	planować; zamierzać	Jakie masz plany na jutro?
带	przynosić; zabierać	Proszę zabrać paszport.
担心	martwić się; niepokoić się	Nie martw się, pomogę ci.
蛋糕	ciasto; tort	To ciasto jest bardzo słodkie.
当然	oczywiście; rzecz jasna	Oczywiście, że możesz.
地	partykuła przysłówkowa; -o	On uśmiechnął się radośnie.
灯	lampa; światło	Proszę włączyć światło.
地方	miejsce; okolica	To miejsce jest bardzo spokojne.
地铁	metro	Co dzień jeżdżę metrem do pracy.
地图	mapa	Szukam szkoły na mapie.
电梯	winda	Winda jest po lewej stronie.
电子邮件	poczta elektroniczna	Wysyłam nauczycielowi wiadomość pocztą elektroniczną.
东	wschód	Słońce wschodzi na wschodzie.
冬	zima	Zimą lubię pić gorącą herbatę.
动物	zwierzę	Panda to znane zwierzę w Chinach.
短	krótki	Te spodnie są za krótkie.
段	akapit; fragment	Proszę przeczytać ten akapit.
锻炼	ćwiczyć; trenować	Ćwiczę każdego ranka.
多么	jakże; jaki	Jakże dobre jest tutaj środowisko!
饿	głodny	Jestem głodny i chcę zjeść chleb.
耳朵	ucho	Trochę boli mnie ucho.
发	wysyłać; wydawać	Wieczorem wysyłam wiadomości pocztą elektroniczną.
发烧	mieć gorączkę	On ma gorączkę i nie może iść do szkoły.
发现	odkryć; zauważyć	Zauważyłem, że ten sposób jest dobry.
方便	wygodny; dogodny	Jazda metrem jest wygodna.
放	kłaść; położyć; puścić	Proszę położyć książkę na stole.
放心	być spokojnym; przestać się martwić	Nie martw się, przyjdę na czas.
分	dzielić; rozdzielać	Proszę podzielić ciasto między wszystkich.
复习	powtarzać materiał; powtórka	Przed egzaminem muszę powtórzyć materiał.
附近	w pobliżu; okolica	W pobliżu jest restauracja.
干净	czysty; schludny	Ten pokój jest bardzo czysty.
感冒	przeziębić się; przeziębienie	Jestem przeziębiony i chcę odpocząć.
感兴趣	interesować się	Bardzo interesuję się językiem chińskim.
刚才	przed chwilą; dopiero co	Kto dzwonił do ciebie przed chwilą?
个子	wzrost; sylwetka	On jest wysoki.
