source_headword	LV	example_LV
rock (music)	rokmūzika	Man patīk rokmūzika.
role	loma	Viņas loma ir svarīga.
roof	jumts	Jumtu vajag salabot.
round	apaļš	Galds ir apaļš.
route	maršruts	Šis maršruts ir īsāks.
rubbish	atkritumi	Iznes atkritumus ārā.
rude	nepieklājīgs	Šī piezīme bija nepieklājīga.
runner	skrējējs	Skrējējs izskatās noguris.
running	skriešana	Skriešana palīdz man būt veselam.
sadly	diemžēl	Diemžēl mēs nokavējām vilcienu.
safe	drošs	Šī iela izskatās droša.
sail	burāt	Sestdien mēs burāsim.
sailing	burāšana	Burāšana šeit ir populāra.
salary	alga	Viņa alga tagad ir lielāka.
sale	izpārdošana	Izpārdošana sākas rīt.
sauce	mērce	Pievieno mērci rīsiem.
save	saglabāt; izglābt	Saglabā savu darbu tagad.
scared	nobijies	Bērns ir nobijies.
scary	biedējošs	Šis stāsts ir biedējošs.
scene	aina	Pēdējā aina bija smieklīga.
schedule	grafiks	Šodien pārbaudi grafiku.
score	rezultāts	Kāds ir rezultāts?
screen	ekrāns	Uzmanīgi notīri ekrānu.
search	meklēt	Meklē attēlus internetā.
season	sezona	Vasara ir aizņemta sezona.
seat	sēdvieta	Lūdzu, apsēdies šajā sēdvietā.
second1 (next after the first)	otrais	Otrkārt, nomazgā rokas.
secondly	otrkārt	Otrkārt, pārbaudi atbildi.
secret	noslēpums	Glabā šo noslēpumu.
secretary	sekretārs; sekretāre	Sekretāre šodien piezvanīja.
seem	šķist	Tu šķieti noguris.
sense	jēga	Šim plānam ir jēga.
separate	atsevišķs	Turi papīrus atsevišķi.
series	seriāls; sērija	Šis seriāls ir populārs.
serious	nopietns	Šī problēma ir nopietna.
serve	pasniegt	Pusdienas pasniedz pusdienlaikā.
service	pakalpojums	Pakalpojums bija ātrs.
several	vairāki	Vairāki skolēni ieradās agri.
shake	sakratīt	Vispirms sakrati pudeli.
shall modal	vai lai	Vai lai sākam tagad?
shape	forma	Uzzīmē kvadrātveida formu.
sheet	palags	Uzliec palagu uz gultas.
ship	kuģis	Kuģis šodien aizpeldēja.
shoulder	plecs	Man sāp plecs.
shout	kliegt	Nekliedz klasē.
shut	aizvērt	Lūdzu, aizver logu.
side	puse	Apsēdies šajā pusē.
sign	zīme	Rūpīgi izlasi zīmi.
silver	sudrabs	Sudrabs ir gaišs metāls.
simple	vienkāršs	Šis vingrinājums ir vienkāršs.
since	kopš	Es gaidu kopš pusdienlaika.
singing	dziedāšana	Dziedāšana palīdz man atpūsties.
single	viens	Es nopirku vienu biļeti.
sir	kungs	Kungs, jūsu soma ir gatava.
site	vietne	Šī vietne ir droša.
size	izmērs	Kāds izmērs tev vajadzīgs?
ski	slēpot	Ziemā mēs slēpojam.
skiing	slēpošana	Slēpošana ziemā ir jautra.
skin	āda	Viņas āda ir sausa.
sky	debesis	Debesis ir skaidras.
slowly	lēni	Ej lēni pa ledu.
smartphone	viedtālrunis	Mans viedtālrunis ir jauns.
smell	smarža; smaržot	Zupa labi smaržo.
smile	smaids; pasmaidīt	Pasmaidi kamerai.
smoke	dūmi	Dūmi piepildīja istabu.
smoking	smēķēšana	Smēķēšana nav atļauta.
soap	ziepes	Lieto ziepes un ūdeni.
soccer	futbols	Futbols šeit ir populārs.
social	sabiedrisks	Šis ir sabiedrisks pasākums.
society	sabiedrība	Sabiedrība laika gaitā mainās.
sock	zeķe	Viena zeķe trūkst.
soft	mīksts	Šī sega ir mīksta.
soldier	karavīrs	Karavīrs atgriezās mājās.
solution	risinājums	Mēs atradām risinājumu.
solve	atrisināt	Atrisini šo mīklu.
somewhere	kaut kur	Noliec to kaut kur droši.
sort	veids	Kādu veidu tu gribi?
source	avots	Vispirms pārbaudi avotu.
speaker	runātājs; skaļrunis	Skaļrunis bija skaļš.
specific	konkrēts	Man vajag konkrētu atbildi.
speech	runa	Viņas runa bija īsa.
speed	ātrums	Šeit samazini ātrumu.
spider	zirneklis	Uz sienas ir zirneklis.
spoon	karote	Zupai izmanto karoti.
square	kvadrātveida	Uzzīmē kvadrātveida kasti.
stage	skatuve	Grupa ir uz skatuves.
stair	pakāpiens	Pakāpiens ir salauzts.
stamp	pastmarka	Uzlīmē pastmarku uz vēstules.
state	paziņot	Skaidri pasaki savu vārdu.
steal	nozagt	Nezodz naudu.
step	solis	Sper vienu soli uz priekšu.
stomach	vēders	Man sāp vēders.
stone	akmens	Akmens ir smags.
store	veikals	Veikals aizveras agri.
storm	vētra	Tuvojas vētra.
straight	taisni	Ej taisni mājās.
strange	dīvains	Šī skaņa ir dīvaina.
strategy	stratēģija	Mums vajag stratēģiju.
stress	stress	Darbs var radīt stresu.
structure	struktūra	Šī struktūra ir stipra.
stupid	muļķīgs	Tā bija muļķīga kļūda.
succeed	izdoties	Tev šeit var izdoties.
successful	veiksmīgs	Viņa kļuva veiksmīga.
