hsk_key	source_word	simplified	JA	example_JA	KO	example_KO	VI	example_VI	TH	example_TH	MS	example_MS	ID	example_ID
2002:哎呀	哎呀	哎呀	ああ; しまった	ああ、鍵を家に忘れてきました。	아이고; 어머	아이고, 열쇠를 집에 두고 왔어요.	ôi; chết rồi	Ôi, tôi để quên chìa khóa ở nhà rồi.	อ้าว; โอ๊ย	อ้าว ฉันลืมกุญแจไว้ที่บ้าน.	aduh; alamak	Aduh, saya tertinggal kunci di rumah.	aduh; wah	Aduh, saya meninggalkan kunci di rumah.
2005:安	安	安	静かだ; 穏やかだ	子どもが寝つくと、部屋は急に静かになりました。	조용하다; 평안하다	아이가 잠든 뒤 방이 갑자기 조용해졌습니다.	yên; yên tĩnh	Sau khi đứa trẻ ngủ, căn phòng bỗng yên tĩnh.	สงบ; เงียบ	หลังจากเด็กหลับ ห้องก็เงียบลงทันที.	tenang; damai	Selepas anak itu tidur, bilik itu tiba-tiba menjadi tenang.	tenang; damai	Setelah anak itu tidur, kamar menjadi tenang.
2006:安全带	安全带	安全带	シートベルト	運転する前にシートベルトを締めてください。	안전벨트	운전하기 전에 안전벨트를 매세요.	dây an toàn	Trước khi lái xe, hãy thắt dây an toàn.	เข็มขัดนิรภัย	ก่อนขับรถ กรุณาคาดเข็มขัดนิรภัยให้เรียบร้อย.	tali pinggang keledar	Sila pakai tali pinggang keledar sebelum memandu.	sabuk pengaman	Silakan kenakan sabuk pengaman sebelum mengemudi.
2013:半夜	半夜	半夜	真夜中; 夜中	夜中に誰かが彼に電話をかけてきました。	한밤중; 심야	한밤중에 누군가가 그에게 전화를 걸었습니다.	nửa đêm; đêm khuya	Nửa đêm có người gọi điện cho anh ấy.	กลางดึก; เที่ยงคืน	กลางดึกมีคนโทรหาเขา.	tengah malam; lewat malam	Ada orang menelefonnya pada tengah malam.	tengah malam; larut malam	Seseorang meneleponnya tengah malam.
2020:宝	宝	宝	宝物; 大切な人	この古い玉は家の宝物です。	보물; 귀한 사람	이 오래된 옥은 집안의 보물입니다.	báu vật; người yêu quý	Miếng ngọc cũ này là báu vật của gia đình.	สมบัติ; คนรัก	หยกเก่าชิ้นนี้เป็นสมบัติของครอบครัว.	harta; kesayangan	Batu jed lama ini ialah harta keluarga.	harta; kesayangan	Giok tua ini adalah harta keluarga.
2021:保	保	保	守る; 保つ	私たちはこの森を守らなければなりません。	지키다; 보전하다	우리는 이 숲을 지켜야 합니다.	bảo vệ; giữ	Chúng ta cần bảo vệ khu rừng này.	ปกป้อง; รักษา	พวกเราต้องปกป้องป่าผืนนี้ไว้.	melindungi; mengekalkan	Kita perlu melindungi kawasan hutan ini.	melindungi; menjaga	Kita perlu melindungi kawasan hutan ini.
2022:保安	保安	保安	警備員; 警備	入口の警備員が私の身分証を確認しました。	경비원; 보안	입구의 경비원이 제 신분증을 확인했습니다.	nhân viên bảo vệ; bảo vệ	Nhân viên bảo vệ ở cửa đã kiểm tra giấy tờ của tôi.	เจ้าหน้าที่รักษาความปลอดภัย; การรักษาความปลอดภัย	เจ้าหน้าที่รักษาความปลอดภัยที่ประตูตรวจบัตรของฉัน.	pengawal keselamatan; keselamatan	Pengawal keselamatan di pintu masuk memeriksa kad pengenalan saya.	petugas keamanan; keamanan	Petugas keamanan di pintu masuk memeriksa identitas saya.
2029:保质期	保质期	保质期	賞味期限; 品質保持期限	牛乳を買う前に賞味期限を確認してください。	유통기한; 품질 보증 기간	우유를 사기 전에 유통기한을 확인해야 합니다.	hạn sử dụng; thời hạn bảo quản	Trước khi mua sữa, cần xem hạn sử dụng.	วันหมดอายุ; ระยะเวลารับประกันคุณภาพ	ก่อนซื้อนมต้องดูวันหมดอายุ.	tarikh luput; tempoh simpan	Sebelum membeli susu, lihat tarikh luput dahulu.	tanggal kedaluwarsa; masa simpan	Sebelum membeli susu, periksa tanggal kedaluwarsanya.
2034:暴雨	暴雨	暴雨	豪雨; 大雨	豪雨の後、道路にはたくさん水がたまりました。	폭우	폭우가 지나간 뒤 길에 물이 많이 고였습니다.	mưa bão lớn; mưa to	Sau trận mưa lớn, trên đường đọng rất nhiều nước.	ฝนตกหนัก; พายุฝน	หลังฝนตกหนัก ถนนมีน้ำขังมาก.	hujan lebat; ribut hujan	Selepas hujan lebat, banyak air bertakung di jalan.	hujan lebat; badai hujan	Setelah hujan lebat, banyak air menggenang di jalan.
2037:背后	背后	背后	背後; 裏側	成功の背後には多くの努力があります。	뒤; 배경	성공의 뒤에는 많은 노력이 있습니다.	phía sau; đằng sau	Đằng sau thành công có rất nhiều nỗ lực.	เบื้องหลัง; ด้านหลัง	เบื้องหลังความสำเร็จมีความพยายามมากมาย.	di belakang; latar belakang	Di sebalik kejayaan ada banyak usaha.	di balik; latar belakang	Di balik keberhasilan ada banyak usaha.
