source_headword	HY	example_HY
rock (music)	ռոք երաժշտություն	Ես սիրում եմ ռոք երաժշտություն։
role	դեր	Նրա դերը կարևոր է։
roof	տանիք	Տանիքը վերանորոգման կարիք ունի։
round	կլոր	Սեղանը կլոր է։
route	երթուղի	Այս երթուղին ավելի կարճ է։
rubbish	աղբ	Աղբը դուրս տար։
rude	կոպիտ	Այդ մեկնաբանությունը կոպիտ էր։
runner	վազորդ	Վազորդը հոգնած է թվում։
running	վազք	Վազքն ինձ առողջ է պահում։
sadly	ցավոք	Ցավոք, մենք գնացքից ուշացանք։
safe	անվտանգ	Այս փողոցը անվտանգ է թվում։
sail	նավարկել	Մենք շաբաթ օրը նավարկելու ենք։
sailing	առագաստանավային սպորտ	Առագաստանավային սպորտը այստեղ հայտնի է։
salary	աշխատավարձ	Նրա աշխատավարձը հիմա ավելի բարձր է։
sale	զեղչ	Զեղչը վաղը սկսվում է։
sauce	սոուս	Բրնձին սոուս ավելացրու։
save	պահպանել	Հիմա աշխատանքդ պահպանիր։
scared	վախեցած	Երեխան վախեցած է։
scary	վախեցնող	Այս պատմությունը վախեցնող է։
scene	տեսարան	Վերջին տեսարանը ծիծաղելի էր։
schedule	ժամանակացույց	Այսօր ժամանակացույցը ստուգիր։
score	հաշիվ	Հաշիվը քանի է։
screen	էկրան	Էկրանը զգուշորեն մաքրիր։
search	որոնում	Նկարները վեբում որոնիր։
season	սեզոն	Ամառը զբաղված սեզոն է։
seat	նստատեղ	Խնդրում եմ, այս նստատեղը վերցրու։
second1 (next after the first)	երկրորդ	Երկրորդ, ձեռքերդ լվա։
secondly	երկրորդ հերթին	Երկրորդ հերթին, պատասխանդ ստուգիր։
secret	գաղտնի	Այս գաղտնիքը ապահով պահիր։
secretary	քարտուղար	Քարտուղարը այսօր զանգեց։
seem	թվալ	Դու հոգնած ես թվում։
sense	իմաստ	Այս ծրագիրը իմաստ ունի։
separate	առանձին	Թղթերը առանձին պահիր։
series	շարք	Այս շարքը հայտնի է։
serious	լուրջ	Այս խնդիրը լուրջ է։
serve	մատուցել	Նրանք կեսօրին ճաշ են մատուցում։
service	ծառայություն	Ծառայությունը արագ էր։
several	մի քանի	Մի քանի ուսանող շուտ եկավ։
shake	թափահարել	Նախ շիշը թափահարիր։
shall modal	պետք է	Պետք է հիմա սկսե՞նք։
shape	ձև	Քառակուսի ձև նկարիր։
sheet	սավան	Սավանը մահճակալի վրա դիր։
