source_headword	ML	example_ML
rock (music)	റോക്ക് സംഗീതം	എനിക്ക് റോക്ക് സംഗീതം ഇഷ്ടമാണ്.
role	പങ്ക്	അവളുടെ പങ്ക് പ്രധാനമാണ്.
roof	മേൽക്കൂര	മേൽക്കൂരയ്ക്ക് അറ്റകുറ്റപ്പണി വേണം.
round	വൃത്താകൃതിയുള്ള	മേശ വൃത്താകൃതിയിലാണ്.
route	വഴി	ഈ വഴി ചെറുതാണ്.
rubbish	മാലിന്യം	മാലിന്യം പുറത്തേക്ക് ഇടൂ.
rude	മര്യാദയില്ലാത്ത	ആ പരാമർശം മര്യാദയില്ലാത്തതായിരുന്നു.
runner	ഓട്ടക്കാരൻ	ഓട്ടക്കാരൻ ക്ഷീണിച്ചതായി തോന്നുന്നു.
running	ഓട്ടം	ഓട്ടം എന്നെ ആരോഗ്യവാനാക്കുന്നു.
sadly	ദുഃഖത്തോടെ	ദുഃഖത്തോടെ, ഞങ്ങൾ ട്രെയിൻ നഷ്ടപ്പെടുത്തി.
safe	സുരക്ഷിതം	ഈ റോഡ് സുരക്ഷിതമായി തോന്നുന്നു.
sail	കപ്പലിൽ സഞ്ചരിക്കുക	ഞങ്ങൾ ശനിയാഴ്ച കപ്പലിൽ സഞ്ചരിക്കും.
sailing	കപ്പൽയാത്ര	കപ്പൽയാത്ര ഇവിടെ ജനപ്രിയമാണ്.
salary	ശമ്പളം	അവന്റെ ശമ്പളം ഇപ്പോൾ കൂടുതലാണ്.
sale	വിൽപ്പന	വിൽപ്പന നാളെ തുടങ്ങും.
sauce	സോസ്	ചോറിൽ സോസ് ചേർക്കൂ.
save	സംരക്ഷിക്കുക	നിന്റെ ജോലി ഇപ്പോൾ സംരക്ഷിക്കൂ.
scared	ഭയപ്പെട്ട	കുട്ടി ഭയപ്പെട്ടതായി തോന്നുന്നു.
scary	ഭയങ്കരമായ	ഈ കഥ ഭയങ്കരമാണ്.
scene	രംഗം	അവസാന രംഗം രസകരമായിരുന്നു.
schedule	ക്രമപ്പട്ടിക	ഇന്നത്തെ ക്രമപ്പട്ടിക നോക്കൂ.
score	സ്കോർ	സ്കോർ എത്രയാണ്?
screen	സ്ക്രീൻ	സ്ക്രീൻ ശ്രദ്ധയോടെ വൃത്തിയാക്കൂ.
search	തിരയുക	ചിത്രങ്ങൾക്കായി വെബിൽ തിരയൂ.
season	കാലം	വേനൽ തിരക്കേറിയ കാലമാണ്.
seat	സീറ്റ്	ദയവായി ഈ സീറ്റ് എടുക്കൂ.
second1 (next after the first)	രണ്ടാമത്തെ	ഇത് രണ്ടാമത്തെ ചോദ്യമാണ്.
secondly	രണ്ടാമതായി	രണ്ടാമതായി, നിന്റെ ഉത്തരം പരിശോധിക്കൂ.
secret	രഹസ്യം	ഈ രഹസ്യം സുരക്ഷിതമായി സൂക്ഷിക്കൂ.
secretary	സെക്രട്ടറി	സെക്രട്ടറി ഇന്ന് വിളിച്ചു.
seem	തോന്നുക	നീ ക്ഷീണിതനായി തോന്നുന്നു.
sense	അർത്ഥം	ഈ പദ്ധതിക്ക് അർത്ഥമുണ്ട്.
separate	വേറിട്ട	കടലാസുകൾ വേർതിരിച്ച് വയ്ക്കൂ.
series	പരമ്പര	ഈ പരമ്പര ജനപ്രിയമാണ്.
serious	ഗൗരവമുള്ള	ഈ പ്രശ്നം ഗൗരവമുള്ളതാണ്.
serve	വിളമ്പുക	അവർ ഉച്ചഭക്ഷണം വിളമ്പുന്നു.
service	സേവനം	സേവനം വേഗത്തിലായിരുന്നു.
several	പല	പല വിദ്യാർത്ഥികളും നേരത്തെ വന്നു.
shake	കുലുക്കുക	ആദ്യം കുപ്പി കുലുക്കൂ.
shall modal	ചെയ്യാമോ	നമുക്ക് ഇപ്പോൾ തുടങ്ങാമോ?
shape	ആകൃതി	ഒരു ചതുരാകൃതി വരയ്ക്കൂ.
sheet	കിടക്കവിരി	കിടക്കവിരി കിടക്കയിൽ ഇടൂ.
ship	കപ്പൽ	കപ്പൽ ഇന്ന് പുറപ്പെട്ടു.
shoulder	തോൾ	എന്റെ തോൾ വേദനിക്കുന്നു.
shout	വിളിച്ചുപറയുക	ക്ലാസിൽ വിളിച്ചുപറയരുത്.
shut	അടയ്ക്കുക	ദയവായി ജനൽ അടയ്ക്കൂ.
side	വശം	ഈ വശത്ത് ഇരിക്കൂ.
sign	അടയാളം	അടയാളം ശ്രദ്ധയോടെ വായിക്കൂ.
silver	വെള്ളി	വെള്ളി തിളങ്ങുന്ന ലോഹമാണ്.
simple	ലളിതം	ഈ അഭ്യാസം ലളിതമാണ്.
since	മുതൽ	ഞാൻ ഉച്ച മുതൽ കാത്തിരിക്കുന്നു.
singing	പാടൽ	പാടൽ എനിക്ക് വിശ്രമം നൽകുന്നു.
single	ഒറ്റ	ഞാൻ ഒരു ടിക്കറ്റ് വാങ്ങി.
sir	സാർ	സാർ, നിങ്ങളുടെ ബാഗ് തയ്യാറാണ്.
site	സൈറ്റ്	ഈ സൈറ്റ് സുരക്ഷിതമാണ്.
size	വലിപ്പം	നിനക്ക് ഏത് വലിപ്പം വേണം?
ski	സ്കീ ചെയ്യുക	ഞങ്ങൾ ശീതകാലത്ത് സ്കീ ചെയ്യും.
skiing	സ്കീയിംഗ്	ശീതകാലത്ത് സ്കീയിംഗ് രസകരമാണ്.
skin	ത്വക്ക്	അവളുടെ ത്വക്ക് വരണ്ടതായി തോന്നുന്നു.
sky	ആകാശം	ആകാശം തെളിഞ്ഞിരിക്കുന്നു.
slowly	പതുക്കെ	മഞ്ഞിൽ പതുക്കെ നടക്കൂ.
smartphone	സ്മാർട്ട് ഫോൺ	എന്റെ സ്മാർട്ട് ഫോൺ പുതുതാണ്.
smell	മണം വരുക	സൂപ്പിന് നല്ല മണം വരുന്നു.
smile	പുഞ്ചിരിക്കുക	ക്യാമറയ്ക്കായി പുഞ്ചിരിക്കൂ.
smoke	പുക	പുക മുറി നിറച്ചു.
smoking	പുകവലി	പുകവലി അനുവദനീയമല്ല.
soap	സോപ്പ്	സോപ്പും വെള്ളവും ഉപയോഗിക്കൂ.
soccer	സോക്കർ	സോക്കർ ഇവിടെ ജനപ്രിയമാണ്.
social	സാമൂഹിക	ഇത് ഒരു സാമൂഹിക പരിപാടിയാണ്.
society	സമൂഹം	സമൂഹം കാലത്തോടൊപ്പം മാറുന്നു.
sock	മൊഴ	ഒരു മൊഴ കാണാനില്ല.
soft	മൃദുവായ	ഈ കമ്പിളി മൃദുവാണ്.
soldier	സൈനികൻ	സൈനികൻ വീട്ടിലെത്തി.
solution	പരിഹാരം	ഞങ്ങൾ ഒരു പരിഹാരം കണ്ടെത്തി.
solve	പരിഹരിക്കുക	ഈ പസിൽ പരിഹരിക്കൂ.
somewhere	എവിടെയെങ്കിലും	അത് എവിടെയെങ്കിലും സുരക്ഷിതമായി വയ്ക്കൂ.
sort	തരം	നിനക്ക് ഏത് തരം വേണം?
source	ഉറവിടം	ആദ്യം ഉറവിടം പരിശോധിക്കൂ.
speaker	പ്രഭാഷകൻ	പ്രഭാഷകൻ ഉച്ചത്തിൽ സംസാരിച്ചു.
specific	നിർദ്ദിഷ്ട	എനിക്ക് നിർദ്ദിഷ്ട ഉത്തരം വേണം.
speech	പ്രസംഗം	അവളുടെ പ്രസംഗം ചെറുതായിരുന്നു.
speed	വേഗം	ഇവിടെ നിന്റെ വേഗം കുറയ്ക്കൂ.
spider	ചിലന്തി	ഭിത്തിയിൽ ഒരു ചിലന്തി ഉണ്ട്.
spoon	കരണ്ടി	സൂപ്പിന് കരണ്ടി ഉപയോഗിക്കൂ.
square	ചതുരം	ചതുരപ്പെട്ടി വരയ്ക്കൂ.
stage	വേദി	ബാൻഡ് വേദിയിലാണ്.
stair	പടി	പടി തകർന്നിരിക്കുന്നു.
stamp	സ്റ്റാമ്പ്	കത്തിൽ സ്റ്റാമ്പ് ഒട്ടിക്കൂ.
state	പറയുക	നിന്റെ പേര് വ്യക്തമായി പറയൂ.
steal	മോഷ്ടിക്കുക	പണം മോഷ്ടിക്കരുത്.
step	ചുവട്	ഒരു ചുവട് മുന്നോട്ട് വയ്ക്കൂ.
stomach	വയർ	എന്റെ വയർ വേദനിക്കുന്നു.
stone	കല്ല്	കല്ല് ഭാരമുള്ളതാണ്.
store	കട	കട നേരത്തെ അടയ്ക്കും.
storm	കൊടുങ്കാറ്റ്	കൊടുങ്കാറ്റ് വരുന്നു.
straight	നേരെ	നേരെ വീട്ടിലേക്ക് പോകൂ.
strange	വിചിത്രം	ആ ശബ്ദം വിചിത്രമാണ്.
strategy	തന്ത്രം	നമുക്ക് ഒരു തന്ത്രം വേണം.
stress	സമ്മർദ്ദം	ജോലി സമ്മർദ്ദം ഉണ്ടാക്കാം.
structure	ഘടന	ഈ ഘടന ശക്തമാണ്.
stupid	മണ്ടൻ	അത് മണ്ടൻ തെറ്റായിരുന്നു.
succeed	വിജയിക്കുക	നിനക്ക് ഇവിടെ വിജയിക്കാം.
successful	വിജയകരം	അവൾ വിജയിച്ചു.
such	അത്തരത്തിലുള്ള	അത്തരത്തിലുള്ള സഹായം ഉപകാരപ്രദമാണ്.
suddenly	പെട്ടെന്ന്	പെട്ടെന്ന്, നായ ഓടി.
suggest	നിർദ്ദേശിക്കുക	ഞാൻ ചെറിയ ഇടവേള നിർദ്ദേശിക്കുന്നു.
suggestion	നിർദ്ദേശം	നിന്റെ നിർദ്ദേശം സഹായകരമാണ്.
suit	സ്യൂട്ട്	ഈ സ്യൂട്ട് വിലകൂടിയതാണ്.
support	പിന്തുണയ്ക്കുക	ഞങ്ങൾ നമ്മുടെ ടീമിനെ പിന്തുണയ്ക്കുന്നു.
suppose	കരുതുക	നീ ശരിയാണെന്ന് ഞാൻ കരുതുന്നു.
surprise	അദ്ഭുതം	അദ്ഭുതം അവളെ സന്തോഷിപ്പിച്ചു.
surprised	അദ്ഭുതപ്പെട്ട	അവൾ ഇന്ന് അദ്ഭുതപ്പെട്ടു.
surprising	അദ്ഭുതകരം	ഫലം അദ്ഭുതകരമായിരുന്നു.
survey	സർവേ	ദയവായി സർവേ പൂർത്തിയാക്കൂ.
sweet	മധുരമുള്ള	ഈ ചായ മധുരമുള്ളതാണ്.
symbol	ചിഹ്നം	ഈ ചിഹ്നം അപകടം സൂചിപ്പിക്കുന്നു.
system	സംവിധാനം	സംവിധാനം നന്നായി പ്രവർത്തിക്കുന്നു.
tablet	ടാബ്ലെറ്റ്	എന്റെ ടാബ്ലെറ്റ് മേശപ്പുറത്താണ്.
target	ലക്ഷ്യം	ലക്ഷ്യം ശ്രദ്ധയോടെ അടിക്കൂ.
task	ജോലി	ഈ ജോലി എളുപ്പമാണ്.
taste	രുചിക്കുക	ആദ്യം സൂപ്പ് രുചിക്കൂ.
teaching	പഠിപ്പിക്കൽ	പഠിപ്പിക്കൽ കഠിനമായ ജോലിയാണ്.
technology	സാങ്കേതികവിദ്യ	സാങ്കേതികവിദ്യ വേഗത്തിൽ മാറുന്നു.
teenage	കൗമാരക്കാരനായ	എന്റെ കൗമാരക്കാരനായ സഹോദരൻ കഠിനമായി പഠിക്കുന്നു.
temperature	താപനില	താപനില കുറഞ്ഞു.
term	കാലാവധി	ഈ കാലാവധി വേഗം അവസാനിക്കും.
themselves	അവർ തന്നെ	അവർ തന്നെ അത്താഴം പാകം ചെയ്തു.
thick	കട്ടിയുള്ള	ഈ പുസ്തകം കട്ടിയുള്ളതാണ്.
thief	കള്ളൻ	കള്ളൻ ഓടിപ്പോയി.
thin	മെലിഞ്ഞ	കടലാസ് മെലിഞ്ഞതാണ്.
thinking	ചിന്ത	ചിന്തയ്ക്ക് സമയം വേണം.
thought	ചിന്ത	എനിക്ക് വിചിത്രമായ ചിന്ത വന്നു.
throw	എറിയുക	പന്ത് മൃദുവായി എറിയൂ.
tidy	വൃത്തിയുള്ള	നിന്റെ മുറി വൃത്തിയായി വയ്ക്കൂ.
tie	കെട്ടുക	നിന്റെ ചെരുപ്പുകൾ ഇപ്പോൾ കെട്ടൂ.
tip	ടിപ്പ്	സേവനത്തിന് ടിപ്പ് വിടൂ.
tool	ഉപകരണം	ശരിയായ ഉപകരണം ഉപയോഗിക്കൂ.
top	മുകളിൽ	മുകളിലെ തട്ട് നിറഞ്ഞിരിക്കുന്നു.
touch	തൊടുക	ഗ്ലാസ് തൊടരുത്.
tour	സഞ്ചാരം	ഞങ്ങൾ നഗരസഞ്ചാരം നടത്തി.
tourism	വിനോദസഞ്ചാരം	വിനോദസഞ്ചാരം ഈ പട്ടണത്തെ സഹായിക്കുന്നു.
towards	വശത്തേക്ക്	സ്റ്റേഷന്റെ വശത്തേക്ക് നടക്കൂ.
towel	തൂവാൽ	വൃത്തിയുള്ള തൂവാൽ കൊണ്ടുവരൂ.
tower	ഗോപുരം	ഗോപുരം വളരെ പഴയതാണ്.
toy	കളിപ്പാട്ടം	കളിപ്പാട്ട കാർ ചുവപ്പാണ്.
track	പാത	പാത വടക്കോട്ട് പോകുന്നു.
tradition	പരമ്പര്യം	ഈ പരമ്പര്യം പഴയതാണ്.
traditional	പരമ്പരാഗത	അവൾ പരമ്പരാഗത വസ്ത്രം ധരിച്ചു.
