source_headword	RU	example_RU
absorb	поглощать	Полотенце быстро впитывает воду.
abstract	абстрактный	На лекции обсуждались абстрактные идеи.
accent	акцент	Её акцент легко понять.
accidentally	случайно	Я случайно удалил файл.
accommodate	приспосабливать	Отель может размещать большие семьи.
accomplish	выполнять	Она достигла своей цели до июня.
accountant	бухгалтер	Бухгалтер проверил счет.
accuracy	точность	Тест измеряет точность чтения.
accurately	точно	Карта точно показывает маршрут.
acid	кислота	Кислота повредила металлическую поверхность.
activate	активировать	Нажмите кнопку, чтобы активировать сигнализацию.
addiction	зависимость	Его зависимость повлияла на его работу.
additionally	дополнительно	Кроме того, нам нужно больше стульев.
adequate	адекватный	В комнате достаточное освещение.
adequately	адекватно	Отчет должным образом объяснил проблему.
adjust	регулировать	Отрегулируйте сиденье перед вождением.
affordable	доступный	Эта квартира доступна по цене для студентов.
agriculture	сельское хозяйство	Сельское хозяйство поддерживает многие сельские семьи.
AIDS	СПИД	Врачи лечат СПИД современными лекарствами.
alien	инопланетянин	В фильме показана инопланетная планета.
alongside	рядом с	Велосипедная дорожка проходит вдоль реки.
altogether	в целом	В целом проект занял шесть недель.
ambulance	скорая помощь	Скорая помощь прибыла через несколько минут.
amusing	забавный	История была забавной и легкой.
analyst	аналитик	Аналитик проверил данные о продажах.
ancestor	предок	Мой предок жил недалеко от этой деревни.
animation	анимация	Анимация сделала урок более понятным.
annually	ежегодно	Фестиваль проводится ежегодно.
anticipate	предвидеть	Мы ожидаем плотное движение завтра.
anxiety	тревога	Тревога может затруднить сон.
apology	извинение	Она принесла искренние извинения.
applicant	кандидат	Кандидат прислал новое резюме.
appropriately	уместно	Пожалуйста, оденьтесь соответствующим образом для интервью.
arrow	стрела	Стрелка указывает на выход.
artwork	произведение искусства	В музее были выставлены местные произведения искусства.
aside	в сторону	Она отошла в сторону, чтобы дать ему пройти.
asset	актив	Опыт является ценным активом.
assign	назначать	Учитель задал домашнее задание сегодня.
assistance	помощь	Пожалуйста, обратитесь за помощью к персоналу.
assumption	предположение	Это предположение может быть неверным.
assure	уверять	Уверяю вас, дверь заперта.
astonishing	поразительный	Вид со скалы был удивительным.
attachment	вложение	Электронное письмо содержит вложение.
auction	аукцион	Картина была продана на аукционе.
audio	аудио	Аудиозапись звучит четко.
automatic	автоматический	У двери автоматический замок.
automatically	автоматически	Свет включается автоматически.
awareness	осведомленность	Кампания повысила осведомленность общественности.
awkward	неловкий	Молчание было неловким.
badge	значок	Посетители должны носить значок.
balanced	сбалансированный	Сбалансированная диета включает овощи.
ballet	балет	Она занимается балетом после школы.
balloon	воздушный шар	Воздушный шар парил над столом.
barely	едва	Он едва расслышал объявление.
bargain	выгодная сделка	Эта куртка была настоящей выгодной покупкой.
basement	подвал	Мы спустили коробки в подвал.
basket	корзина	Она положила яблоки в корзину.
bat	бита	Летучая мышь вылетела из пещеры.
beneficial	полезный	Регулярные упражнения полезны для здоровья.
beside	рядом с	Лампа стоит рядом с диваном.
besides	кроме того	Кроме математики, он изучает химию.
bias	предвзятость	Статья продемонстрировала явную предвзятость.
bid	заявка	Компания сделала более высокую ставку.
biological	биологический	Биологический тест подтвердил результат.
blanket	одеяло	Ребенок спал под одеялом.
blow	удар	Сильный удар разбил окно.
bold	смелый	В заголовке использовались жирные буквы.
bombing	бомбардировка	Бомбардировка повредила несколько зданий.
booking	бронирование	Я подтвердил бронирование отеля.
boost	стимулировать	Победа повысила уверенность команды.
bound	обязательный	Посылка была связана веревкой.
brick	кирпич	Стена сделана из кирпича.
briefly	кратко	Она выступила кратко после обеда.
broadcaster	диктор	Вещатель взял интервью у мэра.
broadly	в общих чертах	Два плана в общих чертах похожи.
bug	ошибка	Приложение дало сбой из-за ошибки.
cabin	хижина	Мы остановились в небольшом домике.
canal	канал	Лодки медленно двигались по каналу.
candle	свеча	Свеча горела на столе.
carbon	углерод	Деревья поглощают углерод из воздуха.
casual	неформальный	Он надел повседневную одежду на работу.
cave	пещера	Туристы вошли в пещеру.
certainty	уверенность	Мы не можем знать с уверенностью.
certificate	сертификат	Она получила сертификат об обучении.
challenging	сложный	Курс был сложным, но полезным.
championship	чемпионат	Наша команда вышла в финал чемпионата.
charming	очаровательный	Старая улица выглядела очаровательной.
chase	преследовать	Собака погналась за мячом.
cheek	щека	Слеза скатилась по ее щеке.
cheer	подбадривать	Толпа начала громко аплодировать.
choir	хор	Хор пел прекрасно.
chop	рубить	Нарежьте лук мелкими кусочками.
circuit	схема	Бегун завершил круг.
civilization	цивилизация	Древняя цивилизация сформировала этот регион.
clarify	прояснить	Пожалуйста, проясните последний пункт.
classify	классифицировать	Ученые классифицируют животных по видам.
clerk	служащий	Клерк распечатал квитанцию.
cliff	скала	Тропа заканчивается возле утеса.
clinic	клиника	Клиника открывается в восемь.
clip	клип	Она прикрепила скрепку к бумаге.
coincidence	совпадение	Встретить его там было совпадением.
collector	коллекционер	Коллекционер купил редкие монеты.
colony	колония	Муравьи построили большую колонию.
colourful	красочный	Рынок был ярким и красочным.
comic	комикс	Комическая сцена заставила нас смеяться.
commander	командир	Командир отдал чёткие приказы.
comparative	сравнительный	В эссе используются сравнительные данные.
completion	завершение	Мост близок к завершению.
compose	составлять	Он сочинит музыку для фильма.
composer	композитор	Композитор написал новую песню.
compound	соединение	Это соединение содержит два химических вещества.
comprehensive	всеобъемлющий	Руководство дает подробные инструкции.
comprise	включать	Команда состоит из пяти человек.
compulsory	обязательный	Посещение этого занятия обязательно.
concrete	бетон	Пол сделан из бетона.
confess	признаваться	Он признался в ошибке своему учителю.
confusion	путаница	Задержка вызвала путаницу.
consequently	следовательно	Пошел дождь; следовательно, матч был остановлен.
conservation	сохранение	Охрана природы защищает редких животных.
considerable	значительный	Ремонт занял значительное время.
considerably	значительно	В этом году цены значительно выросли.
consistently	последовательно	Она стабильно хорошо выступает.
conspiracy	заговор	Полиция расследовала заговор.
consult	консультировать	Проконсультируйтесь с врачом перед приемом лекарства.
consultant	консультант	Консультант предложил новую стратегию.
consumption	потребление	Потребление энергии снизилось в прошлом месяце.
controversial	спорный	Эта политика остается спорной.
controversy	разногласие	Это решение вызвало споры.
convenience	удобство	Этот магазин предлагает большое удобство.
