source_headword	SI	example_SI
clothes	ඇඳුම්	මගේ ඇඳුම් පිරිසිදුයි.
club	සමාජය; සංගමය	ඇය සංගීත සමාජයට යයි.
coat	කබාය	මගේ කබාය උණුසුම්ය.
coffee	කෝපි	මම උදෑසන කෝපි බොමි.
cold	සීතල	ජලය සීතලයි.
college	විද්‍යාලය	මගේ අක්කා විද්‍යාලයේ සිටී.
colour	වර්ණය	මගේ ප්‍රියතම වර්ණය නිල්ය.
come	එන්න	කරුණාකර මෙහි එන්න.
common	සාමාන්‍ය	මෙම නම සාමාන්‍යයයි.
company	සමාගම	මගේ අම්මා සමාගමක වැඩ කරයි.
compare	සසඳන්න	මෙම පින්තූර දෙක සසඳන්න.
complete	සම්පූර්ණ; අවසන් කරන්න	පෝරමය සම්පූර්ණයි.
computer	පරිගණකය	මෙම පරිගණකය අලුත්ය.
concert	සංගීත ප්‍රසංගය	අපි අද රාත්‍රියේ සංගීත ප්‍රසංගයකට යමු.
conversation	සංවාදය	අපි කෙටි සංවාදයක් කළෙමු.
cook	උයන්න; කෝකියා	මම ගෙදර රාත්‍රී ආහාරය උයමි.
cooking	ඉවුම් පිහුම්	මට තාත්තා සමඟ ඉවුම් පිහුම් කිරීමට කැමතියි.
cool	සිසිල්; හොඳ	කාමරය සිසිල්ය.
correct	නිවැරදි; නිවැරදි කරන්න	ඔබේ පිළිතුර නිවැරදියි.
cost	මිල; වියදම් වීම	එයට කොපමණ මිලද?
could modal	හැකි විය; හැකි වේ	මට ඔබට උදව් කළ හැකි විය.
country	රට	කැනඩාව විශාල රටකි.
course	පාඨමාලාව	මම ඉංග්‍රීසි පාඨමාලාවක් හදාරමි.
cousin	ඥාති සහෝදරයා; ඥාති සහෝදරිය	මගේ ඥාති සහෝදරයා මගේ අසල ජීවත් වෙයි.
cow	ගවයා	ගවයා තණකොළ කයි.
cream	ක්‍රීම්	මම කෝපියට ක්‍රීම් දමමි.
create	නිර්මාණය කරන්න	ඔවුන් නව ක්‍රීඩාවක් නිර්මාණය කරයි.
culture	සංස්කෘතිය	අපි දේශීය සංස්කෘතිය ගැන ඉගෙන ගනිමු.
cup	කෝප්පය	මෙම කෝප්පය හිස්ය.
customer	පාරිභෝගිකයා	පාරිභෝගිකයා ප්‍රශ්නයක් අසයි.
cut	කපන්න	ඇපල් ගෙඩිය අඩකට කපන්න.
dad	තාත්තා	මගේ තාත්තා වැඩට ගොස් සිටී.
dance	නර්තනය; නටන්න	අපි රාත්‍රී ආහාරයෙන් පසු නටමු.
