source_headword	KK	example_KK
prey	олжа	Үкілер түнде олжа аулайды.
privatization	жекешелендіру	Жекешелендіру теміржол жүйесін өзгертті.
privilege	артықшылық	Білім алу артықшылық болмауы керек.
probe	тексеру	Тексеру елеулі қателерді анықтады.
problematic	проблемалық	Келісім проблемалық болып қала береді.
proceedings	іс жүргізу	Сот ісін жүргізу дүйсенбіде басталды.
proceeds	түскен пайда	Түскен пайда жергілікті мектептерді қолдайды.
processing	өңдеу	Суретті өңдеу уақытты қажет етеді.
processor	процессор	Тексеру кезінде процессор істен шықты.
proclaim	жариялау	Көшбасшылар жеңісті тым ерте жариялайды.
productive	өнімді	Кездесу өнімді болды.
productivity	өнімділік	Оқытудан кейін өнімділік артты.
profitable	табысты	Биыл дүкен табысты болды.
profound	терең	Сөз сөйлеу терең әсер қалдырды.
projection	болжам	Болжам тұрақты өсуді көрсетеді.
prominent	көрнекті	Ол көрнекті ғалым болды.
pronounced	айқын	Оның акценті айқынырақ болды.
propaganda	үгіт-насихат	Науқан желіде үгіт-насихатты қолданды.
proposition	ұсыныс	Бұл ұсыныс тәуекелді.
prosecute	қылмыстық жауапқа тарту	Шенеуніктер алаяқтық істері бойынша қылмыстық жауапқа тартады.
prosecution	айыптау тарапы	Айыптау тарапы жаңа дәлелдер ұсынды.
prosecutor	прокурор	Прокурор куәгерден жауап алды.
prospective	болашақ	Болашақ студенттер кампусты аралады.
prosperity	өркендеу	Сауда аймаққа өркендеу әкелді.
protective	қорғаныс	Ол қорғаныс қолғабын киді.
protocol	хаттама	Хаттама жазбаша мақұлдауды талап етеді.
province	провинция	Провинция көлік саласына инвестиция салды.
provincial	провинциялық	Провинциялық шенеуніктер жоспарды жариялады.
provision	шарт	Келісімшартта қауіпсіздік шарты бар.
provoke	тудыру	Сөз сөйлеу күшті реакцияларды тудыруы мүмкін.
psychiatric	психиатриялық	Ауруханада психиатриялық бөлім ашылды.
pulse	тамыр соғысы	Мейірбике оның тамыр соғысын тексерді.
