source_headword	TA	example_TA
hunt	தேடுதல்	அவர்கள் இலையுதிர் காலத்தில் காளான்களை தேடுகிறார்கள்.
hurricane	சூறாவளி	சூறாவளி பல வீடுகளை சேதப்படுத்தியது.
hurry	அவசரம்	இன்று எந்த அவசரமும் இல்லை.
identity	அடையாளம்	அவளின் அடையாளம் ரகசியமாக இருந்தது.
ignore	புறக்கணிக்க	இந்த எச்சரிக்கையை புறக்கணிக்காதே.
illegal	சட்டவிரோதமான	இங்கே வாகனத்தை நிறுத்துவது சட்டவிரோதமானது.
imaginary	கற்பனை	கதையில் ஒரு கற்பனை தீவு உள்ளது.
immediate	உடனடி	எங்களுக்கு உடனடி பதில் வேண்டும்.
immigrant	குடியேறியவர்	குடியேறியவர் ஆங்கிலத்தை விரைவாக கற்றார்.
impact	தாக்கம்	செய்திக்கு வலுவான தாக்கம் இருந்தது.
import	இறக்குமதி செய்	நாடு மேலும் அரிசி இறக்குமதி செய்யும்.
importance	முக்கியத்துவம்	அவள் தூக்கத்தின் முக்கியத்துவத்தை புரிந்தாள்.
impression	அபிப்பிராயம்	அவரின் முதல் அபிப்பிராயம் நல்லதாக இருந்தது.
impressive	மனதை கவரும்	அருங்காட்சியகத்திற்கு மனதை கவரும் நுழைவாயில் உள்ளது.
improvement	முன்னேற்றம்	இந்த மாதம் தெளிவான முன்னேற்றம் இருந்தது.
incredibly	மிகவும்	தேர்வு மிகவும் கடினமாக இருந்தது.
indeed	உண்மையில்	அது உண்மையில் விசித்திரமான நாள்.
indicate	சுட்டிக்காட்டு	அடையாளம் வெளியேறும் இடத்தை சுட்டிக்காட்டும்.
indirect	மறைமுக	அவள் மறைமுக பதில் கொடுத்தாள்.
indoor	உட்புற	விடுதியில் உட்புற நீச்சல் குளம் உள்ளது.
indoors	வீட்டிற்குள்	புயலின்போது நாங்கள் வீட்டிற்குள் இருந்தோம்.
influence	செல்வாக்கு	அவரின் ஆசிரியருக்கு வலுவான செல்வாக்கு இருந்தது.
ingredient	சேர்வுப் பொருள்	மா முக்கிய சேர்வுப் பொருள்.
injure	காயப்படுத்து	உன் முதுகை காயப்படுத்தாதே.
injured	காயமடைந்த	காயமடைந்த வீரர் மைதானத்தை விட்டுச் சென்றார்.
innocent	குற்றமற்ற	குழந்தை முற்றிலும் குற்றமற்றவனாக தோன்றினான்.
intelligence	நுண்ணறிவு	அவள் வகுப்பில் சிறந்த நுண்ணறிவை காட்டினாள்.
intend	நோக்கம் கொள்	நான் வெளிநாட்டில் படிக்க நோக்கம் கொள்கிறேன்.
intention	நோக்கம்	அவரின் நோக்கம் உதவுவது.
invest	முதலீடு செய்	அவர்கள் கல்வியில் பணம் முதலீடு செய்கிறார்கள்.
investigate	விசாரி	போலீசார் விபத்தை விசாரிப்பார்கள்.
involved	சம்பந்தப்பட்ட	பல மாணவர்கள் சம்பந்தப்பட்டிருந்தனர்.
iron	இரும்பு	வாயில் இரும்பால் செய்யப்பட்டுள்ளது.
issue	பிரச்சினை	இது தீவிரமான பிரச்சினை.
IT	தகவல் தொழில்நுட்பம்	அவள் தகவல் தொழில்நுட்பத்தில் வேலை செய்கிறாள்.
journal	குறிப்பேடு	அவர் குறிப்பேட்டில் எழுதுகிறார்.
judge	நீதிபதி	நீதிபதி கவனமாக கேட்டார்.
keen	ஆர்வமுள்ள	அவள் கற்க ஆர்வமுள்ளவள்.
keyboard	விசைப்பலகை	என் விசைப்பலகை வேலை செய்யாமல் போனது.
kick	உதை	பந்தை மெதுவாக உதை.
killing	கொலை	கொலை கிராமத்தை அதிர்ச்சியடைய வைத்தது.
kind (caring)	அன்பான	அது அன்பான செயல்.
kiss	முத்தம்	அவள் குழந்தைக்கு முத்தம் கொடுத்தாள்.
label	லேபிள்	பயன்படுத்துவதற்கு முன் லேபிளை படிக்கவும்.
laboratory	ஆய்வகம்	ஆய்வகம் இன்று மூடப்பட்டுள்ளது.
lack	பற்றாக்குறை	தூக்கத்தின் பற்றாக்குறை நினைவுக்கு தீங்கு செய்கிறது.
latest	சமீபத்திய	நீ சமீபத்திய அறிக்கையை படித்தாயா?
lay	வை	புத்தகத்தை மேசையின் மீது வை.
layer	அடுக்கு	மேலும் ஒரு நிற அடுக்கு சேர்க்கவும்.
leading	முன்னணி	அவள் முன்னணி விஞ்ஞானி.
leaf	இலை	ஒரு இலை என் மேலங்கியில் விழுந்தது.
leather	தோல்	அவரின் பை தோலால் செய்யப்பட்டுள்ளது.
legal	சட்டபூர்வமான	எங்களுக்கு சட்டபூர்வமான ஆலோசனை வேண்டும்.
leisure	ஓய்வு நேரம்	படிப்பது என் விருப்பமான ஓய்வு செயல்.
length	நீளம்	அறையின் நீளத்தை அளவிடு.
lie2 (tell a lie)	பொய் சொல்	உன் பெற்றோரிடம் பொய் சொல்லாதே.
limit	வரம்பு	வேக வரம்பு ஐம்பது.
lip	உதடு	அவள் தன் உதட்டை கடித்தாள்.
liquid	திரவம்	தண்ணீர் தெளிவான திரவம்.
literature	இலக்கியம்	அவள் பிரெஞ்சு இலக்கியம் படிக்கிறாள்.
live2	நேரடி	இசைக்குழு நேற்று இரவு நேரடியாக வாசித்தது.
living	உயிருள்ள	உயிருள்ள செடிகளுக்கு ஒளி தேவை.
locate	கண்டுபிடி	நீ கோப்பை கண்டுபிடிக்க முடியுமா?
located	அமைந்துள்ள	அலுவலகம் நகர மையத்தில் அமைந்துள்ளது.
location	இடம்	இது நல்ல இடம்.
lonely	தனிமையான	இடம் மாறிய பிறகு அவர் தனிமையாக உணர்ந்தார்.
loss	இழப்பு	இழப்பு அனைவருக்கும் கடினமாக இருந்தது.
luxury	ஆடம்பரம்	விடுதி உண்மையான ஆடம்பரத்தை வழங்குகிறது.
mad	கோபமான	தாமதம் குறித்து அவள் கோபமாக இருந்தாள்.
magic	மந்திரம்	நிகழ்ச்சி மந்திரத்தால் நிறைந்திருந்தது.
mainly	முக்கியமாக	குழு முக்கியமாக மாணவர்களே.
mall	வணிக வளாகம்	நாங்கள் வணிக வளாகத்தில் சந்தித்தோம்.
management	மேலாண்மை	நல்ல மேலாண்மை நேரத்தை சேமிக்கிறது.
marketing	சந்தைப்படுத்தல்	சந்தைப்படுத்தல் பொருளை விற்க உதவுகிறது.
marriage	திருமணம்	அவர்களின் திருமணம் முப்பது ஆண்டுகள் நீடித்தது.
meanwhile	இதற்கிடையில்	இதற்கிடையில் நான் இரவு உணவு சமைத்தேன்.
measure	அளவிடு	மேசையை கவனமாக அளவிடு.
medium	நடுத்தர	நான் நடுத்தர பீட்சா கேட்டேன்.
mental	மன	மன அழுத்தம் மன ஆரோக்கியத்தை பாதிக்கிறது.
mess	குழப்பம்	இந்த குழப்பத்தை சுத்தம் செய்.
mild	மிதமான	சூப்பிற்கு மிதமான சுவை உள்ளது.
mine (hole in the ground)	சுரங்கம்	சுரங்கம் கடந்த ஆண்டு மூடப்பட்டது.
mix	கலக்கு	முட்டைகளை பாலுடன் கலக்கு.
mixture	கலவை	கலவை கெட்டியாகியது.
mood	மனநிலை	இசை அவளின் மனநிலையை மாற்றியது.
mud	சேறு	அவரின் காலணிகள் சேறால் மூடப்பட்டிருந்தன.
murder	கொலை	கொலை இரவில் நடந்தது.
muscle	தசை	உடற்பயிற்சி தசையை வளர்க்கிறது.
mystery	மர்மம்	பழைய வீடு ஒரு மர்மம்.
nail	நகம்	என் நகம் ஒன்று உடைந்தது.
narrative	கதைச்சரம்	நாவலுக்கு தெளிவான கதைச்சரம் உள்ளது.
nation	நாடு	முழு நாடும் கொண்டாடியது.
native	சொந்த	ஸ்பானிஷ் அவளின் சொந்த மொழி.
naturally	இயல்பாக	குழந்தைகள் விளையாட்டின் மூலம் இயல்பாக கற்கிறார்கள்.
necessarily	அவசியமாக	விலையுயர்ந்த உணவு அவசியமாக நல்லதல்ல.
needle	ஊசி	ஊசி மிகவும் கூர்மையானது.
neighbourhood	அக்கம் பக்கம்	அவர்கள் அமைதியான அக்கம் பக்கத்தில் வாழ்கிறார்கள்.
net	வலை	மீனவர் தனது வலையை பழுது பார்த்தார்.
nor	அல்லதும் இல்லை	அவர் சிரிக்கவும் இல்லை பேசவும் இல்லை.
northern	வடக்கு	அவர்கள் வடக்கு கடற்கரைக்கு சென்றார்கள்.
nuclear	அணு	விவாதம் அணு சக்தி பற்றி இருந்தது.
obvious	வெளிப்படை	பதில் வெளிப்படையாக இருந்தது.
obviously	வெளிப்படையாக	வெளிப்படையாக நமக்கு மேலும் நேரம் வேண்டும்.
occasion	நிகழ்வு	இது சிறப்பு நிகழ்வு.
occur	நிகழ்	விபத்துகள் எங்கும் நிகழலாம்.
odd	விசித்திரமான	அது விசித்திரமான கேள்வி.
official	அதிகாரப்பூர்வ	அதிகாரப்பூர்வ முடிவு இன்று வந்தது.
