source_headword	MY	example_MY
prey	သားကောင်	ဇီးကွက်များသည် ညဘက်တွင် သားကောင်ကို ဖမ်းဆီးကြသည်။
privatization	ပုဂ္ဂလိကပိုင်ပြုလုပ်ခြင်း	ပုဂ္ဂလိကပိုင်ပြုလုပ်ခြင်းက ရထားစနစ်ကို ပြောင်းလဲစေခဲ့သည်။
privilege	အခွင့်ထူး	ပညာရေးသည် အခွင့်ထူးတစ်ခု မဖြစ်သင့်ပါ။
probe	စုံစမ်းစစ်ဆေးမှု	စုံစမ်းစစ်ဆေးမှုက ကြီးမားသော အမှားများကို ဖော်ထုတ်ပေးခဲ့သည်။
problematic	ပြဿနာရှိသော	သဘောတူညီချက်သည် ပြဿနာရှိနေဆဲဖြစ်သည်။
proceedings	တရားရုံးလုပ်ငန်းစဉ်များ	တရားရုံးလုပ်ငန်းစဉ်များကို တနင်္လာနေ့တွင် စတင်ခဲ့သည်။
proceeds	ရရှိငွေ	ရရှိငွေများသည် ဒေသခံကျောင်းများကို အထောက်အကူပြုမည်ဖြစ်သည်။
processing	လုပ်ဆောင်ခြင်း	ပုံရိပ်လုပ်ဆောင်ခြင်းက အချိန်ယူရသည်။
processor	ပရိုဆက်ဆာ	စမ်းသပ်နေစဉ်အတွင်း ပရိုဆက်ဆာ ချို့ယွင်းသွားသည်။
proclaim	ကြေညာသည်	ခေါင်းဆောင်များသည် အောင်ပွဲကို စောလွန်းစွာ ကြေညာကြသည်။
productive	အကျိုးရှိသော	အစည်းအဝေးသည် အကျိုးရှိခဲ့သည်။
productivity	ကုန်ထုတ်စွမ်းအား	လေ့ကျင့်သင်ကြားပြီးနောက် ကုန်ထုတ်စွမ်းအား တိုးတက်လာသည်။
profitable	အမြတ်အစွန်းရှိသော	ဆိုင်သည် ယခုနှစ်တွင် အမြတ်အစွန်းရလာသည်။
profound	နက်ရှိုင်းသော	မိန့်ခွန်းသည် နက်ရှိုင်းသော သက်ရောက်မှုရှိခဲ့သည်။
projection	ခန့်မှန်းချက်	ခန့်မှန်းချက်က တည်ငြိမ်သော တိုးတက်မှုကို ပြသနေသည်။
prominent	ထင်ရှားသော	သူမသည် ထင်ရှားသော သိပ္ပံပညာရှင်တစ်ဦး ဖြစ်လာခဲ့သည်။
pronounced	သိသာထင်ရှားသော	သူ၏ လေယူလေသိမ်းသည် ပို၍ သိသာထင်ရှားလာသည်။
propaganda	ဝါဒဖြန့်ခြင်း	လှုပ်ရှားမှုသည် အွန်လိုင်းတွင် ဝါဒဖြန့်ခြင်းကို အသုံးပြုခဲ့သည်။
proposition	အဆိုပြုချက်	ဤအဆိုပြုချက်သည် အန္တရာယ်များသော အစီအစဉ်တစ်ခုဖြစ်သည်။
prosecute	တရားစွဲဆိုသည်	တာဝန်ရှိသူများသည် ကြီးလေးသော လိမ်လည်မှုအမှုများကို တရားစွဲဆိုကြသည်။
prosecution	တရားစွဲဆိုခြင်း	တရားစွဲဆိုသူဘက်က သက်သေအထောက်အထားသစ်ကို တင်ပြခဲ့သည်။
prosecutor	အစိုးရရှေ့နေ	အစိုးရရှေ့နေသည် သက်သေကို မေးခွန်းထုတ်ခဲ့သည်။
prospective	အလားအလာရှိသော	အလားအလာရှိသော ကျောင်းသားများသည် ကျောင်းဝင်းကို လှည့်လည်ကြည့်ရှုခဲ့ကြသည်။
prosperity	ကြီးပွားချမ်းသာခြင်း	ကုန်သွယ်ရေးက ဒေသအတွက် ကြီးပွားချမ်းသာခြင်းကို ယူဆောင်လာသည်။
protective	ကာကွယ်ပေးသော	သူမသည် အကာအကွယ်လက်အိတ်များကို ဝတ်ဆင်ထားသည်။
protocol	လုပ်ထုံးလုပ်နည်း	လုပ်ထုံးလုပ်နည်းအရ စာဖြင့်ရေးသားခွင့်ပြုချက် လိုအပ်သည်။
province	ပြည်နယ်	ပြည်နယ်သည် သယ်ယူပို့ဆောင်ရေးတွင် ရင်းနှီးမြှုပ်နှံခဲ့သည်။
provincial	ပြည်နယ်ဆိုင်ရာ	ပြည်နယ်အရာရှိများက အစီအစဉ်ကို ကြေညာခဲ့သည်။
provision	ပြဋ္ဌာန်းချက်	စာချုပ်တွင် ဘေးကင်းလုံခြုံရေး ပြဋ္ဌာန်းချက်တစ်ခု ပါဝင်သည်။
provoke	ဆွပေးသည်	မိန့်ခွန်းသည် ပြင်းထန်သော တုံ့ပြန်မှုများကို ဆွပေးနိုင်သည်။
psychiatric	စိတ်ရောဂါဆိုင်ရာ	ဆေးရုံတွင် စိတ်ရောဂါကုဌာနတစ်ခု ဖွင့်လှစ်ခဲ့သည်။
pulse	သွေးခုန်နှုန်း	သူနာပြုက သူ၏ သွေးခုန်နှုန်းကို စစ်ဆေးခဲ့သည်။
pump	ရေစုပ်စက်	ရေစုပ်စက်က ရေကို အထက်သို့ တွန်းပို့ပေးသည်။
punch	ထိုးကြိတ်ခြင်း	သူသည် ဒေါသတကြီးဖြင့် ထိုးကြိတ်ခဲ့သည်။
query	မေးမြန်းချက်	သင့်မေးမြန်းချက်ကို အကူအညီပေးရေးအဖွဲ့ထံ ပေးပို့ပါ။
quest	ရှာဖွေခြင်း	သူတို့၏ တရားမျှတမှုအတွက် ရှာဖွေခြင်းမှာ ဆက်လက်ဖြစ်ပွားနေသည်။
