source_headword	KA	example_KA
toss	სროლა	მან გასაღებები მაგიდაზე დააგდო.
total	ჯამში შეადგენს	რემონტმა მოსალოდნელზე მეტი შეადგინა.
toxic	ტოქსიკური	ტოქსიკურმა კვამლმა ყველა გარეთ გაიყვანა.
trademark	სავაჭრო ნიშანი	ლოგო კომპანიის სავაჭრო ნიშანი გახდა.
trail	ბილიკი	ბილიკი ტყეზე გადიოდა.
trailer	ტრეილერი	ტრეილერმა ფილმის დასასრული აჩვენა.
transaction	ტრანზაქცია	ტრანზაქცია ჩემს საბანკო ამონაწერში გამოჩნდა.
transcript	ტრანსკრიპტი	სტუდენტმა ოფიციალური ტრანსკრიპტი მოითხოვა.
transformation	ტრანსფორმაცია	ქალაქმა დიდი ტრანსფორმაცია განიცადა.
transit	ტრანზიტი	ამანათი ტრანზიტის დროს დაზიანდა.
transmission	გადაცემა	მონაცემთა გადაცემა უსაფრთხო იყო.
transparency	გამჭვირვალობა	ანგარიშმა მეტი გამჭვირვალობისკენ მოუწოდა.
transparent	გამჭვირვალე	პროცესი ყველასთვის გამჭვირვალე უნდა იყოს.
trauma	ტრავმა	ავარიამ ღრმა ტრავმა დატოვა.
treaty	ხელშეკრულება	ქვეყნებმა სამშვიდობო ხელშეკრულებას მოაწერეს ხელი.
tremendous	უზარმაზარი	გუნდმა უზარმაზარ პროგრესს მიაღწია.
tribal	ტომობრივი	მუზეუმში ტომობრივი ხელოვნება იყო გამოფენილი.
tribunal	ტრიბუნალი	ტრიბუნალი მტკიცებულებებს მთელი კვირა ისმენდა.
tribute	პატივისცემა	კონცერტი მისდამი პატივისცემის ნიშანი იყო.
trio	ტრიო	ტრიომ ფესტივალზე დაუკრა.
triumph	ტრიუმფი	გამარჯვება პირადი ტრიუმფი იყო.
trophy	თასი	კაპიტანმა თასი სიამაყით ასწია.
troubled	პრობლემური	პრობლემურ კომპანიას ახალი ხელმძღვანელობა სჭირდებოდა.
trustee	მეურვე	მეურვე სტიპენდიის ფონდს მართავს.
tuition	სწავლის საფასური	მისი სწავლის საფასური წელს გაიზარდა.
turnout	აქტივობა	ამომრჩეველთა აქტივობა მოსალოდნელზე მაღალი იყო.
turnover	დენადობა	ცვლილებების შემდეგ კადრების დენადობა შემცირდა.
twist	მოტრიალება	მან თავსახური მოატრიალა და გახსნა.
undergraduate	ბაკალავრიატის სტუდენტი	ბაკალავრიატის სტუდენტი კვლევით პროექტს შეუერთდა.
underlying	ძირითადი	ანგარიშში ძირითადი მიზეზები იყო ახსნილი.
undermine	შელახვა	სკანდალმა საზოგადოების ნდობა შელახა.
undoubtedly	უდავოდ	ის უდავოდ საუკეთესო კანდიდატია.
unify	გაერთიანება	გეგმა მიზნად ისახავს გუნდების გაერთიანებას.
unprecedented	უპრეცედენტო	შტორმმა უპრეცედენტო ზიანი გამოიწვია.
unveil	წარდგენა	კომპანია დიზაინს ხვალ წარადგენს.
upcoming	მომავალი	მომავალმა არჩევნებმა საზოგადოების ყურადღება მიიპყრო.
upgrade	განახლება	ჩვენ პროგრამული უზრუნველყოფა წუხელ განვაახლეთ.
uphold	ძალაში დატოვება	ჩვენ თავდაპირველ გადაწყვეტილებას ძალაში ვტოვებთ.
utility	კომუნალური მომსახურება	ბინაში შედის ყველა კომუნალური ხარჯი.
utilize	გამოყენება	გუნდმა ხელმისაწვდომი მონაცემები გამოიყენა.
utterly	სრულიად	ახსნა სრულიად დამაბნეველი იყო.
vacuum	ვაკუუმი	ხელმძღვანელობაში არსებულმა ვაკუუმმა დაძაბულობა შექმნა.
vague	ბუნდოვანი	მისი პასუხი ბუნდოვანი და სუსტი იყო.
validity	ვალიდურობა	კვლევამ ტესტის ვალიდურობა ეჭვქვეშ დააყენა.
vanish	გაქრობა	ფაილი საქაღალდიდან გაქრა.
variable	ცვლადი	ფასი ერთი მნიშვნელოვანი ცვლადია.
varied	მრავალფეროვანი	კურსი მრავალფეროვან დავალებებს გვთავაზობს.
vein	ვენა	ექთანმა ვენა სწრაფად იპოვა.
venture	წამოწყება	ახალმა წამოწყებამ ინვესტორები მიიზიდა.
verbal	სიტყვიერი	მათ სიტყვიერ შეთანხმებას მიაღწიეს.
verdict	ვერდიქტი	ნაფიცმა მსაჯულებმა ვერდიქტი გამოიტანეს.
