source_headword	KN	example_KN
machine	ಯಂತ್ರ	ಈ ಯಂತ್ರ ಕಾಫಿ ಮಾಡುತ್ತದೆ.
magazine	ಪತ್ರಿಕೆ	ಅವಳು ಸಂಗೀತ ಪತ್ರಿಕೆ ಓದುತ್ತಾಳೆ.
main	ಮುಖ್ಯ	ಇದು ಮುಖ್ಯ ಬಾಗಿಲು.
make	ಮಾಡು; ತಯಾರಿಸು	ನಾನು ಮನೆಯಲ್ಲಿ ಊಟ ತಯಾರಿಸುತ್ತೇನೆ.
man	ಮನುಷ್ಯ; ಪುರುಷ	ಆ ಮನುಷ್ಯ ನನ್ನ ಶಿಕ್ಷಕ.
many	ಅನೇಕ	ಇಲ್ಲಿ ಅನೇಕ ವಿದ್ಯಾರ್ಥಿಗಳು ಇದ್ದಾರೆ.
map	ನಕ್ಷೆ	ನಕ್ಷೆಯನ್ನು ನೋಡು.
March	ಮಾರ್ಚ್	ನನ್ನ ಹುಟ್ಟುಹಬ್ಬ ಮಾರ್ಚ್‌ನಲ್ಲಿ ಇದೆ.
market	ಮಾರುಕಟ್ಟೆ	ನಾವು ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಹಣ್ಣುಗಳನ್ನು ಖರೀದಿಸುತ್ತೇವೆ.
married	ವಿವಾಹಿತ	ನನ್ನ ಅಕ್ಕ ವಿವಾಹಿತಳು.
May	ಮೇ	ಶಾಲೆ ಮೇ ತಿಂಗಳಲ್ಲಿ ಮುಗಿಯುತ್ತದೆ.
maybe	ಬಹುಶಃ	ಬಹುಶಃ ಮಳೆ ಬರುತ್ತದೆ.
me	ನನ್ನನ್ನು; ನನಗೆ	ದಯವಿಟ್ಟು ನನಗೆ ಸಹಾಯ ಮಾಡು.
meal	ಊಟ	ಈ ಊಟ ಬಿಸಿಯಾಗಿದೆ.
mean	ಅರ್ಥ ಕೊಡು	ಈ ಗುರುತಿಗೆ ಏನು ಅರ್ಥ?
meaning	ಅರ್ಥ	ಇದರ ಅರ್ಥ ಏನು?
