source_headword	AZ	example_AZ
ability	bacarıq; qabiliyyət	Onun üzmək bacarığı aydındır.
able	bacarıqlı; edə bilən	O, bu gün gələ bilər.
abroad	xaricdə; xaricə	O, xaricdə oxumaq istəyir.
accept	qəbul etmək	Zəhmət olmasa, bu kiçik hədiyyəni qəbul edin.
accident	qəza	Qəza məktəbin yanında baş verdi.
according to	-a görə; əsasən	Hesabata görə, yağış gəlir.
achieve	nail olmaq	Sən məqsədinə nail ola bilərsən.
act	rol oynamaq	O, tamaşada rol oynaya bilər.
active	fəal	O, hər gün fəaldır.
actually	əslində	Əslində, mənə daha çox vaxt lazımdır.
advantage	üstünlük	Bu planın bir üstünlüyü var.
adventure	macəra	Onların səfəri macəra idi.
advertise	reklam etmək	Onlar yeni işi reklam edirlər.
advertisement	reklam	Mən bir reklam gördüm.
advertising	reklamçılıq; reklam	Reklam yemək satmağa kömək edir.
affect	təsir etmək	Yuxu sağlamlığına təsir edə bilər.
against	qarşı; söykənərək	Duvara söykənməyin.
ah	ah	Ah, indi başa düşürəm.
airline	aviaşirkət	Aviaşirkət çox məşğuldur.
alive	sağ; diri	Kiçik balıq diridir.
all right	qaydasında	Hər şey indi qaydasındadır.
allow	icazə vermək	Onlar burada itlərə icazə verirlər.
almost	demək olar ki	Biz demək olar ki, hazırıq.
alone	tək	O, tək yaşayır.
along	boyunca	Bu yol boyunca gedin.
already	artıq	Mən cavabı artıq bilirəm.
alternative	alternativ	Bu qatar alternativdir.
although	baxmayaraq ki	Gec olsa da, qala bilərik.
among	arasında	O, ağacların arasında dayanmışdı.
amount	miqdar	Miqdar çox azdır.
ancient	qədim	Bu qədim divar məşhurdur.
ankle	topuq	Bu gün topuğum ağrıyır.
anybody	kimsə	Kimsə buna cavab verə bilər?
any more	daha artıq; daha	Mənə daha artıq lazım deyil.
anyway	hər halda	Hər halda, indi başlaya bilərik.
anywhere	harada olsa; istənilən yerdə	İstədiyiniz yerdə oturun.
app	tətbiq	Bu tətbiq faydalıdır.
appear	görünmək	Onun adı burada görünəcək.
appearance	görünüş	Onun görünüşü fərqlidir.
apply	müraciət etmək	Bu gün işə müraciət edin.
architect	memar	Memarın bir planı var.
architecture	memarlıq	Mən müasir memarlığı sevirəm.
argue	mübahisə etmək	Bacınla mübahisə etmə.
argument	mübahisə	Mübahisə qısa oldu.
army	ordu	Ordu böyükdür.
arrange	təşkil etmək	Zəhmət olmasa, görüşü təşkil edin.
arrangement	razılaşma; tənzimləmə	Bu tənzimləmə yaxşı işləyir.
asleep	yuxuda	Körpə yuxudadır.
assistant	köməkçi	Köməkçi mənə kömək etdi.
athlete	idmançı	İdmançı sürətlə qaçır.
attack	hücum etmək	İt hücum edə bilər.
attend	qatılmaq	Mən bu gün dərsə qatılıram.
attention	diqqət	Zəhmət olmasa, indi diqqət edin.
attractive	cəlbedici	Bağ cəlbedicidir.
audience	tamaşaçılar	Tamaşaçılar sakit idi.
author	müəllif	Müəllif bu kitabı yazdı.
available	mövcud	Yemək indi mövcuddur.
average	orta	Orta bal yaxşı idi.
avoid	çəkinmək	Məşğul yoldan çəkinin.
award	mükafat	O, mükafat qazandı.
awful	çox pis	Hava çox pis idi.
background	fon	Şəklin tünd fonu var.
badly	pis	O, bu gün pis oynadı.
bar	bar	Biz otelin barında görüşdük.
baseball	beysbol	Beysbol burada populyardır.
based	əsasında	Film bir kitab əsasında çəkilib.
basketball	basketbol	Biz dərsdən sonra basketbol oynayırıq.
bean	lobya	Bu lobya yaşıldır.
bear (animal)	ayı	Meşədə ayı yaşayır.
beat	məğlub etmək	Komandamız onları məğlub edə bilər.
beef	mal əti	Mən axşam yeməyində mal əti yedim.
behave	özünü aparmaq	Zəhmət olmasa, dərsdə yaxşı davranın.
behaviour	davranış	Onun davranışı nəzakətli idi.
belong	məxsus olmaq	Bu ayaqqabılar mənə məxsusdur.
belt	kəmər	Onun kəməri qaradır.
benefit	fayda	İdmanın real faydası var.
billion	milyard	Milyard çox böyük rəqəmdir.
bin	zibil qutusu	Kağızı zibil qutusuna qoyun.
biology	biologiya	Biologiya mənim ən yaxşı dərsimdir.
birth	doğum	Onun doğumu may ayında idi.
biscuit	peçenye	O, peçenye yeyir.
bit	az; bir az	Mənə bir az daha vaxt lazımdır.
blank	boş yer	Boş yerə adınızı yazın.
blood	qan	Qan qırmızıdır.
blow	əsmək	Külək güclü əsə bilər.
board	lövhə	Bunu lövhəyə yazın.
boil	qaynatmaq	Əvvəlcə suyu qaynadın.
bone	sümük	İtin sümüyü var.
borrow	borc almaq	Qələmini borc ala bilərəm?
boss	müdir	Müdirim mehribandır.
bottom	alt; aşağı hissə	Aşağı hissədə imza atın.
bowl	kasa	Kasa doludur.
brain	beyin	Beyninin istirahətə ehtiyacı var.
bridge	körpü	Körpü köhnədir.
bright	parlaq	Otaq parlaqdır.
brilliant	parlaq; əla	Bu fikir əladır.
broken	sınıq	Stul sınıqdır.
brush	fırçalamaq	İndi dişlərini fırçala.
burn	yandırmaq	Çörəyi yandırmayın.
businessman	biznesmen	Biznesmen tez gəldi.
button	düymə	Qırmızı düyməni basın.
camp	düşərgə salmaq	Biz gölün yanında düşərgə salırıq.
camping	düşərgə; kampinq	Yayda kampinq əyləncəlidir.
can2	konserv qabı; banka	Qabı ehtiyatla açın.
care	qayğı; diqqət	Sağlamlığına qayğı göstər.
careful	ehtiyatlı	Pilləkənlərdə ehtiyatlı olun.
carefully	diqqətlə	Sualı diqqətlə oxuyun.
carpet	xalça	Xalça yumşaqdır.
cartoon	cizgi filmi	Bu cizgi filmi gülməlidir.
case	qutu; qab	Onu qutuya qoyun.
cash	nağd pul	Mən nağd pulla ödədim.
castle	qala	Qala çox köhnədir.
catch	tutmaq	Topu indi tut.
cause	səbəb olmaq	Yağış problemlərə səbəb ola bilər.
celebrate	qeyd etmək	Biz mənim ad günümü qeyd edirik.
celebrity	məşhur şəxs	Məşhur şəxs çox mehriban idi.
