source_headword	HU	example_HU
crawl	mászik	A baba elkezdett mászni a szőnyegen.
creator	alkotó	Az alkotó mindenkinek megköszönte a támogatást.
credibility	hitelesség	A tanú elvesztette hitelességét a kihallgatás során.
credible	hiteles	A jelentés hiteles bizonyítékokkal szolgált.
creep	kúszik	A köd elkezdett bekúszni a völgybe.
critique	kritika	A professzor részletes kritikát adott.
crown	korona	A királynő ezüst koronát viselt.
crude	kidolgozatlan	A rajz kidolgozatlan volt, de érthető.
crush	összezúz	A nehéz sziklák összezúzhatják a csövet.
crystal	kristály	A kristály visszaverte a reggeli fényt.
cult	szekta	A szekta elszigetelte a tagjait.
cultivate	termeszt	A gazdák rizst termesztenek ebben a régióban.
curiosity	kíváncsiság	A kíváncsiság vezette a tudományhoz.
custody	felügyelet	A gyermek az apja felügyelete alatt maradt.
cutting	újságkivágás	Az újság közölt róla egy kivágást.
cynical	cinikus	Cinikus megjegyzése felzaklatta a csapatot.
dam	gát	A gát visszatartja a folyó vizét.
damaging	káros	A káros cikk ártott a kampánynak.
dawn	hajnal	Hajnalban hagytuk el a falut.
debris	törmelék	A viharból származó törmelék elzárta az utat.
debut	debütálás	Debütálása országos figyelmet keltett.
decision-making	döntéshozatal	A jó döntéshozatalhoz egyértelmű információkra van szükség.
decisive	határozott	Határozott fellépése megakadályozta a további károkat.
declaration	nyilatkozat	A miniszter felolvasott egy hivatalos nyilatkozatot.
dedicated	odaadó	Az odaadó nővér egész éjszaka dolgozott.
dedication	odaadás	Odaadása inspirálta a fiatalabb játékosokat.
deed	cselekedet	A bátor cselekedet két életet mentett meg.
deem	tekint	A bíróság érvénytelennek tekintheti a szerződést.
default	alapértelmezett	Egyelőre használd az alapértelmezett beállítást.
defect	hiányosság	Az ellenőrök súlyos hibát találtak.
defensive	védekező	Védekező hangneme mindenkit meglepett.
deficiency	hiány	A vashiány befolyásolhatja az egészséget.
deficit	hiány	A költségvetési hiány aggasztotta a tisztviselőket.
defy	dacol	A tüntetők úgy döntöttek, hogy dacolnak a tilalommal.
delegate	küldött	Minden küldött kapott egy szavazólapot.
delegation	delegáció	A delegáció dél előtt megérkezett.
delicate	törékeny	A törékeny üveg könnyen eltört.
demon	démon	A történet egy ősi démont ír le.
denial	tagadás	A tagadása feldühítette az áldozatokat.
denounce	elítél	A vezetők elítélik az iskolai erőszakot.
dense	sűrű	A sűrű erdő elzárta a napfényt.
density	sűrűség	A népsűrűség magas a belvárosban.
dependence	függőség	Az ország olajfüggősége csökkent.
depict	ábrázol	A falfestmény a falusi életet ábrázolja.
deploy	bevet	A hadsereg további személyzetet fog bevetni.
deployment	bevetés	A csapatok bevetése hétfőn kezdődött.
deprive	megfoszt	Az alváshiány megfoszthatja a diákokat a koncentrációtól.
deputy	helyettes	A helyettes aláírta a megállapodást.
descend	leereszkedik	Az ösvény meredeken lejtett.
descent	süllyedés	A repülőgép megkezdte a süllyedést.
designate	kijelöl	A város kijelöl egy új parkot.
desirable	kívánatos	A jó világítás kívánatos az osztálytermekben.
desktop	asztal	A fájl az asztalomon van.
destructive	pusztító	A viharnak pusztító ereje volt.
detain	őrizetbe vesz	A rendőrség éjszakára őrizetbe veheti a gyanúsítottakat.
detection	felismerés	A korai felismerés javítja a rákkezelést.
detention	fogvatartás	A diákok a fogvatartási körülmények ellen tiltakoztak.
deteriorate	romlik	Az egészsége elkezdett romlani.
devastate	elpusztít	A földrengés elpusztíthatja a part menti városokat.
devil	ördög	A gyerek egy mosolygó ördögöt rajzolt.
devise	kidolgoz	A mérnökök biztonságosabb közlekedési rendszereket dolgoznak ki.
diagnose	diagnosztizál	Az orvosok vérvizsgálattal diagnosztizálják a betegséget.
diagnosis	diagnózis	A diagnózis megmagyarázta a tüneteit.
dictate	meghatároz	A szerződés fogja meghatározni a fizetési feltételeket.
dictator	diktátor	A diktátor irányította a médiát.
differentiate	megkülönböztet	Meg tudod különböztetni a tényt a véleménytől?
dignity	méltóság	Mindenki megérdemli a méltóságot a munkahelyén.
dilemma	dilemma	A menedzser komoly dilemmával szembesült.
dimension	dimenzió	A problémának van egy politikai dimenziója.
diminish	csökken	A fájdalomnak lassan csökkennie kell.
dip	süllyed	A hőmérséklet fagypont alá süllyedhet.
diplomat	diplomata	A diplomata külföldi vezetőkkel találkozott.
diplomatic	diplomáciai	A diplomáciai tárgyalások éjszaka is folytatódtak.
directory	címtár	Keresd meg a számát a címtárban.
disastrous	katasztrofális	A katasztrofális árvíz több hidat is elpusztított.
discard	kidob	Ne dobja el a hasznos nyilvántartásokat.
discharge	kienged	A kórház holnap kiengedi őt.
disclose	nyilvánosságra hoz	A tisztviselők nem voltak hajlandók nyilvánosságra hozni a számokat.
disclosure	leleplezés	A leleplezés sokkolta az igazgatóságot.
discourse	közbeszéd	A közbeszéd udvariasabbá vált.
discretion	belátás	Érzékeny esetekben használja a belátását.
discrimination	diszkrimináció	A törvény tiltja a diszkriminációt a munkaerő-felvétel során.
dismissal	elbocsátás	Elbocsátása közfelháborodást okozott.
displace	kitelepít	A háború ezreket telepíthet ki.
disposal	hulladékkezelés	A hulladékkezelés továbbra is helyi probléma marad.
dispose	ártalmatlanít	A vállalatnak biztonságosan kell ártalmatlanítania a vegyszereket.
dispute	vita	A vita hónapokig tartott.
disrupt	megzavar	A zaj megzavarhatja a koncentrációt.
disruption	fennakadás	A sztrájk komoly fennakadást okozott.
dissolve	feloldódik	A cukor feloldódik a forró teában.
distinction	különbség	A köztük lévő különbség fontos.
distinctive	jellegzetes	Jellegzetes hangja van.
distort	torzít	A tükör eltorzíthatja a tükörképedet.
distress	szorongás	A hívás komoly szorongást okozott.
disturbing	felkavaró	A dokumentumfilm felkavaró jeleneteket mutatott be.
divert	elterel	A rendőrségnek el kellett terelnie a forgalmat.
divine	isteni	A kápolnának isteni hangulata van.
doctrine	doktrína	A párt elutasította a régi doktrínát.
documentation	dokumentáció	Indítás előtt töltse ki a dokumentációt.
domain	domain	A weboldal biztonságos domaint használ.
dominance	dominancia	A csapat dominanciája egy évtizedig tartott.
donor	donor	A donor ma vért adott.
dose	adag	Reggeli után vegyen be egy adagot.
drain	lefolyik	A víz a folyóba fog lefolyni.
drift	száll	A füst elkezdett szállni az út felett.
driving	mozgató	Az eső volt a késések mozgatórugója.
drown	megfojt	Soha ne ússzon ott, ahol az áramlatok megfojthatják.
dual	kettős	Az eszköznek kettős funkciója van.
dub	elnevez	A kritikusok kulturális fővárosnak nevezik a várost.
dumb	buta	Ez egy buta hiba volt.
duo	duó	A vígjáték duó bejárta Európát.
eager	lelkes	A diákok alig várták, hogy kezdhessenek.
earnings	bevétel	A cég bevételei meredeken nőttek.
ease	megkönnyít	Az új út megkönnyíti a forgalmat.
echo	visszhangzik	A hangja visszhangzott a teremben.
ecological	ökológiai	Az ökológiai hatás bizonytalan marad.
educator	oktató	Az oktató új kurzust tervezett.
effectiveness	hatékonyság	A tanulmány mérte a vakcina hatékonyságát.
efficiency	hatékonyság	A jobb szoftver javította a hatékonyságot.
ego	egó	Az egója problémákat okozott a munkahelyén.
elaborate	kidolgozott	A kidolgozott jelmez hetekig készült.
electoral	választási	A választási rendszer tavaly megváltozott.
elevate	növel	A díj növelni fogja a hírnevét.
eligible	jogosult	Csak a lakosok jogosultak kedvezményekre.
elite	elit	Az elit egy magánakadémián edzett.
embark	nekivág	Hosszú utazásnak vágnak neki.
embarrassment	zavar	Nevetett, hogy elrejtse a zavarát.
embassy	nagykövetség	A nagykövetség új utazási tanácsokat adott ki.
embed	beépül	Az újságíró be fog épülni az egységbe.
embody	megtestesít	A szobor mintha a bátorságot testesítené meg.
emergence	megjelenés	A telefonok megjelenése megváltoztatta a mindennapi életet.
empirical	empirikus	A tanulmány empirikus bizonyítékokon alapul.
empower	megerősít	Az oktatás megerősítheti a helyi közösségeket.
enact	törvénybe iktat	A parlament megszavazta a reform törvénybe iktatását.
encompass	felölel	A kurzus felöleli a modern történelmet.
encouragement	bátorítás	A bátorítása segített neki folytatni.
encouraging	biztató	A korai eredmények biztatónak tűnnek.
endeavour	erőfeszítés	A mentés nehéz erőfeszítés volt.
endless	végtelen	A sivatag végtelennek tűnt.
endorse	támogat	A szakszervezet nem volt hajlandó támogatni a jelöltet.
endorsement	támogatás	A támogatása fellendítette a kampányát.
endure	kibír	A növények kibírják a zord teleket.
enforce	betartat	A rendőrség betartatja a sebességkorlátozást.
