simplified	IS	example_IS
爱	elska; líka við	Ég elska mömmu mína.
八	átta	Ég á átta bækur.
爸爸	pabbi; faðir	Pabbi er heima.
杯子	bolli; glas	Þessi bolli er stór.
北京	Peking	Ég vinn í Peking.
本	mæliorð fyrir bækur; bindi	Ég á eina bók.
不	ekki; nei	Ég borða ekki hrísgrjón.
不客气	ekkert að þakka	Takk. Ekkert að þakka.
菜	réttur; grænmeti; matargerð	Þessi réttur er bragðgóður.
茶	te	Ég drekk te.
吃	borða	Ég borða epli.
出租车	leigubíll	Ég fer með leigubíl í skólann.
打电话	hringja	Ég hringi.
大	stór; stórt	Þessi skóli er stór.
的	eignarögn	Þetta er bókin mín.
点	klukkan; punktur; svolítið	Klukkan er nú átta.
电脑	tölva	Tölvan mín er á borðinu.
电视	sjónvarp	Ég horfi á sjónvarp.
电影	kvikmynd	Mér finnst kvikmyndir skemmtilegar.
东西	hlutur; dót	Hvað er þetta?
都	allir; báðir	Við erum öll nemendur.
读	lesa; læra	Ég les bók.
对不起	fyrirgefðu; afsakið	Fyrirgefðu, ég þekki þig ekki.
多	margir; mikið	Ég á marga vini.
多少	hversu mikið; hversu margir	Hvað kostar þessi bolli?
儿子	sonur	Sonur minn er nemandi.
二	tveir; tvær; tvö	Í febrúar er kalt.
饭馆	veitingastaður	Veitingastaðurinn er fyrir framan skólann.
飞机	flugvél	Ég fer með flugvél til Peking.
分钟	mínúta	Ég læri í fimm mínútur.
高兴	ánægður; glaður	Ég er mjög ánægður í dag.
个	almennt mæliorð	Ég á einn vin.
工作	vinna; starf	Ég vinn í Peking.
狗	hundur	Mér líkar við hunda.
汉语	kínverska	Ég læri kínversku.
好	góður; góð; gott; vel	Veðrið er gott í dag.
喝	drekka	Ég drekk vatn.
和	og; með	Ég fer í skólann með vini.
很	mjög	Hún er mjög falleg.
后面	fyrir aftan; aftan við	Skólinn er fyrir aftan veitingastaðinn.
回	snúa aftur; fara til baka	Ég fer heim aftur.
会	kunna; geta	Ég kann að tala kínversku.
火车站	lestarstöð	Lestarstöðin er stór.
几	hversu margir; nokkrir	Hvað áttu marga vini?
家	heimili; fjölskylda	Heimili mitt er í Peking.
叫	heita; kalla	Hvað heitir þú?
今天	í dag	Það er heitt í dag.
九	níu	Klukkan er nú níu.
开	opna; kveikja á	Ég kveiki á tölvunni.
看	horfa; lesa	Ég les bók.
看见	sjá	Ég sé kennarann.
块	stykki; júan	Þessi bók kostar tíu júan.
来	koma	Hann kemur í skólann.
老师	kennari	Kennarinn er í skólanum.
了	ögn fyrir lokna athöfn	Ég borðaði hrísgrjón.
冷	kaldur; köld; kalt	Það er kalt í dag.
里	í; inni	Það er vatn í bollanum.
零	núll	Núll er ekki einn.
六	sex	Klukkan er nú sex.
妈妈	mamma	Mamma drekkur te.
吗	já/nei-spurnarögn	Ert þú nemandi?
买	kaupa	Ég kaupi epli.
猫	köttur	Kötturinn er á stólnum.
没	hafa ekki; vera ekki	Ég á enga peninga.
没关系	ekkert mál; það er í lagi	Ekkert mál.
米饭	hrísgrjón	Ég borða hrísgrjón.
名字	nafn	Hvað heitir þú?
明天	á morgun	Á morgun fer ég til Peking.
哪	hvaða; hvar; hvert	Hvert ertu að fara?
那	sá; sú; það; þeir; þær; þau	Það er kennarinn minn.
呢	spurnarögn; en	En þú?
能	geta; mega	Má ég fara?
你	þú; þig; þér	Hvernig hefurðu það?
年	ár	Það eru tólf mánuðir í ári.
女儿	dóttir	Dóttir hans er mjög falleg.
朋友	vinur; vinkona	Hann er vinur minn.
漂亮	fallegur; falleg; fallegt	Hún er mjög falleg.
苹果	epli	Mér líkar við epli.
七	sjö	Klukkan er nú sjö.
前面	fyrir framan; framan við	Veitingastaðurinn er fyrir framan búðina.
钱	peningar	Ég á enga peninga.
请	vinsamlegast; bjóða; biðja	Fáðu þér te, gerðu það.
去	fara	Ég fer í skólann.
热	heitur; heit; heitt	Það er heitt í dag.
人	maður; manneskja; fólk	Það eru margir í skólanum.
认识	þekkja	Ég þekki hann.
日	dagur; dagsetning	Í dag er fyrsti mars.
三	þrír; þrjár; þrjú	Ég á þrjá bolla.
商店	búð; verslun	Búðin er fyrir framan skólann.
上	á; uppi	Bókin er á borðinu.
上午	fyrir hádegi; morgunn	Ég læri kínversku fyrir hádegi.
少	fáir; lítið	Það eru fáir nemendur.
什么	hvað	Hvað er þetta?
十	tíu	Ég á tíu bækur.
时候	tími; stund	Hvenær kemurðu?
是	vera; já	Ég er nemandi.
书	bók	Ég les bók.
谁	hver	Hver er hann?
水	vatn	Ég drekk vatn.
水果	ávöxtur; ávextir	Ég kaupi ávexti.
睡觉	sofa; fara að sofa	Ég fer að sofa.
说话	tala	Kennarinn talar.
四	fjórir; fjórar; fjögur	Ég á fjóra vini.
岁	ára; ára gamall	Ég er tíu ára.
他	hann; honum	Hann er kennari.
她	hún; hana	Hún er nemandi.
太	of; mjög	Þessi bolli er of stór.
天气	veður	Veðrið er gott í dag.
听	hlusta; heyra	Ég hlusta á kennarann tala.
同学	bekkjarfélagi; samnemandi	Hann er bekkjarfélagi minn.
喂	halló; hæ	Halló?
我	ég; mig	Ég er læknir.
我们	við; okkur	Við förum í skólann.
五	fimm	Ég á fimm epli.
喜欢	líka við; finnast gaman að	Mér finnst gaman að drekka te.
下	undir; niður; næsti	Bókin er undir borðinu.
下午	eftir hádegi; síðdegi	Eftir hádegi fer ég í búðina.
下雨	rigna	Það rignir í dag.
先生	herra; eiginmaður	Góðan daginn, herra.
现在	núna; nú	Ég er í skólanum núna.
想	vilja; hugsa; sakna	Mig langar að drekka vatn.
小	lítill; lítil; lítið	Þessi bolli er lítill.
小姐	ungfrú; ung kona	Góðan daginn, ungfrú.
