source_headword	TR	example_TR
strengthen	güçlendirmek	Yeni politika çevrimiçi güvenliği güçlendirecek.
strictly	kesinlikle	Biletler kesinlikle kişi başı iki ile sınırlıdır.
striking	çarpıcı	Tablonun çarpıcı renkleri var.
stroke	fırça darbesi	Kağıda bir fırça darbesi vurdu.
stunning	göz kamaştırıcı	Dağ manzarası göz kamaştırıcıydı.
subsequent	sonraki	Sonraki toplantı bütçeyi onayladı.
subsequently	sonrasında	Yol kapandı; sonrasında trafik yavaş ilerledi.
suburb	banliyö	Sessiz bir banliyöde yaşıyorlar.
suffering	acı	İlaç onun acısını azalttı.
sufficient	yeterli	Takımın yeterli zamanı var.
sufficiently	yeterince	Oda yeterince sıcak.
super	süper	Yeni tablet süper hızlı.
surgeon	cerrah	Cerrah hasarlı dizi onardı.
survival	hayatta kalma	Temiz su hayatta kalmak için gereklidir.
survivor	hayatta kalan	Hayatta kalan kişi seli anlattı.
suspend	askıya almak	Okul geziyi askıya alabilir.
sustainable	sürdürülebilir	Çiftlik sürdürülebilir yöntemler kullanıyor.
swallow	yutmak	Tableti suyla yut.
sympathetic	anlayışlı	Yönetici onun sorununa karşı anlayışlıydı.
tackle	ele almak	Konut sorununu ele almalıyız.
tag	etiket	Çantanın bir fiyat etiketi vardı.
tap	musluk	Suyu kapattı.
technological	teknolojik	Teknolojik değişim her iş yerini etkiler.
teens	gençler	Birçok genç sosyal medyayı her gün kullanıyor.
temple	tapınak	Tapınak nehrin yanında duruyordu.
temporarily	geçici olarak	Ofis geçici olarak kapalı.
tendency	eğilim	Geç gelme eğilimi var.
tension	gerilim	Tartışma sırasında gerilim arttı.
terms	şartlar	Sözleşme şartları açıktı.
terribly	fena halde	Çocuk fena halde üzgündü.
terrify	dehşete düşürmek	Yüksek sesler köpeği dehşete düşürür.
territory	bölge	Harita yeni bölgeyi gösteriyor.
terror	dehşet	Saldırıdan sonra dehşet yayıldı.
terrorism	terörizm	Terörizm kamu güvenliğini tehdit ediyor.
terrorist	terörist	Polis teröristi dün tutukladı.
testing	test etme	Ürün testleri pazartesi başlıyor.
textbook	ders kitabı	Biyoloji ders kitabını unuttu.
theft	hırsızlık	Bölgede hırsızlık arttı.
