source_headword	SR	example_SR
rock (music)	rok muzika	Volim rok muziku.
role	uloga	Njena uloga je važna.
roof	krov	Krov treba popraviti.
round	okrugao	Sto je okrugao.
route	ruta	Ova ruta je kraća.
rubbish	smeće	Iznesi smeće napolje.
rude	nepristojan	Ta primedba je bila nepristojna.
runner	trkač	Trkač izgleda umorno.
running	trčanje	Trčanje me održava zdravim.
sadly	nažalost	Nažalost, propustili smo voz.
safe	bezbedan	Ova ulica izgleda bezbedno.
sail	ploviti; jedriti	U subotu ćemo jedriti.
sailing	jedrenje	Jedrenje je ovde popularno.
salary	plata	Njegova plata je sada veća.
sale	rasprodaja	Rasprodaja počinje sutra.
sauce	sos	Dodaj sos pirinču.
save	sačuvati; spasiti	Sačuvaj svoj rad sada.
scared	uplašen	Dete je uplašeno.
scary	strašan	Ova priča je strašna.
scene	scena	Poslednja scena je bila smešna.
schedule	raspored	Proveri raspored danas.
score	rezultat	Koji je rezultat?
screen	ekran	Pažljivo očisti ekran.
search	pretraživati; tražiti	Traži slike na internetu.
season	sezona	Leto je prometna sezona.
seat	sedište	Zauzmi ovo sedište, molim te.
second1 (next after the first)	drugi	Drugo, operi ruke.
secondly	drugo	Drugo, proveri odgovor.
secret	tajna	Čuvaj ovu tajnu.
secretary	sekretar; sekretarica	Sekretarica je danas zvala.
seem	činiti se	Činiš se umorno.
sense	smisao	Ovaj plan ima smisla.
separate	odvojen	Drži papire odvojeno.
series	serija	Ova serija je popularna.
serious	ozbiljan	Ovaj problem je ozbiljan.
serve	poslužiti	Ručak poslužuju u podne.
service	usluga	Usluga je bila brza.
several	nekoliko	Nekoliko učenika došlo je rano.
shake	protresti	Prvo protresi flašu.
shall modal	da	Da počnemo sada?
shape	oblik	Nacrtaj kvadratni oblik.
sheet	čaršav	Stavi čaršav na krevet.
ship	brod	Brod je danas isplovio.
shoulder	rame	Boli me rame.
shout	vikati	Nemoj vikati na času.
shut	zatvoriti	Zatvori prozor, molim te.
side	strana	Sedi na ovu stranu.
sign	znak	Pažljivo pročitaj znak.
silver	srebro	Srebro je svetao metal.
simple	jednostavan	Ova vežba je jednostavna.
since	od	Čekam od podneva.
singing	pevanje	Pevanje mi pomaže da se opustim.
single	jedan; jedini	Kupio sam jednu kartu.
sir	gospodine	Gospodine, vaša torba je spremna.
site	sajt	Ovaj sajt je bezbedan.
size	veličina	Koja ti veličina treba?
ski	skijati	Zimi skijamo.
skiing	skijanje	Skijanje je zimi zabavno.
skin	koža	Njena koža je suva.
sky	nebo	Nebo je vedro.
slowly	polako	Hodaj polako po ledu.
smartphone	pametni telefon	Moj pametni telefon je nov.
smell	miris; mirisati	Supa dobro miriše.
smile	osmeh; nasmešiti se	Nasmeši se kameri.
smoke	dim	Dim je ispunio sobu.
smoking	pušenje	Pušenje nije dozvoljeno.
soap	sapun	Koristi sapun i vodu.
soccer	fudbal	Fudbal je ovde popularan.
social	društveni	Ovo je društveni događaj.
society	društvo	Društvo se menja s vremenom.
sock	čarapa	Jedna čarapa nedostaje.
soft	mekan	Ovo ćebe je mekano.
soldier	vojnik	Vojnik se vratio kući.
solution	rešenje	Pronašli smo rešenje.
solve	rešiti	Reši ovu zagonetku.
somewhere	negde	Stavi to negde na sigurno.
sort	vrsta	Koju vrstu želiš?
source	izvor	Prvo proveri izvor.
speaker	govornik; zvučnik	Zvučnik je bio glasan.
specific	određen	Treba mi određen odgovor.
speech	govor	Njen govor je bio kratak.
speed	brzina	Smanji brzinu ovde.
spider	pauk	Na zidu je pauk.
spoon	kašika	Koristi kašiku za supu.
square	kvadratan	Nacrtaj kvadratnu kutiju.
stage	pozornica	Bend je na pozornici.
stair	stepenik	Stepenik je slomljen.
stamp	marka	Stavi marku na pismo.
state	izjaviti	Jasno reci svoje ime.
steal	ukrasti	Nemoj krasti novac.
step	korak	Napravi jedan korak napred.
stomach	stomak	Boli me stomak.
stone	kamen	Kamen je težak.
store	prodavnica	Prodavnica se rano zatvara.
storm	oluja	Dolazi oluja.
straight	pravo	Idi pravo kući.
strange	čudan	Taj zvuk je čudan.
strategy	strategija	Treba nam strategija.
stress	stres	Posao može izazvati stres.
structure	struktura	Ova struktura je čvrsta.
stupid	glup	To je bila glupa greška.
succeed	uspeti	Ovde možeš uspeti.
successful	uspešan	Postala je uspešna.
such	takav	Takva pomoć je korisna.
suddenly	iznenada	Iznenada je pas pobegao.
suggest	predložiti	Predlažem kratku pauzu.
suggestion	predlog	Tvoj predlog je koristan.
suit	odelo	Ovo odelo je skupo.
support	podržati	Podržavamo naš tim.
suppose	pretpostaviti	Pretpostavljam da si u pravu.
surprise	iznenađenje	Iznenađenje ju je obradovalo.
surprised	iznenađen	Danas je bila iznenađena.
surprising	iznenađujući	Rezultat je bio iznenađujući.
survey	anketa	Molim te, popuni anketu.
sweet	sladak	Ovaj čaj je sladak.
symbol	simbol	Ovaj simbol znači opasnost.
system	sistem	Sistem dobro radi.
tablet	tablet	Moj tablet je na stolu.
target	meta	Pažljivo pogodi metu.
task	zadatak	Ovaj zadatak je lak.
taste	ukus; probati	Prvo probaj supu.
teaching	podučavanje	Podučavanje je težak posao.
technology	tehnologija	Tehnologija se brzo menja.
teenage	tinejdžerski	Moj brat tinejdžer vredno uči.
temperature	temperatura	Temperatura je niska.
term	rok; polugodište	Ovo polugodište uskoro završava.
themselves	oni sami	Sami su spremili večeru.
thick	debeo	Ova knjiga je debela.
thief	lopov	Lopov je pobegao.
thin	tanak	Papir je tanak.
