source_headword	HY	example_HY
machine	մեքենա	Այս մեքենան սուրճ է պատրաստում։
magazine	ամսագիր	Նա երաժշտական ամսագիր է կարդում։
main	հիմնական	Սա հիմնական դուռն է։
make	պատրաստել; անել	Տանը ճաշ եմ պատրաստում։
man	տղամարդ	Այդ տղամարդը իմ ուսուցիչն է։
many	շատ	Այստեղ շատ ուսանողներ կան։
map	քարտեզ	Նայիր քարտեզին։
March	մարտ	Իմ ծննդյան օրը մարտին է։
market	շուկա	Մենք շուկայից միրգ ենք գնում։
married	ամուսնացած	Իմ քույրը ամուսնացած է։
May	մայիս	Դպրոցը ավարտվում է մայիսին։
maybe	գուցե	Գուցե այսօր անձրև գա։
me	ինձ	Խնդրում եմ, օգնիր ինձ։
meal	կերակուր	Այս կերակուրը տաք է։
mean	նշանակել	Ի՞նչ է նշանակում այս նշանը։
meaning	իմաստ	Ո՞րն է իմաստը։
meat	միս	Ես ընթրիքին միս եմ ուտում։
meet	հանդիպել	Մենք դասից հետո կհանդիպենք։
meeting	հանդիպում	Հանդիպումը հիմա է սկսվում։
member	անդամ	Նա ակումբի անդամ է։
menu	ճաշացանկ	Խնդրում եմ, կարդա ճաշացանկը։
message	հաղորդագրություն	Ես կարճ հաղորդագրություն եմ ուղարկում։
metre	մետր	Մեկ մետր առաջ գնա։
midnight	կեսգիշեր	Գնացքը մեկնում է կեսգիշերին։
mile	մղոն	Մենք մեկ մղոն ենք քայլում։
milk	կաթ	Նախաճաշին կաթ եմ խմում։
million	միլիոն	Այստեղ միլիոն մարդ է ապրում։
minute1	րոպե	Խնդրում եմ, մեկ րոպե սպասիր։
miss	կարոտել	Ես կարոտում եմ հին դպրոցս։
mistake	սխալ	Այս պատասխանում սխալ կա։
model	մոդել	Սա փոքր մոդել է։
modern	ժամանակակից	Խոհանոցը ժամանակակից է։
moment	պահ	Մի պահ սպասիր, խնդրում եմ։
Monday	երկուշաբթի	Մենք աշխատանքը սկսում ենք երկուշաբթի։
money	փող	Ինձ մի քիչ փող է պետք։
month	ամիս	Հունիսը տաք ամիս է։
more	ավելի; ավելին	Ինձ ավելի շատ ժամանակ է պետք։
morning	առավոտ	Ես առավոտյան եմ սովորում։
most	մեծ մասը	Ուսանողների մեծ մասը երաժշտություն է սիրում։
mother	մայր	Իմ մայրը այսօր աշխատում է։
mountain	լեռ	Լեռը բարձր է։
mouse	մուկ	Մուկը աթոռի տակ է։
mouth	բերան	Խնդրում եմ, բացիր բերանդ։
move	շարժել	Աթոռը այստեղ շարժիր։
movie	ֆիլմ	Մենք երեկոյան ֆիլմ ենք դիտում։
much	շատ; որքան	Սա որքան արժե։
mum	մայրիկ	Իմ մայրիկը տանն է։
museum	թանգարան	Թանգարանը բացվում է տասին։
music	երաժշտություն	Ես երաժշտություն եմ լսում։
must modal	պետք է	Դու պետք է այստեղ կանգնես։
my	իմ	Սա իմ գիրքն է։
name	անուն	Գրիր քո անունը այստեղ։
natural	բնական	Այս հյութը բնական է։
near	մոտ	Բանկը այստեղ մոտ է։
need	պետք լինել; կարիք ունենալ	Ինձ գրիչ է պետք։
negative	բացասական	Այս պատասխանը բացասական է։
neighbour	հարևան	Իմ հարևանը բարեհամբույր է։
never	երբեք	Ես երբեք սուրճ չեմ խմում։
new	նոր	Այս հեռախոսը նոր է։
news	լուրեր	Լուրերը այսօր լավն են։
