source_headword	RO	example_RO
institute	institutul	Institutul a deschis un nou program de cercetare.
institution	instituția	Instituția și-a schimbat regulile de admitere.
insurance	asigurarea	Asigurarea ei a acoperit costurile de spitalizare.
intended	vizat	Mesajul a ajuns la publicul vizat.
intense	intens	Dezbaterea a devenit intensă foarte repede.
internal	intern	Compania a început o revizuire internă.
interpret	a interpreta	Vă rugăm să interpretați rezultatele cu atenție.
interrupt	a întrerupe	Nu întrerupeți vorbitorul acum.
investigation	investigația	Investigația a scos la iveală greșeli grave.
investment	investiția	Investiția a creat multe locuri de muncă locale.
joy	bucuria	Succesul lor a adus o mare bucurie.
judgement	judecata	Judecata lui s-a îmbunătățit cu experiența.
junior	junior	S-a alăturat echipei ca analist junior.
justice	justiția	Familia a cerut dreptate după proces.
justify	a justifica	Trebuie să justifici clar acea decizie.
labour	forța de muncă	Proiectul necesită forță de muncă calificată.
landscape	peisajul	Peisajul s-a schimbat după furtună.
largely	în mare parte	Planul a avut succes în mare parte.
launch	a lansa	Vor lansa produsul mâine.
leadership	conducerea	Conducerea puternică a ajutat echipa să-și revină.
league	liga	Clubul nostru s-a alăturat unei ligi regionale.
lean	a se sprijini	Nu vă sprijiniți de peretele ud.
licence	licența	Licența expiră luna viitoare.
limited	limitat	Avem timp limitat astăzi.
lively	animat	Ședința a devenit animată după prânz.
load	încărcătura	Camionul transporta o încărcătură grea.
loan	împrumutul	Banca a aprobat împrumutul.
logical	logic	Argumentul ei a fost clar și logic.
long-term	pe termen lung	Aceasta este o soluție pe termen lung.
loose	slăbit	Mânerul se simte slăbit.
lord	lordul	Lordul deținea mai multe sate.
lower	a reduce	Ei reduc prețurile în timpul iernii.
lung	plămânul	Fumatul poate deteriora un plămân.
maintain	a menține	Menținem un contact regulat.
majority	majoritatea	Majoritatea a susținut propunerea.
mass	masa	O masă de nori a acoperit cerul.
massive	masiv	Cutremurul a provocat daune masive.
master	maestrul	A devenit un maestru al negocierii.
matching	asortat	A purtat pantofi și curea asortate.
maximum	maxim	Camera a atins capacitatea maximă.
means	mijlocul	E-mailul este principalul nostru mijloc de contact.
measurement	măsurătoarea	Măsurătoarea a fost ușor greșită.
melt	a se topi	Zăpada se va topi până la prânz.
military	militar	Baza militară s-a închis anul trecut.
mineral	mineralul	Fierul este un mineral important.
minimum	minim	Vârsta minimă este de optsprezece ani.
minister	ministrul	Ministrul a răspuns la întrebări dificile.
minor	minor	Accidentul a provocat daune minore.
minority	minoritatea	O minoritate s-a opus noii reguli.
mission	misiunea	Misiunea lor s-a încheiat în siguranță.
mixed	mixt	Știrea a primit reacții mixte.
modify	a modifica	Putem modifica designul mai târziu.
monitor	a monitoriza	Asistenta îi va monitoriza starea.
moral	moral	Povestea are o lecție morală.
motor	un motor	Motorul s-a oprit fără avertisment.
mount	a monta	Ei montează camere lângă intrare.
multiple	multiplu	Factori multipli au cauzat întârzierea.
multiply	a înmulți	Înmulțește numărul cu zece.
mysterious	misterios	O lumină misterioasă a apărut afară.
neat	ordonat	Biroul ei este mereu ordonat.
nerve	un nerv	Rănirea a afectat un nerv.
nevertheless	cu toate acestea	Sarcina a fost grea; cu toate acestea, am terminat.
nightmare	un coșmar	Călătoria a devenit un coșmar.
notion	o noțiune	Respinge noțiunea că schimbarea este imposibilă.
numerous	numeros	Numeroase studii susțin această idee.
obey	a respecta	Șoferii trebuie să respecte semnele.
objective	un obiectiv	Obiectivul nostru este să reducem deșeurile.
obligation	o obligație	Părinții au obligația de a proteja copiii.
observation	o observație	Observația lui a schimbat discuția.
observe	a observa	Oamenii de știință observă păsările în fiecare primăvară.
obtain	a obține	Trebuie să obții o permisiune scrisă.
occasionally	ocazional	Ea lucrează ocazional de acasă.
offence	o ofensă	Comentariul a provocat o ofensă gravă.
offend	a ofensa	Nu am vrut să ofensez pe nimeni.
offensive	ofensator	Afișul conținea limbaj ofensator.
opening	un post vacant	Postul vacant a atras mulți candidați.
operate	a funcționa	Mașina poate funcționa automat.
opponent	un oponent	Oponentul ei a criticat politica.
oppose	a se opune	Mulți locuitori se opun planului.
opposed	opus	Grupurile au avut vederi opuse.
opposition	o opoziție	Propunerea a înfruntat o opoziție puternică.
organ	un organ	Inima este un organ vital.
origin	o origine	Originea focului este necunoscută.
otherwise	altfel	Pleacă acum; altfel, vei întârzia.
outcome	un rezultat	Rezultatul a surprins pe toată lumea.
outer	exterior	Zidul exterior are nevoie de reparații.
outline	a contura	Te rog să conturezi argumentul tău principal.
overall	general	Rezultatul general a fost pozitiv.
owe	a datora	Îți datorez niște scuze.
pace	un ritm	Mergi într-un ritm constant.
panel	un panel	Panelul a discutat despre politica climatică.
parliament	un parlament	Parlamentul a aprobat noua lege.
participant	un participant	Fiecare participant a semnat formularul.
partly	parțial	Întârzierea a fost parțial vina noastră.
passage	un pasaj	Citește pasajul înainte de a răspunde.
pension1	o pensie	Pensia îl susține după pensionare.
permanent	permanent	Au nevoie de o soluție permanentă.
permit	a permite	Regulile permit vizite scurte.
perspective	o perspectivă	Încearcă să-i înțelegi perspectiva.
phase	o fază	Proiectul a intrat în faza sa finală.
phenomenon	fenomenul	Fenomenul apare în multe culturi.
philosophy	filozofia	Filozofia ei prețuiește acțiunea practică.
pile	teancul	Un teanc de hârtii acoperea biroul.
pitch	terenul	Echipa a pregătit terenul cu grijă.
plain	clar	Instrucțiunile au fost clare și directe.
pointed	tăios	A făcut o remarcă tăioasă.
popularity	popularitatea	Cântărețul a câștigat popularitate online.
pose	a pune	Întrebarea poate pune o problemă.
possess	a poseda	Puțini studenți posedă acea abilitate.
potential	potențialul	Ideea are un potențial real.
praise	lauda	Profesorul a oferit o laudă sinceră.
pregnant	însărcinată	Ea este însărcinată în șase luni.
preparation	pregătirea	Pregătirea bună reduce stresul.
presence	prezența	Prezența lui a schimbat starea de spirit.
preserve	a păstra	Trebuie să conservăm această clădire istorică.
prime	principal	Cauza principală a fost planificarea slabă.
principle	principiul	Decizia a urmat un principiu clar.
priority	prioritatea	Siguranța este prima noastră prioritate.
privacy	intimitatea	Clienții așteaptă confidențialitate online.
procedure	procedura	Procedura durează treizeci de minute.
proof	dovada	Avem nevoie de dovezi înainte de a acționa.
proposal	propunerea	Propunerea are nevoie de mai multe detalii.
propose	a propune	Propun o soluție diferită.
prospect	perspectiva	Perspectiva eșecului i-a îngrijorat.
protection	protecția	Casca oferă protecție de bază.
psychologist	psihologul	Psihologul a explicat rezultatele testului.
psychology	psihologia	Ea studiază psihologia la universitate.
publication	publicația	Publicația a atras atenția publicului.
pupil	elevul	Fiecare elev a primit un manual nou.
purchase	a cumpăra	Ei cumpără provizii în fiecare lună.
pure	pur	Apa era pură și rece.
pursue	a urma	El va urma o carieră medicală.
rank	rangul	Ea deține un rang înalt.
rapid	rapid	Țara a cunoscut o creștere rapidă.
rapidly	rapid	Prețurile au crescut rapid anul acesta.
raw	crud	Bucătarul a pregătit legume crude.
realistic	realist	Stabilește un termen limită realist.
reasonable	rezonabil	Aceasta pare o cerere rezonabilă.
recall	a-și aminti	Îmi amintesc cuvintele lui exacte.
recover	a se recupera	Ea se va recupera după tratament.
reduction	reducerea	Reducerea a economisit bani.
regard	a considera	Mulți oameni o consideră onestă.
regional	regional	Biroul regional s-a închis astăzi.
register	a se înregistra	Vă rugăm să vă înregistrați înainte de conferință.
regret	a regreta	Regret decizia mea anterioară.
regulation	regulamentul	Noul regulament afectează toți șoferii.
relatively	relativ	Examenul a fost relativ ușor.
relevant	relevant	Alege doar detaliile relevante.
relief	ușurarea	Vestea a adus o mare ușurare.
rely	a se baza	Copiii se bazează pe sprijinul adulților.
remark	remarca	Remarca lui a încheiat discuția.
representative	reprezentantul	Reprezentantul s-a întâlnit cu muncitorii locali.
reputation	reputația	Hotelul are o reputație bună.
requirement	cerința	Experiența este o cerință de bază.
rescue	a salva	Ei salvează oameni din inundații.
reserve	rezerva	Rezervăm locuri pentru oaspeți.
resident	rezidentul	Fiecare rezident a primit o notificare.
resist	a rezista	Încearcă să reziști presiunii.
resolve	a rezolva	Au rezolvat disputa pașnic.
resort	stațiunea	Stațiunea de pe insulă s-a deschis în mai.
retain	a reține	Compania vrea să rețină personalul.
reveal	a dezvălui	Raportul va dezvălui adevărul.
revolution	revoluția	Revoluția a schimbat țara.
reward	recompensa	Munca grea merită o recompensă.
rhythm	ritmul	Melodia are un ritm constant.
rid	a scăpa	Scapă de acele dosare vechi.
root	rădăcina	Rădăcina problemei sunt banii.
rub	a freca	Freacă suprafața cu o cârpă.
rubber	cauciucul	Garnitura de cauciuc previne scurgerile.
rural	rural	Multe școli rurale au nevoie de sprijin.
rush	a grăbi	Nu grăbi această decizie.
satellite	satelitul	Satelitul a trimis imagini noi.
satisfied	satisfăcut	Clientul părea satisfăcut.
satisfy	a satisface	Răspunsul nu l-a satisfăcut.
saving	economisirea	Economisirea energiei reduce costurile lunare.
scale	amploarea	Amploarea pagubelor a fost uriașă.
scheme	schema	Schema îi ajută pe tinerii muncitori.
scream	a țipa	Au auzit un țipăt afară.
sector	sectorul	Sectorul tehnologic este în creștere.
secure	a asigura	Încuiți ușa pentru a o asigura.
seek	a căuta	Ei caută sfaturi de la experți.
select	a selecta	Selectați cea mai bună opțiune.
selection	selecția	Magazinul oferă o selecție largă.
self	sinele	Ea și-a arătat adevăratul sine.
senior	senior	Un medic senior a consultat pacientul.
sensitive	sensibil	Acest subiect este foarte sensibil.
sequence	secvența	Urmați secvența pașilor.
session	sesiunea	Sesiunea de pregătire începe la prânz.
settle	a soluționa	Ei rezolvă cearta rapid.
severe	sever	Furtuna a provocat inundații severe.
shade	umbra	Așază-te la umbră.
shadow	umbra	O umbră a trecut prin fața ferestrei.
shallow	puțin adânc	Lacul este puțin adânc aici.
shame	rușinea	A simțit rușine după ce a mințit.
shelter	adăpostul	Școala a oferit un adăpost de urgență.
shock	șocul	Decizia a fost un șoc.
shocked	șocat	Părea șocată de veste.
shooting	împușcătura	Împușcăturile au avut loc lângă stație.
shot	lovitura	Lovitura câștigătoare i-a surprins pe toți.
significant	semnificativ	Descoperirea a fost semnificativă.
significantly	semnificativ	Costurile au crescut semnificativ anul trecut.
silence	tăcerea	Camera a căzut în tăcere.
silk	mătasea	Rochia era făcută din mătase.
sincere	sincer	Vă rog să acceptați mulțumirile mele sincere.
slave	sclavul	Legea a eliberat fiecare sclav.
slide	a aluneca	Copilul a coborât pe tobogan.
slight	ușor	A existat o ușoară întârziere.
slip	a aluneca	Nu aluneca pe podeaua udă.
slope	panta	Poteca urmează o pantă abruptă.
solar	solar	Casa folosește energie solară.
somewhat	oarecum	Instrucțiunile au fost oarecum confuze.
soul	sufletul	Muzica i-a înălțat sufletul.
specialist	specialistul	Specialistul a examinat pacientul.
species	specia	Această specie trăiește lângă râuri.
spiritual	spiritual	Ea a descris o experiență spirituală.
split	a împărți	Ei au împărțit nota de plată în mod egal.
sponsor	a sponsoriza	Compania va sponsoriza evenimentul.
stable	stabil	Pacientul este stabil.
stare	a holba	Nu te holba la străini.
status	statutul	Statutul lui s-a schimbat peste noapte.
steady	constant	Păstrează o viteză constantă.
steel	oțelul	Podul este făcut din oțel.
steep	abrupt	Dealul este abrupt.
sticky	lipicios	Podeaua se simte lipicioasă.
stiff	înțepenit	Umărul lui se simțea înțepenit.
stock	stocul	Magazinul nu mai are niciun stoc.
stream	pârâul	Un mic pârâu traversează câmpul.
stretch	a întinde	Întinde-ți picioarele după zbor.
strict	strict	Școala are reguli stricte.
strike	a face grevă	Muncitorii ar putea face grevă mâine.
struggle	a se lupta	Multe familii se luptă cu chiria.
submit	a trimite	Trimiteți formularul până vineri.
sum	suma	Suma a fost mai mare decât se aștepta.
surgery	operația	Operația a durat două ore.
surround	a înconjura	Copaci înalți înconjoară casa.
surrounding	înconjurător	Zona înconjurătoare este liniștită.
suspect	a suspecta	Poliția suspectează un bărbat local.
swear	a înjura	Nu înjura în clasă.
sweep	a mătura	Mătură podeaua înainte de a sosi oaspeții.
sympathy	simpatia	Ea a exprimat simpatie pentru victime.
tale	povestea	Bunica a spus o poveste ciudată.
