simplified	DA	example_DA	FI	example_FI	CS	example_CS	SK	example_SK
爱	at elske; at kunne lide	Jeg elsker min mor.	rakastaa; pitää	Rakastan äitiäni.	milovat; mít rád	Miluji maminku.	milovať; mať rád	Milujem mamu.
八	otte	Jeg har otte bøger.	kahdeksan	Minulla on kahdeksan kirjaa.	osm	Mám osm knih.	osem	Mám osem kníh.
爸爸	en far; papa	Far er hjemme.	isä	Isä on kotona.	táta; otec	Táta je doma.	otec; ocko	Ocko je doma.
杯子	en kop; et glas	Denne kop er stor.	kuppi; lasi	Tämä kuppi on iso.	šálek; sklenice	Tento šálek je velký.	šálka; pohár	Táto šálka je veľká.
北京	Beijing	Jeg arbejder i Beijing.	Peking	Työskentelen Pekingissä.	Peking	Pracuji v Pekingu.	Peking	Pracujem v Pekingu.
本	en klassifikator for bøger; et bind	Jeg har en bog.	kirjojen luokittelusana; nide	Minulla on yksi kirja.	klasifikátor pro knihy; svazek	Mám jednu knihu.	klasifikátor pre knihy; zväzok	Mám jednu knihu.
不	ikke	Jeg spiser ikke ris.	ei; en	En syö riisiä.	ne; ne-	Nejím rýži.	nie	Nejem ryžu.
不客气	det var så lidt; selv tak	Tak. Det var så lidt.	ei kestä	Kiitos. Ei kestä.	není zač	Děkuji. Není zač.	nemáš za čo	Ďakujem. Nemáš za čo.
菜	en ret; grøntsager	Denne ret er lækker.	ruoka; kasvis	Tämä ruoka on maukasta.	jídlo; zelenina	Toto jídlo je chutné.	jedlo; zelenina	Toto jedlo je chutné.
茶	te	Jeg drikker te.	tee	Juon teetä.	čaj	Piju čaj.	čaj	Pijem čaj.
吃	at spise	Jeg spiser et æble.	syödä	Syön omenan.	jíst	Jím jablko.	jesť	Jem jablko.
出租车	en taxa	Jeg tager en taxa til skolen.	taksi	Menen kouluun taksilla.	taxi; taxík	Jedu do školy taxíkem.	taxi; taxík	Idem do školy taxíkom.
打电话	at ringe	Jeg ringer.	soittaa puhelu	Soitan puhelun.	telefonovat; volat	Volám.	telefonovať; volať	Volám.
大	stor	Denne skole er stor.	iso; suuri	Tämä koulu on iso.	velký	Tato škola je velká.	veľký	Táto škola je veľká.
的	en ejepartikel; en possessivpartikel	Dette er min bog.	possessiivipartikkeli	Tämä on minun kirjani.	přivlastňovací částice	To je moje kniha.	privlastňovacia častica	Toto je moja kniha.
点	klokken; et punkt; lidt	Klokken er otte nu.	kello; piste; vähän	Nyt kello on kahdeksan.	hodina; bod; trochu	Teď je osm hodin.	hodina; bod; trochu	Teraz je osem hodín.
电脑	en computer	Min computer står på bordet.	tietokone	Tietokoneeni on pöydällä.	počítač	Můj počítač je na stole.	počítač	Môj počítač je na stole.
电视	et tv; et fjernsyn	Jeg ser tv.	televisio; TV	Katson televisiota.	televize; televizor	Dívám se na televizi.	televízia; televízor	Pozerám televíziu.
电影	en film	Jeg kan lide film.	elokuva	Pidän elokuvista.	film	Mám rád filmy.	film	Mám rád filmy.
东西	en ting; ting	Hvad er det her for en ting?	asia; tavara	Mikä tämä on?	věc	Co je to za věc?	vec	Čo je to za vec?
都	alle; begge	Vi er alle studerende.	kaikki; molemmat	Olemme kaikki opiskelijoita.	všichni; oba	Všichni jsme studenti.	všetci; obaja	Všetci sme študenti.
读	at læse; at studere	Jeg læser en bog.	lukea; opiskella	Luen kirjaa.	číst; studovat	Čtu knihu.	čítať; študovať	Čítam knihu.
对不起	undskyld; beklager	Undskyld, jeg kender dig ikke.	anteeksi	Anteeksi, en tunne sinua.	promiňte; omlouvám se	Promiň, neznám tě.	prepáč; ospravedlňujem sa	Prepáč, nepoznám ťa.
