source_headword	LT	example_LT
absorb	absorbuoti	Rankšluostis greitai sugeria vandenį.
abstract	abstraktus	Paskaitoje buvo aptariamos abstrakčios idėjos.
accent	akcentas	Jos akcentą lengva suprasti.
accidentally	netyčia	Aš netyčia ištryniau failą.
accommodate	prisitaikyti	Viešbutis gali apgyvendinti dideles šeimas.
accomplish	pasiekti	Ji pasiekė savo tikslą prieš birželį.
accountant	buhalteris	Buhalteris patikrino sąskaitą faktūrą.
accuracy	tikslumas	Testas matuoja skaitymo tikslumą.
accurately	tiksliai	Žemėlapis tiksliai rodo maršrutą.
acid	rūgštis	Rūgštis pažeidė metalinį paviršių.
activate	aktyvuoti	Paspauskite mygtuką, kad aktyvuotumėte signalizaciją.
addiction	priklausomybė	Jo priklausomybė paveikė jo darbą.
additionally	papildomai	Be to, mums reikia daugiau kėdžių.
adequate	adekvatus	Kambaryje yra pakankamai šviesos.
adequately	adekvačiai	Ataskaitoje problema buvo paaiškinta tinkamai.
adjust	koreguoti	Prieš važiuodami sureguliuokite sėdynę.
affordable	prieinamas	Butas yra įperkamas studentams.
agriculture	žemės ūkis	Žemės ūkis išlaiko daugelį kaimo šeimų.
AIDS	AIDS	Gydytojai gydo AIDS šiuolaikine medicina.
alien	ateivis	Filmas rodo ateivių planetą.
alongside	šalia	Dviračių takas driekiasi šalia upės.
altogether	visiškai	Iš viso projektas truko šešias savaites.
ambulance	greitoji pagalba	Greitoji pagalba atvyko per kelias minutes.
amusing	linksmas	Istorija buvo linksma ir lengva.
analyst	analitikas	Analitikas peržiūrėjo pardavimų duomenis.
ancestor	protėvis	Mano protėvis gyveno netoli šio kaimo.
animation	animacija	Dėl animacijos pamoka tapo aiškesnė.
annually	kasmet	Festivalis vyksta kasmet.
anticipate	numatyti	Rytoj numatome intensyvų eismą.
anxiety	nerimas	Dėl nerimo gali būti sunku miegoti.
apology	atsiprašymas	Ji nuoširdžiai atsiprašė.
applicant	pareiškėjas	Kandidatas atsiuntė naują gyvenimo aprašymą.
appropriately	tinkamai	Prašome tinkamai apsirengti pokalbiui.
arrow	rodyklė	Rodyklė rodo į išėjimą.
artwork	meno kūrinys	Muziejuje buvo eksponuojami vietiniai meno kūriniai.
aside	į šalį	Ji pasitraukė į šalį, kad leistų jam praeiti.
asset	turtas	Patirtis yra vertingas turtas.
assign	paskirti	Mokytojas šiandien uždavė namų darbų.
assistance	pagalba	Pagalbos kreipkitės į darbuotojus.
assumption	prielaida	Ta prielaida gali būti klaidinga.
assure	užtikrinti	Užtikrinu jus, kad durys užrakintos.
astonishing	stulbinantis	Vaizdas nuo uolos buvo stulbinantis.
attachment	priedas	El. laiške yra priedas.
auction	aukcionas	Paveikslas buvo parduotas aukcione.
audio	garso	Garso įrašas skamba aiškiai.
