source_headword	TA	example_TA
strengthen	வலுப்படுத்து	புதிய கொள்கை இணையப் பாதுகாப்பை வலுப்படுத்தும்.
strictly	கண்டிப்பாக	டிக்கெட்டுகள் ஒரு நபருக்கு இரண்டு என கண்டிப்பாக வரம்பிடப்பட்டுள்ளன.
striking	கவர்ச்சியான	இந்த ஓவியம் கவர்ச்சியான வண்ணங்களைக் கொண்டுள்ளது.
stroke	கோடு	அவள் காகிதத்தில் ஒரு கோடு வரைந்தாள்.
stunning	பிரமிக்க வைக்கும்	மலைக்காட்சி பிரமிக்க வைப்பதாக இருந்தது.
subsequent	அடுத்தடுத்த	அடுத்தடுத்த கூட்டம் பட்ஜெட்டை உறுதி செய்தது.
subsequently	பின்னர்	சாலை மூடப்பட்டது; பின்னர், போக்குவரத்து மெதுவாக நகர்ந்தது.
suburb	புறநகர்	அவர்கள் ஒரு அமைதியான புறநகர்ப் பகுதியில் வசிக்கின்றனர்.
suffering	துன்பம்	மருந்து அவரது துன்பத்தைக் குறைத்தது.
sufficient	போதுமான	அணியிடம் போதுமான நேரம் உள்ளது.
sufficiently	போதுமான அளவில்	அறை போதுமான அளவில் சூடாக உள்ளது.
super	மிக	புதிய டேப்லெட் மிக வேகமாக உள்ளது.
surgeon	அறுவை சிகிச்சை நிபுணர்	அறுவை சிகிச்சை நிபுணர் சேதமடைந்த முழங்காலை சரிசெய்தார்.
survival	உயிர்வாழ்வு	உயிர்வாழ்வதற்கு சுத்தமான தண்ணீர் அவசியம்.
survivor	தப்பியவர்	தப்பியவர் வெள்ளத்தை விவரித்தார்.
suspend	இடைநிறுத்து	பள்ளி பயணத்தை இடைநிறுத்தலாம்.
sustainable	நிலையான	பண்ணை நிலையான முறைகளைப் பயன்படுத்துகிறது.
swallow	விழுங்கு	மாத்திரையை தண்ணீருடன் விழுங்கவும்.
sympathetic	அனுதாபம் கொண்ட	மேலாளர் அவளது பிரச்சினையில் அனுதாபம் கொண்டிருந்தார்.
tackle	கையாளு	நாம் வீட்டுவசதிப் பிரச்சினையைக் கையாள வேண்டும்.
tag	விலை அட்டை	பையில் ஒரு விலை அட்டை இருந்தது.
tap	குழாய்	அவள் குழாயை மூடினாள்.
technological	தொழில்நுட்ப	தொழில்நுட்ப மாற்றம் ஒவ்வொரு பணியிடத்தையும் பாதிக்கிறது.
teens	பதின்ம வயதினர்	பல பதின்ம வயதினர் தினமும் சமூக ஊடகங்களைப் பயன்படுத்துகின்றனர்.
temple	கோயில்	கோயில் ஆற்றின் அருகே நின்றது.
temporarily	தற்காலிகமாக	அலுவலகம் தற்காலிகமாக மூடப்பட்டுள்ளது.
tendency	போக்கு	அவனுக்கு தாமதமாக வரும் போக்கு உள்ளது.
tension	பதற்றம்	விவாதத்தின் போது பதற்றம் அதிகரித்தது.
terms	விதிமுறைகள்	ஒப்பந்த விதிமுறைகள் தெளிவாக இருந்தன.
terribly	மிகவும்	குழந்தை மிகவும் வருத்தமாக இருந்தது.
terrify	பயமுறுத்து	சத்தமான ஓசைகள் நாயை பயமுறுத்துகின்றன.
territory	பிரதேசம்	வரைபடம் புதிய பிரதேசத்தைக் காட்டுகிறது.
terror	பீதி	தாக்குதலுக்குப் பிறகு பீதி பரவியது.
terrorism	பயங்கரவாதம்	பயங்கரவாதம் பொதுப் பாதுகாப்பை அச்சுறுத்துகிறது.
