source_headword	FR	example_FR
toss	lancer	Elle a lancé les clés sur la table.
total	totaliser	Les réparations totalisent plus que prévu.
toxic	toxique	La fumée toxique a forcé tout le monde à sortir.
trademark	la marque déposée	Le logo est devenu la marque déposée de l'entreprise.
trail	le sentier	Le sentier menait à travers la forêt.
trailer	la bande-annonce	La bande-annonce a montré la fin du film.
transaction	la transaction	La transaction est apparue sur mon relevé bancaire.
transcript	le relevé de notes	L'étudiant a demandé un relevé de notes officiel.
transformation	la transformation	La ville a connu une transformation majeure.
transit	le transit	Le colis a été endommagé pendant le transit.
transmission	la transmission	La transmission des données était sécurisée.
transparency	la transparence	Le rapport réclamait une plus grande transparence.
transparent	transparent	Le processus devrait être transparent pour tout le monde.
trauma	le traumatisme	L'accident a laissé un profond traumatisme.
treaty	le traité	Les pays ont signé un traité de paix.
tremendous	énorme	L'équipe a fait d'énormes progrès.
tribal	tribal	Le musée a exposé de l'art tribal.
tribunal	le tribunal	Le tribunal a entendu des témoignages toute la semaine.
tribute	l'hommage	Le concert était un hommage pour elle.
trio	le trio	Le trio s'est produit au festival.
triumph	le triomphe	La victoire a été un triomphe personnel.
trophy	le trophée	Le capitaine a soulevé le trophée avec fierté.
troubled	en difficulté	L'entreprise en difficulté avait besoin d'une nouvelle direction.
trustee	l'administrateur	L'administrateur gère le fonds de bourses d'études.
tuition	les frais de scolarité	Ses frais de scolarité ont augmenté cette année.
turnout	le taux de participation	La participation électorale a été plus élevée que prévu.
turnover	la rotation	La rotation du personnel a diminué après les changements.
twist	tourner	Elle a tourné le couvercle pour l'ouvrir.
undergraduate	l'étudiant de premier cycle	L'étudiant de premier cycle a rejoint un projet de recherche.
underlying	sous-jacent	Le rapport a expliqué les causes sous-jacentes.
undermine	saper	Le scandale a sapé la confiance du public.
undoubtedly	sans aucun doute	Elle est sans aucun doute la meilleure candidate.
unify	unifier	Le plan vise à unifier les équipes.
unprecedented	sans précédent	La tempête a causé des dégâts sans précédent.
unveil	dévoiler	L'entreprise dévoilera le design demain.
upcoming	à venir	L'élection à venir a attiré l'attention du public.
upgrade	mettre à jour	Nous avons mis à jour le logiciel la nuit dernière.
uphold	maintenir	Nous maintenons la décision initiale.
utility	les services publics	L'appartement comprend tous les frais de services publics.
utilize	utiliser	L'équipe a utilisé les données disponibles.
utterly	totalement	L'explication était totalement confuse.
vacuum	le vide	Le vide dans la direction a créé des tensions.
vague	vague	Sa réponse était vague et faible.
validity	la validité	L'étude a remis en question la validité du test.
vanish	disparaître	Le fichier a disparu du dossier.
variable	la variable	Le prix est une variable importante.
varied	varié	Le cours propose des missions variées.
vein	la veine	L'infirmière a trouvé une veine rapidement.
venture	l'entreprise	La nouvelle entreprise a attiré les investisseurs.
verbal	verbal	Ils sont parvenus à un accord verbal.
verdict	le verdict	Le jury a rendu son verdict.
verify	vérifier	Veuillez vérifier votre adresse e-mail.
verse	le vers	Elle a cité un vers du poème.
versus	contre	Le débat portait sur la confidentialité contre la sécurité.
vessel	le navire	Le navire a transporté du grain à travers la mer.
veteran	le vétéran	Le vétéran a formé le nouveau personnel.
viable	viable	La proposition est financièrement viable.
vibrant	dynamique	La ville a une scène artistique dynamique.
vice	le vice	La cupidité était son plus grand vice.
vicious	brutal	L'attaque brutale a choqué la ville.
villager	le villageois	Un villageois nous a guidés jusqu'à la rivière.
violate	violer	L'entreprise pourrait enfreindre les règles de sécurité.
violation	l'infraction	L'inspecteur a signalé une infraction grave.
virtue	la vertu	La patience est une vertu importante.
vocal	franc	Elle a été très franche concernant la décision.
vow	jurer	Il a juré de terminer le travail.
vulnerability	la vulnérabilité	L'audit a révélé une vulnérabilité de sécurité.
vulnerable	vulnérable	Les enfants sont vulnérables lors de chaleurs extrêmes.
ward	le service	Le patient a été transféré dans un autre service.
warehouse	l'entrepôt	L'entrepôt stocke des pièces de rechange.
warfare	la guerre	La guerre moderne repose sur la technologie.
warrant	le mandat	La police a montré un mandat de perquisition.
warrior	le guerrier	Le guerrier a protégé le village.
weaken	affaiblir	La blessure a affaibli sa prise.
weave	tresser	Elle a appris à tresser des paniers.
weed	la mauvaise herbe	Une mauvaise herbe a poussé entre les pierres.
well	le puits	Le puits du village s'est asséché.
well-being	le bien-être	Le sommeil est vital pour le bien-être.
whatsoever	du tout	Il n'a montré aucun intérêt du tout.
whereby	par lequel	La loi a créé un système par lequel les familles pouvaient faire appel.
whilst	tandis que	Elle a travaillé pendant qu'il se reposait.
whip	fouetter	Le vent peut fouetter les drapeaux.
wholly	entièrement	La décision était totalement inattendue.
widen	élargir	La ville prévoit d'élargir la route.
widow	la veuve	La veuve vit près de l'école.
width	la largeur	Mesurez la largeur de la porte.
willingness	la volonté	Sa volonté d'aider a impressionné tout le monde.
wipe	essuyer	Essuyez l'écran avec un chiffon.
wit	l'esprit	Son esprit a rendu le discours animé.
withdrawal	le retrait	Le retrait du financement a retardé le projet.
workout	la séance d'entraînement	La séance d'entraînement a duré quarante minutes.
worship	le culte	Les gens se sont rassemblés pour le culte à l'aube.
worthwhile	qui en vaut la peine	Le voyage en valait la peine.
worthy	digne	L'association caritative est digne de soutien.
yell	crier	Ne criez pas sur le personnel.
yield	le rendement	Le rendement de la ferme s'est amélioré cette saison.
youngster	le jeune	Le jeune a posé de nombreuses questions.
