simplified	KN	example_KN
爱	ಪ್ರೀತಿಸುವುದು; ಇಷ್ಟಪಡುವುದು	ನಾನು ಅಮ್ಮನನ್ನು ಪ್ರೀತಿಸುತ್ತೇನೆ.
八	ಎಂಟು	ನನ್ನ ಬಳಿ ಎಂಟು ಪುಸ್ತಕಗಳಿವೆ.
爸爸	ಅಪ್ಪ; ತಂದೆ	ಅಪ್ಪ ಮನೆಯಲ್ಲಿ ಇದ್ದಾರೆ.
杯子	ಕಪ್; ಗ್ಲಾಸ್	ಈ ಕಪ್ ದೊಡ್ಡದು.
北京	ಬೀಜಿಂಗ್	ನಾನು ಬೀಜಿಂಗ್‌ನಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತೇನೆ.
本	ಪುಸ್ತಕಗಳಿಗೆ ಎಣಿಕೆ ಪದ; ಸಂಪುಟ	ನನ್ನ ಬಳಿ ಒಂದು ಪುಸ್ತಕ ಇದೆ.
不	ಇಲ್ಲ; ಅಲ್ಲ	ನಾನು ಅನ್ನ ತಿನ್ನುವುದಿಲ್ಲ.
不客气	ಪರವಾಗಿಲ್ಲ; ಏನೂ ಇಲ್ಲ	ಧನ್ಯವಾದಗಳು. ಪರವಾಗಿಲ್ಲ.
菜	ಭಕ್ಷ್ಯ; ತರಕಾರಿ; ಊಟ	ಈ ಭಕ್ಷ್ಯ ರುಚಿಕರವಾಗಿದೆ.
茶	ಚಹಾ	ನಾನು ಚಹಾ ಕುಡಿಯುತ್ತೇನೆ.
吃	ತಿನ್ನುವುದು	ನಾನು ಸೇಬು ತಿನ್ನುತ್ತೇನೆ.
出租车	ಟ್ಯಾಕ್ಸಿ	ನಾನು ಟ್ಯಾಕ್ಸಿಯಲ್ಲಿ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ.
打电话	ಫೋನ್ ಮಾಡುವುದು	ನಾನು ಫೋನ್ ಮಾಡುತ್ತಿದ್ದೇನೆ.
大	ದೊಡ್ಡ	ಈ ಶಾಲೆ ದೊಡ್ಡದು.
的	ನ; ಯ; ಸ್ವಾಮ್ಯ ಸೂಚಕ ಕಣ	ಇದು ನನ್ನ ಪುಸ್ತಕ.
点	ಗಂಟೆ; ಬಿಂದು; ಸ್ವಲ್ಪ	ಈಗ ಎಂಟು ಗಂಟೆ.
