simplified	HY	example_HY
爱	սիրել; հավանել	Ես մայրիկիս սիրում եմ։
八	ութ	Ես ութ գիրք ունեմ։
爸爸	հայրիկ; հայր	Հայրիկը տանն է։
杯子	բաժակ	Այս բաժակը մեծ է։
北京	Պեկին	Ես աշխատում եմ Պեկինում։
本	հաշվիչ բառ գրքերի համար; հատոր	Ես մեկ գիրք ունեմ։
不	ոչ; չ-	Ես բրինձ չեմ ուտում։
不客气	խնդրեմ; ոչինչ	Շնորհակալություն։ Խնդրեմ։
菜	ուտեստ; բանջարեղեն	Այս ուտեստը համեղ է։
茶	թեյ	Ես թեյ եմ խմում։
吃	ուտել	Ես խնձոր եմ ուտում։
出租车	տաքսի	Ես դպրոց եմ գնում տաքսիով։
打电话	զանգահարել; հեռախոսով զանգել	Ես զանգահարում եմ։
大	մեծ	Այս դպրոցը մեծ է։
的	պատկանելության մասնիկ	Սա իմ գիրքն է։
点	ժամ; կետ; մի քիչ	Հիմա ժամը ութն է։
电脑	համակարգիչ	Իմ համակարգիչը սեղանի վրա է։
电视	հեռուստացույց	Ես հեռուստացույց եմ դիտում։
电影	կինո; ֆիլմ	Ես կինո եմ սիրում։
东西	բան; առարկա	Սա ի՞նչ բան է։
都	բոլորը; ամենը	Մենք բոլորս աշակերտներ ենք։
读	կարդալ	Ես գիրք եմ կարդում։
对不起	կներեք; ներեցեք	Կներեք, ես ձեզ չեմ ճանաչում։
多	շատ; ավելի	Ես շատ ընկերներ ունեմ։
多少	որքան; ինչքան արժե	Այս բաժակն ինչքա՞ն արժե։
儿子	որդի; տղա զավակ	Իմ որդին աշակերտ է։
二	երկու	Փետրվարին ցուրտ է։
饭馆	ռեստորան; ճաշարան	Ռեստորանը դպրոցի դիմաց է։
飞机	ինքնաթիռ	Ես Պեկին եմ գնում ինքնաթիռով։
分钟	րոպե	Ես հինգ րոպե եմ սովորում։
高兴	ուրախ	Այսօր ես շատ ուրախ եմ։
个	ընդհանուր հաշվիչ բառ	Ես մեկ ընկեր ունեմ։
工作	աշխատել; աշխատանք	Ես աշխատում եմ Պեկինում։
狗	շուն	Ես շներ եմ սիրում։
汉语	չինարեն	Ես չինարեն եմ սովորում։
好	լավ	Այսօր լավ եղանակ է։
喝	խմել	Ես ջուր եմ խմում։
和	և; հետ միասին	Ես ընկերոջս հետ դպրոց եմ գնում։
很	շատ	Նա շատ գեղեցիկ է։
后面	հետևում; հետևի կողմ	Դպրոցը ռեստորանի հետևում է։
回	վերադառնալ	Ես տուն եմ վերադառնում։
会	կարողանալ; իմանալ	Ես կարող եմ չինարեն խոսել։
火车站	երկաթուղային կայարան	Երկաթուղային կայարանը մեծ է։
几	քանի; մի քանի	Քանի՞ ընկեր ունես։
家	տուն; ընտանիք	Իմ տունը Պեկինում է։
叫	կոչվել; կանչել	Քեզ ինչպե՞ս են կոչում։
今天	այսօր	Այսօր շոգ է։
九	ինը	Հիմա ժամը ինն է։
开	բացել; միացնել	Ես միացնում եմ համակարգիչը։
看	նայել; տեսնել; կարդալ	Ես գիրք եմ կարդում։
看见	տեսնել	Ես տեսնում եմ ուսուցչին։
块	կտոր; յուան	Այս գիրքը տասը յուան արժե։
来	գալ	Նա դպրոց է գալիս։
老师	ուսուցիչ	Ուսուցիչը դպրոցում է։
了	ավարտված գործողության մասնիկ	Ես բրինձ կերա։
冷	ցուրտ; սառը	Այսօր ցուրտ է։
里	ներսում; -ում	Բաժակում ջուր կա։
零	զրո	Զրոն մեկ չէ։
六	վեց	Հիմա ժամը վեցն է։
妈妈	մայրիկ; մայր	Մայրիկը թեյ է խմում։
吗	այո-ոչ հարցական մասնիկ	Դու աշակե՞րտ ես։
买	գնել	Ես խնձոր եմ գնում։
