simplified	KK	example_KK
啊	растау шылауы; а	Жақсы, қазір барайық.
阿姨	апай; бала күтуші	Апай үлкен дүкенде жұмыс істейді.
矮	аласа; бойы қысқа	Бұл үстел сәл аласа.
爱好	қызығушылық; хобби	Менің қызығушылығым - музыка тыңдау.
安静	тыныш; жайлы	Кітапханада өте тыныш.
把	ұстау; алу; объект шылауы	Есікті жабыңызшы.
搬	көшу; тасу	Біз ертең көшеміз.
班	сынып; топ	Біздің сыныпта жиырма оқушы бар.
办法	әдіс; жол	Бұл әдіс өте жақсы.
办公室	кеңсе; жұмыс бөлмесі	Менеджер кеңседе.
半	жарты	Мен жарты сағат күттім.
帮忙	көмектесу	Көмектесе аласыз ба?
包	сөмке; орау	Ол жаңа сөмке сатып алды.
饱	тоқ; тою	Мен әлдеқашан тойдым.
北方	солтүстік; солтүстік жақ	Солтүстікте қыс өте суық болады.
被	ырықсыз етіс шылауы; тарапынан	Велосипедімді досым алып кетті.
鼻子	мұрын	Оның мұрны сәл қызарып тұр.
比较	салыстыру; біршама	Бүгін біршама ыстық.
比赛	жарыс; ойын	Бұл жарыс өте маңызды.
笔记本	дәптер; қойын дәптер	Мен дәптерді үстелдің үстіне қойдым.
必须	міндетті; керек	Сен міндетті түрде мұқият қайталауың керек.
变化	өзгеріс; өзгеру	Бұл қала қатты өзгерді.
别人	басқалар	Басқалардың заттарын алма.
冰箱	тоңазытқыш	Жемістер тоңазытқышта.
不但…而且…	тек қана... емес, сонымен қатар...	Ол тек ақылды ғана емес, өте еңбекқор да.
菜单	мәзір	Маған бір мәзір беріңізші.
参加	қатысу	Мен бұл жиналысқа қатысқым келеді.
草	шөп; көгал	Күшік көгалда жүгіріп жүр.
层	қабат	Бұл ғимаратта үш қабат бар.
差	жаман; айырма; кемшілік	Бүгін ауа райы жаман.
超市	үлкен дүкен	Мен нан сатып алу үшін үлкен дүкенге бара жатырмын.
衬衫	көйлек	Бұл көйлек өте таза.
城市	қала	Бейжің - үлкен қала.
成绩	нәтиже; баға	Оның математика бағалары жақсы.
迟到	кешігу	Сабаққа кешікпе.
除了	-дан басқа; қоса	Кофеден басқа, мен шай да қалаймын.
船	қайық; кеме	Біз сол қалаға қайықпен барамыз.
春	көктем	Көктемде гүл көп болады.
词典	сөздік	Бұл сөздік өте пайдалы.
聪明	ақылды	Бұл бала өте ақылды.
打扫	тазалау; сыпыру	Мен демалыс күндері бөлмені тазалаймын.
打算	жоспар; жоспарлау	Ертеңге қандай жоспарың бар?
带	әкелу; өзімен алу	Төлқұжатыңызды алып келіңізші.
担心	алаңдау; уайымдау	Уайымдамаңыз, мен сізге көмектесемін.
蛋糕	торт	Бұл торт өте тәтті.
当然	әрине	Әрине болады.
地	үстеулік шылау	Ол қуанып күлді.
灯	шам; жарық	Шамды қосыңызшы.
地方	жер; орын	Бұл жер өте тыныш.
地铁	метро	Мен күн сайын жұмысқа метромен барамын.
地图	карта	Мен картадан мектепті іздеп жүрмін.
电梯	лифт	Лифт сол жақта.
电子邮件	электрондық пошта	Мен мұғалімге электрондық пошта жіберемін.
东	шығыс	Күн шығыстан шығады.
冬	қыс	Қыста ыстық шай ішкенді ұнатамын.
动物	жануар	Панда Қытайдағы әйгілі жануар.
短	қысқа	Бұл шалбар тым қысқа.
