source_headword	LT	example_LT
fridge	šaldytuvas	Pienas yra šaldytuve.
frog	varlė	Varlė įšoko į tvenkinį.
furniture	baldai	Šie baldai seni, bet tvirti.
further	tolesnis; papildomas	Mums reikia papildomos informacijos.
gallery	galerija	Galerija šiandien atidaryta.
gap	tarpas; spraga	Sienoje yra spraga.
gas	benzinas; dujos	Automobiliui reikia benzino.
gate	vartai	Uždaryk vartus, prašau.
general	bendras; visuotinis	Tai bendroji taisyklė.
gift	dovana	Ji nupirko dovaną.
goal	tikslas	Mūsų tikslas paprastas.
god	Dievas; dievas	Daugelis žmonių meldžiasi Dievui.
gold	auksas; auksinis	Žiedas auksinis.
golf	golfas	Šiandien jis žaidžia golfą.
government	vyriausybė	Vyriausybė pakeitė įstatymą.
grass	žolė	Žolė šlapia.
greet	pasisveikinti; pasveikinti	Mandagiai pasveikink kiekvieną svečią.
ground	žemė; pagrindas	Sėsk ant žemės.
guest	svečias	Mūsų svečias atvyko anksti.
guide	gidas; vadovas	Gidas mums parodė muziejų.
gun	ginklas; pistoletas	Policija rado pistoletą.
guy	vaikinas; tipas	Tas vaikinas yra mano brolis.
habit	įprotis	Kasdienis skaitymas yra geras įprotis.
hall	koridorius; salė	Palauk koridoriuje.
happily	laimingai	Jie laimingai gyveno kartu.
headache	galvos skausmas	Man skauda galvą.
heart	širdis	Jos širdis greitai plaka.
heat	šildyti; karštis	Lėtai pašildyk sriubą.
heavy	sunkus	Šis krepšys sunkus.
height	aukštis	Išmatuok stalo aukštį.
helpful	naudingas	Tavo patarimas buvo naudingas.
hero	herojus; didvyris	Jis yra mano herojus.
hers	jos	Mėlynas paltas yra jos.
herself	pati	Ji pati pagamino vakarienę.
hide	paslėpti	Paslėpk raktą po dėže.
hill	kalva	Mes užkopėme į kalvą.
himself	pats	Jis pats tai pataisė.
hit	mušti; trenkti	Netrankyk durų.
hockey	ledo ritulys	Vakar vakare žiūrėjome ledo ritulį.
hold	laikyti	Laikyk mano ranką.
hole	skylė	Mano kojinėje yra skylė.
huge	didžiulis	Kambarys didžiulis.
human	žmogus; žmogiškas	Kiekvienam žmogui reikia vandens.
hurt	skaudėti; sužeisti	Man skauda kelį.
ideal	idealus	Šis kambarys idealus mokytis.
identify	atpažinti	Ar gali atpažinti šį paukštį?
ill	sergantis	Šiandien ji jaučiasi serganti.
illness	liga	Liga truko savaitę.
image	vaizdas; paveikslas	Vaizdas aiškus.
immediately	tuoj pat	Ateik čia tuoj pat.
impossible	neįmanomas	Šis galvosūkis atrodo neįmanomas.
included	įtrauktas	Pusryčiai įtraukti.
including	įskaitant	Atėjo dešimt žmonių, įskaitant mane.
increase	didėti; padidinti	Kainos vasarą didėja.
incredible	neįtikėtinas	Vaizdas buvo neįtikėtinas.
independent	nepriklausomas	Mano sesuo yra nepriklausoma.
individual	asmuo; individualus	Kiekvienas asmuo turi numerį.
industry	pramonė	Vietos pramonė auga.
informal	neformalus	Šis el. laiškas neformalus.
injury	sužalojimas	Jo sužalojimas nėra rimtas.
insect	vabzdys	Vabzdys nutūpė ant puodelio.
inside	viduje	Palauk namo viduje.
instead	vietoj to	Vietoj to gerk vandenį.
instruction	nurodymas; instrukcija	Atidžiai perskaityk kiekvieną nurodymą.
instructor	instruktorius	Instruktorius paaiškino pratimą.
instrument	instrumentas	Ji groja instrumentu.
intelligent	protingas	Jis yra protingas mokinys.
international	tarptautinis	Tai tarptautinis oro uostas.
introduction	įžanga	Įžanga buvo trumpa.
invent	išrasti	Vaikai gali išrasti naujų žaidimų.
invention	išradimas	Išradimas sutaupė laiko.
invitation	kvietimas	Gavau kvietimą.
invite	pakviesti	Pakviesk ir savo draugą.
involve	apimti; įtraukti	Darbas apims keliones.
item	daiktas; prekė	Pasirink vieną daiktą.
itself	pats; pati	Mašina pati išsijungia.
jam	uogienė	Užtepk uogienės ant duonos.
jazz	džiazas	Šį vakarą džiazas skamba puikiai.
jewellery	papuošalai	Ji laiko papuošalus dėžutėje.
joke	pokštas	Papasakok man pokštą.
journalist	žurnalistas	Žurnalistas uždavė klausimų.
jump	šokti	Peršok per liniją.
kid	vaikas	Vaikas juokiasi.
kill	nužudyti	Nežudyk vabzdžio.
king	karalius	Karalius gyveno rūmuose.
knee	kelis	Man skauda kelį.
knife	peilis	Naudok aštrų peilį.
knock	belsti	Pabelsk prieš įeidamas.
knowledge	žinios	Žinios auga su praktika.
lab	laboratorija	Laboratorija uždaryta.
lady	ponia	Ponia mums nusišypsojo.
lake	ežeras	Ežeras ramus.
lamp	lempa	Įjunk lempą.
laptop	nešiojamasis kompiuteris	Mano nešiojamasis kompiuteris naujas.
last1 (taking time)	trukti	Filmas trunka dvi valandas.
laughter	juokas	Lauke girdėjome juoką.
law	įstatymas	Įstatymas vakar pasikeitė.
lawyer	advokatas	Advokatas man paskambino.
lazy	tingus	Nebūk tingus.
lead1	vesti; vadovauti	Geri vadovai vadovauja pavyzdžiu.
leader	vadovas; lyderis	Ji yra komandos vadovė.
learning	mokymasis	Mokymasis užima laiko.
least	mažiausiai	Pasirink pigiausią variantą.
lecture	paskaita	Paskaita prasideda dešimtą.
lemon	citrina	Įdėk citrinos į arbatą.
lend	paskolinti	Ar gali paskolinti man penkis dolerius?
less	mažiau	Valgyk mažiau cukraus.
level	lygis	Šis lygis lengvas.
lifestyle	gyvenimo būdas	Jis turi sveiką gyvenimo būdą.
lift	pakelti	Atsargiai pakelk dėžę.
light	uždegti	Atsargiai uždek žvakę.
light (not heavy)	lengvas	Šis krepšys lengvas.
likely	tikėtinas	Rytoj lietus tikėtinas.
link	nuoroda	Atsiųsk man nuorodą.
listener	klausytojas	Būk geras klausytojas.
lock	užrakinti	Užrakink duris.
lorry	sunkvežimis	Sunkvežimis vežė dėžes.
lost	pasiklydęs	Mes pasiklydome.
loud	garsus	Muzika garsi.
loudly	garsiai	Prašau, nekalbėk garsiai.
lovely	mielas; gražus	Koks gražus sodas!
low	žemas	Kėdė žema.
luck	sėkmė	Sėkmės per testą.
lucky	laimingas; sėkmingas	Šiandien tau sekasi.
mail	paštas	Šį rytą gavau pašto.
major	didelis; svarbus	Tai didelė problema.
male	vyriškas; patinas	Patinas paukštis ryškus.
manage	susitvarkyti; valdyti	Ar gali susitvarkyti su šia užduotimi?
manager	vadovas; vadybininkas	Vadovas užsiėmęs.
manner	būdas	Kalbėk mandagiai.
mark	pažymėti	Aiškiai pažymėk savo atsakymą.
marry	tuoktis	Jie tuoksis birželį.
material	medžiaga	Ši medžiaga minkšta.
mathematics	matematika	Matematika yra mano mėgstamiausias dalykas.
maths	matematika	Man matematika sunki.
matter	reikalas; būti svarbu	Tai nesvarbu.
may modal	gali	Gali išeiti dabar.
media	žiniasklaida	Žiniasklaida nušvietė istoriją.
medical	medicininis	Jai reikia medicininės pagalbos.
medicine	vaistas	Išgerk šį vaistą po pietų.
memory	atmintis	Mano atmintis gera.
mention	paminėti	Neminėk mano vardo.
metal	metalas	Vartai yra metaliniai.
method	metodas	Šis metodas gerai veikia.
middle	vidurys	Stovėk viduryje.
might modal	galbūt; galėtų	Vėliau gali lyti.
mind	protas; nuomonė	Aš pakeičiau nuomonę.
mine (belongs to me)	mano	Ši knyga mano.
mirror	veidrodis	Pažiūrėk į veidrodį.
missing	dingęs; trūkstamas	Mano raktai dingo.
mobile	mobilusis telefonas	Mano mobilusis telefonas ant stalo.
monkey	beždžionė	Beždžionė įlipo į medį.
moon	mėnulis	Mėnulis šviesus.
mostly	dažniausiai	Klasė dažniausiai tyli.
motorcycle	motociklas	Jis važiuoja motociklu.
movement	judesys; judėjimas	Medžiuose pamačiau judesį.
musical	muzikinis	Tai muzikinis filmas.
musician	muzikantas	Muzikantas grojo gitara.
myself	pats; pati	Aš pats tai padariau.
narrow	siauras	Kelias siauras.
national	nacionalinis	Tai nacionalinė šventė.
nature	gamta	Aš myliu gamtą.
nearly	beveik	Mes beveik ten.
necessary	būtinas	Ar tai būtina?
neck	kaklas	Man skauda kaklą.
neither	nė vienas	Nė vienas atsakymas nėra teisingas.
nervous	nervingas	Ji jaučiasi nervinga.
network	tinklas	Tinklas neveikia.
noise	triukšmas	Išgirdau garsų triukšmą.
noisy	triukšmingas	Gatvė triukšminga.
none	nė vienas	Nė vienas iš jų neatėjo.
normal	normalus	Tai normalu.
normally	paprastai	Paprastai atsibundu anksti.
notice	pastebėti	Ar pastebėjai ženklą?
novel	romanas	Ji parašė romaną.
nowhere	niekur	Niekur nėra kur atsisėsti.
nut	riešutas	Riešutas kietas.
ocean	vandenynas	Vandenynas gilus.
offer	pasiūlymas	Priėmiau pasiūlymą.
officer	pareigūnas	Pareigūnas patikrino mano bilietą.
oil	aliejus	Įpilk aliejaus į keptuvę.
onto	ant	Padėk jį ant lentynos.
opportunity	galimybė	Tai gera galimybė.
option	variantas; pasirinkimas	Pasirink geriausią variantą.
ordinary	paprastas	Tai buvo paprasta diena.
organization	organizacija	Organizacija padeda studentams.
organize	organizuoti	Prašau, sutvarkyk failus.
original	originalus	Išsaugok originalų kvitą.
ourselves	patys	Mes patys pagaminome vakarienę.
oven	orkaitė	Orkaitė karšta.
owner	savininkas	Savininkas atidarė parduotuvę.
pack	susikrauti	Susikrauk krepšį dabar.
pain	skausmas	Jaučiu skausmą nugaroje.
painter	dažytojas; tapytojas	Dažytojas baigė sieną.
palace	rūmai	Rūmai seni.
pants	kelnės	Šios kelnės per ilgos.
parking	automobilių statymas	Čia sunku statyti automobilį.
particular	tam tikras	Man reikia tam tikros knygos.
pass	paduoti	Paduok man druską.
passenger	keleivis	Kiekvienam keleiviui reikia bilieto.
patient	kantrus; pacientas	Būk kantrus su vaikais.
pattern	raštas; modelis	Šis raštas paprastas.
peace	taika	Mes visi norime taikos.
penny	pensas	Radau pensą.
per	už; per	Bilietai kainuoja dešimt dolerių asmeniui.
per cent	procentas	Penki procentai yra mažai.
perform	pasirodyti	Grupė pasirodys šį vakarą.
perhaps	galbūt	Galbūt ji namuose.
permission	leidimas	Pirmiausia paprašyk leidimo.
personality	asmenybė	Jis turi draugišką asmenybę.
pet	augintinis	Mano augintinis yra katė.
petrol	benzinas	Automobiliui reikia benzino.
physical	fizinis	Fizinis pratimas padeda sveikatai.
physics	fizika	Fizika sunki.
pick	pasirinkti	Pasirink vieną kortelę.
pilot	pilotas	Pilotas kalbėjo aiškiai.
planet	planeta	Žemė yra planeta.
plastic	plastikas; plastikinis	Šis butelis plastikinis.
plate	lėkštė	Padėk maistą ant lėkštės.
platform	peronas	Palauk antrame perone.
pleased	malonus; patenkintas	Malonu su tavimi susipažinti.
pocket	kišenė	Bilietas yra mano kišenėje.
polite	mandagus	Būk mandagus su visais.
pollution	tarša	Tarša kenkia vandenynui.
pop	popmuzika	Man patinka popmuzika.
population	gyventojų skaičius	Gyventojų skaičius auga.
position	padėtis; pozicija	Pakeisk savo padėtį.
possession	nuosavybė	Šis žiedas yra mano nuosavybė.
possibility	galimybė	Yra lietaus galimybė.
poster	plakatas	Pakabink plakatą ant sienos.
power	galia; energija	Kompiuteriui reikia energijos.
predict	numatyti; prognozuoti	Negalime prognozuoti oro.
president	prezidentas	Prezidentas pasakė kalbą.
prevent	užkirsti kelią	Nusiplauk rankas, kad užkirstum kelią ligai.
print	spausdinti	Atspausdink dokumentą.
printer	spausdintuvas	Spausdintuvas sugedęs.
prison	kalėjimas	Jis pateko į kalėjimą.
prize	prizas	Ji laimėjo prizą.
process	procesas	Procesas užima laiko.
produce	gaminti	Ūkiai gamina maistą.
professional	profesionalus	Ji yra profesionali šokėja.
professor	profesorius	Profesorius atsakė į klausimus.
profile	profilis	Atnaujink savo profilį.
program	programa	Programa prasideda dabar.
progress	pažanga	Šiandien padarėme pažangą.
promise	pažadas; pažadėti	Laikykis savo pažado.
pronounce	ištarti	Prašau, ištark šį žodį.
protect	apsaugoti	Apsaugok savo akis.
provide	suteikti; aprūpinti	Jie suteikia nemokamo vandens.
pub	baras	Susitikome bare.
public	viešas	Parkas viešas.
publish	publikuoti; leisti	Jie leidžia žurnalą.
pull	traukti	Patrauk duris.
purpose	tikslas; paskirtis	Koks tikslas?
push	stumti	Paspausk mygtuką.
quality	kokybė	Kokybė aukšta.
quantity	kiekis	Patikrink kiekį.
queen	karalienė	Karalienė pamojo.
quietly	tyliai	Kalbėk tyliai.
race (competition)	lenktynės	Lenktynės netrukus prasidės.
railway	geležinkelis	Geležinkelis uždarytas.
raise	pakelti	Pakelk ranką.
rate	kaina; norma	Viešbučio kaina aukšta.
rather	gana	Aš gana pavargęs.
reach	pasiekti	Ar gali pasiekti lentyną?
react	reaguoti	Kaip jis reagavo?
realize	suprasti	Supratau savo klaidą.
receive	gauti	Ar gavai mano žinutę?
recent	nesenas	Tai nesena nuotrauka.
recently	neseniai	Neseniai persikėliau čia.
reception	registratūra; priėmimas	Priėmimas vyks pirmadienį.
recipe	receptas	Šis receptas lengvas.
recognize	atpažinti	Atpažįstu tą dainą.
recommend	rekomenduoti	Rekomenduoju šią knygą.
record	įrašas; įrašyti	Vesk mokėjimų įrašą.
recording	įrašas	Įrašas skamba aiškiai.
recycle	perdirbti	Perdirbk popierių ir plastiką.
reduce	sumažinti	Sumažink karštį.
refer	nurodyti; remtis	Žiūrėk į antrą puslapį.
refuse1	atsisakyti	Atsisakau meluoti.
region	regionas	Šis regionas šaltas.
regular	reguliarus	Jis yra reguliarus klientas.
