source_headword	PT-BR	example_PT-BR
abolish	abolir	A lei abolirá a taxa antiga.
abortion	o aborto	O aborto continua sendo uma questão médica delicada.
absence	a ausência	A ausência dela atrasou a decisão final.
absent	ausente	Dois membros estavam ausentes da aula.
absurd	absurdo	A afirmação soou absurda para todos.
abundance	a abundância	O vale tem uma abundância de água.
abuse	o abuso	O relatório descreveu abusos no local de trabalho.
academy	a academia	A academia treina jovens músicos.
accelerate	acelerar	O novo financiamento acelerará a pesquisa.
acceptance	a aceitação	A aceitação de críticas por parte dele me impressionou.
accessible	acessível	O museu é acessível para usuários de cadeira de rodas.
accomplishment	a realização	Terminar o livro foi uma verdadeira realização.
accordance	a conformidade	O trabalho foi feito em conformidade com a política.
accordingly	consequentemente	A evidência mudou, e nós agimos consequentemente.
accountability	a responsabilidade	A política aumenta a responsabilidade dos gerentes.
accountable	responsável	Os gerentes são responsáveis pela segurança.
accumulate	acumular	A poeira pode se acumular atrás da tela.
accumulation	o acúmulo	O acúmulo de dados levou meses.
accusation	a acusação	A acusação chocou o comitê.
accused	o acusado	O acusado compareceu ao tribunal.
acquisition	a aquisição	A aquisição expandiu a empresa rapidamente.
acre	o acre	A fazenda cobre um acre.
activation	a ativação	A ativação do cartão leva minutos.
activist	o ativista	O ativista discursou no comício.
acute	agudo	Ela sentiu uma dor aguda após correr.
adaptation	a adaptação	A adaptação mudou o final do romance.
adhere	aderir	Os funcionários devem aderir às regras de segurança.
adjacent	adjacente	O hotel é adjacente à estação.
adjustment	o ajuste	Um pequeno ajuste resolveu o problema.
administer	administrar	As enfermeiras administram a vacina com cuidado.
administrative	administrativo	A equipe administrativa cuida dos formulários.
administrator	o administrador	O administrador redefiniu minha senha.
admission	a admissão	A admissão no museu é gratuita.
adolescent	o adolescente	O adolescente precisou de apoio extra.
adoption	a adoção	A adoção deu à criança um lar estável.
adverse	adverso	O medicamento causou efeitos adversos.
advocate	o defensor	O defensor defendeu os direitos dos inquilinos.
aesthetic	estético	O quarto tem um estilo estético calmo.
affection	a afeição	Ela demonstrou afeição por sua família.
aftermath	as consequências	As consequências da tempestade foram difíceis.
aggression	a agressão	O professor notou a agressão durante o recreio.
agricultural	agrícola	As exportações agrícolas aumentaram este ano.
aide	o assessor	O assessor organizou a agenda do ministro.
albeit	embora	O plano funcionou, embora lentamente.
alert	alertar	Por favor, alerte a equipe imediatamente.
align	alinhar	As setas se alinham com a estrada.
alignment	o alinhamento	O alinhamento das rodas melhorou o manuseio do carro.
alike	igual	Os gêmeos se vestem igual nos fins de semana.
allegation	a alegação	A alegação apareceu no jornal.
allege	alegar	Eles alegam que os fundos foram perdidos.
allegedly	supostamente	O motorista supostamente ignorou o aviso.
alliance	a aliança	Os partidos formaram uma aliança temporária.
allocate	alocar	A cidade alocará dinheiro para as escolas.
allocation	a alocação	A alocação de assentos foi injusta.
allowance	a mesada	A mesada dela cobre almoço e transporte.
ally	o aliado	O Canadá se tornou um aliado próximo.
aluminium	o alumínio	A estrutura é feita de alumínio.
amateur	amador	Um fotógrafo amador tirou a foto.
ambassador	o embaixador	O embaixador se encontrou com estudantes locais.
amend	alterar	O parlamento votou para alterar a lei.
amendment	a emenda	A emenda mudou um parágrafo.
