source_headword	KM	example_KM
heal	ជាសះស្បើយ	ការសម្រាកជួយឱ្យរាងកាយជាសះស្បើយ។
healthcare	ការថែទាំសុខភាព	ថ្លៃថែទាំសុខភាពបានកើនឡើងនៅឆ្នាំនេះ។
helmet	មួកសុវត្ថិភាព	ពាក់មួកសុវត្ថិភាពនៅលើកង់។
hence	ហេតុនេះ	ហេតុនេះយើងបានផ្លាស់ប្តូរកាលវិភាគ។
herb	រុក្ខជាតិឱសថ	ជីនាងវងគឺជារុក្ខជាតិឱសថដ៏មានប្រយោជន៍។
hidden	ដែលលាក់កំបាំង	កូនសោត្រូវបានលាក់នៅក្រោមព្រំ។
highway	ផ្លូវជាតិ	ផ្លូវជាតិត្រូវបានបិទបន្ទាប់ពីមានព្រិលធ្លាក់។
hilarious	ដែលគួរឱ្យអស់សំណើចណាស់	ភាពយន្តនេះគួរឱ្យអស់សំណើចណាស់។
hip	ត្រគាក	នាងបានរងរបួសត្រគាកក្នុងអំឡុងពេលហ្វឹកហាត់។
historian	អ្នកប្រវត្តិវិទ្យា	អ្នកប្រវត្តិវិទ្យាបានសិក្សាសំបុត្រចាស់ៗ។
homeless	ដែលគ្មានផ្ទះសម្បែង	ជម្រកជួយដល់គ្រួសារដែលគ្មានផ្ទះសម្បែង។
honesty	ភាពស្មោះត្រង់	ភាពស្មោះត្រង់កសាងទំនុកចិត្ត។
hook	ទំពក់	ព្យួរអាវនៅលើទំពក់។
hopefully	សង្ឃឹមថា	សង្ឃឹមថារថភ្លើងនឹងមកដល់ឆាប់ៗនេះ។
hunger	ភាពអត់ឃ្លាន	ភាពអត់ឃ្លានអាចប៉ះពាល់ដល់ការផ្ដោតអារម្មណ៍។
hypothesis	សម្មតិកម្ម	ការពិសោធន៍បានសាកល្បងសម្មតិកម្ម។
icon	រូបតំណាង	រូបតំណាងកម្មវិធីបានផ្លាស់ប្តូរនៅថ្ងៃនេះ។
ID	អត្តសញ្ញាណប័ណ្ណ	បង្ហាញអត្តសញ្ញាណប័ណ្ណរបស់អ្នកនៅកន្លែងទទួលភ្ញៀវ។
identical	ដែលដូចបេះបិទ	កូនភ្លោះពាក់អាវធំដែលដូចបេះបិទ។
illusion	ការបំភាន់	កញ្ចក់បង្កើតការបំភាន់។
immigration	អន្តោប្រវេសន៍	គោលនយោបាយអន្តោប្រវេសន៍បានផ្លាស់ប្តូរកាលពីឆ្នាំមុន។
immune	ដែលមានភាពស៊ាំ	ការចាក់វ៉ាក់សាំងអាចធ្វើឱ្យមនុស្សមានភាពស៊ាំ។
implement	អនុវត្ត	សាលារៀននឹងអនុវត្តគោលនយោបាយនេះ។
implication	អត្ថន័យបង្កប់	អត្ថន័យបង្កប់គឺច្បាស់លាស់។
incentive	គ្រឿងលើកទឹកចិត្ត	ប្រាក់រង្វាន់បានផ្តល់គ្រឿងលើកទឹកចិត្តដល់កម្មករ។
incorporate	បញ្ចូលគ្នា	បញ្ចូលបន្លែបន្ថែមទៅក្នុងអាហារ។
incorrect	ដែលមិនត្រឹមត្រូវ	ចម្លើយគឺមិនត្រឹមត្រូវទេ។
independence	ឯករាជ្យភាព	ប្រទេសនេះបានប្រារព្ធពិធីបុណ្យឯករាជ្យភាព។
index	លិបិក្រម	ពិនិត្យមើលលិបិក្រមសម្រាប់ប្រធានបទនេះ។
indication	សញ្ញាបញ្ជាក់	ស្នាមញញឹមគឺជាសញ្ញាបញ្ជាក់ពីការធូរស្បើយ។
inevitable	ដែលមិនអាចជៀសវាងបាន	ការយឺតយ៉ាវខ្លះគឺមិនអាចជៀសវាងបាន។
inevitably	ដោយចៀសមិនរួច	ដោយចៀសមិនរួចតម្លៃបានកើនឡើងបន្ទាប់ពីមានកង្វះខាត។
infer	ទាញសេចក្តី	យើងអាចទាញសេចក្តីចម្លើយពីបរិបទ។
