source_headword	ML	example_ML
take	എടുക്കുക; കൊണ്ടുപോകുക	ടിക്കറ്റ് എടുക്കൂ.
talk	സംസാരിക്കുക; സംഭാഷണം	ഞങ്ങൾ ക്ലാസിന് ശേഷം സംസാരിക്കുന്നു.
tall	ഉയരമുള്ള	എന്റെ അധ്യാപകൻ ഉയരമുള്ളവനാണ്.
taxi	ടാക്സി	ടാക്സി പുറത്താണ്.
tea	ചായ	ഈ ചായ ചൂടാണ്.
teach	പഠിപ്പിക്കുക	ഞാൻ ഇംഗ്ലീഷ് പഠിപ്പിക്കുന്നു.
teacher	അധ്യാപകൻ; അധ്യാപിക	അധ്യാപിക പുഞ്ചിരിക്കുന്നു.
team	സംഘം; ടീം	ഞങ്ങളുടെ ടീം ഇന്ന് ജയിക്കുന്നു.
teenager	കൗമാരക്കാരൻ; കൗമാരക്കാരി	കൗമാരക്കാരൻ ഒരു പുസ്തകം വായിക്കുന്നു.
telephone	ദൂരഭാഷ; ഫോൺ ചെയ്യുക	ദൂരഭാഷ മേശപ്പുറത്താണ്.
television	ദൂരദർശിനി; ടെലിവിഷൻ	ടെലിവിഷൻ പുതുതാണ്.
tell	പറയുക	നിന്റെ പേര് എന്നോട് പറയൂ.
ten	പത്ത്	എന്നോട് പത്ത് പുസ്തകങ്ങൾ ഉണ്ട്.
tennis	ടെന്നിസ്	ഞങ്ങൾ ഇന്ന് ടെന്നിസ് കളിക്കുന്നു.
terrible	വളരെ മോശം; ഭയങ്കര	കാലാവസ്ഥ വളരെ മോശമാണ്.
test	പരീക്ഷ; പരീക്ഷിക്കുക	പരീക്ഷ ഇപ്പോൾ തുടങ്ങുന്നു.
text	സന്ദേശം; പാഠം	ചെറിയ സന്ദേശം അയയ്ക്കൂ.
than	ക്കാൾ	പത്ത് രണ്ടിനേക്കാൾ കൂടുതലാണ്.
thank	നന്ദി പറയുക	നിന്റെ അധ്യാപകനോട് നന്ദി പറയൂ.
thanks	നന്ദി	നിന്റെ സഹായത്തിന് നന്ദി.
that	അത്; ആ	ആ പുസ്തകം എന്റേതാണ്.
the	ഇംഗ്ലീഷിലെ നിർദ്ദിഷ്ട പദം	ചായ ചൂടാണ്.
theatre	നാടകശാല; തിയേറ്റർ	നാടകശാല സ്റ്റേഷന്റെ സമീപമാണ്.
their	അവരുടെ	അവരുടെ വീട് വലുതാണ്.
them	അവരെ; അവർക്കു	എനിക്ക് അവരെ അറിയാം.
then	പിന്നീട്; അപ്പോൾ	കഴിക്കൂ, പിന്നെ പഠിക്കൂ.
there	അവിടെ	അവിടെ ഒരു കസേര ഉണ്ട്.
they	അവർ	അവർ സ്കൂളിലുണ്ട്.
thing	വസ്തു; കാര്യം	ഈ വസ്തു ഉപകാരപ്രദമാണ്.
think	ചിന്തിക്കുക	ഞാൻ വീട്ടിനെക്കുറിച്ച് ചിന്തിക്കുന്നു.
third	മൂന്നാം; മൂന്നാമത്തെ	ഇത് മൂന്നാം പാഠമാണ്.
thirsty	ദാഹമുള്ള	എനിക്ക് ദാഹമുണ്ട്.
thirteen	പതിമൂന്ന്	അവൾക്ക് പതിമൂന്ന് വയസ്സാണ്.
thirty	മുപ്പത്	എന്റെ സഹോദരിക്ക് മുപ്പത് വയസ്സാണ്.
