source_headword	ML	example_ML
crawl	ഇഴയുക	കുഞ്ഞ് പരവതാനിയിലൂടെ ഇഴയാൻ തുടങ്ങി.
creator	സ്രഷ്ടാവ്	സ്രഷ്ടാവ് എല്ലാവർക്കും അവരുടെ പിന്തുണയ്ക്ക് നന്ദി പറഞ്ഞു.
credibility	വിശ്വാസ്യത	ചോദ്യം ചെയ്യലിൽ സാക്ഷിയുടെ വിശ്വാസ്യത നഷ്ടപ്പെട്ടു.
credible	വിശ്വസനീയമായ	റിപ്പോർട്ട് വിശ്വസനീയമായ തെളിവുകൾ നൽകി.
creep	ഇഴഞ്ഞുനീങ്ങുക	മൂടൽമഞ്ഞ് താഴ്‌വരയിലൂടെ ഇഴഞ്ഞുനീങ്ങാൻ തുടങ്ങി.
critique	വിമർശനം	പ്രൊഫസർ വിശദമായ ഒരു വിമർശനം നൽകി.
crown	കിരീടം	രാജ്ഞി ഒരു വെള്ളി കിരീടം ധരിച്ചിരുന്നു.
crude	പരുക്കൻ	വര പരുക്കൻ ആയിരുന്നെങ്കിലും വ്യക്തമായിരുന്നു.
crush	തകർക്കുക	വലിയ പാറകൾക്ക് പൈപ്പ് തകർക്കാൻ കഴിയും.
crystal	പരൽ	പരൽ പ്രഭാതത്തിലെ പ്രകാശം പ്രതിഫലിപ്പിച്ചു.
cult	മതവിഭാഗം	ആ വിഭാഗം അതിലെ അംഗങ്ങളെ ഒറ്റപ്പെടുത്തി.
cultivate	കൃഷിചെയ്യുക	കർഷകർ ഈ പ്രദേശത്ത് നെല്ല് കൃഷിചെയ്യുന്നു.
curiosity	ജിജ്ഞാസ	ജിജ്ഞാസ അവളെ ശാസ്ത്രത്തിലേക്ക് നയിച്ചു.
custody	കസ്റ്റഡി	കുട്ടി അച്ഛന്റെ കസ്റ്റഡിയിൽ തുടർന്നു.
cutting	പത്രക്കട്ടിംഗ്	പത്രം അയാളെക്കുറിച്ചുള്ള ഒരു പത്രക്കട്ടിംഗ് പ്രസിദ്ധീകരിച്ചു.
cynical	പരിഹാസമുള്ള	അയാളുടെ പരിഹാസമുള്ള അഭിപ്രായം ടീമിനെ വിഷമിപ്പിച്ചു.
dam	അണക്കെട്ട്	അണക്കെട്ട് നദിയിലെ വെള്ളം തടഞ്ഞുനിർത്തുന്നു.
damaging	ഹാനികരമായ	ഹാനികരമായ ലേഖനം പ്രചാരണത്തെ ബാധിച്ചു.
dawn	പ്രഭാതം	ഞങ്ങൾ പ്രഭാതത്തിൽ ഗ്രാമം വിട്ടു.
debris	അവശിഷ്ടങ്ങൾ	കൊടുങ്കാറ്റിന്റെ അവശിഷ്ടങ്ങൾ വഴി തടസ്സപ്പെടുത്തി.
debut	അരങ്ങേറ്റം	അവളുടെ അരങ്ങേറ്റം ദേശീയ ശ്രദ്ധ ആകർഷിച്ചു.
decision-making	തീരുമാനമെടുക്കൽ	നല്ല തീരുമാനമെടുക്കലിന് വ്യക്തമായ വിവരങ്ങൾ ആവശ്യമാണ്.
decisive	നിർണ്ണായകമായ	അവളുടെ നിർണ്ണായകമായ നടപടി കൂടുതൽ നാശനഷ്ടങ്ങൾ തടഞ്ഞു.
declaration	പ്രഖ്യാപനം	മന്ത്രി ഔദ്യോഗിക പ്രഖ്യാപനം വായിച്ചു.
dedicated	സമർപ്പിതമായ	സമർപ്പിതയായ നഴ്‌സ് രാത്രി മുഴുവൻ ജോലി ചെയ്തു.
dedication	അർപ്പണബോധം	അദ്ദേഹത്തിന്റെ അർപ്പണബോധം യുവ കളിക്കാർക്ക് പ്രചോദനമായി.
deed	പ്രവൃത്തി	ധീരമായ പ്രവൃത്തി രണ്ട് ജീവനുകൾ രക്ഷിച്ചു.
deem	കണക്കാക്കുക	കോടതി കരാർ അസാധുവായി കണക്കാക്കിയേക്കാം.
default	സ്വതവേയുള്ള	തൽക്കാലം സ്വതവേയുള്ള ക്രമീകരണം ഉപയോഗിക്കുക.
defect	തകരാറ്	പരിശോധകർ ഗുരുതരമായ ഒരു തകരാറ് കണ്ടെത്തി.
defensive	പ്രതിരോധപരമായ	അവന്റെ പ്രതിരോധപരമായ സ്വരം എല്ലാവരെയും അത്ഭുതപ്പെടുത്തി.
deficiency	കുറവ്	ഇരുമ്പിന്റെ കുറവ് ആരോഗ്യത്തെ ബാധിക്കും.
deficit	കമ്മി	ബജറ്റ് കമ്മി ഉദ്യോഗസ്ഥരെ ആശങ്കപ്പെടുത്തി.
defy	ധിക്കരിക്കുക	പ്രതിഷേധക്കാർ വിലക്ക് ധിക്കരിക്കാൻ തീരുമാനിച്ചു.
delegate	പ്രതിനിധി	ഓരോ പ്രതിനിധിക്കും വോട്ടിംഗ് കാർഡ് ലഭിച്ചു.
delegation	പ്രതിനിധിസംഘം	ഉച്ചയ്ക്ക് മുമ്പ് പ്രതിനിധിസംഘം എത്തിച്ചേർന്നു.
delicate	നേർത്ത	നേർത്ത ഗ്ലാസ് എളുപ്പത്തിൽ പൊട്ടി.
demon	രാക്ഷസൻ	കഥ ഒരു പുരാതന രാക്ഷസനെക്കുറിച്ച് വിവരിക്കുന്നു.
denial	നിഷേധിക്കൽ	അദ്ദേഹത്തിന്റെ നിഷേധം ഇരകളെ ദേഷ്യം പിടിപ്പിച്ചു.
denounce	അപലപിക്കുക	നേതാക്കൾ സ്കൂളുകളിലെ അക്രമങ്ങളെ അപലപിക്കുന്നു.
dense	ഇടതൂർന്ന	ഇടതൂർന്ന കാട് സൂര്യപ്രകാശത്തെ തടഞ്ഞു.
density	സാന്ദ്രത	നഗരമധ്യത്തിൽ ജനസാന്ദ്രത കൂടുതലാണ്.
dependence	ആശ്രയത്വം	എണ്ണയിലുള്ള രാജ്യത്തിന്റെ ആശ്രയത്വം കുറഞ്ഞു.
depict	ചിത്രീകരിക്കുക	ചുവർചിത്രം ഗ്രാമീണ ജീവിതം ചിത്രീകരിക്കുന്നു.
deploy	വിന്യസിക്കുക	സൈന്യം കൂടുതൽ ജീവനക്കാരെ വിന്യസിക്കും.
deployment	വിന്യാസം	സൈനികരുടെ വിന്യാസം തിങ്കളാഴ്ച ആരംഭിച്ചു.
deprive	ഇല്ലാതാക്കുക	ഉറക്കമില്ലായ്മ വിദ്യാർത്ഥികളുടെ ശ്രദ്ധ ഇല്ലാതാക്കും.
deputy	ഡെപ്യൂട്ടി	ഡെപ്യൂട്ടി കരാറിൽ ഒപ്പുവച്ചു.
descend	ഇറങ്ങുക	വഴി കുത്തനെ താഴേക്ക് ഇറങ്ങാൻ തുടങ്ങി.
descent	ഇറക്കം	വിമാനം അതിന്റെ ഇറക്കം ആരംഭിച്ചു.
designate	നിശ്ചയിക്കുക	നഗരം ഒരു പുതിയ പാർക്ക് നിശ്ചയിക്കും.
desirable	അഭികാമ്യമായ	ക്ലാസ് മുറികളിൽ നല്ല വെളിച്ചം അഭികാമ്യമാണ്.
desktop	ഡെസ്ക്ടോപ്പ്	ഫയൽ എന്റെ ഡെസ്ക്ടോപ്പിലുണ്ട്.
destructive	വിനാശകരമായ	കൊടുങ്കാറ്റിന് വിനാശകരമായ ശക്തിയുണ്ടായിരുന്നു.
detain	തടഞ്ഞുവെക്കുക	പോലീസിന് സംശയിക്കപ്പെടുന്നവരെ രാത്രി തടഞ്ഞുവെക്കാം.
detection	കണ്ടെത്തൽ	നേരത്തെയുള്ള കണ്ടെത്തൽ കാൻസർ ചികിത്സ മെച്ചപ്പെടുത്തുന്നു.
detention	തടങ്കൽ	വിദ്യാർത്ഥികൾ തടങ്കൽ സാഹചര്യങ്ങൾക്കെതിരെ പ്രതിഷേധിച്ചു.
deteriorate	വഷളാകുക	അദ്ദേഹത്തിന്റെ ആരോഗ്യം വഷളാകാൻ തുടങ്ങി.
devastate	തകർക്കുക	ഭൂകമ്പത്തിന് തീരദേശ പട്ടണങ്ങളെ തകർക്കാൻ കഴിയും.
devil	ചെകുത്താൻ	കുട്ടി പുഞ്ചിരിക്കുന്ന ഒരു ചെകുത്താനെ വരച്ചു.
devise	രൂപകൽപ്പന ചെയ്യുക	എഞ്ചിനീയർമാർ സുരക്ഷിതമായ ഗതാഗത സംവിധാനങ്ങൾ രൂപകൽപ്പന ചെയ്യുന്നു.
diagnose	രോഗനിർണയം നടത്തുക	രക്തപരിശോധനയിലൂടെ ഡോക്ടർമാർ രോഗനിർണയം നടത്തുന്നു.
diagnosis	രോഗനിർണയം	രോഗനിർണയം അവളുടെ ലക്ഷണങ്ങളെ വിശദീകരിച്ചു.
dictate	നിശ്ചയിക്കുക	ഈ കരാർ പണമടയ്ക്കൽ നിബന്ധനകൾ നിശ്ചയിക്കും.
dictator	ഏകാധിപതി	ഏകാധിപതി മാധ്യമങ്ങളെ നിയന്ത്രിച്ചു.
differentiate	വേർതിരിച്ചറിയുക	നിങ്ങൾക്ക് അഭിപ്രായത്തിൽ നിന്ന് വസ്തുതയെ വേർതിരിച്ചറിയാൻ കഴിയുമോ?
dignity	അന്തസ്സ്	ജോലിസ്ഥലത്ത് എല്ലാവർക്കും അന്തസ്സ് അർഹതപ്പെട്ടതാണ്.
dilemma	ധർമ്മസങ്കടം	മാനേജർക്ക് ഗുരുതരമായ ഒരു ധർമ്മസങ്കടം നേരിടേണ്ടിവന്നു.
dimension	മാനം	ഈ പ്രശ്നത്തിന് ഒരു രാഷ്ട്രീയ മാനം കൂടിയുണ്ട്.
diminish	കുറയുക	വേദന പതുക്കെ കുറയണം.
dip	താഴുക	താപനില പൂജ്യത്തിന് താഴെയായേക്കാം.
diplomat	നയതന്ത്രജ്ഞൻ	നയതന്ത്രജ്ഞൻ വിദേശ നേതാക്കളെ കണ്ടു.
diplomatic	നയതന്ത്രപരമായ	നയതന്ത്ര ചർച്ചകൾ രാത്രി മുഴുവൻ തുടർന്നു.
