hsk_key	source_word	simplified	HI	example_HI	BN	example_BN	TL	example_TL
503:爱人	爱人	爱人	जीवनसाथी; प्रिय व्यक्ति	मेरे जीवनसाथी आज ओवरटाइम कर रहे हैं।	জীবনসঙ্গী; প্রিয়জন	আমার জীবনসঙ্গী আজ অতিরিক্ত সময় কাজ করছে।	asawa; mahal sa buhay	Nag-o-overtime ngayon ang asawa ko.
508:班级	班级	班级	कक्षा; क्लास समूह	हमारी कक्षा में तीस छात्र हैं।	শ্রেণি; ক্লাস দল	আমাদের শ্রেণিতে ত্রিশজন ছাত্র আছে।	klase; pangkat ng klase	May tatlumpung estudyante sa klase namin.
509:搬家	搬家	搬家	घर बदलना	इस सप्ताहांत हम घर बदल रहे हैं।	বাড়ি বদলানো	এই সপ্তাহান্তে আমরা বাড়ি বদলাচ্ছি।	lumipat ng bahay	Lilipat kami ng bahay ngayong katapusan ng linggo.
510:办	办	办	निपटाना; करवाना	दोपहर में मैं बैंक जाकर बैंक कार्ड बनवाऊँगा।	করা; ব্যবস্থা করা	বিকেলে আমি ব্যাংকে গিয়ে ব্যাংক কার্ড করব।	asikasuhin; gawin	Pupunta ako sa bangko ngayong hapon para mag-asikaso ng bank card.
513:半天	半天	半天	आधा दिन; बहुत देर	मैंने बहुत देर इंतज़ार किया, तब वह आया।	আধা দিন; অনেকক্ষণ	আমি অনেকক্ষণ অপেক্ষা করার পর সে এল।	kalahating araw; matagal	Matagal akong naghintay bago siya dumating.
517:北	北	北	उत्तर	स्कूल के उत्तर में एक पार्क है।	উত্তর	স্কুলের উত্তরে একটি পার্ক আছে।	hilaga	May parke sa hilaga ng paaralan.
520:笔记	笔记	笔记	नोट्स	वह कक्षा में ध्यान से नोट्स लिखता है।	নোট; টীকা	সে ক্লাসে মন দিয়ে নোট নেয়।	tala; notes	Maingat siyang nagsusulat ng tala sa klase.
526:变	变	变	बदलना	मौसम ठंडा हो गया है।	বদলানো	আবহাওয়া ঠান্ডা হয়ে গেছে।	magbago	Lumamig na ang panahon.
528:变成	变成	变成	बन जाना; बदलकर हो जाना	बारिश बर्फ में बदल गई।	হয়ে যাওয়া; রূপ বদলানো	বৃষ্টি বরফে পরিণত হয়েছে।	maging; magbago sa	Naging niyebe ang ulan.
531:别的	别的	别的	दूसरा; अलग	क्या तुम्हारे पास कोई और सवाल है?	অন্য; আলাদা	তোমার কি আর কোনো প্রশ্ন আছে?	iba; ibang uri	May iba ka pa bang tanong?
533:宾馆	宾馆	宾馆	होटल	हम हवाई अड्डे के पास के होटल में ठहरे हैं।	হোটেল	আমরা বিমানবন্দরের কাছের হোটেলে থাকছি।	tuluyan; hotel	Nakatira kami sa hotel malapit sa paliparan.
534:冰	冰	冰	बर्फ़	कप में बर्फ़ है।	বরফ	কাপে বরফ আছে।	yelo	May yelo sa tasa.
537:病人	病人	病人	मरीज़; बीमार व्यक्ति	डॉक्टर मरीज़ को देख रहे हैं।	রোগী; অসুস্থ ব্যক্তি	ডাক্তার রোগীকে দেখছেন।	pasyente; maysakit	Tinitingnan ng doktor ang pasyente.
538:不但	不但	不但	न केवल	वह न केवल चीनी, बल्कि अंग्रेज़ी भी बोल सकता है।	শুধু নয়	সে শুধু চীনা নয়, ইংরেজিও বলতে পারে।	hindi lamang	Hindi lamang siya marunong mag-Chinese, marunong din siyang mag-English.
539:不见	不见	不见	न दिखना; गायब होना	काफ़ी समय से नहीं मिले, तुम हाल में कैसे हो?	না দেখা; অদৃশ্য হওয়া	অনেক দিন দেখা নেই, তুমি ইদানীং কেমন আছ?	hindi makita; mawala	Matagal na tayong hindi nagkita, kumusta ka na?
540:不用	不用	不用	ज़रूरत नहीं; इस्तेमाल न करना	तुम्हें मेरा इंतज़ार करने की ज़रूरत नहीं है।	দরকার নেই; ব্যবহার না করা	তোমার আমার জন্য অপেক্ষা করার দরকার নেই।	hindi kailangan; huwag gamitin	Hindi mo na kailangang hintayin ako.
541:不同	不同	不同	अलग; भिन्न	हमारे विचार अलग हैं।	ভিন্ন; আলাদা	আমাদের ভাবনা আলাদা।	iba; magkaiba	Magkaiba ang mga ideya namin.
542:不久	不久	不久	जल्द; कुछ समय बाद	कुछ समय बाद वह शंघाई चला गया।	শিগগির; কিছুদিন পর	কিছুদিন পর সে সাংহাই চলে গেল।	hindi nagtagal; di kalaunan	Di nagtagal, lumipat siya sa Shanghai.
543:不行	不行	不行	ठीक नहीं; संभव नहीं	आज नहीं हो सकता, मेरी कक्षा है।	চলবে না; সম্ভব নয়	আজ হবে না, আমার ক্লাস আছে।	hindi puwede; hindi maaari	Hindi puwede ngayon, may klase ako.
