source_headword	TA	example_TA
fridge	குளிர்சாதனப் பெட்டி	பால் குளிர்சாதனப் பெட்டியில் உள்ளது.
frog	தவளை	ஒரு தவளை குளத்தில் குதித்தது.
furniture	மரச்சாமான்கள்	இந்த மரச்சாமான்கள் பழையவை ஆனால் வலிமையானவை.
further	மேலும்	எங்களுக்கு மேலும் தகவல் தேவை.
gallery	காட்சியகம்	காட்சியகம் இன்று திறந்திருக்கும்.
gap	இடைவெளி	சுவரில் ஒரு இடைவெளி உள்ளது.
gas	எரிவாயு	காருக்கு எரிவாயு தேவை.
gate	வாசல்	தயவுசெய்து வாசலை மூடு.
general	பொது	இது ஒரு பொது விதி.
gift	பரிசு	அவள் ஒரு பரிசை வாங்கினாள்.
goal	இலக்கு	எங்கள் இலக்கு எளிமையானது.
god	கடவுள்	பலர் கடவுளிடம் பிரார்த்திக்கிறார்கள்.
gold	தங்கம்	மோதிரம் தங்க நிறத்தில் உள்ளது.
golf	கோல்ஃப்	அவன் இன்று கோல்ஃப் விளையாடுகிறான்.
government	அரசு	அரசு சட்டத்தை மாற்றியது.
grass	புல்	புல் ஈரமாக உள்ளது.
greet	வாழ்த்து	ஒவ்வொரு விருந்தினரையும் மரியாதையுடன் வாழ்த்து.
ground	தரை	தரையில் உட்கார்.
guest	விருந்தினர்	எங்கள் விருந்தினர் சீக்கிரம் வந்தார்.
guide	வழிகாட்டி	வழிகாட்டி அருங்காட்சியகத்தை காட்டினார்.
gun	துப்பாக்கி	காவல்துறை ஒரு துப்பாக்கியை கண்டது.
guy	ஆள்	அந்த ஆள் என் சகோதரன்.
habit	பழக்கம்	தினமும் படிப்பது நல்ல பழக்கம்.
hall	மண்டபம்	மண்டபத்தில் காத்திரு.
happily	மகிழ்ச்சியாக	அவர்கள் சேர்ந்து மகிழ்ச்சியாக வாழ்ந்தனர்.
headache	தலைவலி	எனக்கு தலைவலி உள்ளது.
heart	இதயம்	அவளின் இதயம் வேகமாக துடிக்கிறது.
heat	சூடு	சூப்பை மெதுவாக சூடு செய்.
heavy	கனமான	இந்த பை கனமாக உள்ளது.
height	உயரம்	மேசையின் உயரத்தை அளவு பார்.
helpful	உதவியான	உன் அறிவுரை உதவியாக இருந்தது.
hero	வீரன்	அவன் என் வீரன்.
hers	அவளுடையது	நீல கோட் அவளுடையது.
herself	அவளே	அவளே இரவு உணவு செய்தாள்.
hide	மறை	சாவியை பெட்டிக்குக் கீழே மறை.
hill	மலை	நாங்கள் மலையில் ஏறினோம்.
himself	அவனே	அவனே அதை சரி செய்தான்.
hit	அடி	கதவை அடிக்காதே.
hockey	ஹாக்கி	நாங்கள் நேற்றிரவு ஹாக்கி பார்த்தோம்.
hold	பிடி	என் கையை பிடி.
hole	துளை	என் காலுறையில் ஒரு துளை உள்ளது.
huge	மிகப்பெரிய	அறை மிகப்பெரியது.
human	மனிதன்	ஒவ்வொரு மனிதருக்கும் தண்ணீர் தேவை.
hurt	வலி	என் முழங்கால் வலிக்கிறது.
ideal	சிறந்த	இந்த அறை படிப்பதற்கு சிறந்தது.
identify	அடையாளம் காண்	இந்த பறவையை அடையாளம் காண முடியுமா?
ill	நோயுற்ற	அவளுக்கு இன்று நோயாக உள்ளது.
illness	நோய்	நோய் ஒரு வாரம் நீடித்தது.
image	படம்	படம் தெளிவாக உள்ளது.
