simplified	TL	example_TL
爱	mahalin; magustuhan	Mahal ko si Nanay.
八	walo	Mayroon akong walong libro.
爸爸	tatay; ama	Nasa bahay si Tatay.
杯子	tasa; baso	Malaki ang tasang ito.
北京	Beijing	Nagtatrabaho ako sa Beijing.
本	panukat para sa mga libro; tomo	Mayroon akong isang libro.
不	hindi	Hindi ako kumakain ng kanin.
不客气	walang anuman	Salamat. Walang anuman.
菜	ulam; pagkain; gulay	Masarap ang ulam na ito.
茶	tsaa	Umiinom ako ng tsaa.
吃	kumain	Kumakain ako ng mansanas.
出租车	taksi	Sumasakay ako ng taksi papunta sa paaralan.
打电话	tumawag sa telepono	Tumatawag ako sa telepono.
大	malaki	Malaki ang paaralang ito.
的	ng; panandang pang-angkin	Ito ang libro ko.
点	oras; punto; kaunti	Alas otso na ngayon.
电脑	kompyuter	Nasa mesa ang kompyuter ko.
电视	telebisyon; TV	Nanonood ako ng TV.
电影	pelikula	Gusto ko ang mga pelikula.
东西	bagay; gamit	Anong bagay ito?
都	lahat; pareho	Mga estudyante kaming lahat.
读	magbasa; mag-aral	Nagbabasa ako ng libro.
对不起	pasensya na; paumanhin	Pasensya na, hindi kita kilala.
多	marami; higit	Marami akong kaibigan.
多少	ilan; magkano	Magkano ang tasang ito?
儿子	anak na lalaki	Estudyante ang anak kong lalaki.
二	dalawa	Malamig ang Pebrero.
饭馆	restawran; kainan	Nasa harap ng paaralan ang restawran.
飞机	eroplano	Sumasakay ako ng eroplano papuntang Beijing.
分钟	minuto	Nag-aaral ako nang limang minuto.
高兴	masaya; natutuwa	Masayang-masaya ako ngayon.
个	pangkalahatang panukat	Mayroon akong isang kaibigan.
工作	magtrabaho; trabaho	Nagtatrabaho ako sa Beijing.
狗	aso	Gusto ko ang mga aso.
汉语	wikang Tsino	Nag-aaral ako ng wikang Tsino.
好	mabuti; maganda	Maganda ang panahon ngayon.
喝	uminom	Umiinom ako ng tubig.
和	at; kasama	Pumupunta ako sa paaralan kasama ang isang kaibigan.
很	napaka-; talagang	Napakaganda niya.
后面	likod; sa likod	Nasa likod ng restawran ang paaralan.
回	bumalik; umuwi	Umuuwi ako.
会	kaya; marunong	Marunong akong magsalita ng wikang Tsino.
火车站	istasyon ng tren	Malaki ang istasyon ng tren.
几	ilan; ilang	Ilan ang kaibigan mo?
家	bahay; pamilya	Nasa Beijing ang bahay ko.
叫	tawagin; pangalanan	Ano ang pangalan mo?
今天	ngayong araw	Mainit ngayon.
九	siyam	Alas nuwebe na ngayon.
开	buksan; paandarin	Binubuksan ko ang kompyuter.
看	tumingin; manood; magbasa	Nagbabasa ako ng libro.
看见	makita	Nakikita ko ang guro.
块	piraso; yuan	Sampung yuan ang librong ito.
来	dumating; pumunta rito	Dumarating siya sa paaralan.
老师	guro	Nasa paaralan ang guro.
了	panandang tapos na ang kilos	Kumain na ako ng kanin.
冷	malamig	Malamig ngayon.
里	loob; sa loob	May tubig sa tasa.
零	sero	Hindi isa ang sero.
六	anim	Alas sais na ngayon.
妈妈	nanay; ina	Umiinom ng tsaa si Nanay.
吗	panandang tanong na oo/hindi	Estudyante ka ba?
买	bumili	Bumibili ako ng mansanas.
猫	pusa	Nasa upuan ang pusa.
没	wala; hindi pa	Wala akong pera.
没关系	ayos lang; walang problema	Ayos lang.
米饭	kanin	Kumakain ako ng kanin.
名字	pangalan	Ano ang pangalan mo?
明天	bukas	Pupunta ako sa Beijing bukas.
哪	alin; saan	Saan ka pupunta?
那	iyon; iyan; ang mga iyon	Iyon ang guro ko.
呢	naman; panandang tanong	Ikaw naman?
能	kaya; maaari	Maaari ba akong pumunta?
你	ikaw; ka; mo	Kumusta ka?
年	taon	May labindalawang buwan sa isang taon.
女儿	anak na babae	Napakaganda ng anak niyang babae.
朋友	kaibigan	Kaibigan ko siya.
漂亮	maganda	Napakaganda niya.
苹果	mansanas	Gusto ko ang mansanas.
七	pito	Alas siyete na ngayon.
前面	harap; sa harap	Nasa harap ng tindahan ang restawran.
钱	pera	Wala akong pera.
请	paki-; pakisuyo; imbitahan	Uminom po kayo ng tsaa.
去	pumunta	Pumupunta ako sa paaralan.
热	mainit	Mainit ngayon.
人	tao	Maraming tao sa paaralan.
认识	makilala; kilala	Kilala ko siya.
日	araw; petsa	Una ng Marso ngayon.
三	tatlo	Mayroon akong tatlong tasa.
商店	tindahan	Nasa harap ng paaralan ang tindahan.
上	ibabaw; sa ibabaw; pataas	Nasa ibabaw ng mesa ang libro.
上午	umaga; bago magtanghali	Nag-aaral ako ng wikang Tsino sa umaga.
少	kaunti; kakaunti	Kakaunti ang mga estudyante.
什么	ano	Ano ito?
十	sampu	Mayroon akong sampung libro.
时候	oras; panahon	Kailan ka darating?
是	ay; maging	Estudyante ako.
书	libro; aklat	Nagbabasa ako ng libro.
谁	sino	Sino siya?
