source_headword	KO	example_KO
absolutely	완전히; 절대적으로	나는 당신의 말에 완전히 동의합니다.
academic	학문의; 대학의	학년은 9월에 시작됩니다.
access	이용; 접근	학생들은 도서관을 이용할 필요가 있습니다.
accommodation	숙소	우리는 역 근처에 숙소를 예약했습니다.
account	계좌; 계정	그녀는 새 은행 계좌를 열었습니다.
achievement	성취	그 과정을 마친 것은 큰 성취였습니다.
ad	광고	그 광고는 새 휴대전화를 보여 주었습니다.
addition	추가된 것	수영장은 유용한 추가 시설입니다.
admire	존경하다; 감탄하다	나는 그녀의 차분한 태도를 존경합니다.
admit	인정하다	그는 자신의 실수를 인정했습니다.
advanced	고급의	이것은 고급 영어 수업입니다.
advise	조언하다	의사들은 규칙적인 운동을 조언합니다.
afford	감당하다	우리는 택시비를 감당할 수 없습니다.
aged	나이가 된	그 과정은 열 살 어린이를 위한 것입니다.
agent	대리인; 직원	여행사 직원이 우리 표를 바꾸었습니다.
agreement	합의; 계약	그들은 오늘 합의에 도달했습니다.
ahead	앞에; 앞으로	앞의 길은 깨끗합니다.
aim	목표; 목표로 하다	우리는 곧 끝내는 것을 목표로 합니다.
alarm	알람; 경보	알람이 여섯 시에 울렸습니다.
album	앨범	이 앨범에는 노래가 열 곡 있습니다.
alcohol	술; 알코올	그 호텔은 술을 제공하지 않습니다.
alcoholic	알코올이 든	이 음료는 알코올이 들어 있지 않습니다.
amazed	놀란	그녀는 그 결과에 놀랐습니다.
ambition	포부; 야망	그의 포부는 조종사가 되는 것입니다.
ambitious	야심 있는	그녀에게는 야심 찬 계획이 있습니다.
analyse	분석하다	우리는 결과를 분석해야 합니다.
analysis	분석	그녀의 분석은 명확하고 신중했습니다.
announce	발표하다	그들은 내일 우승자를 발표할 것입니다.
announcement	발표; 공지	그 발표는 모두를 놀라게 했습니다.
annoy	짜증나게 하다	시끄러운 음악은 이웃을 짜증나게 할 수 있습니다.
annoyed	짜증 난	지연 후 그는 짜증 난 표정이었습니다.
annoying	짜증나는	그 소리는 정말 짜증납니다.
apart	떨어져	그 집들은 2미터 떨어져 있습니다.
apologize	사과하다	늦어서 사과합니다.
application	신청서; 앱	온라인으로 신청서를 작성하세요.
appointment	예약; 약속	나는 내일 치과 예약이 있습니다.
appreciate	고마워하다; 인정하다	당신의 도움에 감사드립니다.
approximately	대략	걷는 데 대략 20분이 걸립니다.
arrest	체포하다	경찰은 운전자를 체포했습니다.
arrival	도착	우리의 도착은 예상보다 늦었습니다.
assignment	과제; 임무	그 과제는 금요일까지입니다.
assist	돕다	간호사들은 의사를 돕습니다.
atmosphere	분위기; 대기	그 카페는 편안한 분위기입니다.
attach	첨부하다; 붙이다	이메일에 파일을 첨부하세요.
attitude	태도	회의 후 그녀의 태도가 바뀌었습니다.
attract	끌어들이다	밝은 꽃은 벌을 끌어들입니다.
attraction	명소; 매력	그 성은 인기 있는 명소입니다.
authority	당국; 권한	지방 당국이 도로를 수리했습니다.
aware	알고 있는	그녀는 그 위험을 알고 있습니다.
backwards	뒤로	그는 조심스럽게 뒤로 걸었습니다.
bake	굽다	나는 매주 일요일에 빵을 굽습니다.
balance	균형	좋은 신발은 균형에 도움이 됩니다.
ban	금지하다; 금지	그 도시는 자동차를 금지할 것입니다.
bank (river)	강둑	우리는 강둑에 앉았습니다.
base	기지; 기초	팀은 기지로 돌아갔습니다.
basic	기본적인	모두에게 기본적인 컴퓨터 기술이 필요합니다.
basis	기초	신뢰는 우정의 기초입니다.
battery	배터리; 전지	내 휴대전화 배터리가 부족합니다.
battle	전투; 싸움	전투는 밤새 계속되었습니다.
beauty	아름다움	우리는 산의 아름다움에 감탄했습니다.
bee	벌	벌 한 마리가 꽃에 앉았습니다.
belief	믿음; 신념	그의 믿음은 그에게 용기를 주었습니다.
bell	종; 벨	학교 종이 크게 울렸습니다.
bend	굽히다; 구부러지다	들어 올릴 때 무릎을 굽히세요.
bite	물다	그 개는 낯선 사람을 물 수도 있습니다.
block	구역; 막다	쓰러진 나무가 길을 막았습니다.
bomb	폭탄	폭탄이 여러 건물을 손상시켰습니다.
border	국경; 경계	그들은 밤에 국경을 넘었습니다.
bother	괴롭히다; 방해하다	여동생을 방해하지 마세요.
branch	가지; 지점	폭풍 속에서 가지 하나가 부러졌습니다.
brand	상표; 브랜드	이 브랜드는 학생들에게 인기가 있습니다.
brave	용감한	용감한 남자가 아이를 구했습니다.
breath	숨; 호흡	깊게 숨을 쉬세요.
breathe	숨 쉬다	이 연기 속에서는 숨을 쉴 수 없습니다.
breathing	호흡	그녀의 호흡은 느렸습니다.
bride	신부	신부는 흰 드레스를 입었습니다.
bubble	거품	거품 하나가 유리잔 위로 떠올랐습니다.
bury	묻다	그들은 상자를 모래 속에 묻었습니다.
calm	차분한	시험 중에는 차분하게 있으세요.
campaign	운동; 캠페인	그 캠페인은 학교를 위해 돈을 모았습니다.
campus	캠퍼스	학생들은 캠퍼스 근처에 삽니다.
candidate	후보자	각 후보자는 세 가지 질문에 답했습니다.
cap	모자	그는 야구 모자를 썼습니다.
captain	주장; 선장	주장이 팀에게 말했습니다.
careless	부주의한	부주의한 실수로 우리는 시간을 잃었습니다.
category	범주; 분류	올바른 범주를 선택하세요.
ceiling	천장	천장은 흰색으로 칠해져 있었습니다.
celebration	축하 행사	축하 행사는 저녁 내내 계속되었습니다.
central	중심의	그 호텔은 중심 위치에 있습니다.
ceremony	의식; 행사	의식은 정오에 시작되었습니다.
chain	사슬; 체인	그녀는 은색 체인을 걸고 있었습니다.
challenge	도전; 과제	이 프로젝트는 진짜 도전입니다.
champion	챔피언; 우승자	챔피언은 코치에게 감사했습니다.
channel	채널	채널을 바꿔 주세요.
chapter	장	오늘 밤 다음 장을 읽으세요.
charge	요금; 부과	아이들에게는 요금이 없습니다.
cheat	속이다; 부정행위를 하다	시험에서 부정행위를 하지 마세요.
cheerful	명랑한	그녀는 오늘 아침 명랑하게 들렸습니다.
chemical	화학의; 화학 물질	화학 냄새가 강했습니다.
chest	가슴	달린 후 그의 가슴이 아팠습니다.
childhood	어린 시절	나는 어린 시절의 집을 기억합니다.
claim	주장하다	그들은 그 제품이 안전하다고 주장합니다.
clause	절; 조항	이 절은 의미를 바꿉니다.
click	클릭하다	파란 버튼을 클릭하세요.
client	고객; 의뢰인	고객은 더 많은 세부 사항을 요청했습니다.
cloth	천	이 천으로 탁자를 닦으세요.
clue	단서	그 단서는 우리가 문제를 푸는 데 도움이 되었습니다.
coal	석탄	그 오래된 기차는 석탄을 사용했습니다.
coin	동전	그는 바닥에서 동전을 찾았습니다.
collection	수집품; 모음	그녀의 우표 수집품은 많습니다.
coloured	색깔이 있는	그녀는 색깔 있는 스카프를 둘렀습니다.
combine	결합하다; 섞다	밀가루와 물을 섞으세요.
commercial	상업의; 광고	광고 시간이 5분 동안 이어졌습니다.
commit	전념하다; 약속하다	우리는 그 계획에 전념해야 합니다.
communication	의사소통	좋은 의사소통은 실수를 막습니다.
comparison	비교	이 비교는 유용합니다.
competitive	경쟁이 치열한	시장은 매우 경쟁이 치열합니다.
competitor	경쟁자	우리의 주요 경쟁자가 가격을 낮췄습니다.
