source_headword	ET	example_ET
crawl	roomama	Beebi hakkas üle vaiba roomama.
creator	looja	Looja tänas kõiki toetuse eest.
credibility	usaldusväärsus	Tunnistaja kaotas küsitlemisel usaldusväärsuse.
credible	usaldusväärne	Aruanne pakkus usaldusväärseid tõendeid.
creep	hiilima	Udu hakkas läbi oru hiilima.
critique	kriitika	Professor esitas üksikasjaliku kriitika.
crown	kroon	Kuninganna kandis hõbedast krooni.
crude	algeline	Joonistus oli algeline, kuid selge.
crush	purustama	Rasked kivid võivad toru purustada.
crystal	kristall	Kristall peegeldas hommikuvalgust.
cult	kultus	Kultus isoleeris oma liikmed.
cultivate	kasvatama	Põllumehed kasvatavad selles piirkonnas riisi.
curiosity	uudishimu	Uudishimu viis ta teadusesse.
custody	hooldusõigus	Laps jäi oma isa hooldusõiguse alla.
cutting	väljalõige	Ajaleht avaldas tema kohta väljalõike.
cynical	küüniline	Tema küüniline märkus ärritas meeskonda.
dam	tamm	Tamm hoiab kinni jõevett.
damaging	kahjustav	Kahjustav artikkel rikkus kampaaniat.
dawn	koit	Me lahkusime külast koidikul.
debris	praht	Tormipraht blokeeris tee.
debut	debüüt	Tema debüüt äratas üleriigilist tähelepanu.
decision-making	otsustamine	Hea otsustamine nõuab selget teavet.
decisive	otsustav	Tema otsustav tegevus hoidis ära edasised kahjud.
declaration	deklaratsioon	Minister luges ette ametliku deklaratsiooni.
dedicated	pühendunud	Pühendunud õde töötas üleöö.
dedication	pühendumus	Tema pühendumus inspireeris nooremaid mängijaid.
deed	tegu	Vapper tegu päästis kaks elu.
deem	pidama	Kohus võib lepingu kehtetuks pidada.
default	vaikeväärtus	Kasutage praegu vaikesätet.
defect	defekt	Inspektorid leidsid tõsise defekti.
defensive	kaitsev	Tema kaitsev toon üllatas kõiki.
deficiency	puudus	Rauapuudus võib mõjutada tervist.
deficit	puudujääk	Eelarve puudujääk tegi ametnikele muret.
defy	eirama	Protestijad otsustasid keeldu eirata.
delegate	delegaat	Iga delegaat sai hääletuskaardi.
delegation	delegatsioon	Delegatsioon saabus enne keskpäeva.
delicate	õrn	Õrn klaas purunes kergesti.
demon	deemon	Lugu kirjeldab iidset deemonit.
denial	eitamine	Tema eitamine vihastas ohvreid.
denounce	hukka mõistma	Juhid mõistavad koolivägivalla hukka.
dense	tihe	Tihe mets varjas päikesevalguse.
density	tihedus	Rahvastikutihedus on kesklinnas suur.
dependence	sõltuvus	Riigi sõltuvus naftast vähenes.
depict	kujutama	Seinamaaling kujutab külaelu.
deploy	lähetama	Armee saadab välja lisapersonali.
deployment	paigutamine	Vägede lähetamine algas esmaspäeval.
deprive	ilma jätma	Unepuudus võib jätta õpilased ilma keskendumisvõimest.
deputy	asetäitja	Asetäitja allkirjastas lepingu.
descend	laskuma	Rada hakkas järsult laskuma.
descent	laskumine	Lennuk alustas laskumist.
designate	määrama	Linn määrab uue pargi.
desirable	soovitav	Klassiruumides on soovitav hea valgustus.
desktop	töölaud	Fail on minu töölaual.
destructive	hävitav	Tormil oli hävitav jõud.
detain	kinni pidama	Politsei võib kahtlusalused üleöö kinni pidada.
detection	avastamine	Varajane avastamine parandab vähiravi.
detention	kinnipidamine	Õpilased protestisid kinnipidamistingimuste vastu.
deteriorate	halvenema	Tema tervis hakkas halvenema.
devastate	laastama	Maavärin võib laastada rannikulinnu.
devil	kurat	Laps joonistas naeratava kuradi.
devise	kavandama	Insenerid töötavad välja ohutumaid transpordisüsteeme.
diagnose	diagnoosima	Arstid diagnoosivad haigust vereanalüüsidega.
diagnosis	diagnoos	Diagnoos selgitas tema sümptomeid.
dictate	dikteerima	Leping määrab maksetingimused.
dictator	diktaator	Diktaator kontrollis meediat.
differentiate	eristama	Kas sa suudad eristada fakti arvamusest?
dignity	väärikus	Igaüks väärib tööl väärikust.
dilemma	dilemma	Juht seisis silmitsi tõsise dilemmaga.
dimension	mõõde	Probleemil on poliitiline mõõde.
diminish	vähenema	Valu peaks aeglaselt vähenema.
dip	langema	Temperatuur võib langeda alla nulli.
diplomat	diplomaat	Diplomaat kohtus välisjuhtidega.
diplomatic	diplomaatiline	Diplomaatilised kõnelused jätkusid üleöö.
directory	kataloog	Otsige tema numbrit kataloogist.
disastrous	katastroofiline	Katastroofiline üleujutus hävitas mitu silda.
discard	ära viskama	Ärge visake ära kasulikke andmeid.
discharge	välja kirjutama	Haigla kirjutab ta homme välja.
disclose	avalikustama	Ametnikud keeldusid arve avalikustamast.
disclosure	avalikustamine	Avalikustamine šokeeris juhatust.
discourse	diskursus	Avalik diskursus muutus viisakamaks.
discretion	äranägemine	Kasutage tundlike juhtumite puhul oma äranägemist.
discrimination	diskrimineerimine	Seadus keelab palkamisel diskrimineerimise.
dismissal	vallandamine	Tema vallandamine põhjustas avalikku viha.
displace	ümber paigutama	Sõda võib ümber paigutada tuhandeid.
disposal	kõrvaldamine	Jäätmete kõrvaldamine on endiselt kohalik probleem.
dispose	kõrvaldama	Ettevõte peab kemikaalid ohutult kõrvaldama.
dispute	vaidlus	Vaidlus kestis kuid.
disrupt	häirima	Müra võib häirida keskendumist.
disruption	häire	Streik põhjustas suuri häireid.
dissolve	lahustuma	Suhkur lahustub kuumas tees.
distinction	erinevus	Nende vaheline erinevus on oluline.
distinctive	iseloomulik	Tal on iseloomulik hääl.
distort	moonutama	Peegel võib moonutada teie peegeldust.
distress	ahastus	Kõne põhjustas tõsist ahastust.
disturbing	häiriv	Dokumentaalfilm näitas häirivaid stseene.
divert	ümber suunama	Politsei pidi liikluse ümber suunama.
divine	jumalik	Kabelis on jumalik atmosfäär.
doctrine	doktriin	Partei lükkas vana doktriini tagasi.
documentation	dokumentatsioon	Täitke dokumentatsioon enne käivitamist.
domain	domeen	Veebileht kasutab turvalist domeeni.
dominance	ülekaal	Meeskonna ülekaal kestis kümnendi.
donor	doonor	Doonor andis täna verd.
dose	annus	Võtke üks annus pärast hommikusööki.
drain	ära voolama	Vesi voolab jõkke.
drift	hõljuma	Suits hakkas üle tee hõljuma.
driving	juhtiv	Vihm oli viivituste peamine põhjus.
drown	uppuma	Ära kunagi uju seal, kus hoovused võivad sind uputada.
dual	topelt	Seadmel on topeltfunktsioon.
dub	nimetama	Kriitikud nimetavad linna kultuuripealinnaks.
dumb	rumal	See oli rumal viga.
duo	duo	Komöödiaduo tuuritas Euroopas.
eager	innukas	Õpilased olid innukad alustama.
earnings	tulud	Ettevõtte tulud tõusid järsult.
ease	kergendama	Uus tee kergendab liiklust.
echo	kajama	Ta hääl kajas saalis.
ecological	ökoloogiline	Ökoloogiline mõju jääb ebaselgeks.
educator	õpetaja	Õpetaja töötas välja uue kursuse.
effectiveness	tõhusus	Uuring mõõtis vaktsiini tõhusust.
efficiency	efektiivsus	Parem tarkvara parandas efektiivsust.
ego	ego	Tema ego põhjustas tööl probleeme.
elaborate	üksikasjalik	Üksikasjalik kostüüm võttis nädalaid.
electoral	valimis-	Valimissüsteem muutus eelmisel aastal.
elevate	tõstma	Auhind tõstab tema mainet.
eligible	õigustatud	Ainult elanikud on õigustatud soodustustele.
elite	eliit	Eliit treenis eraakadeemias.
embark	alustama	Nad alustavad pikka teekonda.
embarrassment	piinlikkus	Ta naeris, et varjata oma piinlikkust.
embassy	saatkond	Saatkond andis välja uued reisisoovitused.
embed	kaasama	Ajakirjanik liitub üksusega.
embody	kehastama	See kuju näib kehastavat julgust.
emergence	ilmumine	Telefonide ilmumine muutis igapäevaelu.
empirical	empiiriline	Uurimus tugineb empiirilistele tõenditele.
empower	võimestama	Haridus võib kohalikke kogukondi võimestada.
enact	vastu võtma	Parlament hääletas reformi vastuvõtmise poolt.
encompass	hõlmama	Kursus hõlmab moodsat ajalugu.
encouragement	julgustus	Tema julgustus aitas tal jätkata.
encouraging	julgustav	Varased tulemused tunduvad julgustavad.
endeavour	püüdlus	Päästmine oli keeruline püüdlus.
endless	lõputu	Kõrb tundus lõputu.
endorse	toetama	Ametiühing keeldus kandidaati toetamast.
endorsement	toetus	Tema toetus andis kampaaniale hoogu.
endure	taluma	Taimed suudavad taluda karme talvi.
enforce	jõustama	Politsei tagab kiiruspiirangust kinnipidamise.
enforcement	jõustamine	Tugevam jõustamine vähendas ebaseaduslikku prügistamist.
engagement	kaasatus	Üliõpilaste kaasatus paranes sel semestril.
engaging	kaasahaarav	Esineja pidas kaasahaarava kõne.
enquire	järele pärima	Palun küsige vastuvõtulauast.
enrich	rikastama	Reisimine võib rikastada teie arusaamist.
enrol	registreeruma	Üliõpilased peavad registreeruma enne septembrit.
ensue	järgnema	Pärast teadet võib järgneda kaos.
enterprise	ettevõte	Ettevõte annab tööd kohalikele kunstnikele.
enthusiast	entusiast	Iga jalgrattaentusiast teab seda marsruuti.
entitle	õigust andma	Pilet annab teile õiguse siseneda.
entity	üksus	Ettevõte on eraldi juriidiline üksus.
epidemic	epideemia	Epideemia levis üle mitme piirkonna.
equality	võrdsus	Liikumine võitles võrdsuse eest.
equation	võrrand	Võrrand sisaldab kahte tundmatut.
erect	püstitama	Töölised püstitavad uue aia.
escalate	eskaleeruma	Konflikt võib kiiresti eskaleeruda.
essence	olemus	Luuletus tabab lapsepõlve olemust.
establishment	eliit	Eliit oli reformi vastu.
eternal	igavene	Nad lubasid igavest sõprust.
evacuate	evakueerima	Tuletõrjujad aitasid elanikel turvaliselt evakueeruda.
evoke	esile kutsuma	Laul võib esile kutsuda tugevaid mälestusi.
evolutionary	evolutsiooniline	Fossiil näitab evolutsioonilist muutust.
exaggerate	liialdama	Ärge liialdage oma kogemustega.
excellence	tipptase	Kool premeerib akadeemilist tipptaset.
exceptional	erakordne	Ta näitas erakordset oskust.
excess	liigne	Liigne vesi ujutas keldri üle.
exclusion	tõrjutus	Sotsiaalne tõrjutus kahjustab noori.
exclusive	eksklusiivne	Klubi pakub eksklusiivset juurdepääsu.
exclusively	eranditult	Seda ruumi kasutavad eranditult töötajad.
execute	ellu viima	Meeskond viib plaani hoolikalt ellu.
execution	täitmine	Strateegia täitmine võttis kuid.
exert	rakendama	Peate rakendama rohkem survet.
exile	eksiil	Kirjanik elas eksiilis.
expenditure	kulutused	Avaliku sektori kulutused suurenesid eelmisel aastal.
experimental	eksperimentaalne	Ravi on alles eksperimentaalne.
expire	aeguma	Mu pass aegub varsti.
explicit	selgesõnaline	Juhised olid selgesõnalised.
explicitly	selgesõnaliselt	Reeglid keelavad suitsetamise selgesõnaliselt.
exploitation	ekspluateerimine	Aruanne paljastas töötajate ekspluateerimise.
explosive	lõhkeaine	Lõhkeseade eemaldati ohutult.
extremist	äärmuslane	Äärmusrühmitus kaotas toetuse.
facilitate	hõlbustama	Rakendus hõlbustab kaugõpet.
faction	kildkond	Üks kildkond oli juhile vastu.
faculty	teaduskond	Teaduskond kiitis ettepaneku heaks.
fade	tuhmuma	Värv tuhmub päikesevalguses.
fairness	õiglus	Õiglus on oluline igal võistlusel.
fatal	saatuslik	Õnnetus põhjustas surmavaid vigastusi.
fate	saatus	Keegi ei teadnud tema saatust.
favourable	soodne	Arvustus oli soodne.
feat	saavutus	Selle tipu ronimine oli saavutus.
feminist	feministlik	Feministlik liikumine muutis avalikku arutelu.
fibre	kiudaine	See leib sisaldab lisakiudaineid.
fierce	äge	Äge torm kahjustas katuseid.
film-maker	filmitegija	Filmitegija vastas hiljem küsimustele.
filter	filter	Filter eemaldab õhust tolmu.
fine	trahv	Ettevõte maksis trahvi.
firearm	tulirelv	Ohvitser sai kätte varastatud tulirelva.
fit	sobivus	Uued kingad sobivad ideaalselt.
fixture	kinnitus	Lamp on püsiv kinnitus.
flaw	viga	Disainil on üks tõsine viga.
flawed	puudulik	Puudulik uuring andis valesid tulemusi.
flee	põgenema	Pered pidid lahingute eest põgenema.
fleet	laevastik	Lennufirma uuendas oma lennukiparki.
flesh	liha	Okas tungis tema lihasse.
flexibility	paindlikkus	Kaugtöö pakub rohkem paindlikkust.
flourish	õitsema	Väikeettevõtted saavad siin õitseda.
fluid	vedelik	Pärast trenni jooge palju vedelikku.
footage	videomaterjal	Videomaterjal näitas avariid.
