simplified	SW	example_SW
哎	ee; jamani	Ee, umefika vipi hapa?
唉	ah; ehe	Ah, nimechelewa tena.
爱护	kutunza; kulinda	Tunapaswa kutunza mazingira.
爱惜	kuthamini	Tafadhali thamini muda wako.
爱心	upendo; moyo wa huruma	Ana moyo wa huruma sana.
安慰	kufariji	Rafiki yangu alinifariji.
安装	kufunga; kusakinisha	Fundi anasakinisha kiyoyozi.
岸	ukingo; pwani	Boti inakaribia ukingo polepole.
暗	giza	Chumba kina giza sana.
熬夜	kukesha	Kukesha si vizuri kwa afya.
把握	uhakika; kuweza	Sina uhakika kama ninaweza kufanya jambo hili vizuri.
摆	kupanga	Tafadhali panga viti kwa mpangilio.
办理	kushughulikia	Ninaenda benki kushughulikia huduma.
傍晚	jioni	Jioni tutaenda kutembea.
包裹	kifurushi	Nimepokea kifurushi.
包含	kujumuisha	Bei inajumuisha kifungua kinywa.
包括	kujumuisha	Ada inajumuisha chakula cha mchana.
薄	nyembamba	Kitabu hiki ni chembamba sana.
保持	kudumisha	Tafadhali dumisha utulivu.
保存	kuhifadhi	Tafadhali hifadhi faili hii.
保留	kuhifadhi; kutenga	Tafadhali nitengie kiti.
保险	bima; salama	Nimenunua bima ya safari.
宝贝	hazina	Hii ni hazina yangu.
宝贵	wenye thamani	Muda ni wenye thamani sana.
报到	kujisajili	Wanafunzi wapya wanakuja shuleni kujisajili leo.
报道	kuripoti	Habari ziliripoti jambo hili.
报告	ripoti; kutoa taarifa	Anatoa ripoti.
报社	ofisi ya gazeti	Anafanya kazi katika ofisi ya gazeti.
抱怨	kulalamika	Daima analalamika kuwa kazi ni nyingi sana.
悲观	kukata tamaa	Usikate tamaa sana.
背	mgongo	Amekaa akiwa ameupa mlango mgongo.
背景	usuli; historia	Tafadhali eleza kwa ufupi historia yako.
被子	blanketi	Blanketi lina joto sana.
本科	shahada ya kwanza	Yeye ni mwanafunzi wa shahada ya kwanza.
本领	ujuzi	Alijifunza ujuzi mpya.
本质	kiini	Kiini cha tatizo ni rahisi sana.
彼此	kila mmoja	Tunapaswa kuheshimiana.
比例	uwiano	Uwiano wa wanaume na wanawake uko karibu sawa.
必然	lazima; bila shaka	Juhudi bila shaka zitaleta matokeo.
必要	muhimu; lazima	Hakuna haja ya kuwa na wasiwasi.
毕竟	hatimaye; hata hivyo	Hata hivyo, bado ni mtoto.
避免	kuepuka	Tafadhali epuka kuchelewa.
编辑	kuhariri	Anahusika na kuhariri makala hii.
鞭炮	baruti za sherehe	Wakati wa Sikukuu ya Masika, watu fulani huwaka baruti za sherehe.
便	basi; kisha	Baada ya kula, alienda darasani.
辩论	kujadiliana	Wanajadili swali hili.
标点	alama za uakifishaji	Tafadhali zingatia alama za uakifishaji.
标志	ishara	Taa nyekundu ni ishara ya kusimama.
表达	kueleza	Alieleza maoni yake.
表面	uso	Uso wa meza ni safi sana.
表明	kuonyesha	Matokeo yanaonyesha kuwa alikuwa sahihi.
表情	mwonekano wa uso	Mwonekano wake wa uso ulikuwa wa makini sana.
表现	utendaji; kujionyesha	Leo alifanya vizuri sana.
冰激凌	aisikrimu	Watoto hupenda kula aisikrimu.
病毒	virusi	Aina hii ya virusi huenea haraka sana.
播放	kucheza; kutangaza	Tafadhali cheza wimbo huu.
玻璃	kioo	Kikombe cha kioo kilivunjika.
博物馆	makumbusho	Tutaenda makumbusho wikendi hii.
脖子	shingo	Shingo yangu inauma kidogo.
