source_headword	FR	example_FR
abandon	abandonner	Ils ont abandonné le plan hier.
absolute	absolu	Nous avons besoin d'une honnêteté absolue ici.
acceptable	acceptable	Sa réponse était acceptable.
accompany	accompagner	Son frère l'a accompagnée chez elle.
accurate	précis	Le rapport semble précis.
accuse	accuser	Ils l'ont accusé de mentir.
acknowledge	reconnaître	Veuillez reconnaître l'erreur.
acquire	acquérir	Elle a acquis de nouvelles compétences rapidement.
actual	réel; effectif	Le coût réel était plus bas.
adapt	s'adapter	Nous nous sommes adaptés au changement.
additional	supplémentaire	Une aide supplémentaire est arrivée aujourd'hui.
administration	l'administration	L'administration a changé la politique.
adopt	adopter	Ils ont adopté une nouvelle méthode.
advance	l'avancée	Nous avons fait une petite avancée.
affair	l'affaire	L'affaire a nui à la confiance publique.
afterwards	ensuite	Ensuite, tout le monde s'est senti calme.
agency	l'agence	L'agence a engagé trois traducteurs.
agenda	l'ordre du jour	La sécurité est à l'ordre du jour.
aggressive	agressif	Son ton semblait agressif.
aid	l'aide	L'aide médicale est arrivée rapidement.
aircraft	l'aéronef; l'avion	L'avion a atterri sans problème.
alter	modifier	Ne modifiez pas l'accord.
anger	la colère	Sa colère a surpris tout le monde.
angle	l'angle	Essayez un autre angle de caméra.
anniversary	l'anniversaire	Leur anniversaire est demain.
annual	annuel	La réunion annuelle commence lundi.
anxious	anxieux	Elle était anxieuse avant l'opération.
apparent	apparent	Sa déception était apparente.
apparently	apparemment	Apparemment, le train est en retard.
appeal	l'appel; l'attrait	La décision peut faire l'objet d'un appel.
approach	l'approche	Son approche a résolu le problème.
appropriate	approprié	Choisissez une réponse appropriée.
approval	l'approbation	Le projet a besoin d'approbation.
approve	approuver	Le conseil a approuvé le budget.
arise	survenir	Des problèmes peuvent survenir plus tard.
armed	armé	Des gardes armés se tenaient dehors.
arms	les armes	Ils ont déposé les armes.
artificial	artificiel	Les fleurs semblaient artificielles.
artistic	artistique	Elle a un talent artistique.
ashamed	honteux	Il s'est senti honteux ensuite.
aspect	l'aspect	Examinez chaque aspect attentivement.
assess	évaluer	Nous devons évaluer les dégâts.
assessment	l'évaluation	L'évaluation a pris deux heures.
associate	associer	Les gens associent la fumée au danger.
associated	associé	Le stress est associé à la maladie.
association	l'association	L'association soutient les jeunes artistes.
assume	supposer	Je suppose que vous êtes d'accord.
attempt	la tentative	Sa première tentative a échoué.
bacteria	les bactéries	Les bactéries peuvent se propager rapidement.
barrier	la barrière	La langue était une barrière.
basically	en gros	En gros, nous avons besoin de plus de temps.
bear (deal with)	supporter	Je ne peux pas supporter ce bruit.
beg	supplier	Veuillez supplier pour obtenir de l'aide.
being	l'être	Chaque être a besoin d'eau.
bent	courbé	La tige métallique était courbée.
bet	parier	Je parie qu'il le sait.
beyond	au-delà de	Le village se trouve au-delà de la rivière.
bitter	amer	Le médicament avait un goût amer.
blame	blâmer	Ne blâmez pas le conducteur.
blind	aveugle	Il est devenu aveugle jeune.
bond	le lien	La confiance crée un lien fort.
breast	le sein	Elle a ressenti une douleur au sein.
brief	bref	Gardez votre réponse brève.
broad	large	La rivière est large ici.
broadcast	diffuser	Le discours a été diffusé en direct.
budget	le budget	Le budget est très serré.
bullet	la balle	La balle a frappé le mur.
bunch	le trousseau; le bouquet	Elle portait un trousseau de clés.
bush	le buisson	Un oiseau s'est caché dans le buisson.
cable	le câble	Le câble est cassé.
calculate	calculer	Calculez le coût total.
cancel	annuler	Ils ont annulé la réunion.
cancer	le cancer	Le traitement du cancer peut être difficile.
capable	capable	Elle est capable de plus.
capacity	la capacité	La salle a atteint sa capacité.
capture	capturer; saisir	La photo saisit l'ambiance.
cast	la distribution	La distribution est prête.
cell	la cellule; la case	Chaque case contient des données.
chairman	le président	Le président a ouvert la réunion.
characteristic	la caractéristique	La patience est sa principale caractéristique.
chief	principal	L'ingénieur principal est arrivé en retard.
circumstance	la circonstance	Considérez chaque circonstance avec soin.
cite	citer	Veuillez citer votre source.
citizen	le citoyen	Chaque citoyen peut voter.
civil	civil; courtois	La manifestation est restée pacifique.
classic	classique	Ce film est un classique.
closely	de près	Observez le processus de près.
collapse	s'effondrer	Le vieux pont peut s'effondrer.
combination	la combinaison	La combinaison a bien fonctionné.
comfort	le réconfort; le confort	Ses mots ont apporté du réconfort.
command	l'ordre	L'officier a donné un ordre.
commission	la commission	La commission a examiné l'affaire.
commitment	l'engagement	Le travail exige de l'engagement.
committee	le comité	Le comité se réunit chaque semaine.
commonly	couramment	Cette plante est couramment cultivée.
complicated	compliqué	Les instructions sont compliquées.
component	le composant	Un composant est tombé en panne.
concentration	la concentration	Le bruit brise ma concentration.
concept	le concept	Le concept est simple.
concern	la préoccupation	La sécurité est notre principale préoccupation.
concerned	inquiet	Les parents étaient très inquiets.
conduct	mener	Ils mènent des recherches localement.
confidence	la confiance	La pratique développe la confiance.
conflict	le conflit	Le conflit a duré des années.
confusing	déroutant	La carte était déroutante.
conscious	conscient	Elle est restée consciente.
conservative	conservateur	Ses opinions sont conservatrices.
consideration	la considération	Le coût est une considération importante.
consistent	cohérent; constant	Ses résultats sont constants.
constant	constant	Le bruit constant nous a épuisés.
constantly	constamment	Il vérifie constamment son téléphone.
construct	construire	Les ouvriers ont construit un nouveau pont.
construction	la construction	La construction commence le mois prochain.
contemporary	contemporain	La galerie montre de l'art contemporain.
contest	le concours	Elle a participé au concours.
contract	le contrat	Lisez le contrat attentivement.
contribute	contribuer	Tout le monde peut contribuer des idées.
contribution	la contribution	Sa contribution était précieuse.
convert	convertir	Ils ont converti le garage.
convinced	convaincu	Je suis convaincu qu'il a menti.
core	le noyau; le coeur	La confiance est le coeur du problème.
corporate	d'entreprise	Les règles d'entreprise ont encore changé.
council	le conseil	Le conseil a approuvé le plan.
county	le comté	Le comté a réparé la route.
courage	le courage	Elle a montré un vrai courage.
crash	l'accident	L'accident a bloqué la circulation.
creation	la création	La création a pris six mois.
creature	la créature	La créature avançait silencieusement.
crew	l'équipage	L'équipage a préparé le navire.
crisis	la crise	La crise a tout changé.
criterion	le critère	Le prix est un critère.
critic	le critique	Le critique a loué la pièce.
critical	critique	Son état est critique.
criticism	la critique	Elle a accepté la critique calmement.
criticize	critiquer	Ne critiquez pas chaque erreur.
crop	la récolte	La récolte a échoué cette année.
crucial	crucial	Le moment est crucial ici.
cure	le remède	Les médecins ont trouvé un remède.
curve	la courbe	La route suit une courbe.
curved	courbé	Le mur est légèrement courbé.
debate	le débat	Le débat a continué pendant des heures.
debt	la dette	Il a payé la dette.
decent	décent	Ils ont trouvé un appartement décent.
declare	déclarer	Ils ont déclaré le résultat.
decline	diminuer	Les ventes ont continué à diminuer.
decoration	la décoration	La décoration semblait coûteuse.
decrease	diminuer	Les prix peuvent bientôt diminuer.
deeply	profondément	Elle se souciait profondément de la justice.
defeat	la défaite	La défaite a choqué l'équipe.
defence	la défense	La défense a contesté les preuves.
defend	défendre	Il a essayé de se défendre.
delay	le retard	Le mauvais temps a causé un retard.
deliberate	délibéré	C'était un choix délibéré.
deliberately	délibérément	Elle a ignoré délibérément l'avertissement.
delight	ravir	La nouvelle a ravi tout le monde.
delighted	ravi	Nous étions ravis du cadeau.
delivery	la livraison	La livraison est arrivée tôt.
demand	la demande; exiger	Les travailleurs exigent un meilleur salaire.
demonstrate	démontrer	Il a démontré le nouveau logiciel.
deny	nier	Elle a nié l'accusation.
depressed	déprimé	Il s'est senti déprimé après la défaite.
depressing	déprimant	Le film était déprimant.
depth	la profondeur	La piscine a une grande profondeur.
deserve	mériter	Vous méritez une pause.
desire	le désir	Elle a exprimé le désir de voyager.
desperate	désespéré	Ils ont passé un appel désespéré.
detailed	détaillé	Le guide est très détaillé.
detect	détecter	Les chiens peuvent détecter la fumée.
dig	creuser	Ils creusent des puits en été.
disc	le disque	Le disque était rayé.
discipline	la discipline	La discipline aide les athlètes à progresser.
dishonest	malhonnête	Sa réponse semblait malhonnête.
dismiss	rejeter; renvoyer	Le directeur a rejeté la plainte.
display	afficher; l'écran	L'écran affiche le score.
distribute	distribuer	Les bénévoles ont distribué de l'eau propre.
distribution	la distribution	La distribution a commencé après le lever du soleil.
district	le district	Le district a élu un maire.
division	la division; le service	La division traite les affaires juridiques.
domestic	intérieur; domestique	Les vols intérieurs sont moins chers.
dominate	dominer	Une entreprise peut dominer le marché.
downwards	vers le bas	Le chemin descend vers le bas.
dozen	la douzaine	Elle a acheté une douzaine d'oeufs.
draft	le brouillon	Veuillez relire le brouillon.
drag	traîner	Ne traînez pas la table.
dramatic	spectaculaire; dramatique	Les résultats étaient spectaculaires.
edit	modifier	Elle a modifié l'article.
edition	l'édition	Cette édition inclut de nouvelles photos.
efficient	efficace	Le système est efficace.
elderly	âgé	Les résidents âgés ont besoin de soutien.
elect	élire	Les électeurs élisent un nouveau conseil.
elsewhere	ailleurs	Nous avons cherché de l'aide ailleurs.
emerge	apparaître	Des détails sont apparus après minuit.
emotional	émotionnel	Le discours était émotionnel.
emphasis	l'accent	Mettez l'accent sur la sécurité.
emphasize	souligner	Les enseignants soulignent la pratique quotidienne.
enable	permettre	L'application permet des paiements rapides.
encounter	rencontrer	Nous avons rencontré une circulation dense.
engage	impliquer	Le cours implique des apprenants adultes.
enhance	améliorer	L'éclairage peut améliorer la pièce.
enquiry	l'enquête; la demande	L'enquête a duré trois mois.
ensure	assurer	Vérifiez deux fois pour assurer l'exactitude.
enthusiasm	l'enthousiasme	Son enthousiasme a encouragé le groupe.
enthusiastic	enthousiaste	Les bénévoles étaient enthousiastes.
entire	entier	Tout le village a perdu l'électricité.
entirely	entièrement	L'histoire est entièrement fausse.
establish	établir	Ils ont établi des règles claires.
estate	le domaine	Le domaine comprend plusieurs fermes.
estimate	estimer	Nous estimons dix mille visiteurs.
ethical	éthique	La décision a soulevé des questions éthiques.
evaluate	évaluer	Les experts évalueront la conception.
evil	mauvais; le mal	Le roi craignait les esprits mauvais.
examination	l'examen	L'examen a duré une heure.
excuse	l'excuse	Cette excuse semblait faible.
executive	le dirigeant	Le dirigeant a approuvé l'accord.
existence	l'existence	Leur existence était inconnue.
expectation	l'attente	L'attente était forte avant le lancement.
expense	la dépense	Les voyages sont notre plus grosse dépense.
exploration	l'exploration	L'exploration spatiale inspire les enfants.
expose	exposer; révéler	L'article a révélé la corruption.
extend	prolonger	Ils ont prolongé le délai.
extent	l'étendue	Nous avons connu l'étendue plus tard.
external	externe	La pression externe les a influencés.
extraordinary	extraordinaire	Son rétablissement était extraordinaire.
facility	l'installation	L'installation a ouvert en juin.
failure	l'échec	L'échec lui a appris la patience.
faith	la foi	Elle a gardé foi en lui.
fault	la faute; le défaut	L'accident était ma faute.
feather	la plume	Une plume est tombée de l'oreiller.
fee	les frais	Les frais incluent le déjeuner.
feedback	les retours	Les retours ont aidé à améliorer le cours.
fellow	le collègue; camarade	Ses collègues l'ont soutenue.
finance	financer; les finances	La banque financera l'expansion.
finding	la découverte; le résultat	Le résultat a surpris les chercheurs.
firm	l'entreprise	L'entreprise a embauché du personnel nouveau.
flame	la flamme	Une petite flamme est apparue.
flash	l'éclair	Un éclair a illuminé le ciel.
flexible	flexible	L'horaire est flexible.
float	flotter	Les feuilles flottent sur l'eau.
folding	pliant	Il portait une chaise pliante.
forgive	pardonner	Peux-tu lui pardonner?
former	ancien	L'ancien maire est revenu.
fortune	la fortune	Ils ont perdu une fortune.
found	fonder	Ils ont fondé une petite association caritative.
freedom	la liberté	La liberté exige de la responsabilité.
frequency	la fréquence	La fréquence a augmenté en hiver.
fully	entièrement	L'hôtel est entièrement réservé.
fund	le fonds	Le fonds soutient les écoles locales.
fundamental	fondamental	Le respect est fondamental ici.
funding	le financement	Le financement a pris fin l'année dernière.
