source_headword	IS	example_IS
toss	að henda	Hún henti lyklunum á borðið.
total	að nema	Viðgerðirnar nema hærri upphæð en búist var við.
toxic	eitraður	Eitraði reykurinn neyddi alla út.
trademark	vörumerki	Lógóið varð vörumerki fyrirtækisins.
trail	slóð	Slóðin lá í gegnum skóginn.
trailer	stikla	Stiklan sýndi endi myndarinnar.
transaction	færsla	Færslan birtist á bankayfirlitinu mínu.
transcript	einkunnablað	Nemandin bað um opinbert einkunnablað.
transformation	umbreyting	Borgin gekk í gegnum mikla umbreytingu.
transit	flutningur	Pakkinn skemmdist í flutningi.
transmission	sending	Sending gagnanna var örugg.
transparency	gagnsæi	Skýrslan kallaði eftir auknu gagnsæi.
transparent	gagnsær	Ferlið ætti að vera gagnsætt öllum.
trauma	áfall	Slysið skildi eftir sig djúpt áfall.
treaty	sáttmáli	Löndin skrifuðu undir friðarsáttmála.
tremendous	gífurlegur	Liðið tók gífurlegum framförum.
tribal	ættbálka-	Safnið sýndi ættbálkalist.
tribunal	dómstóll	Dómstóllinn hlýddi á sönnunargögn alla vikuna.
tribute	heiðursvottur	Tónleikarnir voru heiðursvottur til hennar.
trio	tríó	Tríóið kom fram á hátíðinni.
triumph	sigur	Sigurinn var persónulegur sigur.
trophy	bikar	Fyrirliðinn lyfti bikarnum stoltur.
troubled	í vandræðum	Fyrirtækið í vandræðum þurfti nýja forystu.
trustee	stjórnarmaður	Stjórnarmaðurinn sér um styrktarsjóðinn.
tuition	skólagjöld	Skólagjöldin hennar hækkuðu í ár.
turnout	kjörsókn	Kjörsókn var meiri en búist var við.
turnover	starfsmannavelta	Starfsmannavelta minnkaði eftir breytingarnar.
twist	að snúa	Hún sneri lokinu af.
undergraduate	grunnnemi	Grunnneminn tók þátt í rannsóknarverkefni.
underlying	undirliggjandi	Skýrslan útskýrði undirliggjandi orsakir.
undermine	að grafa undan	Hneykslið gróf undan trausti almennings.
undoubtedly	eflaust	Hún er eflaust besti frambjóðandinn.
unify	að sameina	Áætlunin miðar að því að sameina liðin.
unprecedented	fordæmalaus	Stormurinn olli fordæmalausu tjóni.
unveil	að afhjúpa	Fyrirtækið mun afhjúpa hönnunina á morgun.
upcoming	komandi	Komandi kosningar vöktu athygli almennings.
upgrade	að uppfæra	Við uppfærðum hugbúnaðinn í gærkvöldi.
uphold	að staðfesta	Við staðfestum upphaflegu ákvörðunina.
utility	veita	Íbúðin innifelur allan kostnað vegna veitna.
utilize	að nýta	Liðið nýtti fyrirliggjandi gögn.
utterly	gjörsamlega	Útskýringin var gjörsamlega ruglingsleg.
vacuum	tómarúm	Tómarúmið í forystunni skapaði spennu.
vague	óljós	Svarið hans var óljóst og veikt.
validity	gildi	Rannsóknin dró gildi prófsins í efa.
vanish	að hverfa	Skráin hvarf úr möppunni.
variable	breyta	Verð er ein mikilvæg breyta.
varied	fjölbreyttur	Námskeiðið býður upp á fjölbreytt verkefni.
vein	æð	Hjúkrunarfræðingurinn fann æðina fljótt.
venture	fyrirtæki	Nýja fyrirtækið dró að sér fjárfesta.
verbal	munnlegur	Þau komust að munnlegu samkomulagi.
verdict	dómur	Kviðdómurinn kvað upp dóm sinn.
verify	að staðfesta	Vinsamlegast staðfestu netfangið þitt.
verse	erindi	Hún vitnaði í erindi úr ljóðinu.
versus	gegn	Kappræðurnar snerust um einkalíf gegn öryggi.
vessel	skip	Skipið flutti korn yfir hafið.
