source_headword	FR	example_FR
crawl	ramper	Le bébé a commencé à ramper sur le tapis.
creator	le créateur	Le créateur a remercié tout le monde pour leur soutien.
credibility	la crédibilité	Le témoin a perdu sa crédibilité pendant l'interrogatoire.
credible	crédible	Le rapport a présenté des preuves crédibles.
creep	s'infiltrer	Le brouillard a commencé à s'infiltrer dans la vallée.
critique	la critique	Le professeur a fait une critique détaillée.
crown	la couronne	La reine portait une couronne en argent.
crude	grossier	Le dessin était grossier mais clair.
crush	écraser	Les roches lourdes peuvent écraser le tuyau.
crystal	le cristal	Le cristal reflétait la lumière du matin.
cult	la secte	La secte a isolé ses membres.
cultivate	cultiver	Les agriculteurs cultivent du riz dans cette région.
curiosity	la curiosité	La curiosité l'a menée vers la science.
custody	la garde	L'enfant est resté sous la garde de son père.
cutting	la coupure	Le journal a publié une coupure sur lui.
cynical	cynique	Sa remarque cynique a contrarié l'équipe.
dam	le barrage	Le barrage retient l'eau de la rivière.
damaging	préjudiciable	L'article préjudiciable a nui à la campagne.
dawn	l'aube	Nous avons quitté le village à l'aube.
debris	les débris	Les débris de la tempête ont bloqué la route.
debut	les débuts	Ses débuts ont attiré l'attention nationale.
decision-making	la prise de décision	Une bonne prise de décision nécessite des informations claires.
decisive	décisif	Son action décisive a évité d'autres dommages.
declaration	la déclaration	Le ministre a lu une déclaration formelle.
dedicated	dévoué	L'infirmière dévouée a travaillé toute la nuit.
dedication	le dévouement	Son dévouement a inspiré les jeunes joueurs.
deed	l'acte	L'acte de bravoure a sauvé deux vies.
deem	considérer	Le tribunal peut considérer le contrat comme invalide.
default	le défaut	Utilisez le réglage par défaut pour l'instant.
defect	le défaut	Les inspecteurs ont trouvé un défaut grave.
defensive	défensif	Son ton défensif a surpris tout le monde.
deficiency	la carence	Une carence en fer peut affecter la santé.
deficit	le déficit	Le déficit budgétaire inquiétait les responsables.
defy	défier	Les manifestants ont choisi de défier l'interdiction.
delegate	le délégué	Chaque délégué a reçu une carte de vote.
delegation	la délégation	La délégation est arrivée avant midi.
delicate	délicat	Le verre délicat s'est cassé facilement.
demon	le démon	L'histoire décrit un ancien démon.
denial	le déni	Son déni a mis les victimes en colère.
denounce	dénoncer	Les dirigeants dénoncent la violence dans les écoles.
dense	dense	La forêt dense bloquait la lumière du soleil.
density	la densité	La densité de population est élevée en centre-ville.
dependence	la dépendance	La dépendance du pays au pétrole a diminué.
depict	représenter	La fresque représente la vie du village.
deploy	déployer	L'armée déploiera du personnel supplémentaire.
deployment	le déploiement	Le déploiement des troupes a commencé lundi.
deprive	priver	Le manque de sommeil peut priver les étudiants de concentration.
deputy	l'adjoint	L'adjoint a signé l'accord.
descend	descendre	Le chemin a commencé à descendre brusquement.
descent	la descente	L'avion a commencé sa descente.
designate	désigner	La ville désignera un nouveau parc.
desirable	souhaitable	Un bon éclairage est souhaitable dans les salles de classe.
desktop	le bureau	Le fichier est sur mon bureau.
destructive	destructeur	La tempête avait une force destructrice.
detain	détenir	La police peut détenir les suspects pour la nuit.
detection	la détection	La détection précoce améliore le traitement du cancer.
detention	la détention	Les étudiants ont protesté contre les conditions de détention.
deteriorate	se détériorer	Sa santé a commencé à se détériorer.
devastate	dévaster	Le tremblement de terre peut dévaster les villes côtières.
devil	le diable	L'enfant a dessiné un diable souriant.
devise	concevoir	Les ingénieurs conçoivent des systèmes de transport plus sûrs.
diagnose	diagnostiquer	Les médecins diagnostiquent la maladie avec des tests sanguins.
diagnosis	le diagnostic	Le diagnostic expliquait ses symptômes.
dictate	dicter	Le contrat dictera les conditions de paiement.
dictator	le dictateur	Le dictateur contrôlait les médias.
differentiate	différencier	Pouvez-vous différencier les faits des opinions ?
